,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,103,78.0%,29,22.0%,12,63.2%,7,36.8%,27,90.0%,3,10.0%,2,100.0%,0,0.0%,117,92.1%,10,7.9%,16,100.0%,0,0.0%,47,87.0%,7,13.0%,26,96.3%,1,3.7%,47,81.0%,11,19.0%,5,83.3%,1,16.7%,70,92.1%,6,7.9%,3,100.0%
Dyfed Powys,0,-,0,-,72,74.2%,25,25.8%,3,50.0%,3,50.0%,7,87.5%,1,12.5%,1,100.0%,0,0.0%,43,95.6%,2,4.4%,2,100.0%,0,0.0%,29,76.3%,9,23.7%,86,94.5%,5,5.5%,35,85.4%,6,14.6%,0,0.0%,1,100.0%,50,84.7%,9,15.3%,4,100.0%
Essex,1,100.0%,0,0.0%,280,73.1%,103,26.9%,38,74.5%,13,25.5%,28,87.5%,4,12.5%,5,71.4%,2,28.6%,159,87.8%,22,12.2%,20,80.0%,5,20.0%,65,85.5%,11,14.5%,57,95.0%,3,5.0%,70,89.7%,8,10.3%,45,93.8%,3,6.3%,193,76.0%,61,24.0%,18,100.0%
Gloucestershire,0,-,0,-,56,66.7%,28,33.3%,4,100.0%,0,0.0%,11,84.6%,2,15.4%,3,100.0%,0,0.0%,58,96.7%,2,3.3%,3,100.0%,0,0.0%,16,94.1%,1,5.9%,17,94.4%,1,5.6%,27,90.0%,3,10.0%,22,91.7%,2,8.3%,46,80.7%,11,19.3%,10,100.0%
GreaterManchester,2,50.0%,2,50.0%,644,80.1%,160,19.9%,65,68.4%,30,31.6%,101,91.8%,9,8.2%,48,82.8%,10,17.2%,466,92.8%,36,7.2%,48,90.6%,5,9.4%,126,87.5%,18,12.5%,180,90.5%,19,9.5%,240,88.2%,32,11.8%,62,88.6%,8,11.4%,433,87.7%,61,12.3%,33,100.0%
Gwent,0,0.0%,1,100.0%,98,79.7%,25,20.3%,5,62.5%,3,37.5%,19,86.4%,3,13.6%,2,66.7%,1,33.3%,106,98.1%,2,1.9%,7,87.5%,1,12.5%,45,93.8%,3,6.3%,47,100.0%,0,0.0%,73,89.0%,9,11.0%,12,100.0%,0,0.0%,85,95.5%,4,4.5%,2,100.0%
Hampshire,5,100.0%,0,0.0%,319,80.2%,79,19.8%,43,78.2%,12,21.8%,28,80.0%,7,20.0%,5,71.4%,2,28.6%,214,91.8%,19,8.2%,27,96.4%,1,3.6%,54,90.0%,6,10.0%,78,88.6%,10,11.4%,69,86.3%,11,13.8%,16,88.9%,2,11.1%,248,89.2%,30,10.8%,16,100.0%
Hertfordshire,0,0.0%,1,100.0%,135,75.8%,43,24.2%,6,85.7%,1,14.3%,9,69.2%,4,30.8%,5,100.0%,0,0.0%,154,87.5%,22,12.5%,12,80.0%,3,20.0%,27,81.8%,6,18.2%,40,90.9%,4,9.1%,48,87.3%,7,12.7%,28,80.0%,7,20.0%,88,80.7%,21,19.3%,26,100.0%
Humberside,1,100.0%,0,0.0%,154,87.0%,23,13.0%,29,74.4%,10,25.6%,24,70.6%,10,29.4%,9,90.0%,1,10.0%,222,94.5%,13,5.5%,12,100.0%,0,0.0%,50,80.6%,12,19.4%,73,96.1%,3,3.9%,80,87.0%,12,13.0%,34,87.2%,5,12.8%,139,88.0%,19,12.0%,5,100.0%
Kent,4,100.0%,0,0.0%,257,77.2%,76,22.8%,27,73.0%,10,27.0%,25,92.6%,2,7.4%,9,64.3%,5,35.7%,241,82.8%,50,17.2%,17,94.4%,1,5.6%,67,87.0%,10,13.0%,70,93.3%,5,6.7%,68,81.9%,15,18.1%,67,85.9%,11,14.1%,180,89.1%,22,10.9%,24,100.0%
Lancashire,1,100.0%,0,0.0%,290,79.5%,75,20.5%,25,83.3%,5,16.7%,45,95.7%,2,4.3%,26,100.0%,0,0.0%,218,92.0%,19,8.0%,16,80.0%,4,20.0%,77,81.1%,18,18.9%,84,92.3%,7,7.7%,109,86.5%,17,13.5%,96,88.9%,12,11.1%,234,83.6%,46,16.4%,16,100.0%
Leicestershire,1,100.0%,0,0.0%,149,72.3%,57,27.7%,18,75.0%,6,25.0%,22,95.7%,1,4.3%,9,90.0%,1,10.0%,147,90.7%,15,9.3%,15,93.8%,1,6.3%,26,86.7%,4,13.3%,46,97.9%,1,2.1%,64,90.1%,7,9.9%,22,91.7%,2,8.3%,120,83.3%,24,16.7%,15,100.0%
Lincolnshire,2,100.0%,0,0.0%,105,85.4%,18,14.6%,12,85.7%,2,14.3%,20,95.2%,1,4.8%,1,100.0%,0,0.0%,125,96.2%,5,3.8%,6,100.0%,0,0.0%,26,81.3%,6,18.8%,44,91.7%,4,8.3%,34,85.0%,6,15.0%,29,96.7%,1,3.3%,144,88.9%,18,11.1%,7,100.0%
Merseyside,2,100.0%,0,0.0%,308,76.4%,95,23.6%,18,66.7%,9,33.3%,33,94.3%,2,5.7%,13,65.0%,7,35.0%,260,94.5%,15,5.5%,10,76.9%,3,23.1%,66,89.2%,8,10.8%,227,95.8%,10,4.2%,59,81.9%,13,18.1%,109,90.1%,12,9.9%,192,91.4%,18,8.6%,11,100.0%
Metropolitan and City,38,90.5%,4,9.5%,"1,421",66.3%,723,33.7%,124,68.9%,56,31.1%,206,76.0%,65,24.0%,118,75.2%,39,24.8%,"1,230",89.0%,152,11.0%,201,87.0%,30,13.0%,335,82.1%,73,17.9%,"1,010",91.4%,95,8.6%,578,81.2%,134,18.8%,511,84.6%,93,15.4%,"1,225",77.7%,351,22.3%,171,100.0%
Norfolk,0,-,0,-,183,80.3%,45,19.7%,6,100.0%,0,0.0%,13,86.7%,2,13.3%,2,66.7%,1,33.3%,133,91.7%,12,8.3%,19,86.4%,3,13.6%,46,95.8%,2,4.2%,48,96.0%,2,4.0%,99,88.4%,13,11.6%,18,85.7%,3,14.3%,125,90.6%,13,9.4%,12,100.0%
Northamptonshire,0,-,0,-,122,75.8%,39,24.2%,3,75.0%,1,25.0%,4,100.0%,0,0.0%,6,75.0%,2,25.0%,123,89.8%,14,10.2%,7,100.0%,0,0.0%,28,75.7%,9,24.3%,37,100.0%,0,0.0%,42,85.7%,7,14.3%,15,93.8%,1,6.3%,117,95.1%,6,4.9%,6,100.0%
Northumbria,1,100.0%,0,0.0%,273,68.9%,123,31.1%,27,81.8%,6,18.2%,38,74.5%,13,25.5%,8,66.7%,4,33.3%,479,91.2%,46,8.8%,15,78.9%,4,21.1%,105,84.0%,20,16.0%,93,93.0%,7,7.0%,210,84.0%,40,16.0%,54,78.3%,15,21.7%,199,77.4%,58,22.6%,7,100.0%
North Wales,0,-,0,-,130,78.3%,36,21.7%,8,47.1%,9,52.9%,25,96.2%,1,3.8%,1,50.0%,1,50.0%,143,96.6%,5,3.4%,3,75.0%,1,25.0%,35,89.7%,4,10.3%,41,97.6%,1,2.4%,70,94.6%,4,5.4%,19,90.5%,2,9.5%,119,91.5%,11,8.5%,2,100.0%
North Yorkshire,2,66.7%,1,33.3%,121,85.8%,20,14.2%,6,100.0%,0,0.0%,12,80.0%,3,20.0%,7,100.0%,0,0.0%,149,95.5%,7,4.5%,9,100.0%,0,0.0%,39,88.6%,5,11.4%,43,95.6%,2,4.4%,79,89.8%,9,10.2%,9,90.0%,1,10.0%,113,90.4%,12,9.6%,4,100.0%
Nottinghamshire,0,-,0,-,200,70.9%,82,29.1%,13,65.0%,7,35.0%,21,80.8%,5,19.2%,5,38.5%,8,61.5%,183,89.3%,22,10.7%,29,93.5%,2,6.5%,58,89.2%,7,10.8%,103,94.5%,6,5.5%,74,82.2%,16,17.8%,41,78.8%,11,21.2%,120,89.6%,14,10.4%,20,100.0%
South Wales,1,50.0%,1,50.0%,303,75.4%,99,24.6%,26,74.3%,9,25.7%,38,82.6%,8,17.4%,5,83.3%,1,16.7%,284,95.9%,12,4.1%,11,78.6%,3,21.4%,80,86.0%,13,14.0%,150,95.5%,7,4.5%,179,87.3%,26,12.7%,22,78.6%,6,21.4%,662,92.7%,52,7.3%,16,100.0%
South Yorkshire,0,-,0,-,237,81.2%,55,18.8%,9,60.0%,6,40.0%,27,77.1%,8,22.9%,9,60.0%,6,40.0%,303,92.9%,23,7.1%,25,96.2%,1,3.8%,61,85.9%,10,14.1%,120,91.6%,11,8.4%,98,89.9%,11,10.1%,36,92.3%,3,7.7%,169,92.3%,14,7.7%,15,100.0%
Staffordshire,4,100.0%,0,0.0%,151,69.6%,66,30.4%,17,81.0%,4,19.0%,22,73.3%,8,26.7%,5,100.0%,0,0.0%,171,95.5%,8,4.5%,9,75.0%,3,25.0%,39,84.8%,7,15.2%,59,96.7%,2,3.3%,59,80.8%,14,19.2%,31,83.8%,6,16.2%,163,82.3%,35,17.7%,6,100.0%
Suffolk,0,-,0,-,130,82.8%,27,17.2%,2,66.7%,1,33.3%,4,80.0%,1,20.0%,6,100.0%,0,0.0%,98,97.0%,3,3.0%,5,71.4%,2,28.6%,34,94.4%,2,5.6%,34,91.9%,3,8.1%,44,88.0%,6,12.0%,4,80.0%,1,20.0%,99,79.2%,26,20.8%,4,100.0%
Surrey,0,-,0,-,148,78.7%,40,21.3%,12,75.0%,4,25.0%,18,85.7%,3,14.3%,4,100.0%,0,0.0%,107,92.2%,9,7.8%,32,97.0%,1,3.0%,28,90.3%,3,9.7%,54,93.1%,4,6.9%,54,90.0%,6,10.0%,20,95.2%,1,4.8%,116,85.3%,20,14.7%,8,100.0%
Sussex,0,-,0,-,269,77.3%,79,22.7%,28,68.3%,13,31.7%,36,85.7%,6,14.3%,6,85.7%,1,14.3%,235,92.2%,20,7.8%,11,100.0%,0,0.0%,52,83.9%,10,16.1%,92,93.9%,6,6.1%,63,90.0%,7,10.0%,41,82.0%,9,18.0%,214,89.2%,26,10.8%,16,100.0%
Thames Valley,5,100.0%,0,0.0%,291,74.2%,101,25.8%,40,70.2%,17,29.8%,34,91.9%,3,8.1%,17,77.3%,5,22.7%,282,92.5%,23,7.5%,31,91.2%,3,8.8%,57,82.6%,12,17.4%,127,94.1%,8,5.9%,104,87.4%,15,12.6%,31,73.8%,11,26.2%,231,85.9%,38,14.1%,31,100.0%
Warwickshire,1,100.0%,0,0.0%,78,83.0%,16,17.0%,4,80.0%,1,20.0%,10,90.9%,1,9.1%,2,50.0%,2,50.0%,55,91.7%,5,8.3%,4,100.0%,0,0.0%,10,100.0%,0,0.0%,10,100.0%,0,0.0%,13,92.9%,1,7.1%,21,95.5%,1,4.5%,76,71.0%,31,29.0%,3,100.0%
West Mercia,2,100.0%,0,0.0%,165,73.7%,59,26.3%,17,81.0%,4,19.0%,23,88.5%,3,11.5%,4,100.0%,0,0.0%,139,89.7%,16,10.3%,11,84.6%,2,15.4%,44,88.0%,6,12.0%,57,91.9%,5,8.1%,51,85.0%,9,15.0%,24,88.9%,3,11.1%,152,88.4%,20,11.6%,6,100.0%
West Midlands,4,100.0%,0,0.0%,540,74.5%,185,25.5%,51,79.7%,13,20.3%,58,74.4%,20,25.6%,49,75.4%,16,24.6%,583,92.8%,45,7.2%,26,89.7%,3,10.3%,86,84.3%,16,15.7%,183,95.8%,8,4.2%,129,82.7%,27,17.3%,99,86.1%,16,13.9%,322,84.7%,58,15.3%,30,100.0%
West Yorkshire,2,66.7%,1,33.3%,443,78.4%,122,21.6%,41,80.4%,10,19.6%,77,84.6%,14,15.4%,18,90.0%,2,10.0%,380,90.9%,38,9.1%,25,89.3%,3,10.7%,103,85.8%,17,14.2%,149,93.1%,11,6.9%,120,81.6%,27,18.4%,64,85.3%,11,14.7%,298,85.9%,49,14.1%,23,100.0%
Wiltshire,0,-,0,-,81,79.4%,21,20.6%,6,85.7%,1,14.3%,9,90.0%,1,10.0%,8,88.9%,1,11.1%,75,90.4%,8,9.6%,9,100.0%,0,0.0%,26,89.7%,3,10.3%,30,93.8%,2,6.3%,35,92.1%,3,7.9%,0,0.0%,1,100.0%,73,88.0%,10,12.0%,5,100.0%
