,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Gwent,1,50.0%,1,50.0%,83,79.0%,22,21.0%,8,88.9%,1,11.1%,23,92.0%,2,8.0%,8,80.0%,2,20.0%,151,95.0%,8,5.0%,4,80.0%,1,20.0%,40,83.3%,8,16.7%,68,94.4%,4,5.6%,68,85.0%,12,15.0%,9,75.0%,3,25.0%,70,85.4%,12,14.6%,4,100.0%
Hampshire,1,100.0%,0,0.0%,312,74.1%,109,25.9%,44,71.0%,18,29.0%,41,83.7%,8,16.3%,5,71.4%,2,28.6%,295,91.6%,27,8.4%,13,81.3%,3,18.8%,59,83.1%,12,16.9%,121,93.1%,9,6.9%,112,84.8%,20,15.2%,17,58.6%,12,41.4%,208,86.3%,33,13.7%,18,100.0%
Hertfordshire,0,-,0,-,161,73.2%,59,26.8%,4,66.7%,2,33.3%,21,77.8%,6,22.2%,5,83.3%,1,16.7%,156,90.2%,17,9.8%,9,90.0%,1,10.0%,29,87.9%,4,12.1%,68,91.9%,6,8.1%,47,83.9%,9,16.1%,15,93.8%,1,6.3%,123,84.8%,22,15.2%,13,100.0%
Humberside,0,0.0%,1,100.0%,157,77.0%,47,23.0%,30,81.1%,7,18.9%,29,87.9%,4,12.1%,7,100.0%,0,0.0%,201,91.8%,18,8.2%,15,83.3%,3,16.7%,47,88.7%,6,11.3%,63,94.0%,4,6.0%,69,87.3%,10,12.7%,26,81.3%,6,18.8%,110,83.3%,22,16.7%,10,100.0%
Kent,1,100.0%,0,0.0%,199,73.7%,71,26.3%,21,63.6%,12,36.4%,39,78.0%,11,22.0%,11,78.6%,3,21.4%,274,88.1%,37,11.9%,25,80.6%,6,19.4%,67,81.7%,15,18.3%,83,94.3%,5,5.7%,87,82.1%,19,17.9%,68,82.9%,14,17.1%,190,88.8%,24,11.2%,23,100.0%
Lancashire,1,50.0%,1,50.0%,265,77.5%,77,22.5%,31,73.8%,11,26.2%,64,85.3%,11,14.7%,23,85.2%,4,14.8%,277,94.2%,17,5.8%,15,83.3%,3,16.7%,81,82.7%,17,17.3%,98,93.3%,7,6.7%,175,92.6%,14,7.4%,116,89.2%,14,10.8%,264,85.2%,46,14.8%,12,100.0%
Leicestershire,0,-,0,-,173,79.4%,45,20.6%,15,93.8%,1,6.3%,22,88.0%,3,12.0%,4,66.7%,2,33.3%,164,95.9%,7,4.1%,12,85.7%,2,14.3%,41,85.4%,7,14.6%,39,100.0%,0,0.0%,68,90.7%,7,9.3%,17,89.5%,2,10.5%,116,88.5%,15,11.5%,23,100.0%
Lincolnshire,3,100.0%,0,0.0%,97,80.2%,24,19.8%,10,76.9%,3,23.1%,11,68.8%,5,31.3%,3,75.0%,1,25.0%,103,91.2%,10,8.8%,12,92.3%,1,7.7%,23,88.5%,3,11.5%,27,100.0%,0,0.0%,50,84.7%,9,15.3%,19,76.0%,6,24.0%,124,80.5%,30,19.5%,14,100.0%
Merseyside,2,100.0%,0,0.0%,285,76.2%,89,23.8%,32,65.3%,17,34.7%,39,88.6%,5,11.4%,15,78.9%,4,21.1%,292,94.5%,17,5.5%,31,96.9%,1,3.1%,76,92.7%,6,7.3%,264,93.3%,19,6.7%,153,86.4%,24,13.6%,81,83.5%,16,16.5%,191,91.0%,19,9.0%,19,100.0%
Metropolitan and City,14,93.3%,1,6.7%,"1,327",68.1%,621,31.9%,109,60.6%,71,39.4%,278,81.0%,65,19.0%,140,79.1%,37,20.9%,"1,220",90.0%,135,10.0%,225,87.2%,33,12.8%,314,84.6%,57,15.4%,"1,025",94.6%,58,5.4%,588,82.6%,124,17.4%,483,80.9%,114,19.1%,"1,231",78.3%,341,21.7%,148,100.0%
Norfolk,0,-,0,-,149,71.3%,60,28.7%,13,86.7%,2,13.3%,15,71.4%,6,28.6%,1,33.3%,2,66.7%,143,93.5%,10,6.5%,14,87.5%,2,12.5%,46,80.7%,11,19.3%,74,96.1%,3,3.9%,90,91.8%,8,8.2%,18,85.7%,3,14.3%,89,82.4%,19,17.6%,14,100.0%
Northamptonshire,0,-,0,-,105,79.5%,27,20.5%,10,76.9%,3,23.1%,13,61.9%,8,38.1%,0,0,0,0,99,90.8%,10,9.2%,6,75.0%,2,25.0%,27,79.4%,7,20.6%,39,97.5%,1,2.5%,30,76.9%,9,23.1%,15,78.9%,4,21.1%,121,90.3%,13,9.7%,11,100.0%
Northumbria,1,100.0%,0,0.0%,282,75.4%,92,24.6%,13,72.2%,5,27.8%,64,83.1%,13,16.9%,13,72.2%,5,27.8%,422,89.8%,48,10.2%,23,88.5%,3,11.5%,77,75.5%,25,24.5%,76,88.4%,10,11.6%,197,73.2%,72,26.8%,59,84.3%,11,15.7%,219,81.1%,51,18.9%,6,100.0%
North Wales,1,100.0%,0,0.0%,161,81.3%,37,18.7%,16,69.6%,7,30.4%,22,88.0%,3,12.0%,3,75.0%,1,25.0%,139,95.2%,7,4.8%,7,100.0%,0,0.0%,45,81.8%,10,18.2%,59,92.2%,5,7.8%,65,95.6%,3,4.4%,12,80.0%,3,20.0%,78,87.6%,11,12.4%,2,100.0%
North Yorkshire,1,100.0%,0,0.0%,102,76.7%,31,23.3%,9,100.0%,0,0.0%,22,95.7%,1,4.3%,3,100.0%,0,0.0%,144,96.0%,6,4.0%,7,87.5%,1,12.5%,34,89.5%,4,10.5%,35,97.2%,1,2.8%,64,90.1%,7,9.9%,28,77.8%,8,22.2%,112,88.9%,14,11.1%,12,100.0%
Nottinghamshire,1,100.0%,0,0.0%,233,75.6%,75,24.4%,18,85.7%,3,14.3%,23,62.2%,14,37.8%,9,69.2%,4,30.8%,273,89.8%,31,10.2%,17,85.0%,3,15.0%,63,76.8%,19,23.2%,123,97.6%,3,2.4%,78,87.6%,11,12.4%,51,83.6%,10,16.4%,172,87.3%,25,12.7%,16,100.0%
South Wales,1,100.0%,0,0.0%,339,74.2%,118,25.8%,26,66.7%,13,33.3%,44,86.3%,7,13.7%,12,92.3%,1,7.7%,300,94.0%,19,6.0%,17,94.4%,1,5.6%,69,85.2%,12,14.8%,169,96.0%,7,4.0%,167,86.5%,26,13.5%,14,93.3%,1,6.7%,643,89.3%,77,10.7%,13,100.0%
South Yorkshire,5,100.0%,0,0.0%,227,77.5%,66,22.5%,9,100.0%,0,0.0%,49,96.1%,2,3.9%,10,62.5%,6,37.5%,283,90.4%,30,9.6%,11,91.7%,1,8.3%,64,84.2%,12,15.8%,87,93.5%,6,6.5%,99,85.3%,17,14.7%,24,75.0%,8,25.0%,141,88.7%,18,11.3%,15,100.0%
Staffordshire,0,-,0,-,157,74.4%,54,25.6%,10,66.7%,5,33.3%,31,86.1%,5,13.9%,7,77.8%,2,22.2%,196,90.3%,21,9.7%,14,93.3%,1,6.7%,40,75.5%,13,24.5%,66,95.7%,3,4.3%,75,87.2%,11,12.8%,21,80.8%,5,19.2%,186,79.5%,48,20.5%,9,100.0%
Suffolk,0,0.0%,1,100.0%,110,79.7%,28,20.3%,6,85.7%,1,14.3%,9,75.0%,3,25.0%,2,40.0%,3,60.0%,135,95.7%,6,4.3%,8,100.0%,0,0.0%,42,95.5%,2,4.5%,66,100.0%,0,0.0%,66,90.4%,7,9.6%,9,90.0%,1,10.0%,87,79.8%,22,20.2%,4,100.0%
Surrey,0,-,0,-,111,67.7%,53,32.3%,10,66.7%,5,33.3%,16,100.0%,0,0.0%,1,100.0%,0,0.0%,83,86.5%,13,13.5%,11,91.7%,1,8.3%,20,76.9%,6,23.1%,67,94.4%,4,5.6%,41,71.9%,16,28.1%,32,76.2%,10,23.8%,132,85.7%,22,14.3%,12,100.0%
Sussex,0,-,0,-,261,75.7%,84,24.3%,25,64.1%,14,35.9%,34,81.0%,8,19.0%,2,100.0%,0,0.0%,241,92.0%,21,8.0%,23,85.2%,4,14.8%,60,87.0%,9,13.0%,97,89.8%,11,10.2%,89,80.2%,22,19.8%,40,74.1%,14,25.9%,225,90.0%,25,10.0%,15,100.0%
Thames Valley,3,100.0%,0,0.0%,300,68.0%,141,32.0%,35,68.6%,16,31.4%,40,80.0%,10,20.0%,11,64.7%,6,35.3%,330,92.4%,27,7.6%,32,91.4%,3,8.6%,62,86.1%,10,13.9%,133,95.7%,6,4.3%,121,87.1%,18,12.9%,34,70.8%,14,29.2%,235,85.8%,39,14.2%,21,100.0%
Warwickshire,2,100.0%,0,0.0%,60,78.9%,16,21.1%,10,90.9%,1,9.1%,7,100.0%,0,0.0%,5,62.5%,3,37.5%,65,97.0%,2,3.0%,4,100.0%,0,0.0%,12,92.3%,1,7.7%,12,92.3%,1,7.7%,25,89.3%,3,10.7%,14,82.4%,3,17.6%,85,78.7%,23,21.3%,8,100.0%
West Mercia,0,-,0,-,206,78.3%,57,21.7%,13,52.0%,12,48.0%,23,82.1%,5,17.9%,1,25.0%,3,75.0%,164,94.8%,9,5.2%,17,85.0%,3,15.0%,27,93.1%,2,6.9%,61,98.4%,1,1.6%,67,87.0%,10,13.0%,25,86.2%,4,13.8%,139,88.5%,18,11.5%,6,100.0%
West Midlands,0,0.0%,2,100.0%,461,75.0%,154,25.0%,41,75.9%,13,24.1%,79,84.9%,14,15.1%,42,76.4%,13,23.6%,647,91.9%,57,8.1%,35,77.8%,10,22.2%,88,88.0%,12,12.0%,216,92.3%,18,7.7%,137,86.2%,22,13.8%,132,81.0%,31,19.0%,310,88.3%,41,11.7%,23,100.0%
West Yorkshire,4,100.0%,0,0.0%,466,78.7%,126,21.3%,42,72.4%,16,27.6%,78,79.6%,20,20.4%,24,100.0%,0,0.0%,378,92.0%,33,8.0%,22,73.3%,8,26.7%,104,84.6%,19,15.4%,116,94.3%,7,5.7%,115,79.3%,30,20.7%,52,80.0%,13,20.0%,302,82.1%,66,17.9%,17,100.0%
Wiltshire,0,-,0,-,108,80.6%,26,19.4%,9,64.3%,5,35.7%,6,75.0%,2,25.0%,0,0.0%,1,100.0%,94,89.5%,11,10.5%,3,75.0%,1,25.0%,33,89.2%,4,10.8%,26,100.0%,0,0.0%,59,92.2%,5,7.8%,5,83.3%,1,16.7%,66,89.2%,8,10.8%,3,100.0%
