,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,135,72.6%,51,27.4%,12,60.0%,8,40.0%,32,88.9%,4,11.1%,3,100.0%,0,0.0%,146,93.0%,11,7.0%,5,83.3%,1,16.7%,39,86.7%,6,13.3%,25,100.0%,0,0.0%,48,81.4%,11,18.6%,8,80.0%,2,20.0%,111,92.5%,9,7.5%,3,100.0%
Dyfed Powys,1,100.0%,0,0.0%,91,77.1%,27,22.9%,6,54.5%,5,45.5%,9,100.0%,0,0.0%,2,66.7%,1,33.3%,47,92.2%,4,7.8%,9,100.0%,0,0.0%,36,78.3%,10,21.7%,77,90.6%,8,9.4%,38,88.4%,5,11.6%,7,87.5%,1,12.5%,63,75.9%,20,24.1%,7,100.0%
Essex,1,50.0%,1,50.0%,376,76.9%,113,23.1%,39,69.6%,17,30.4%,37,92.5%,3,7.5%,8,72.7%,3,27.3%,187,87.0%,28,13.0%,22,84.6%,4,15.4%,44,89.8%,5,10.2%,82,89.1%,10,10.9%,56,91.8%,5,8.2%,19,73.1%,7,26.9%,251,73.8%,89,26.2%,24,100.0%
Gloucestershire,0,-,0,-,74,74.0%,26,26.0%,6,100.0%,0,0.0%,12,100.0%,0,0.0%,2,100.0%,0,0.0%,86,95.6%,4,4.4%,12,92.3%,1,7.7%,16,84.2%,3,15.8%,26,96.3%,1,3.7%,22,91.7%,2,8.3%,1,100.0%,0,0.0%,65,94.2%,4,5.8%,4,100.0%
GreaterManchester,1,33.3%,2,66.7%,629,81.9%,139,18.1%,65,76.5%,20,23.5%,59,93.7%,4,6.3%,28,82.4%,6,17.6%,336,95.2%,17,4.8%,32,68.1%,15,31.9%,94,90.4%,10,9.6%,163,94.2%,10,5.8%,156,90.2%,17,9.8%,21,77.8%,6,22.2%,392,84.3%,73,15.7%,46,100.0%
Gwent,0,-,0,-,121,81.2%,28,18.8%,8,57.1%,6,42.9%,11,100.0%,0,0.0%,2,100.0%,0,0.0%,79,95.2%,4,4.8%,3,100.0%,0,0.0%,22,88.0%,3,12.0%,31,91.2%,3,8.8%,37,90.2%,4,9.8%,3,100.0%,0,0.0%,51,86.4%,8,13.6%,7,100.0%
Hampshire,2,66.7%,1,33.3%,291,78.2%,81,21.8%,34,73.9%,12,26.1%,46,90.2%,5,9.8%,6,100.0%,0,0.0%,251,90.3%,27,9.7%,14,87.5%,2,12.5%,75,88.2%,10,11.8%,101,95.3%,5,4.7%,127,91.4%,12,8.6%,20,69.0%,9,31.0%,291,89.5%,34,10.5%,23,100.0%
Hertfordshire,0,-,0,-,119,78.8%,32,21.2%,4,100.0%,0,0.0%,26,86.7%,4,13.3%,2,66.7%,1,33.3%,104,91.2%,10,8.8%,13,100.0%,0,0.0%,22,88.0%,3,12.0%,60,95.2%,3,4.8%,26,76.5%,8,23.5%,0,0,0,0,81,87.1%,12,12.9%,12,100.0%
Humberside,0,-,0,-,178,86.8%,27,13.2%,22,66.7%,11,33.3%,23,92.0%,2,8.0%,1,100.0%,0,0.0%,180,97.3%,5,2.7%,15,100.0%,0,0.0%,41,93.2%,3,6.8%,61,95.3%,3,4.7%,71,91.0%,7,9.0%,6,66.7%,3,33.3%,132,86.3%,21,13.7%,17,100.0%
Kent,2,50.0%,2,50.0%,290,80.8%,69,19.2%,28,80.0%,7,20.0%,43,91.5%,4,8.5%,6,100.0%,0,0.0%,181,80.1%,45,19.9%,47,97.9%,1,2.1%,44,69.8%,19,30.2%,76,88.4%,10,11.6%,58,87.9%,8,12.1%,22,78.6%,6,21.4%,198,88.4%,26,11.6%,32,100.0%
Lancashire,1,100.0%,0,0.0%,337,78.7%,91,21.3%,28,82.4%,6,17.6%,74,93.7%,5,6.3%,15,68.2%,7,31.8%,280,94.3%,17,5.7%,24,92.3%,2,7.7%,66,86.8%,10,13.2%,108,96.4%,4,3.6%,171,91.0%,17,9.0%,23,100.0%,0,0.0%,243,81.8%,54,18.2%,15,100.0%
Leicestershire,1,100.0%,0,0.0%,161,77.4%,47,22.6%,15,78.9%,4,21.1%,30,81.1%,7,18.9%,8,88.9%,1,11.1%,119,87.5%,17,12.5%,18,94.7%,1,5.3%,26,74.3%,9,25.7%,53,96.4%,2,3.6%,39,68.4%,18,31.6%,7,63.6%,4,36.4%,131,85.1%,23,14.9%,13,100.0%
Lincolnshire,1,100.0%,0,0.0%,152,84.9%,27,15.1%,15,78.9%,4,21.1%,21,91.3%,2,8.7%,1,50.0%,1,50.0%,138,90.8%,14,9.2%,2,100.0%,0,0.0%,38,92.7%,3,7.3%,46,95.8%,2,4.2%,55,82.1%,12,17.9%,12,70.6%,5,29.4%,149,76.8%,45,23.2%,7,100.0%
Merseyside,0,-,0,-,307,78.5%,84,21.5%,16,76.2%,5,23.8%,33,89.2%,4,10.8%,10,90.9%,1,9.1%,170,95.0%,9,5.0%,10,83.3%,2,16.7%,48,80.0%,12,20.0%,128,95.5%,6,4.5%,92,82.1%,20,17.9%,29,72.5%,11,27.5%,215,87.4%,31,12.6%,12,100.0%
Metropolitan and City,26,83.9%,5,16.1%,"1,795",67.6%,862,32.4%,146,65.8%,76,34.2%,230,82.4%,49,17.6%,110,78.0%,31,22.0%,"1,056",83.6%,207,16.4%,260,81.8%,58,18.2%,333,80.8%,79,19.2%,"1,187",92.7%,94,7.3%,604,79.7%,154,20.3%,221,81.3%,51,18.8%,"1,258",73.7%,450,26.3%,251,100.0%
Norfolk,1,100.0%,0,0.0%,233,80.9%,55,19.1%,11,100.0%,0,0.0%,17,81.0%,4,19.0%,8,100.0%,0,0.0%,140,90.9%,14,9.1%,7,100.0%,0,0.0%,37,78.7%,10,21.3%,85,92.4%,7,7.6%,91,86.7%,14,13.3%,15,100.0%,0,0.0%,120,87.6%,17,12.4%,9,100.0%
Northamptonshire,3,100.0%,0,0.0%,133,73.5%,48,26.5%,6,54.5%,5,45.5%,13,92.9%,1,7.1%,2,100.0%,0,0.0%,93,88.6%,12,11.4%,8,88.9%,1,11.1%,22,71.0%,9,29.0%,46,97.9%,1,2.1%,29,69.0%,13,31.0%,6,66.7%,3,33.3%,123,91.8%,11,8.2%,20,100.0%
Northumbria,1,100.0%,0,0.0%,348,74.8%,117,25.2%,33,82.5%,7,17.5%,42,89.4%,5,10.6%,17,89.5%,2,10.5%,458,90.3%,49,9.7%,27,69.2%,12,30.8%,92,80.0%,23,20.0%,105,90.5%,11,9.5%,212,84.1%,40,15.9%,26,83.9%,5,16.1%,248,83.5%,49,16.5%,18,100.0%
North Wales,2,100.0%,0,0.0%,205,85.4%,35,14.6%,19,76.0%,6,24.0%,31,91.2%,3,8.8%,6,100.0%,0,0.0%,151,89.9%,17,10.1%,14,87.5%,2,12.5%,42,91.3%,4,8.7%,29,100.0%,0,0.0%,53,91.4%,5,8.6%,8,100.0%,0,0.0%,103,85.8%,17,14.2%,6,100.0%
North Yorkshire,2,100.0%,0,0.0%,129,83.8%,25,16.2%,8,88.9%,1,11.1%,19,90.5%,2,9.5%,2,100.0%,0,0.0%,113,95.0%,6,5.0%,12,100.0%,0,0.0%,26,92.9%,2,7.1%,34,94.4%,2,5.6%,43,89.6%,5,10.4%,13,86.7%,2,13.3%,101,95.3%,5,4.7%,9,100.0%
Nottinghamshire,6,85.7%,1,14.3%,333,73.2%,122,26.8%,24,88.9%,3,11.1%,37,74.0%,13,26.0%,8,80.0%,2,20.0%,282,90.7%,29,9.3%,26,96.3%,1,3.7%,64,82.1%,14,17.9%,138,94.5%,8,5.5%,110,86.6%,17,13.4%,25,86.2%,4,13.8%,170,89.5%,20,10.5%,15,100.0%
South Wales,0,-,0,-,335,80.5%,81,19.5%,19,76.0%,6,24.0%,46,88.5%,6,11.5%,17,100.0%,0,0.0%,218,93.2%,16,6.8%,26,100.0%,0,0.0%,52,89.7%,6,10.3%,142,94.7%,8,5.3%,119,84.4%,22,15.6%,14,93.3%,1,6.7%,591,92.1%,51,7.9%,11,100.0%
South Yorkshire,1,100.0%,0,0.0%,215,74.4%,74,25.6%,11,91.7%,1,8.3%,56,87.5%,8,12.5%,13,81.3%,3,18.8%,269,96.8%,9,3.2%,26,92.9%,2,7.1%,78,76.5%,24,23.5%,99,92.5%,8,7.5%,110,87.3%,16,12.7%,18,85.7%,3,14.3%,183,89.3%,22,10.7%,24,100.0%
Staffordshire,3,60.0%,2,40.0%,196,72.6%,74,27.4%,10,71.4%,4,28.6%,28,84.8%,5,15.2%,2,50.0%,2,50.0%,153,89.5%,18,10.5%,13,100.0%,0,0.0%,44,86.3%,7,13.7%,83,91.2%,8,8.8%,65,86.7%,10,13.3%,17,81.0%,4,19.0%,185,75.2%,61,24.8%,12,100.0%
Suffolk,1,100.0%,0,0.0%,172,83.5%,34,16.5%,11,91.7%,1,8.3%,16,94.1%,1,5.9%,0,0,0,0,77,88.5%,10,11.5%,9,90.0%,1,10.0%,28,93.3%,2,6.7%,49,98.0%,1,2.0%,31,81.6%,7,18.4%,10,100.0%,0,0.0%,99,87.6%,14,12.4%,6,100.0%
Surrey,0,-,0,-,144,78.7%,39,21.3%,9,60.0%,6,40.0%,29,80.6%,7,19.4%,2,66.7%,1,33.3%,87,94.6%,5,5.4%,8,88.9%,1,11.1%,14,70.0%,6,30.0%,56,88.9%,7,11.1%,32,84.2%,6,15.8%,5,100.0%,0,0.0%,117,90.7%,12,9.3%,15,100.0%
Sussex,0,-,0,-,308,78.4%,85,21.6%,31,66.0%,16,34.0%,35,92.1%,3,7.9%,8,100.0%,0,0.0%,179,93.2%,13,6.8%,20,90.9%,2,9.1%,61,91.0%,6,9.0%,91,89.2%,11,10.8%,65,83.3%,13,16.7%,9,100.0%,0,0.0%,233,90.0%,26,10.0%,22,100.0%
Thames Valley,9,90.0%,1,10.0%,394,75.5%,128,24.5%,38,66.7%,19,33.3%,46,79.3%,12,20.7%,8,40.0%,12,60.0%,242,91.3%,23,8.7%,25,83.3%,5,16.7%,47,75.8%,15,24.2%,147,90.2%,16,9.8%,76,77.6%,22,22.4%,21,67.7%,10,32.3%,215,82.4%,46,17.6%,35,100.0%
Warwickshire,0,0.0%,2,100.0%,83,84.7%,15,15.3%,8,100.0%,0,0.0%,10,90.9%,1,9.1%,8,88.9%,1,11.1%,54,84.4%,10,15.6%,6,66.7%,3,33.3%,15,100.0%,0,0.0%,27,93.1%,2,6.9%,26,78.8%,7,21.2%,7,100.0%,0,0.0%,80,90.9%,8,9.1%,7,100.0%
West Mercia,2,66.7%,1,33.3%,231,80.8%,55,19.2%,23,67.6%,11,32.4%,22,75.9%,7,24.1%,3,75.0%,1,25.0%,125,89.9%,14,10.1%,13,81.3%,3,18.8%,31,81.6%,7,18.4%,61,93.8%,4,6.2%,75,88.2%,10,11.8%,8,80.0%,2,20.0%,144,81.8%,32,18.2%,9,100.0%
West Midlands,6,85.7%,1,14.3%,736,75.2%,243,24.8%,47,56.6%,36,43.4%,83,76.9%,25,23.1%,43,74.1%,15,25.9%,660,89.9%,74,10.1%,74,82.2%,16,17.8%,121,84.0%,23,16.0%,253,94.1%,16,5.9%,228,78.9%,61,21.1%,60,95.2%,3,4.8%,377,78.4%,104,21.6%,55,100.0%
West Yorkshire,2,100.0%,0,0.0%,504,80.8%,120,19.2%,50,90.9%,5,9.1%,64,85.3%,11,14.7%,10,76.9%,3,23.1%,348,93.3%,25,6.7%,24,88.9%,3,11.1%,104,89.7%,12,10.3%,122,91.7%,11,8.3%,129,88.4%,17,11.6%,30,90.9%,3,9.1%,294,86.0%,48,14.0%,38,100.0%
Wiltshire,3,100.0%,0,0.0%,132,86.8%,20,13.2%,5,71.4%,2,28.6%,12,100.0%,0,0.0%,0,0.0%,1,100.0%,91,91.9%,8,8.1%,6,50.0%,6,50.0%,26,92.9%,2,7.1%,29,93.5%,2,6.5%,41,85.4%,7,14.6%,4,57.1%,3,42.9%,75,92.6%,6,7.4%,5,100.0%
