,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,120,75.0%,40,25.0%,10,83.3%,2,16.7%,29,78.4%,8,21.6%,2,100.0%,0,0.0%,153,92.2%,13,7.8%,4,66.7%,2,33.3%,46,78.0%,13,22.0%,23,95.8%,1,4.2%,58,92.1%,5,7.9%,14,77.8%,4,22.2%,94,94.9%,5,5.1%,5,100.0%
Dyfed Powys,2,66.7%,1,33.3%,77,72.0%,30,28.0%,7,77.8%,2,22.2%,5,62.5%,3,37.5%,2,100.0%,0,0.0%,47,85.5%,8,14.5%,2,100.0%,0,0.0%,13,81.3%,3,18.8%,67,94.4%,4,5.6%,47,90.4%,5,9.6%,10,100.0%,0,0.0%,61,77.2%,18,22.8%,3,100.0%
Essex,2,50.0%,2,50.0%,322,69.5%,141,30.5%,29,54.7%,24,45.3%,29,72.5%,11,27.5%,7,70.0%,3,30.0%,182,88.3%,24,11.7%,8,88.9%,1,11.1%,66,86.8%,10,13.2%,85,93.4%,6,6.6%,70,83.3%,14,16.7%,13,76.5%,4,23.5%,291,77.6%,84,22.4%,16,100.0%
Gloucestershire,0,-,0,-,107,78.1%,30,21.9%,5,83.3%,1,16.7%,12,75.0%,4,25.0%,4,100.0%,0,0.0%,95,96.0%,4,4.0%,7,87.5%,1,12.5%,30,90.9%,3,9.1%,22,91.7%,2,8.3%,13,76.5%,4,23.5%,12,70.6%,5,29.4%,77,92.8%,6,7.2%,3,100.0%
GreaterManchester,2,100.0%,0,0.0%,679,80.8%,161,19.2%,67,73.6%,24,26.4%,90,89.1%,11,10.9%,39,66.1%,20,33.9%,388,95.8%,17,4.2%,47,88.7%,6,11.3%,159,93.5%,11,6.5%,199,94.3%,12,5.7%,211,86.8%,32,13.2%,85,87.6%,12,12.4%,414,84.7%,75,15.3%,63,100.0%
Gwent,0,-,0,-,124,83.2%,25,16.8%,7,77.8%,2,22.2%,14,93.3%,1,6.7%,0,0.0%,2,100.0%,85,93.4%,6,6.6%,13,92.9%,1,7.1%,17,89.5%,2,10.5%,57,96.6%,2,3.4%,44,84.6%,8,15.4%,6,100.0%,0,0.0%,67,94.4%,4,5.6%,3,100.0%
Hampshire,1,100.0%,0,0.0%,277,81.0%,65,19.0%,39,67.2%,19,32.8%,41,91.1%,4,8.9%,3,75.0%,1,25.0%,232,91.0%,23,9.0%,13,86.7%,2,13.3%,54,87.1%,8,12.9%,122,96.1%,5,3.9%,104,86.7%,16,13.3%,56,96.6%,2,3.4%,249,87.4%,36,12.6%,15,100.0%
Hertfordshire,1,100.0%,0,0.0%,227,75.7%,73,24.3%,6,75.0%,2,25.0%,22,81.5%,5,18.5%,6,46.2%,7,53.8%,209,89.7%,24,10.3%,27,96.4%,1,3.6%,46,88.5%,6,11.5%,71,97.3%,2,2.7%,57,91.9%,5,8.1%,10,66.7%,5,33.3%,178,80.5%,43,19.5%,17,100.0%
Humberside,0,-,0,-,186,86.1%,30,13.9%,28,62.2%,17,37.8%,34,97.1%,1,2.9%,4,80.0%,1,20.0%,181,96.3%,7,3.7%,14,93.3%,1,6.7%,40,83.3%,8,16.7%,53,98.1%,1,1.9%,76,95.0%,4,5.0%,10,90.9%,1,9.1%,124,81.0%,29,19.0%,9,100.0%
Kent,3,50.0%,3,50.0%,302,81.6%,68,18.4%,35,74.5%,12,25.5%,42,82.4%,9,17.6%,8,66.7%,4,33.3%,258,89.3%,31,10.7%,21,91.3%,2,8.7%,46,80.7%,11,19.3%,104,95.4%,5,4.6%,55,79.7%,14,20.3%,41,77.4%,12,22.6%,212,88.3%,28,11.7%,55,100.0%
Lancashire,3,100.0%,0,0.0%,244,76.0%,77,24.0%,20,66.7%,10,33.3%,55,88.7%,7,11.3%,7,77.8%,2,22.2%,270,95.7%,12,4.3%,17,89.5%,2,10.5%,100,91.7%,9,8.3%,92,91.1%,9,8.9%,130,89.7%,15,10.3%,70,85.4%,12,14.6%,259,83.3%,52,16.7%,22,100.0%
Leicestershire,3,100.0%,0,0.0%,145,80.6%,35,19.4%,14,82.4%,3,17.6%,27,87.1%,4,12.9%,2,50.0%,2,50.0%,139,90.8%,14,9.2%,11,84.6%,2,15.4%,23,82.1%,5,17.9%,40,81.6%,9,18.4%,36,81.8%,8,18.2%,13,81.3%,3,18.8%,126,76.8%,38,23.2%,10,100.0%
Lincolnshire,2,66.7%,1,33.3%,121,83.4%,24,16.6%,14,93.3%,1,6.7%,21,95.5%,1,4.5%,5,83.3%,1,16.7%,122,94.6%,7,5.4%,2,33.3%,4,66.7%,24,88.9%,3,11.1%,38,95.0%,2,5.0%,55,96.5%,2,3.5%,20,83.3%,4,16.7%,141,86.0%,23,14.0%,6,100.0%
Merseyside,2,66.7%,1,33.3%,411,79.2%,108,20.8%,23,74.2%,8,25.8%,29,90.6%,3,9.4%,6,66.7%,3,33.3%,262,94.9%,14,5.1%,10,76.9%,3,23.1%,80,94.1%,5,5.9%,247,94.6%,14,5.4%,140,85.9%,23,14.1%,52,74.3%,18,25.7%,216,86.7%,33,13.3%,8,100.0%
Metropolitan and City,11,84.6%,2,15.4%,"1,454",65.5%,766,34.5%,130,63.1%,76,36.9%,227,82.5%,48,17.5%,122,76.7%,37,23.3%,"1,069",87.6%,152,12.4%,198,83.2%,40,16.8%,335,85.5%,57,14.5%,"1,020",93.6%,70,6.4%,513,80.0%,128,20.0%,538,81.8%,120,18.2%,"1,457",74.8%,491,25.2%,253,100.0%
Norfolk,0,-,0,-,231,76.0%,73,24.0%,10,100.0%,0,0.0%,22,100.0%,0,0.0%,3,60.0%,2,40.0%,120,95.2%,6,4.8%,5,100.0%,0,0.0%,32,76.2%,10,23.8%,56,100.0%,0,0.0%,85,89.5%,10,10.5%,10,100.0%,0,0.0%,137,89.5%,16,10.5%,7,100.0%
Northamptonshire,0,-,0,-,145,72.5%,55,27.5%,14,82.4%,3,17.6%,14,87.5%,2,12.5%,4,57.1%,3,42.9%,115,87.1%,17,12.9%,9,64.3%,5,35.7%,28,84.8%,5,15.2%,33,100.0%,0,0.0%,27,75.0%,9,25.0%,12,100.0%,0,0.0%,116,79.5%,30,20.5%,12,100.0%
Northumbria,0,0.0%,1,100.0%,293,74.0%,103,26.0%,25,80.6%,6,19.4%,51,82.3%,11,17.7%,9,75.0%,3,25.0%,428,92.6%,34,7.4%,27,90.0%,3,10.0%,114,83.2%,23,16.8%,76,92.7%,6,7.3%,192,83.8%,37,16.2%,35,76.1%,11,23.9%,226,81.0%,53,19.0%,34,100.0%
North Wales,2,100.0%,0,0.0%,155,79.1%,41,20.9%,11,78.6%,3,21.4%,17,89.5%,2,10.5%,6,100.0%,0,0.0%,159,96.4%,6,3.6%,9,75.0%,3,25.0%,42,85.7%,7,14.3%,46,90.2%,5,9.8%,65,92.9%,5,7.1%,10,90.9%,1,9.1%,113,81.9%,25,18.1%,6,100.0%
North Yorkshire,1,50.0%,1,50.0%,139,84.8%,25,15.2%,8,88.9%,1,11.1%,20,80.0%,5,20.0%,0,0,0,0,140,95.2%,7,4.8%,9,90.0%,1,10.0%,45,84.9%,8,15.1%,51,94.4%,3,5.6%,81,93.1%,6,6.9%,13,86.7%,2,13.3%,145,92.9%,11,7.1%,4,100.0%
Nottinghamshire,5,38.5%,8,61.5%,216,73.7%,77,26.3%,15,78.9%,4,21.1%,21,77.8%,6,22.2%,19,90.5%,2,9.5%,268,89.6%,31,10.4%,20,90.9%,2,9.1%,54,83.1%,11,16.9%,122,93.1%,9,6.9%,77,85.6%,13,14.4%,46,82.1%,10,17.9%,169,83.7%,33,16.3%,20,100.0%
South Wales,3,100.0%,0,0.0%,391,80.8%,93,19.2%,36,78.3%,10,21.7%,56,81.2%,13,18.8%,12,80.0%,3,20.0%,264,94.6%,15,5.4%,15,100.0%,0,0.0%,63,81.8%,14,18.2%,162,94.7%,9,5.3%,143,84.1%,27,15.9%,11,100.0%,0,0.0%,602,93.8%,40,6.2%,17,100.0%
South Yorkshire,1,100.0%,0,0.0%,207,72.4%,79,27.6%,9,75.0%,3,25.0%,45,97.8%,1,2.2%,6,60.0%,4,40.0%,333,93.0%,25,7.0%,28,82.4%,6,17.6%,82,80.4%,20,19.6%,104,93.7%,7,6.3%,102,87.2%,15,12.8%,30,81.1%,7,18.9%,163,88.6%,21,11.4%,17,100.0%
Staffordshire,2,100.0%,0,0.0%,220,78.0%,62,22.0%,29,76.3%,9,23.7%,24,80.0%,6,20.0%,9,69.2%,4,30.8%,165,92.2%,14,7.8%,12,85.7%,2,14.3%,64,90.1%,7,9.9%,66,94.3%,4,5.7%,42,76.4%,13,23.6%,40,83.3%,8,16.7%,193,79.8%,49,20.2%,8,100.0%
Suffolk,1,100.0%,0,0.0%,131,83.4%,26,16.6%,10,90.9%,1,9.1%,6,85.7%,1,14.3%,2,100.0%,0,0.0%,73,94.8%,4,5.2%,7,100.0%,0,0.0%,12,70.6%,5,29.4%,33,91.7%,3,8.3%,48,85.7%,8,14.3%,12,80.0%,3,20.0%,84,89.4%,10,10.6%,10,100.0%
Surrey,1,100.0%,0,0.0%,125,74.4%,43,25.6%,8,66.7%,4,33.3%,11,61.1%,7,38.9%,5,100.0%,0,0.0%,88,95.7%,4,4.3%,3,100.0%,0,0.0%,34,85.0%,6,15.0%,44,83.0%,9,17.0%,31,86.1%,5,13.9%,15,83.3%,3,16.7%,138,89.0%,17,11.0%,11,100.0%
Sussex,2,100.0%,0,0.0%,242,76.1%,76,23.9%,32,71.1%,13,28.9%,32,88.9%,4,11.1%,7,87.5%,1,12.5%,195,89.9%,22,10.1%,11,68.8%,5,31.3%,44,91.7%,4,8.3%,92,92.0%,8,8.0%,67,77.9%,19,22.1%,25,83.3%,5,16.7%,203,86.4%,32,13.6%,26,100.0%
Thames Valley,3,100.0%,0,0.0%,452,75.2%,149,24.8%,52,74.3%,18,25.7%,45,80.4%,11,19.6%,17,73.9%,6,26.1%,339,89.7%,39,10.3%,29,85.3%,5,14.7%,59,78.7%,16,21.3%,167,93.3%,12,6.7%,131,81.4%,30,18.6%,32,66.7%,16,33.3%,325,86.4%,51,13.6%,24,100.0%
Warwickshire,0,-,0,-,63,74.1%,22,25.9%,11,84.6%,2,15.4%,14,100.0%,0,0.0%,4,100.0%,0,0.0%,73,92.4%,6,7.6%,1,100.0%,0,0.0%,18,90.0%,2,10.0%,18,94.7%,1,5.3%,18,90.0%,2,10.0%,11,73.3%,4,26.7%,69,89.6%,8,10.4%,11,100.0%
West Mercia,1,100.0%,0,0.0%,249,82.7%,52,17.3%,31,68.9%,14,31.1%,25,96.2%,1,3.8%,1,100.0%,0,0.0%,160,89.4%,19,10.6%,5,71.4%,2,28.6%,45,84.9%,8,15.1%,55,94.8%,3,5.2%,51,87.9%,7,12.1%,32,80.0%,8,20.0%,166,83.0%,34,17.0%,8,100.0%
West Midlands,2,100.0%,0,0.0%,607,77.6%,175,22.4%,52,73.2%,19,26.8%,66,83.5%,13,16.5%,53,80.3%,13,19.7%,650,90.7%,67,9.3%,95,87.2%,14,12.8%,119,83.8%,23,16.2%,185,92.0%,16,8.0%,233,83.2%,47,16.8%,137,85.6%,23,14.4%,387,81.0%,91,19.0%,50,100.0%
West Yorkshire,5,83.3%,1,16.7%,497,73.7%,177,26.3%,48,65.8%,25,34.2%,60,78.9%,16,21.1%,24,88.9%,3,11.1%,330,89.2%,40,10.8%,22,71.0%,9,29.0%,114,85.7%,19,14.3%,127,86.4%,20,13.6%,181,85.8%,30,14.2%,82,83.7%,16,16.3%,335,84.8%,60,15.2%,33,100.0%
Wiltshire,1,100.0%,0,0.0%,120,79.5%,31,20.5%,4,57.1%,3,42.9%,8,72.7%,3,27.3%,5,100.0%,0,0.0%,80,97.6%,2,2.4%,3,50.0%,3,50.0%,26,86.7%,4,13.3%,48,100.0%,0,0.0%,32,80.0%,8,20.0%,2,66.7%,1,33.3%,62,89.9%,7,10.1%,6,100.0%
