,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Dyfed Powys,1,100.0%,0,0.0%,64,65.3%,34,34.7%,8,100.0%,0,0.0%,10,76.9%,3,23.1%,0,0,0,0,51,83.6%,10,16.4%,6,60.0%,4,40.0%,14,70.0%,6,30.0%,69,95.8%,3,4.2%,31,93.9%,2,6.1%,2,100.0%,0,0.0%,68,81.0%,16,19.0%,1,100.0%
Essex,0,-,0,-,294,76.0%,93,24.0%,38,70.4%,16,29.6%,45,90.0%,5,10.0%,12,75.0%,4,25.0%,233,91.7%,21,8.3%,23,95.8%,1,4.2%,73,93.6%,5,6.4%,109,98.2%,2,1.8%,51,85.0%,9,15.0%,36,76.6%,11,23.4%,222,87.1%,33,12.9%,20,100.0%
Gloucestershire,0,-,0,-,74,80.4%,18,19.6%,4,100.0%,0,0.0%,27,100.0%,0,0.0%,5,71.4%,2,28.6%,74,89.2%,9,10.8%,6,66.7%,3,33.3%,22,91.7%,2,8.3%,35,94.6%,2,5.4%,9,64.3%,5,35.7%,26,78.8%,7,21.2%,61,89.7%,7,10.3%,8,100.0%
GreaterManchester,3,100.0%,0,0.0%,700,81.7%,157,18.3%,52,65.0%,28,35.0%,91,91.0%,9,9.0%,33,80.5%,8,19.5%,473,95.6%,22,4.4%,43,89.6%,5,10.4%,140,89.7%,16,10.3%,207,94.1%,13,5.9%,267,85.6%,45,14.4%,47,83.9%,9,16.1%,373,84.4%,69,15.6%,21,100.0%
Gwent,2,100.0%,0,0.0%,111,78.7%,30,21.3%,11,91.7%,1,8.3%,12,100.0%,0,0.0%,6,85.7%,1,14.3%,119,93.7%,8,6.3%,8,100.0%,0,0.0%,41,91.1%,4,8.9%,49,92.5%,4,7.5%,66,86.8%,10,13.2%,3,100.0%,0,0.0%,77,88.5%,10,11.5%,2,100.0%
Hampshire,3,100.0%,0,0.0%,299,79.1%,79,20.9%,40,65.6%,21,34.4%,41,80.4%,10,19.6%,11,91.7%,1,8.3%,287,90.5%,30,9.5%,12,80.0%,3,20.0%,67,84.8%,12,15.2%,113,92.6%,9,7.4%,107,84.9%,19,15.1%,26,72.2%,10,27.8%,227,81.9%,50,18.1%,13,100.0%
Hertfordshire,0,0.0%,1,100.0%,208,75.6%,67,24.4%,11,91.7%,1,8.3%,21,75.0%,7,25.0%,10,55.6%,8,44.4%,182,91.0%,18,9.0%,8,88.9%,1,11.1%,28,87.5%,4,12.5%,81,95.3%,4,4.7%,57,86.4%,9,13.6%,18,72.0%,7,28.0%,167,79.9%,42,20.1%,7,100.0%
Humberside,1,50.0%,1,50.0%,193,84.6%,35,15.4%,23,79.3%,6,20.7%,36,87.8%,5,12.2%,11,91.7%,1,8.3%,237,93.7%,16,6.3%,14,93.3%,1,6.7%,49,86.0%,8,14.0%,66,90.4%,7,9.6%,80,89.9%,9,10.1%,20,90.9%,2,9.1%,123,86.6%,19,13.4%,17,100.0%
Kent,0,0.0%,1,100.0%,267,75.6%,86,24.4%,33,78.6%,9,21.4%,68,89.5%,8,10.5%,15,75.0%,5,25.0%,324,93.1%,24,6.9%,25,78.1%,7,21.9%,67,82.7%,14,17.3%,99,92.5%,8,7.5%,82,73.9%,29,26.1%,77,90.6%,8,9.4%,202,91.0%,20,9.0%,25,100.0%
Lancashire,2,100.0%,0,0.0%,323,77.6%,93,22.4%,22,59.5%,15,40.5%,76,92.7%,6,7.3%,20,90.9%,2,9.1%,449,91.6%,41,8.4%,25,89.3%,3,10.7%,104,93.7%,7,6.3%,122,96.8%,4,3.2%,162,86.2%,26,13.8%,115,83.9%,22,16.1%,327,85.4%,56,14.6%,7,100.0%
Leicestershire,0,0.0%,1,100.0%,176,77.9%,50,22.1%,12,75.0%,4,25.0%,33,94.3%,2,5.7%,10,90.9%,1,9.1%,174,91.1%,17,8.9%,19,79.2%,5,20.8%,40,90.9%,4,9.1%,44,89.8%,5,10.2%,40,74.1%,14,25.9%,20,83.3%,4,16.7%,128,86.5%,20,13.5%,10,100.0%
Lincolnshire,1,50.0%,1,50.0%,107,82.3%,23,17.7%,0,0,0,0,13,100.0%,0,0.0%,3,60.0%,2,40.0%,96,90.6%,10,9.4%,9,90.0%,1,10.0%,26,78.8%,7,21.2%,36,92.3%,3,7.7%,55,91.7%,5,8.3%,14,63.6%,8,36.4%,139,84.2%,26,15.8%,15,100.0%
Merseyside,4,100.0%,0,0.0%,318,79.7%,81,20.3%,34,70.8%,14,29.2%,45,97.8%,1,2.2%,8,88.9%,1,11.1%,298,96.8%,10,3.2%,14,70.0%,6,30.0%,63,78.8%,17,21.3%,243,93.5%,17,6.5%,112,82.4%,24,17.6%,112,88.9%,14,11.1%,183,83.9%,35,16.1%,11,100.0%
Metropolitan and City,13,72.2%,5,27.8%,"1,426",67.9%,675,32.1%,155,71.4%,62,28.6%,216,79.7%,55,20.3%,106,77.9%,30,22.1%,"1,285",89.4%,153,10.6%,211,84.1%,40,15.9%,311,82.3%,67,17.7%,"1,045",92.2%,89,7.8%,656,79.3%,171,20.7%,489,81.8%,109,18.2%,"1,358",79.3%,354,20.7%,146,100.0%
Norfolk,0,-,0,-,203,85.3%,35,14.7%,6,100.0%,0,0.0%,18,85.7%,3,14.3%,6,100.0%,0,0.0%,143,91.7%,13,8.3%,4,80.0%,1,20.0%,53,88.3%,7,11.7%,54,94.7%,3,5.3%,106,89.8%,12,10.2%,12,85.7%,2,14.3%,118,90.8%,12,9.2%,9,100.0%
Northamptonshire,0,-,0,-,122,81.9%,27,18.1%,9,45.0%,11,55.0%,18,75.0%,6,25.0%,6,54.5%,5,45.5%,137,90.1%,15,9.9%,7,100.0%,0,0.0%,37,86.0%,6,14.0%,40,100.0%,0,0.0%,45,84.9%,8,15.1%,19,76.0%,6,24.0%,120,90.9%,12,9.1%,6,100.0%
Northumbria,2,100.0%,0,0.0%,254,66.1%,130,33.9%,25,80.6%,6,19.4%,55,82.1%,12,17.9%,10,83.3%,2,16.7%,460,90.4%,49,9.6%,24,85.7%,4,14.3%,113,84.3%,21,15.7%,108,91.5%,10,8.5%,243,78.9%,65,21.1%,73,80.2%,18,19.8%,248,82.7%,52,17.3%,25,100.0%
North Wales,0,-,0,-,142,77.2%,42,22.8%,16,61.5%,10,38.5%,28,87.5%,4,12.5%,5,100.0%,0,0.0%,136,96.5%,5,3.5%,8,80.0%,2,20.0%,28,82.4%,6,17.6%,36,94.7%,2,5.3%,86,96.6%,3,3.4%,15,83.3%,3,16.7%,86,85.1%,15,14.9%,10,100.0%
North Yorkshire,0,-,0,-,112,83.6%,22,16.4%,1,50.0%,1,50.0%,23,85.2%,4,14.8%,3,75.0%,1,25.0%,130,87.2%,19,12.8%,14,70.0%,6,30.0%,36,90.0%,4,10.0%,40,90.9%,4,9.1%,55,90.2%,6,9.8%,24,88.9%,3,11.1%,130,86.1%,21,13.9%,4,100.0%
Nottinghamshire,0,-,0,-,234,73.8%,83,26.2%,14,77.8%,4,22.2%,25,73.5%,9,26.5%,9,90.0%,1,10.0%,248,90.5%,26,9.5%,11,73.3%,4,26.7%,89,86.4%,14,13.6%,113,91.9%,10,8.1%,96,82.1%,21,17.9%,44,81.5%,10,18.5%,141,88.7%,18,11.3%,19,100.0%
South Wales,1,100.0%,0,0.0%,323,69.8%,140,30.2%,17,54.8%,14,45.2%,51,87.9%,7,12.1%,10,52.6%,9,47.4%,281,91.5%,26,8.5%,15,93.8%,1,6.3%,86,94.5%,5,5.5%,119,90.8%,12,9.2%,145,85.3%,25,14.7%,8,61.5%,5,38.5%,658,89.3%,79,10.7%,13,100.0%
South Yorkshire,0,-,0,-,236,78.9%,63,21.1%,10,83.3%,2,16.7%,57,87.7%,8,12.3%,17,73.9%,6,26.1%,338,92.9%,26,7.1%,15,88.2%,2,11.8%,82,83.7%,16,16.3%,96,96.0%,4,4.0%,98,92.5%,8,7.5%,34,82.9%,7,17.1%,157,89.2%,19,10.8%,12,100.0%
Staffordshire,2,100.0%,0,0.0%,225,77.1%,67,22.9%,14,70.0%,6,30.0%,42,87.5%,6,12.5%,10,83.3%,2,16.7%,219,91.3%,21,8.8%,11,91.7%,1,8.3%,58,86.6%,9,13.4%,88,95.7%,4,4.3%,78,75.7%,25,24.3%,33,97.1%,1,2.9%,156,76.8%,47,23.2%,14,100.0%
Suffolk,0,-,0,-,139,83.7%,27,16.3%,8,88.9%,1,11.1%,16,84.2%,3,15.8%,1,100.0%,0,0.0%,98,95.1%,5,4.9%,5,100.0%,0,0.0%,38,92.7%,3,7.3%,37,94.9%,2,5.1%,52,85.2%,9,14.8%,7,77.8%,2,22.2%,107,86.3%,17,13.7%,5,100.0%
Surrey,0,-,0,-,162,74.0%,57,26.0%,7,58.3%,5,41.7%,13,72.2%,5,27.8%,4,57.1%,3,42.9%,93,91.2%,9,8.8%,13,86.7%,2,13.3%,23,69.7%,10,30.3%,64,97.0%,2,3.0%,48,76.2%,15,23.8%,22,68.8%,10,31.3%,121,88.3%,16,11.7%,7,100.0%
Sussex,1,100.0%,0,0.0%,270,80.1%,67,19.9%,30,75.0%,10,25.0%,30,90.9%,3,9.1%,10,76.9%,3,23.1%,224,89.6%,26,10.4%,27,90.0%,3,10.0%,65,83.3%,13,16.7%,91,88.3%,12,11.7%,83,79.8%,21,20.2%,63,87.5%,9,12.5%,228,89.1%,28,10.9%,16,100.0%
Thames Valley,2,100.0%,0,0.0%,381,70.0%,163,30.0%,45,63.4%,26,36.6%,47,87.0%,7,13.0%,15,68.2%,7,31.8%,321,90.4%,34,9.6%,29,87.9%,4,12.1%,66,82.5%,14,17.5%,142,94.7%,8,5.3%,127,83.6%,25,16.4%,26,60.5%,17,39.5%,258,84.6%,47,15.4%,25,100.0%
Warwickshire,0,0.0%,1,100.0%,66,77.6%,19,22.4%,5,83.3%,1,16.7%,9,90.0%,1,10.0%,2,33.3%,4,66.7%,73,89.0%,9,11.0%,6,100.0%,0,0.0%,10,83.3%,2,16.7%,26,92.9%,2,7.1%,16,69.6%,7,30.4%,25,86.2%,4,13.8%,81,80.2%,20,19.8%,3,100.0%
West Mercia,5,100.0%,0,0.0%,223,77.7%,64,22.3%,22,73.3%,8,26.7%,19,73.1%,7,26.9%,7,70.0%,3,30.0%,189,94.0%,12,6.0%,11,78.6%,3,21.4%,46,92.0%,4,8.0%,42,95.5%,2,4.5%,52,83.9%,10,16.1%,35,89.7%,4,10.3%,146,89.6%,17,10.4%,2,100.0%
West Midlands,2,100.0%,0,0.0%,513,72.5%,195,27.5%,38,71.7%,15,28.3%,84,88.4%,11,11.6%,46,71.9%,18,28.1%,683,93.8%,45,6.2%,31,79.5%,8,20.5%,120,84.5%,22,15.5%,208,92.4%,17,7.6%,152,88.9%,19,11.1%,135,88.8%,17,11.2%,335,82.9%,69,17.1%,47,100.0%
West Yorkshire,8,88.9%,1,11.1%,470,74.5%,161,25.5%,51,75.0%,17,25.0%,61,70.1%,26,29.9%,22,73.3%,8,26.7%,447,90.5%,47,9.5%,34,73.9%,12,26.1%,102,91.1%,10,8.9%,152,93.3%,11,6.7%,145,87.3%,21,12.7%,56,86.2%,9,13.8%,314,82.8%,65,17.2%,24,100.0%
Wiltshire,1,100.0%,0,0.0%,139,82.2%,30,17.8%,15,75.0%,5,25.0%,7,100.0%,0,0.0%,3,100.0%,0,0.0%,105,88.2%,14,11.8%,5,100.0%,0,0.0%,28,90.3%,3,9.7%,39,90.7%,4,9.3%,63,87.5%,9,12.5%,5,62.5%,3,37.5%,71,85.5%,12,14.5%,2,100.0%
