,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Lancashire,3,100.0%,0,0.0%,281,76.8%,85,23.2%,35,77.8%,10,22.2%,55,93.2%,4,6.8%,9,69.2%,4,30.8%,237,95.2%,12,4.8%,21,84.0%,4,16.0%,79,84.0%,15,16.0%,92,92.0%,8,8.0%,121,87.7%,17,12.3%,58,86.6%,9,13.4%,218,79.9%,55,20.1%,15,100.0%
Leicestershire,1,100.0%,0,0.0%,173,81.2%,40,18.8%,14,66.7%,7,33.3%,28,82.4%,6,17.6%,2,100.0%,0,0.0%,143,94.1%,9,5.9%,11,91.7%,1,8.3%,37,88.1%,5,11.9%,43,82.7%,9,17.3%,45,88.2%,6,11.8%,12,85.7%,2,14.3%,162,83.5%,32,16.5%,12,100.0%
Lincolnshire,0,0.0%,1,100.0%,109,77.3%,32,22.7%,12,92.3%,1,7.7%,16,84.2%,3,15.8%,3,100.0%,0,0.0%,122,90.4%,13,9.6%,5,71.4%,2,28.6%,21,84.0%,4,16.0%,40,90.9%,4,9.1%,41,85.4%,7,14.6%,25,89.3%,3,10.7%,122,78.2%,34,21.8%,10,100.0%
Merseyside,1,100.0%,0,0.0%,259,78.7%,70,21.3%,25,73.5%,9,26.5%,22,88.0%,3,12.0%,10,66.7%,5,33.3%,182,94.3%,11,5.7%,16,76.2%,5,23.8%,45,84.9%,8,15.1%,180,94.2%,11,5.8%,86,79.6%,22,20.4%,10,62.5%,6,37.5%,120,90.2%,13,9.8%,13,100.0%
Metropolitan and City,14,56.0%,11,44.0%,"1,245",62.7%,740,37.3%,128,71.5%,51,28.5%,171,81.8%,38,18.2%,58,65.9%,30,34.1%,891,84.4%,165,15.6%,180,87.0%,27,13.0%,282,78.3%,78,21.7%,835,93.9%,54,6.1%,446,78.5%,122,21.5%,432,82.1%,94,17.9%,"1,285",74.6%,438,25.4%,212,100.0%
Norfolk,0,-,0,-,177,76.6%,54,23.4%,5,83.3%,1,16.7%,14,73.7%,5,26.3%,3,100.0%,0,0.0%,119,96.7%,4,3.3%,10,100.0%,0,0.0%,46,88.5%,6,11.5%,51,92.7%,4,7.3%,79,84.9%,14,15.1%,24,75.0%,8,25.0%,117,85.4%,20,14.6%,11,100.0%
Northamptonshire,1,100.0%,0,0.0%,157,77.7%,45,22.3%,15,62.5%,9,37.5%,13,65.0%,7,35.0%,6,85.7%,1,14.3%,156,86.7%,24,13.3%,7,63.6%,4,36.4%,36,80.0%,9,20.0%,58,100.0%,0,0.0%,34,75.6%,11,24.4%,12,85.7%,2,14.3%,154,86.0%,25,14.0%,11,100.0%
Northumbria,2,100.0%,0,0.0%,362,77.8%,103,22.2%,25,61.0%,16,39.0%,42,76.4%,13,23.6%,8,61.5%,5,38.5%,435,93.5%,30,6.5%,18,94.7%,1,5.3%,134,84.3%,25,15.7%,114,95.8%,5,4.2%,194,84.3%,36,15.7%,34,82.9%,7,17.1%,251,83.1%,51,16.9%,11,100.0%
North Wales,0,-,0,-,171,81.4%,39,18.6%,14,58.3%,10,41.7%,21,95.5%,1,4.5%,2,100.0%,0,0.0%,127,91.4%,12,8.6%,10,76.9%,3,23.1%,37,88.1%,5,11.9%,45,91.8%,4,8.2%,53,96.4%,2,3.6%,8,88.9%,1,11.1%,110,90.2%,12,9.8%,3,100.0%
North Yorkshire,0,0.0%,1,100.0%,106,84.1%,20,15.9%,7,87.5%,1,12.5%,15,88.2%,2,11.8%,3,50.0%,3,50.0%,124,96.1%,5,3.9%,7,100.0%,0,0.0%,36,97.3%,1,2.7%,40,97.6%,1,2.4%,71,86.6%,11,13.4%,18,100.0%,0,0.0%,107,93.0%,8,7.0%,6,100.0%
Nottinghamshire,0,-,0,-,277,77.2%,82,22.8%,17,77.3%,5,22.7%,24,77.4%,7,22.6%,16,94.1%,1,5.9%,257,87.7%,36,12.3%,20,71.4%,8,28.6%,73,86.9%,11,13.1%,120,93.8%,8,6.3%,78,78.0%,22,22.0%,56,82.4%,12,17.6%,179,88.6%,23,11.4%,11,100.0%
South Wales,0,-,0,-,354,77.3%,104,22.7%,22,62.9%,13,37.1%,47,87.0%,7,13.0%,10,58.8%,7,41.2%,248,94.7%,14,5.3%,22,95.7%,1,4.3%,60,85.7%,10,14.3%,122,97.6%,3,2.4%,138,85.2%,24,14.8%,19,86.4%,3,13.6%,621,90.0%,69,10.0%,14,100.0%
South Yorkshire,1,100.0%,0,0.0%,208,73.0%,77,27.0%,9,69.2%,4,30.8%,60,90.9%,6,9.1%,10,90.9%,1,9.1%,237,92.2%,20,7.8%,12,100.0%,0,0.0%,71,82.6%,15,17.4%,92,97.9%,2,2.1%,100,87.7%,14,12.3%,23,92.0%,2,8.0%,158,87.8%,22,12.2%,17,100.0%
Staffordshire,0,-,0,-,160,84.7%,29,15.3%,21,91.3%,2,8.7%,25,78.1%,7,21.9%,1,100.0%,0,0.0%,128,91.4%,12,8.6%,8,100.0%,0,0.0%,42,87.5%,6,12.5%,73,96.1%,3,3.9%,45,88.2%,6,11.8%,38,86.4%,6,13.6%,144,76.2%,45,23.8%,15,100.0%
Suffolk,0,-,0,-,115,78.8%,31,21.2%,6,100.0%,0,0.0%,7,100.0%,0,0.0%,2,100.0%,0,0.0%,93,93.0%,7,7.0%,4,100.0%,0,0.0%,25,86.2%,4,13.8%,51,98.1%,1,1.9%,47,87.0%,7,13.0%,22,95.7%,1,4.3%,83,94.3%,5,5.7%,4,100.0%
Surrey,0,-,0,-,140,73.7%,50,26.3%,10,100.0%,0,0.0%,11,84.6%,2,15.4%,5,100.0%,0,0.0%,74,86.0%,12,14.0%,8,88.9%,1,11.1%,15,88.2%,2,11.8%,42,97.7%,1,2.3%,53,82.8%,11,17.2%,11,78.6%,3,21.4%,109,90.1%,12,9.9%,12,100.0%
Sussex,0,-,0,-,240,77.7%,69,22.3%,25,71.4%,10,28.6%,25,86.2%,4,13.8%,5,62.5%,3,37.5%,194,96.5%,7,3.5%,20,83.3%,4,16.7%,36,90.0%,4,10.0%,81,92.0%,7,8.0%,73,86.9%,11,13.1%,26,81.3%,6,18.8%,186,91.6%,17,8.4%,22,100.0%
Thames Valley,2,100.0%,0,0.0%,326,75.8%,104,24.2%,36,62.1%,22,37.9%,42,84.0%,8,16.0%,7,43.8%,9,56.3%,283,91.6%,26,8.4%,13,86.7%,2,13.3%,56,88.9%,7,11.1%,148,91.9%,13,8.1%,117,84.2%,22,15.8%,30,76.9%,9,23.1%,210,89.7%,24,10.3%,24,100.0%
Warwickshire,0,-,0,-,67,76.1%,21,23.9%,10,83.3%,2,16.7%,5,100.0%,0,0.0%,0,0.0%,1,100.0%,64,87.7%,9,12.3%,3,50.0%,3,50.0%,20,100.0%,0,0.0%,19,95.0%,1,5.0%,14,77.8%,4,22.2%,16,88.9%,2,11.1%,58,92.1%,5,7.9%,1,100.0%
West Mercia,2,66.7%,1,33.3%,181,79.7%,46,20.3%,15,83.3%,3,16.7%,19,86.4%,3,13.6%,11,91.7%,1,8.3%,150,96.2%,6,3.8%,4,57.1%,3,42.9%,35,94.6%,2,5.4%,55,93.2%,4,6.8%,44,91.7%,4,8.3%,17,81.0%,4,19.0%,150,89.8%,17,10.2%,9,100.0%
West Midlands,2,66.7%,1,33.3%,561,75.2%,185,24.8%,57,77.0%,17,23.0%,74,84.1%,14,15.9%,31,70.5%,13,29.5%,548,91.5%,51,8.5%,59,90.8%,6,9.2%,97,82.9%,20,17.1%,193,92.3%,16,7.7%,188,82.8%,39,17.2%,140,92.7%,11,7.3%,344,81.9%,76,18.1%,46,100.0%
West Yorkshire,5,45.5%,6,54.5%,396,75.1%,131,24.9%,65,73.9%,23,26.1%,61,84.7%,11,15.3%,13,72.2%,5,27.8%,301,90.4%,32,9.6%,40,87.0%,6,13.0%,107,91.5%,10,8.5%,115,90.6%,12,9.4%,157,87.7%,22,12.3%,51,92.7%,4,7.3%,279,85.8%,46,14.2%,45,100.0%
Wiltshire,0,-,0,-,91,83.5%,18,16.5%,7,63.6%,4,36.4%,8,88.9%,1,11.1%,1,100.0%,0,0.0%,95,88.0%,13,12.0%,3,75.0%,1,25.0%,22,88.0%,3,12.0%,28,96.6%,1,3.4%,41,83.7%,8,16.3%,6,100.0%,0,0.0%,62,93.9%,4,6.1%,6,100.0%
