,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Kent,3,100.0%,0,0.0%,267,79.7%,68,20.3%,26,83.9%,5,16.1%,43,89.6%,5,10.4%,11,100.0%,0,0.0%,174,84.9%,31,15.1%,22,88.0%,3,12.0%,44,83.0%,9,17.0%,88,93.6%,6,6.4%,50,86.2%,8,13.8%,14,82.4%,3,17.6%,142,85.0%,25,15.0%,32,100.0%
Lancashire,1,33.3%,2,66.7%,255,75.2%,84,24.8%,5,100.0%,0,0.0%,56,83.6%,11,16.4%,23,95.8%,1,4.2%,199,92.1%,17,7.9%,9,75.0%,3,25.0%,64,87.7%,9,12.3%,109,91.6%,10,8.4%,109,83.2%,22,16.8%,8,80.0%,2,20.0%,215,80.8%,51,19.2%,16,100.0%
Leicestershire,2,100.0%,0,0.0%,167,81.5%,38,18.5%,15,62.5%,9,37.5%,11,73.3%,4,26.7%,6,100.0%,0,0.0%,121,91.0%,12,9.0%,14,66.7%,7,33.3%,33,84.6%,6,15.4%,51,91.1%,5,8.9%,40,87.0%,6,13.0%,6,85.7%,1,14.3%,121,86.4%,19,13.6%,22,100.0%
Lincolnshire,1,100.0%,0,0.0%,115,77.7%,33,22.3%,16,84.2%,3,15.8%,20,100.0%,0,0.0%,3,100.0%,0,0.0%,87,91.6%,8,8.4%,6,100.0%,0,0.0%,26,92.9%,2,7.1%,18,81.8%,4,18.2%,46,83.6%,9,16.4%,1,100.0%,0,0.0%,97,84.3%,18,15.7%,4,100.0%
Merseyside,3,60.0%,2,40.0%,281,80.5%,68,19.5%,32,71.1%,13,28.9%,21,80.8%,5,19.2%,15,78.9%,4,21.1%,226,94.2%,14,5.8%,29,93.5%,2,6.5%,64,88.9%,8,11.1%,175,92.1%,15,7.9%,82,85.4%,14,14.6%,37,75.5%,12,24.5%,193,89.4%,23,10.6%,15,100.0%
Metropolitan and City,22,81.5%,5,18.5%,"1,715",68.9%,774,31.1%,149,71.0%,61,29.0%,202,78.6%,55,21.4%,82,81.2%,19,18.8%,967,85.4%,165,14.6%,261,83.1%,53,16.9%,219,77.9%,62,22.1%,949,92.2%,80,7.8%,449,73.5%,162,26.5%,138,86.3%,22,13.8%,996,77.4%,291,22.6%,233,100.0%
Norfolk,0,-,0,-,214,82.6%,45,17.4%,6,100.0%,0,0.0%,22,91.7%,2,8.3%,1,33.3%,2,66.7%,85,92.4%,7,7.6%,11,91.7%,1,8.3%,32,76.2%,10,23.8%,60,95.2%,3,4.8%,71,89.9%,8,10.1%,15,100.0%,0,0.0%,94,91.3%,9,8.7%,14,100.0%
Northamptonshire,0,-,0,-,142,75.9%,45,24.1%,10,76.9%,3,23.1%,10,58.8%,7,41.2%,3,75.0%,1,25.0%,90,90.9%,9,9.1%,12,75.0%,4,25.0%,24,70.6%,10,29.4%,36,87.8%,5,12.2%,34,81.0%,8,19.0%,9,90.0%,1,10.0%,105,78.9%,28,21.1%,20,100.0%
Northumbria,7,100.0%,0,0.0%,308,79.8%,78,20.2%,53,61.6%,33,38.4%,61,91.0%,6,9.0%,8,80.0%,2,20.0%,347,92.0%,30,8.0%,44,84.6%,8,15.4%,80,80.0%,20,20.0%,79,88.8%,10,11.2%,160,81.6%,36,18.4%,13,92.9%,1,7.1%,167,82.7%,35,17.3%,14,100.0%
North Wales,1,100.0%,0,0.0%,153,82.7%,32,17.3%,20,80.0%,5,20.0%,16,76.2%,5,23.8%,0,0.0%,1,100.0%,148,97.4%,4,2.6%,8,88.9%,1,11.1%,36,92.3%,3,7.7%,39,100.0%,0,0.0%,55,87.3%,8,12.7%,5,71.4%,2,28.6%,104,88.9%,13,11.1%,10,100.0%
North Yorkshire,1,100.0%,0,0.0%,110,85.3%,19,14.7%,7,100.0%,0,0.0%,37,94.9%,2,5.1%,4,80.0%,1,20.0%,104,94.5%,6,5.5%,19,100.0%,0,0.0%,36,81.8%,8,18.2%,53,89.8%,6,10.2%,40,85.1%,7,14.9%,5,71.4%,2,28.6%,100,86.2%,16,13.8%,8,100.0%
Nottinghamshire,4,100.0%,0,0.0%,268,77.2%,79,22.8%,15,78.9%,4,21.1%,43,74.1%,15,25.9%,14,82.4%,3,17.6%,163,87.6%,23,12.4%,17,89.5%,2,10.5%,56,83.6%,11,16.4%,134,90.5%,14,9.5%,74,84.1%,14,15.9%,21,75.0%,7,25.0%,155,92.3%,13,7.7%,15,100.0%
South Wales,4,100.0%,0,0.0%,374,78.1%,105,21.9%,16,53.3%,14,46.7%,46,93.9%,3,6.1%,15,93.8%,1,6.3%,261,94.6%,15,5.4%,17,85.0%,3,15.0%,57,81.4%,13,18.6%,185,94.4%,11,5.6%,94,78.3%,26,21.7%,15,93.8%,1,6.3%,429,85.8%,71,14.2%,17,100.0%
South Yorkshire,2,66.7%,1,33.3%,207,80.5%,50,19.5%,6,75.0%,2,25.0%,45,95.7%,2,4.3%,7,63.6%,4,36.4%,273,94.1%,17,5.9%,15,88.2%,2,11.8%,76,93.8%,5,6.2%,88,96.7%,3,3.3%,79,87.8%,11,12.2%,14,100.0%,0,0.0%,165,93.2%,12,6.8%,27,100.0%
Staffordshire,1,100.0%,0,0.0%,217,81.3%,50,18.7%,23,92.0%,2,8.0%,22,88.0%,3,12.0%,1,100.0%,0,0.0%,173,92.5%,14,7.5%,11,91.7%,1,8.3%,45,81.8%,10,18.2%,78,90.7%,8,9.3%,59,89.4%,7,10.6%,8,100.0%,0,0.0%,154,84.2%,29,15.8%,8,100.0%
Suffolk,2,100.0%,0,0.0%,125,83.3%,25,16.7%,9,81.8%,2,18.2%,10,76.9%,3,23.1%,5,100.0%,0,0.0%,73,90.1%,8,9.9%,6,75.0%,2,25.0%,18,81.8%,4,18.2%,46,97.9%,1,2.1%,36,85.7%,6,14.3%,9,100.0%,0,0.0%,76,95.0%,4,5.0%,5,100.0%
Surrey,0,-,0,-,120,80.0%,30,20.0%,10,58.8%,7,41.2%,7,70.0%,3,30.0%,2,100.0%,0,0.0%,52,94.5%,3,5.5%,10,66.7%,5,33.3%,11,78.6%,3,21.4%,54,96.4%,2,3.6%,21,87.5%,3,12.5%,5,71.4%,2,28.6%,129,94.9%,7,5.1%,9,100.0%
Sussex,1,100.0%,0,0.0%,253,83.0%,52,17.0%,24,70.6%,10,29.4%,20,87.0%,3,13.0%,8,100.0%,0,0.0%,187,92.6%,15,7.4%,33,80.5%,8,19.5%,25,80.6%,6,19.4%,82,96.5%,3,3.5%,73,83.9%,14,16.1%,6,60.0%,4,40.0%,179,91.3%,17,8.7%,26,100.0%
Thames Valley,11,91.7%,1,8.3%,289,75.7%,93,24.3%,40,75.5%,13,24.5%,26,86.7%,4,13.3%,12,70.6%,5,29.4%,164,91.1%,16,8.9%,22,100.0%,0,0.0%,33,80.5%,8,19.5%,110,85.9%,18,14.1%,82,82.0%,18,18.0%,19,95.0%,1,5.0%,161,92.5%,13,7.5%,27,100.0%
Warwickshire,0,-,0,-,79,84.0%,15,16.0%,12,92.3%,1,7.7%,8,72.7%,3,27.3%,0,0,0,0,76,92.7%,6,7.3%,2,66.7%,1,33.3%,9,75.0%,3,25.0%,33,100.0%,0,0.0%,18,90.0%,2,10.0%,7,77.8%,2,22.2%,89,89.0%,11,11.0%,7,100.0%
West Mercia,1,100.0%,0,0.0%,216,80.6%,52,19.4%,26,74.3%,9,25.7%,11,84.6%,2,15.4%,4,80.0%,1,20.0%,137,94.5%,8,5.5%,18,90.0%,2,10.0%,48,92.3%,4,7.7%,49,89.1%,6,10.9%,49,84.5%,9,15.5%,19,100.0%,0,0.0%,191,83.0%,39,17.0%,7,100.0%
West Midlands,6,85.7%,1,14.3%,697,80.9%,165,19.1%,77,85.6%,13,14.4%,61,82.4%,13,17.6%,45,76.3%,14,23.7%,692,95.2%,35,4.8%,81,89.0%,10,11.0%,123,91.1%,12,8.9%,230,96.2%,9,3.8%,230,83.3%,46,16.7%,54,77.1%,16,22.9%,349,86.8%,53,13.2%,55,100.0%
West Yorkshire,4,66.7%,2,33.3%,564,81.0%,132,19.0%,61,72.6%,23,27.4%,75,88.2%,10,11.8%,30,85.7%,5,14.3%,290,92.7%,23,7.3%,21,72.4%,8,27.6%,109,87.9%,15,12.1%,143,94.7%,8,5.3%,98,83.1%,20,16.9%,24,80.0%,6,20.0%,223,88.1%,30,11.9%,33,100.0%
Wiltshire,1,100.0%,0,0.0%,114,86.4%,18,13.6%,6,75.0%,2,25.0%,9,90.0%,1,10.0%,0,0,0,0,94,92.2%,8,7.8%,3,42.9%,4,57.1%,23,100.0%,0,0.0%,32,100.0%,0,0.0%,27,87.1%,4,12.9%,8,100.0%,0,0.0%,60,96.8%,2,3.2%,9,100.0%
