,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,114,81.4%,26,18.6%,8,88.9%,1,11.1%,35,94.6%,2,5.4%,3,100.0%,0,0.0%,129,90.8%,13,9.2%,5,71.4%,2,28.6%,41,85.4%,7,14.6%,22,100.0%,0,0.0%,70,86.4%,11,13.6%,15,75.0%,5,25.0%,75,92.6%,6,7.4%,1,100.0%
Dyfed Powys,0,-,0,-,101,82.8%,21,17.2%,9,81.8%,2,18.2%,5,100.0%,0,0.0%,1,100.0%,0,0.0%,51,94.4%,3,5.6%,3,100.0%,0,0.0%,22,88.0%,3,12.0%,78,97.5%,2,2.5%,44,86.3%,7,13.7%,5,83.3%,1,16.7%,67,83.8%,13,16.3%,2,100.0%
Essex,2,100.0%,0,0.0%,249,74.3%,86,25.7%,37,64.9%,20,35.1%,23,92.0%,2,8.0%,11,73.3%,4,26.7%,158,87.3%,23,12.7%,12,75.0%,4,25.0%,56,86.2%,9,13.8%,67,82.7%,14,17.3%,38,70.4%,16,29.6%,28,80.0%,7,20.0%,195,70.9%,80,29.1%,20,100.0%
Gloucestershire,0,-,0,-,87,78.4%,24,21.6%,6,85.7%,1,14.3%,9,100.0%,0,0.0%,1,100.0%,0,0.0%,64,94.1%,4,5.9%,4,80.0%,1,20.0%,16,100.0%,0,0.0%,24,96.0%,1,4.0%,15,78.9%,4,21.1%,15,93.8%,1,6.3%,58,90.6%,6,9.4%,11,100.0%
GreaterManchester,2,66.7%,1,33.3%,705,76.4%,218,23.6%,59,62.8%,35,37.2%,83,90.2%,9,9.8%,30,88.2%,4,11.8%,495,92.4%,41,7.6%,48,82.8%,10,17.2%,185,91.1%,18,8.9%,169,93.9%,11,6.1%,196,87.5%,28,12.5%,93,90.3%,10,9.7%,477,79.8%,121,20.2%,28,100.0%
Gwent,3,75.0%,1,25.0%,145,81.5%,33,18.5%,8,66.7%,4,33.3%,14,87.5%,2,12.5%,6,85.7%,1,14.3%,106,90.6%,11,9.4%,4,100.0%,0,0.0%,32,88.9%,4,11.1%,51,98.1%,1,1.9%,52,91.2%,5,8.8%,9,90.0%,1,10.0%,67,91.8%,6,8.2%,4,100.0%
Hampshire,2,100.0%,0,0.0%,320,78.0%,90,22.0%,38,70.4%,16,29.6%,28,90.3%,3,9.7%,25,89.3%,3,10.7%,236,90.4%,25,9.6%,15,88.2%,2,11.8%,58,81.7%,13,18.3%,79,95.2%,4,4.8%,108,85.7%,18,14.3%,24,96.0%,1,4.0%,225,87.9%,31,12.1%,10,100.0%
Hertfordshire,1,100.0%,0,0.0%,181,71.8%,71,28.2%,6,85.7%,1,14.3%,29,87.9%,4,12.1%,8,88.9%,1,11.1%,191,88.8%,24,11.2%,20,87.0%,3,13.0%,42,80.8%,10,19.2%,86,95.6%,4,4.4%,52,82.5%,11,17.5%,30,81.1%,7,18.9%,189,82.2%,41,17.8%,21,100.0%
Humberside,0,-,0,-,206,85.5%,35,14.5%,26,66.7%,13,33.3%,23,85.2%,4,14.8%,8,100.0%,0,0.0%,203,91.0%,20,9.0%,11,91.7%,1,8.3%,34,89.5%,4,10.5%,60,92.3%,5,7.7%,87,90.6%,9,9.4%,30,78.9%,8,21.1%,126,85.7%,21,14.3%,11,100.0%
Kent,2,100.0%,0,0.0%,302,74.2%,105,25.8%,22,64.7%,12,35.3%,50,87.7%,7,12.3%,14,73.7%,5,26.3%,280,82.1%,61,17.9%,24,92.3%,2,7.7%,54,77.1%,16,22.9%,87,92.6%,7,7.4%,72,86.7%,11,13.3%,46,76.7%,14,23.3%,258,83.8%,50,16.2%,26,100.0%
Lancashire,0,-,0,-,272,75.6%,88,24.4%,38,80.9%,9,19.1%,50,86.2%,8,13.8%,11,91.7%,1,8.3%,296,92.8%,23,7.2%,20,76.9%,6,23.1%,85,90.4%,9,9.6%,123,94.6%,7,5.4%,173,87.8%,24,12.2%,103,89.6%,12,10.4%,300,88.8%,38,11.2%,9,100.0%
Leicestershire,1,50.0%,1,50.0%,167,76.6%,51,23.4%,6,40.0%,9,60.0%,15,100.0%,0,0.0%,2,50.0%,2,50.0%,121,89.0%,15,11.0%,5,83.3%,1,16.7%,36,81.8%,8,18.2%,47,94.0%,3,6.0%,37,86.0%,6,14.0%,11,57.9%,8,42.1%,127,78.4%,35,21.6%,17,100.0%
Lincolnshire,0,-,0,-,114,77.0%,34,23.0%,7,87.5%,1,12.5%,12,80.0%,3,20.0%,2,100.0%,0,0.0%,140,94.0%,9,6.0%,5,100.0%,0,0.0%,32,91.4%,3,8.6%,46,95.8%,2,4.2%,68,88.3%,9,11.7%,10,83.3%,2,16.7%,141,82.0%,31,18.0%,6,100.0%
Merseyside,6,100.0%,0,0.0%,303,76.5%,93,23.5%,30,85.7%,5,14.3%,19,82.6%,4,17.4%,5,62.5%,3,37.5%,218,94.0%,14,6.0%,17,94.4%,1,5.6%,49,79.0%,13,21.0%,167,89.3%,20,10.7%,88,83.8%,17,16.2%,50,72.5%,19,27.5%,165,85.1%,29,14.9%,12,100.0%
Metropolitan and City,15,51.7%,14,48.3%,"1,562",68.3%,725,31.7%,149,71.6%,59,28.4%,227,73.2%,83,26.8%,116,73.9%,41,26.1%,"1,240",87.1%,183,12.9%,179,76.5%,55,23.5%,365,83.3%,73,16.7%,955,91.7%,86,8.3%,550,79.3%,144,20.7%,479,80.4%,117,19.6%,"1,418",76.8%,429,23.2%,198,100.0%
Norfolk,0,-,0,-,171,72.2%,66,27.8%,6,100.0%,0,0.0%,17,85.0%,3,15.0%,5,100.0%,0,0.0%,155,92.3%,13,7.7%,4,57.1%,3,42.9%,47,81.0%,11,19.0%,35,94.6%,2,5.4%,111,88.8%,14,11.2%,14,93.3%,1,6.7%,120,82.8%,25,17.2%,12,100.0%
Northamptonshire,0,-,0,-,128,77.1%,38,22.9%,13,50.0%,13,50.0%,14,70.0%,6,30.0%,6,100.0%,0,0.0%,130,89.7%,15,10.3%,6,85.7%,1,14.3%,22,75.9%,7,24.1%,56,90.3%,6,9.7%,40,78.4%,11,21.6%,9,81.8%,2,18.2%,109,85.2%,19,14.8%,6,100.0%
Northumbria,4,100.0%,0,0.0%,303,68.7%,138,31.3%,24,72.7%,9,27.3%,60,87.0%,9,13.0%,10,71.4%,4,28.6%,462,88.7%,59,11.3%,27,87.1%,4,12.9%,110,80.3%,27,19.7%,134,93.1%,10,6.9%,262,80.4%,64,19.6%,56,77.8%,16,22.2%,208,78.2%,58,21.8%,8,100.0%
North Wales,1,100.0%,0,0.0%,198,78.9%,53,21.1%,16,84.2%,3,15.8%,16,84.2%,3,15.8%,1,50.0%,1,50.0%,140,94.6%,8,5.4%,4,66.7%,2,33.3%,36,81.8%,8,18.2%,48,92.3%,4,7.7%,45,84.9%,8,15.1%,10,100.0%,0,0.0%,88,80.7%,21,19.3%,2,100.0%
North Yorkshire,2,66.7%,1,33.3%,138,88.5%,18,11.5%,3,100.0%,0,0.0%,16,94.1%,1,5.9%,1,50.0%,1,50.0%,140,94.6%,8,5.4%,14,82.4%,3,17.6%,33,84.6%,6,15.4%,47,90.4%,5,9.6%,63,91.3%,6,8.7%,21,91.3%,2,8.7%,135,92.5%,11,7.5%,13,100.0%
Nottinghamshire,4,100.0%,0,0.0%,241,73.5%,87,26.5%,18,72.0%,7,28.0%,39,92.9%,3,7.1%,8,80.0%,2,20.0%,253,94.8%,14,5.2%,14,93.3%,1,6.7%,51,71.8%,20,28.2%,112,93.3%,8,6.7%,113,89.7%,13,10.3%,60,84.5%,11,15.5%,166,88.8%,21,11.2%,23,100.0%
South Wales,1,100.0%,0,0.0%,346,76.5%,106,23.5%,27,69.2%,12,30.8%,52,83.9%,10,16.1%,13,81.3%,3,18.8%,323,94.4%,19,5.6%,25,89.3%,3,10.7%,86,91.5%,8,8.5%,156,94.0%,10,6.0%,153,86.9%,23,13.1%,19,90.5%,2,9.5%,643,91.9%,57,8.1%,8,100.0%
South Yorkshire,4,100.0%,0,0.0%,261,74.6%,89,25.4%,6,85.7%,1,14.3%,53,88.3%,7,11.7%,8,80.0%,2,20.0%,397,93.9%,26,6.1%,30,88.2%,4,11.8%,74,84.1%,14,15.9%,120,97.6%,3,2.4%,97,83.6%,19,16.4%,28,93.3%,2,6.7%,170,88.5%,22,11.5%,11,100.0%
Staffordshire,0,-,0,-,172,73.5%,62,26.5%,15,83.3%,3,16.7%,24,75.0%,8,25.0%,5,100.0%,0,0.0%,167,94.4%,10,5.6%,10,66.7%,5,33.3%,54,84.4%,10,15.6%,85,100.0%,0,0.0%,62,86.1%,10,13.9%,34,87.2%,5,12.8%,169,76.1%,53,23.9%,30,100.0%
Suffolk,0,-,0,-,134,80.2%,33,19.8%,2,66.7%,1,33.3%,9,69.2%,4,30.8%,9,90.0%,1,10.0%,98,92.5%,8,7.5%,4,80.0%,1,20.0%,31,72.1%,12,27.9%,49,96.1%,2,3.9%,59,86.8%,9,13.2%,15,93.8%,1,6.3%,115,88.5%,15,11.5%,11,100.0%
Surrey,0,-,0,-,150,75.0%,50,25.0%,15,78.9%,4,21.1%,13,92.9%,1,7.1%,4,100.0%,0,0.0%,116,90.6%,12,9.4%,13,100.0%,0,0.0%,14,58.3%,10,41.7%,71,88.8%,9,11.3%,35,87.5%,5,12.5%,16,72.7%,6,27.3%,128,94.8%,7,5.2%,10,100.0%
Sussex,1,100.0%,0,0.0%,277,76.1%,87,23.9%,31,73.8%,11,26.2%,27,93.1%,2,6.9%,6,100.0%,0,0.0%,238,91.9%,21,8.1%,22,81.5%,5,18.5%,46,78.0%,13,22.0%,107,93.0%,8,7.0%,72,82.8%,15,17.2%,28,75.7%,9,24.3%,240,84.2%,45,15.8%,29,100.0%
Thames Valley,1,100.0%,0,0.0%,348,70.6%,145,29.4%,52,67.5%,25,32.5%,41,69.5%,18,30.5%,8,72.7%,3,27.3%,336,91.3%,32,8.7%,34,91.9%,3,8.1%,70,87.5%,10,12.5%,160,94.1%,10,5.9%,117,80.7%,28,19.3%,59,68.6%,27,31.4%,321,84.9%,57,15.1%,27,100.0%
Warwickshire,0,-,0,-,74,77.9%,21,22.1%,5,83.3%,1,16.7%,9,100.0%,0,0.0%,3,75.0%,1,25.0%,64,92.8%,5,7.2%,1,100.0%,0,0.0%,18,75.0%,6,25.0%,20,100.0%,0,0.0%,22,91.7%,2,8.3%,11,84.6%,2,15.4%,82,81.2%,19,18.8%,22,100.0%
West Mercia,2,100.0%,0,0.0%,181,77.0%,54,23.0%,26,83.9%,5,16.1%,15,78.9%,4,21.1%,7,77.8%,2,22.2%,171,94.5%,10,5.5%,8,88.9%,1,11.1%,45,83.3%,9,16.7%,71,100.0%,0,0.0%,62,84.9%,11,15.1%,27,100.0%,0,0.0%,173,89.2%,21,10.8%,18,100.0%
West Midlands,5,62.5%,3,37.5%,577,75.2%,190,24.8%,60,74.1%,21,25.9%,94,81.7%,21,18.3%,68,87.2%,10,12.8%,662,93.6%,45,6.4%,21,80.8%,5,19.2%,109,83.8%,21,16.2%,196,95.1%,10,4.9%,191,89.3%,23,10.7%,116,89.9%,13,10.1%,378,82.2%,82,17.8%,89,100.0%
West Yorkshire,4,80.0%,1,20.0%,518,73.5%,187,26.5%,72,75.0%,24,25.0%,88,83.8%,17,16.2%,18,78.3%,5,21.7%,380,90.0%,42,10.0%,34,79.1%,9,20.9%,110,81.5%,25,18.5%,173,94.5%,10,5.5%,146,81.1%,34,18.9%,49,90.7%,5,9.3%,305,78.2%,85,21.8%,34,100.0%
Wiltshire,0,-,0,-,105,86.8%,16,13.2%,11,100.0%,0,0.0%,8,72.7%,3,27.3%,1,100.0%,0,0.0%,95,99.0%,1,1.0%,4,57.1%,3,42.9%,28,87.5%,4,12.5%,29,100.0%,0,0.0%,39,84.8%,7,15.2%,5,100.0%,0,0.0%,86,92.5%,7,7.5%,4,100.0%
