,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Dyfed Powys,1,100.0%,0,0.0%,77,81.1%,18,18.9%,5,62.5%,3,37.5%,9,90.0%,1,10.0%,0,0,0,0,70,90.9%,7,9.1%,6,75.0%,2,25.0%,28,80.0%,7,20.0%,103,97.2%,3,2.8%,56,90.3%,6,9.7%,4,100.0%,0,0.0%,75,87.2%,11,12.8%,4,100.0%
Essex,2,100.0%,0,0.0%,326,79.7%,83,20.3%,32,65.3%,17,34.7%,44,88.0%,6,12.0%,7,53.8%,6,46.2%,279,94.6%,16,5.4%,23,92.0%,2,8.0%,55,80.9%,13,19.1%,89,94.7%,5,5.3%,97,93.3%,7,6.7%,38,82.6%,8,17.4%,231,85.6%,39,14.4%,31,100.0%
Gloucestershire,1,100.0%,0,0.0%,61,79.2%,16,20.8%,4,66.7%,2,33.3%,12,92.3%,1,7.7%,0,0,0,0,103,92.0%,9,8.0%,8,88.9%,1,11.1%,23,95.8%,1,4.2%,38,97.4%,1,2.6%,30,93.8%,2,6.3%,20,76.9%,6,23.1%,58,92.1%,5,7.9%,8,100.0%
GreaterManchester,4,100.0%,0,0.0%,660,78.9%,176,21.1%,56,71.8%,22,28.2%,83,88.3%,11,11.7%,17,89.5%,2,10.5%,446,92.9%,34,7.1%,59,85.5%,10,14.5%,148,90.2%,16,9.8%,165,95.4%,8,4.6%,290,88.4%,38,11.6%,66,75.0%,22,25.0%,420,86.6%,65,13.4%,37,100.0%
Gwent,3,100.0%,0,0.0%,114,79.7%,29,20.3%,7,77.8%,2,22.2%,17,77.3%,5,22.7%,3,60.0%,2,40.0%,116,94.3%,7,5.7%,8,100.0%,0,0.0%,44,89.8%,5,10.2%,58,93.5%,4,6.5%,62,89.9%,7,10.1%,2,50.0%,2,50.0%,86,87.8%,12,12.2%,9,100.0%
Hampshire,0,-,0,-,348,78.7%,94,21.3%,38,79.2%,10,20.8%,29,87.9%,4,12.1%,10,100.0%,0,0.0%,318,89.6%,37,10.4%,29,85.3%,5,14.7%,71,89.9%,8,10.1%,126,92.0%,11,8.0%,126,85.1%,22,14.9%,21,80.8%,5,19.2%,262,85.6%,44,14.4%,35,100.0%
Hertfordshire,0,-,0,-,186,75.9%,59,24.1%,9,90.0%,1,10.0%,19,67.9%,9,32.1%,11,68.8%,5,31.3%,159,90.9%,16,9.1%,23,82.1%,5,17.9%,43,86.0%,7,14.0%,81,91.0%,8,9.0%,62,87.3%,9,12.7%,11,68.8%,5,31.3%,167,86.5%,26,13.5%,15,100.0%
Humberside,1,25.0%,3,75.0%,193,83.9%,37,16.1%,42,80.8%,10,19.2%,22,78.6%,6,21.4%,5,83.3%,1,16.7%,222,94.5%,13,5.5%,16,88.9%,2,11.1%,50,80.6%,12,19.4%,67,97.1%,2,2.9%,99,89.2%,12,10.8%,22,91.7%,2,8.3%,133,87.5%,19,12.5%,9,100.0%
Kent,2,100.0%,0,0.0%,231,70.2%,98,29.8%,25,75.8%,8,24.2%,37,88.1%,5,11.9%,10,83.3%,2,16.7%,257,86.8%,39,13.2%,13,72.2%,5,27.8%,71,76.3%,22,23.7%,105,93.8%,7,6.3%,82,80.4%,20,19.6%,69,75.0%,23,25.0%,192,83.5%,38,16.5%,49,100.0%
Lancashire,0,-,0,-,283,78.4%,78,21.6%,29,85.3%,5,14.7%,73,81.1%,17,18.9%,33,86.8%,5,13.2%,243,93.1%,18,6.9%,22,84.6%,4,15.4%,95,85.6%,16,14.4%,106,97.2%,3,2.8%,156,88.6%,20,11.4%,89,88.1%,12,11.9%,270,89.1%,33,10.9%,16,100.0%
Leicestershire,1,100.0%,0,0.0%,160,77.3%,47,22.7%,20,83.3%,4,16.7%,21,77.8%,6,22.2%,11,84.6%,2,15.4%,195,92.9%,15,7.1%,14,77.8%,4,22.2%,35,87.5%,5,12.5%,39,90.7%,4,9.3%,56,88.9%,7,11.1%,25,86.2%,4,13.8%,122,86.5%,19,13.5%,3,100.0%
Lincolnshire,1,100.0%,0,0.0%,98,81.0%,23,19.0%,6,85.7%,1,14.3%,20,90.9%,2,9.1%,5,100.0%,0,0.0%,145,92.4%,12,7.6%,3,75.0%,1,25.0%,28,93.3%,2,6.7%,29,93.5%,2,6.5%,64,92.8%,5,7.2%,8,61.5%,5,38.5%,133,89.9%,15,10.1%,7,100.0%
Merseyside,3,100.0%,0,0.0%,284,75.1%,94,24.9%,26,83.9%,5,16.1%,46,97.9%,1,2.1%,22,81.5%,5,18.5%,276,93.2%,20,6.8%,13,86.7%,2,13.3%,66,78.6%,18,21.4%,265,95.3%,13,4.7%,126,91.3%,12,8.7%,97,82.9%,20,17.1%,200,92.2%,17,7.8%,23,100.0%
Metropolitan and City,9,50.0%,9,50.0%,"1,382",67.6%,662,32.4%,130,67.4%,63,32.6%,228,78.9%,61,21.1%,134,69.1%,60,30.9%,"1,210",89.4%,143,10.6%,203,79.9%,51,20.1%,309,84.0%,59,16.0%,"1,040",93.2%,76,6.8%,568,82.4%,121,17.6%,478,79.9%,120,20.1%,"1,238",78.5%,339,21.5%,211,100.0%
Norfolk,0,-,0,-,205,78.8%,55,21.2%,11,84.6%,2,15.4%,12,92.3%,1,7.7%,3,100.0%,0,0.0%,149,87.6%,21,12.4%,11,78.6%,3,21.4%,57,85.1%,10,14.9%,71,100.0%,0,0.0%,92,88.5%,12,11.5%,13,56.5%,10,43.5%,115,86.5%,18,13.5%,11,100.0%
Northamptonshire,0,-,0,-,90,64.3%,50,35.7%,13,81.3%,3,18.8%,10,71.4%,4,28.6%,5,55.6%,4,44.4%,117,91.4%,11,8.6%,4,80.0%,1,20.0%,14,58.3%,10,41.7%,47,92.2%,4,7.8%,41,85.4%,7,14.6%,10,76.9%,3,23.1%,88,85.4%,15,14.6%,10,100.0%
Northumbria,2,100.0%,0,0.0%,255,67.5%,123,32.5%,17,60.7%,11,39.3%,34,89.5%,4,10.5%,4,80.0%,1,20.0%,439,87.6%,62,12.4%,20,90.9%,2,9.1%,100,77.5%,29,22.5%,94,84.7%,17,15.3%,195,82.3%,42,17.7%,61,67.8%,29,32.2%,186,71.3%,75,28.7%,24,100.0%
North Wales,0,-,0,-,137,77.4%,40,22.6%,14,66.7%,7,33.3%,17,94.4%,1,5.6%,3,100.0%,0,0.0%,133,95.7%,6,4.3%,6,100.0%,0,0.0%,50,94.3%,3,5.7%,26,96.3%,1,3.7%,94,95.9%,4,4.1%,13,86.7%,2,13.3%,110,92.4%,9,7.6%,2,100.0%
North Yorkshire,1,100.0%,0,0.0%,110,81.5%,25,18.5%,7,100.0%,0,0.0%,8,61.5%,5,38.5%,2,100.0%,0,0.0%,129,90.2%,14,9.8%,8,100.0%,0,0.0%,32,86.5%,5,13.5%,33,94.3%,2,5.7%,78,87.6%,11,12.4%,18,72.0%,7,28.0%,110,90.9%,11,9.1%,8,100.0%
Nottinghamshire,0,-,0,-,237,79.8%,60,20.2%,14,82.4%,3,17.6%,29,80.6%,7,19.4%,4,33.3%,8,66.7%,235,92.9%,18,7.1%,12,92.3%,1,7.7%,60,88.2%,8,11.8%,98,95.1%,5,4.9%,64,82.1%,14,17.9%,38,82.6%,8,17.4%,151,88.8%,19,11.2%,19,100.0%
South Wales,0,-,0,-,326,73.3%,119,26.7%,18,69.2%,8,30.8%,60,92.3%,5,7.7%,8,100.0%,0,0.0%,305,94.1%,19,5.9%,16,88.9%,2,11.1%,100,86.2%,16,13.8%,198,96.1%,8,3.9%,217,83.5%,43,16.5%,13,81.3%,3,18.8%,771,92.8%,60,7.2%,26,100.0%
South Yorkshire,2,100.0%,0,0.0%,204,70.8%,84,29.2%,7,70.0%,3,30.0%,32,78.0%,9,22.0%,12,92.3%,1,7.7%,346,97.2%,10,2.8%,9,100.0%,0,0.0%,66,91.7%,6,8.3%,103,92.8%,8,7.2%,115,94.3%,7,5.7%,49,89.1%,6,10.9%,166,89.2%,20,10.8%,23,100.0%
Staffordshire,0,-,0,-,181,72.1%,70,27.9%,16,69.6%,7,30.4%,30,78.9%,8,21.1%,6,66.7%,3,33.3%,198,90.4%,21,9.6%,12,92.3%,1,7.7%,45,88.2%,6,11.8%,71,85.5%,12,14.5%,71,74.0%,25,26.0%,37,92.5%,3,7.5%,146,81.6%,33,18.4%,3,100.0%
Suffolk,1,100.0%,0,0.0%,158,87.3%,23,12.7%,9,64.3%,5,35.7%,11,84.6%,2,15.4%,4,100.0%,0,0.0%,98,95.1%,5,4.9%,6,100.0%,0,0.0%,33,84.6%,6,15.4%,43,95.6%,2,4.4%,57,89.1%,7,10.9%,14,93.3%,1,6.7%,96,85.7%,16,14.3%,4,100.0%
Surrey,0,-,0,-,117,71.8%,46,28.2%,6,42.9%,8,57.1%,24,88.9%,3,11.1%,3,100.0%,0,0.0%,99,84.6%,18,15.4%,6,66.7%,3,33.3%,25,78.1%,7,21.9%,52,98.1%,1,1.9%,44,89.8%,5,10.2%,41,67.2%,20,32.8%,160,89.4%,19,10.6%,11,100.0%
Sussex,0,-,0,-,206,73.6%,74,26.4%,22,66.7%,11,33.3%,21,80.8%,5,19.2%,6,100.0%,0,0.0%,243,93.5%,17,6.5%,19,95.0%,1,5.0%,56,86.2%,9,13.8%,111,92.5%,9,7.5%,65,76.5%,20,23.5%,60,72.3%,23,27.7%,231,90.6%,24,9.4%,48,100.0%
Thames Valley,0,-,0,-,334,69.7%,145,30.3%,32,60.4%,21,39.6%,29,72.5%,11,27.5%,17,77.3%,5,22.7%,319,90.4%,34,9.6%,28,96.6%,1,3.4%,62,84.9%,11,15.1%,145,92.4%,12,7.6%,138,82.1%,30,17.9%,20,69.0%,9,31.0%,296,85.3%,51,14.7%,30,100.0%
Warwickshire,0,-,0,-,59,80.8%,14,19.2%,3,100.0%,0,0.0%,10,71.4%,4,28.6%,5,71.4%,2,28.6%,64,87.7%,9,12.3%,1,100.0%,0,0.0%,28,93.3%,2,6.7%,14,93.3%,1,6.7%,24,85.7%,4,14.3%,26,83.9%,5,16.1%,81,78.6%,22,21.4%,3,100.0%
West Mercia,1,100.0%,0,0.0%,172,74.1%,60,25.9%,27,79.4%,7,20.6%,17,94.4%,1,5.6%,7,100.0%,0,0.0%,167,92.3%,14,7.7%,4,80.0%,1,20.0%,31,83.8%,6,16.2%,62,96.9%,2,3.1%,82,86.3%,13,13.7%,34,91.9%,3,8.1%,164,88.2%,22,11.8%,1,100.0%
West Midlands,1,50.0%,1,50.0%,500,72.0%,194,28.0%,35,72.9%,13,27.1%,95,76.0%,30,24.0%,49,77.8%,14,22.2%,567,90.9%,57,9.1%,27,84.4%,5,15.6%,117,84.2%,22,15.8%,187,89.0%,23,11.0%,159,85.9%,26,14.1%,128,85.3%,22,14.7%,349,83.9%,67,16.1%,53,100.0%
West Yorkshire,7,100.0%,0,0.0%,417,75.5%,135,24.5%,55,74.3%,19,25.7%,123,92.5%,10,7.5%,32,94.1%,2,5.9%,395,90.6%,41,9.4%,27,79.4%,7,20.6%,109,79.0%,29,21.0%,106,93.0%,8,7.0%,140,79.5%,36,20.5%,58,84.1%,11,15.9%,314,78.3%,87,21.7%,25,100.0%
Wiltshire,0,-,0,-,101,86.3%,16,13.7%,4,80.0%,1,20.0%,6,100.0%,0,0.0%,2,100.0%,0,0.0%,88,91.7%,8,8.3%,4,80.0%,1,20.0%,21,87.5%,3,12.5%,20,95.2%,1,4.8%,33,75.0%,11,25.0%,5,100.0%,0,0.0%,63,88.7%,8,11.3%,6,100.0%
