,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,1,100.0%,0,0.0%,106,73.1%,39,26.9%,6,37.5%,10,62.5%,19,90.5%,2,9.5%,2,100.0%,0,0.0%,98,88.3%,13,11.7%,8,88.9%,1,11.1%,35,81.4%,8,18.6%,16,100.0%,0,0.0%,57,91.9%,5,8.1%,11,84.6%,2,15.4%,86,93.5%,6,6.5%,3,100.0%
Dyfed Powys,0,-,0,-,95,70.4%,40,29.6%,9,56.3%,7,43.8%,7,77.8%,2,22.2%,0,0,0,0,59,96.7%,2,3.3%,5,83.3%,1,16.7%,27,84.4%,5,15.6%,81,95.3%,4,4.7%,33,86.8%,5,13.2%,3,75.0%,1,25.0%,87,80.6%,21,19.4%,9,100.0%
Essex,4,100.0%,0,0.0%,293,70.4%,123,29.6%,45,72.6%,17,27.4%,37,78.7%,10,21.3%,24,66.7%,12,33.3%,206,92.8%,16,7.2%,34,87.2%,5,12.8%,63,86.3%,10,13.7%,81,90.0%,9,10.0%,49,89.1%,6,10.9%,30,69.8%,13,30.2%,236,77.1%,70,22.9%,41,100.0%
Gloucestershire,0,-,0,-,68,70.8%,28,29.2%,4,100.0%,0,0.0%,11,91.7%,1,8.3%,5,100.0%,0,0.0%,84,95.5%,4,4.5%,3,100.0%,0,0.0%,28,84.8%,5,15.2%,24,96.0%,1,4.0%,15,88.2%,2,11.8%,13,76.5%,4,23.5%,55,94.8%,3,5.2%,7,100.0%
GreaterManchester,2,66.7%,1,33.3%,690,80.5%,167,19.5%,60,63.2%,35,36.8%,73,92.4%,6,7.6%,41,85.4%,7,14.6%,403,92.4%,33,7.6%,37,88.1%,5,11.9%,142,85.5%,24,14.5%,175,90.2%,19,9.8%,275,85.1%,48,14.9%,102,87.2%,15,12.8%,485,85.7%,81,14.3%,34,100.0%
Gwent,2,100.0%,0,0.0%,141,76.6%,43,23.4%,6,75.0%,2,25.0%,13,59.1%,9,40.9%,4,80.0%,1,20.0%,112,94.9%,6,5.1%,6,75.0%,2,25.0%,40,83.3%,8,16.7%,56,90.3%,6,9.7%,40,85.1%,7,14.9%,7,46.7%,8,53.3%,99,93.4%,7,6.6%,6,100.0%
Hampshire,3,100.0%,0,0.0%,323,80.8%,77,19.3%,33,67.3%,16,32.7%,41,89.1%,5,10.9%,2,28.6%,5,71.4%,264,91.0%,26,9.0%,23,88.5%,3,11.5%,57,83.8%,11,16.2%,97,96.0%,4,4.0%,114,88.4%,15,11.6%,13,61.9%,8,38.1%,267,85.3%,46,14.7%,20,100.0%
Hertfordshire,1,100.0%,0,0.0%,176,76.9%,53,23.1%,7,77.8%,2,22.2%,28,84.8%,5,15.2%,15,83.3%,3,16.7%,192,91.0%,19,9.0%,9,75.0%,3,25.0%,19,55.9%,15,44.1%,71,92.2%,6,7.8%,47,81.0%,11,19.0%,25,80.6%,6,19.4%,166,85.1%,29,14.9%,39,100.0%
Humberside,2,100.0%,0,0.0%,180,86.1%,29,13.9%,36,76.6%,11,23.4%,28,96.6%,1,3.4%,1,50.0%,1,50.0%,174,94.1%,11,5.9%,13,76.5%,4,23.5%,44,100.0%,0,0.0%,54,94.7%,3,5.3%,74,89.2%,9,10.8%,19,95.0%,1,5.0%,130,85.0%,23,15.0%,13,100.0%
Kent,1,50.0%,1,50.0%,260,72.2%,100,27.8%,23,60.5%,15,39.5%,58,82.9%,12,17.1%,9,56.3%,7,43.8%,273,86.1%,44,13.9%,29,87.9%,4,12.1%,65,84.4%,12,15.6%,122,94.6%,7,5.4%,75,85.2%,13,14.8%,45,71.4%,18,28.6%,215,89.2%,26,10.8%,29,100.0%
Lancashire,4,80.0%,1,20.0%,323,83.0%,66,17.0%,30,68.2%,14,31.8%,60,69.0%,27,31.0%,12,80.0%,3,20.0%,281,92.7%,22,7.3%,14,77.8%,4,22.2%,97,85.1%,17,14.9%,132,98.5%,2,1.5%,115,85.8%,19,14.2%,118,88.1%,16,11.9%,263,86.8%,40,13.2%,13,100.0%
Leicestershire,2,100.0%,0,0.0%,126,76.8%,38,23.2%,15,68.2%,7,31.8%,6,50.0%,6,50.0%,0,0.0%,1,100.0%,73,90.1%,8,9.9%,7,100.0%,0,0.0%,14,60.9%,9,39.1%,14,77.8%,4,22.2%,27,93.1%,2,6.9%,9,81.8%,2,18.2%,86,78.9%,23,21.1%,15,100.0%
Lincolnshire,2,100.0%,0,0.0%,112,75.7%,36,24.3%,8,72.7%,3,27.3%,20,95.2%,1,4.8%,0,0.0%,2,100.0%,143,97.9%,3,2.1%,6,75.0%,2,25.0%,37,90.2%,4,9.8%,28,90.3%,3,9.7%,73,92.4%,6,7.6%,9,40.9%,13,59.1%,145,88.4%,19,11.6%,14,100.0%
Merseyside,4,80.0%,1,20.0%,347,80.7%,83,19.3%,21,67.7%,10,32.3%,26,86.7%,4,13.3%,12,92.3%,1,7.7%,219,94.4%,13,5.6%,19,76.0%,6,24.0%,67,90.5%,7,9.5%,219,96.9%,7,3.1%,118,88.1%,16,11.9%,34,87.2%,5,12.8%,218,89.7%,25,10.3%,15,100.0%
Metropolitan and City,14,87.5%,2,12.5%,"1,625",66.4%,823,33.6%,144,62.1%,88,37.9%,261,78.4%,72,21.6%,121,68.4%,56,31.6%,"1,257",85.9%,206,14.1%,224,82.4%,48,17.6%,400,83.9%,77,16.1%,"1,094",92.2%,93,7.8%,529,78.8%,142,21.2%,455,80.8%,108,19.2%,"1,483",76.5%,456,23.5%,287,100.0%
Norfolk,0,-,0,-,174,75.7%,56,24.3%,8,88.9%,1,11.1%,17,89.5%,2,10.5%,5,83.3%,1,16.7%,126,94.7%,7,5.3%,4,80.0%,1,20.0%,44,80.0%,11,20.0%,53,93.0%,4,7.0%,92,90.2%,10,9.8%,17,89.5%,2,10.5%,116,89.2%,14,10.8%,5,100.0%
Northamptonshire,0,-,0,-,79,71.2%,32,28.8%,10,71.4%,4,28.6%,8,66.7%,4,33.3%,1,50.0%,1,50.0%,71,91.0%,7,9.0%,5,100.0%,0,0.0%,18,78.3%,5,21.7%,26,86.7%,4,13.3%,31,81.6%,7,18.4%,4,66.7%,2,33.3%,99,86.1%,16,13.9%,17,100.0%
Northumbria,1,100.0%,0,0.0%,306,71.8%,120,28.2%,19,57.6%,14,42.4%,62,92.5%,5,7.5%,11,100.0%,0,0.0%,441,89.6%,51,10.4%,18,64.3%,10,35.7%,125,81.2%,29,18.8%,98,95.1%,5,4.9%,226,81.3%,52,18.7%,50,84.7%,9,15.3%,281,84.9%,50,15.1%,21,100.0%
North Wales,3,100.0%,0,0.0%,178,75.7%,57,24.3%,12,66.7%,6,33.3%,23,79.3%,6,20.7%,0,0.0%,3,100.0%,146,94.2%,9,5.8%,17,89.5%,2,10.5%,48,84.2%,9,15.8%,46,93.9%,3,6.1%,58,87.9%,8,12.1%,10,90.9%,1,9.1%,118,86.8%,18,13.2%,4,100.0%
North Yorkshire,1,100.0%,0,0.0%,123,83.7%,24,16.3%,12,92.3%,1,7.7%,19,90.5%,2,9.5%,1,50.0%,1,50.0%,141,94.0%,9,6.0%,12,92.3%,1,7.7%,37,86.0%,6,14.0%,59,96.7%,2,3.3%,98,93.3%,7,6.7%,15,100.0%,0,0.0%,127,89.4%,15,10.6%,6,100.0%
Nottinghamshire,3,60.0%,2,40.0%,274,75.7%,88,24.3%,15,83.3%,3,16.7%,39,83.0%,8,17.0%,7,77.8%,2,22.2%,226,90.4%,24,9.6%,20,90.9%,2,9.1%,53,82.8%,11,17.2%,102,97.1%,3,2.9%,94,67.1%,46,32.9%,41,64.1%,23,35.9%,158,90.8%,16,9.2%,22,100.0%
South Wales,2,100.0%,0,0.0%,396,74.0%,139,26.0%,28,62.2%,17,37.8%,51,86.4%,8,13.6%,9,81.8%,2,18.2%,313,93.2%,23,6.8%,14,70.0%,6,30.0%,64,86.5%,10,13.5%,221,96.1%,9,3.9%,170,85.9%,28,14.1%,16,88.9%,2,11.1%,720,93.3%,52,6.7%,18,100.0%
South Yorkshire,2,50.0%,2,50.0%,262,80.1%,65,19.9%,5,62.5%,3,37.5%,38,95.0%,2,5.0%,11,100.0%,0,0.0%,317,93.8%,21,6.2%,19,95.0%,1,5.0%,58,90.6%,6,9.4%,116,95.9%,5,4.1%,100,88.5%,13,11.5%,30,88.2%,4,11.8%,165,84.6%,30,15.4%,14,100.0%
Staffordshire,2,66.7%,1,33.3%,195,78.3%,54,21.7%,23,82.1%,5,17.9%,35,81.4%,8,18.6%,3,75.0%,1,25.0%,181,93.3%,13,6.7%,8,61.5%,5,38.5%,45,91.8%,4,8.2%,73,92.4%,6,7.6%,56,88.9%,7,11.1%,55,90.2%,6,9.8%,153,78.1%,43,21.9%,31,100.0%
Suffolk,0,-,0,-,124,76.1%,39,23.9%,5,100.0%,0,0.0%,10,76.9%,3,23.1%,1,100.0%,0,0.0%,78,90.7%,8,9.3%,7,87.5%,1,12.5%,26,86.7%,4,13.3%,37,97.4%,1,2.6%,36,87.8%,5,12.2%,7,77.8%,2,22.2%,90,84.9%,16,15.1%,4,100.0%
Surrey,0,-,0,-,195,72.8%,73,27.2%,11,55.0%,9,45.0%,10,90.9%,1,9.1%,4,100.0%,0,0.0%,84,91.3%,8,8.7%,11,84.6%,2,15.4%,14,82.4%,3,17.6%,55,93.2%,4,6.8%,43,87.8%,6,12.2%,18,85.7%,3,14.3%,168,88.0%,23,12.0%,12,100.0%
Sussex,0,-,0,-,276,75.2%,91,24.8%,39,78.0%,11,22.0%,24,80.0%,6,20.0%,7,70.0%,3,30.0%,206,89.6%,24,10.4%,18,90.0%,2,10.0%,51,86.4%,8,13.6%,94,94.9%,5,5.1%,91,78.4%,25,21.6%,25,83.3%,5,16.7%,258,90.8%,26,9.2%,23,100.0%
Thames Valley,2,66.7%,1,33.3%,373,77.4%,109,22.6%,48,60.0%,32,40.0%,26,70.3%,11,29.7%,9,69.2%,4,30.8%,313,91.8%,28,8.2%,31,83.8%,6,16.2%,64,86.5%,10,13.5%,145,94.8%,8,5.2%,147,86.5%,23,13.5%,37,74.0%,13,26.0%,276,91.4%,26,8.6%,29,100.0%
Warwickshire,1,100.0%,0,0.0%,92,87.6%,13,12.4%,5,83.3%,1,16.7%,5,83.3%,1,16.7%,3,100.0%,0,0.0%,71,93.4%,5,6.6%,5,83.3%,1,16.7%,14,82.4%,3,17.6%,21,95.5%,1,4.5%,17,81.0%,4,19.0%,17,89.5%,2,10.5%,66,77.6%,19,22.4%,6,100.0%
West Mercia,1,100.0%,0,0.0%,230,81.3%,53,18.7%,29,76.3%,9,23.7%,21,87.5%,3,12.5%,0,0,0,0,199,94.8%,11,5.2%,9,90.0%,1,10.0%,46,86.8%,7,13.2%,61,98.4%,1,1.6%,53,89.8%,6,10.2%,29,93.5%,2,6.5%,188,83.9%,36,16.1%,17,100.0%
West Midlands,4,57.1%,3,42.9%,674,75.5%,219,24.5%,55,76.4%,17,23.6%,75,81.5%,17,18.5%,45,88.2%,6,11.8%,648,91.8%,58,8.2%,37,97.4%,1,2.6%,115,79.3%,30,20.7%,231,93.9%,15,6.1%,202,85.6%,34,14.4%,130,88.4%,17,11.6%,406,81.2%,94,18.8%,104,100.0%
West Yorkshire,4,80.0%,1,20.0%,455,74.2%,158,25.8%,36,63.2%,21,36.8%,75,82.4%,16,17.6%,27,79.4%,7,20.6%,392,94.2%,24,5.8%,23,79.3%,6,20.7%,105,86.8%,16,13.2%,118,91.5%,11,8.5%,164,84.5%,30,15.5%,62,92.5%,5,7.5%,337,85.1%,59,14.9%,37,100.0%
Wiltshire,0,-,0,-,109,90.1%,12,9.9%,11,78.6%,3,21.4%,10,90.9%,1,9.1%,2,66.7%,1,33.3%,98,93.3%,7,6.7%,9,90.0%,1,10.0%,24,85.7%,4,14.3%,19,86.4%,3,13.6%,39,90.7%,4,9.3%,5,83.3%,1,16.7%,69,88.5%,9,11.5%,4,100.0%
