,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
GreaterManchester,1,33.3%,2,66.7%,619,80.0%,155,20.0%,41,69.5%,18,30.5%,64,91.4%,6,8.6%,24,85.7%,4,14.3%,393,94.0%,25,6.0%,28,90.3%,3,9.7%,133,91.7%,12,8.3%,161,92.5%,13,7.5%,257,88.0%,35,12.0%,67,84.8%,12,15.2%,360,83.1%,73,16.9%,33,100.0%
Gwent,0,0.0%,1,100.0%,100,76.9%,30,23.1%,6,60.0%,4,40.0%,18,85.7%,3,14.3%,9,100.0%,0,0.0%,80,90.9%,8,9.1%,3,75.0%,1,25.0%,36,80.0%,9,20.0%,46,95.8%,2,4.2%,51,86.4%,8,13.6%,5,100.0%,0,0.0%,55,87.3%,8,12.7%,5,100.0%
Hampshire,1,50.0%,1,50.0%,324,79.8%,82,20.2%,33,82.5%,7,17.5%,25,69.4%,11,30.6%,12,92.3%,1,7.7%,245,96.1%,10,3.9%,21,95.5%,1,4.5%,77,86.5%,12,13.5%,102,90.3%,11,9.7%,83,83.0%,17,17.0%,13,72.2%,5,27.8%,246,91.4%,23,8.6%,17,100.0%
Hertfordshire,1,50.0%,1,50.0%,151,81.2%,35,18.8%,6,85.7%,1,14.3%,25,96.2%,1,3.8%,4,50.0%,4,50.0%,190,94.5%,11,5.5%,17,94.4%,1,5.6%,36,87.8%,5,12.2%,51,87.9%,7,12.1%,62,83.8%,12,16.2%,26,96.3%,1,3.7%,107,82.3%,23,17.7%,22,100.0%
Humberside,1,100.0%,0,0.0%,131,78.9%,35,21.1%,13,59.1%,9,40.9%,36,85.7%,6,14.3%,2,40.0%,3,60.0%,179,93.7%,12,6.3%,4,66.7%,2,33.3%,45,83.3%,9,16.7%,61,98.4%,1,1.6%,88,87.1%,13,12.9%,23,95.8%,1,4.2%,121,82.3%,26,17.7%,7,100.0%
Kent,1,100.0%,0,0.0%,225,76.8%,68,23.2%,18,56.3%,14,43.8%,40,78.4%,11,21.6%,5,71.4%,2,28.6%,242,88.0%,33,12.0%,27,90.0%,3,10.0%,51,81.0%,12,19.0%,90,95.7%,4,4.3%,53,73.6%,19,26.4%,52,85.2%,9,14.8%,155,88.6%,20,11.4%,20,100.0%
Lancashire,1,100.0%,0,0.0%,272,76.2%,85,23.8%,28,63.6%,16,36.4%,51,89.5%,6,10.5%,12,80.0%,3,20.0%,297,95.2%,15,4.8%,14,93.3%,1,6.7%,74,82.2%,16,17.8%,111,95.7%,5,4.3%,118,82.5%,25,17.5%,109,85.2%,19,14.8%,220,85.6%,37,14.4%,10,100.0%
Leicestershire,1,50.0%,1,50.0%,129,72.9%,48,27.1%,5,55.6%,4,44.4%,20,95.2%,1,4.8%,4,100.0%,0,0.0%,123,88.5%,16,11.5%,9,75.0%,3,25.0%,23,85.2%,4,14.8%,24,85.7%,4,14.3%,20,62.5%,12,37.5%,13,76.5%,4,23.5%,130,83.9%,25,16.1%,11,100.0%
Lincolnshire,1,100.0%,0,0.0%,84,75.7%,27,24.3%,12,100.0%,0,0.0%,16,88.9%,2,11.1%,2,100.0%,0,0.0%,102,87.9%,14,12.1%,2,100.0%,0,0.0%,27,81.8%,6,18.2%,40,97.6%,1,2.4%,46,83.6%,9,16.4%,13,81.3%,3,18.8%,123,87.9%,17,12.1%,7,100.0%
Merseyside,3,100.0%,0,0.0%,378,79.6%,97,20.4%,35,81.4%,8,18.6%,27,84.4%,5,15.6%,15,83.3%,3,16.7%,293,96.1%,12,3.9%,27,100.0%,0,0.0%,93,89.4%,11,10.6%,221,92.9%,17,7.1%,114,89.8%,13,10.2%,72,84.7%,13,15.3%,198,86.8%,30,13.2%,14,100.0%
Metropolitan and City,15,83.3%,3,16.7%,"1,295",68.6%,594,31.4%,142,72.4%,54,27.6%,209,85.0%,37,15.0%,112,76.7%,34,23.3%,"1,141",90.2%,124,9.8%,183,78.9%,49,21.1%,307,81.0%,72,19.0%,801,93.6%,55,6.4%,480,82.5%,102,17.5%,414,81.2%,96,18.8%,"1,145",78.6%,311,21.4%,184,100.0%
Norfolk,1,100.0%,0,0.0%,176,80.0%,44,20.0%,6,54.5%,5,45.5%,18,81.8%,4,18.2%,5,100.0%,0,0.0%,140,91.5%,13,8.5%,4,100.0%,0,0.0%,43,91.5%,4,8.5%,55,96.5%,2,3.5%,82,85.4%,14,14.6%,16,88.9%,2,11.1%,100,94.3%,6,5.7%,9,100.0%
Northamptonshire,0,-,0,-,116,74.8%,39,25.2%,7,63.6%,4,36.4%,12,75.0%,4,25.0%,2,66.7%,1,33.3%,93,93.9%,6,6.1%,3,100.0%,0,0.0%,34,87.2%,5,12.8%,30,93.8%,2,6.3%,40,85.1%,7,14.9%,17,94.4%,1,5.6%,122,92.4%,10,7.6%,8,100.0%
Northumbria,0,-,0,-,265,65.3%,141,34.7%,19,67.9%,9,32.1%,51,75.0%,17,25.0%,8,88.9%,1,11.1%,523,91.6%,48,8.4%,14,82.4%,3,17.6%,101,84.2%,19,15.8%,84,91.3%,8,8.7%,209,80.1%,52,19.9%,60,76.9%,18,23.1%,209,83.3%,42,16.7%,16,100.0%
North Wales,0,-,0,-,175,85.8%,29,14.2%,11,64.7%,6,35.3%,11,91.7%,1,8.3%,4,80.0%,1,20.0%,125,96.9%,4,3.1%,7,70.0%,3,30.0%,36,87.8%,5,12.2%,44,97.8%,1,2.2%,81,95.3%,4,4.7%,15,93.8%,1,6.3%,98,89.1%,12,10.9%,5,100.0%
North Yorkshire,3,75.0%,1,25.0%,105,81.4%,24,18.6%,4,80.0%,1,20.0%,23,92.0%,2,8.0%,2,66.7%,1,33.3%,148,91.9%,13,8.1%,11,84.6%,2,15.4%,23,92.0%,2,8.0%,39,95.1%,2,4.9%,55,83.3%,11,16.7%,14,93.3%,1,6.7%,110,95.7%,5,4.3%,3,100.0%
Nottinghamshire,0,-,0,-,247,73.5%,89,26.5%,15,83.3%,3,16.7%,26,86.7%,4,13.3%,7,63.6%,4,36.4%,230,91.3%,22,8.7%,11,91.7%,1,8.3%,60,81.1%,14,18.9%,117,97.5%,3,2.5%,85,81.7%,19,18.3%,36,78.3%,10,21.7%,182,88.3%,24,11.7%,15,100.0%
South Wales,1,100.0%,0,0.0%,270,75.2%,89,24.8%,27,67.5%,13,32.5%,54,88.5%,7,11.5%,9,90.0%,1,10.0%,304,94.1%,19,5.9%,12,75.0%,4,25.0%,60,88.2%,8,11.8%,132,96.4%,5,3.6%,174,87.4%,25,12.6%,8,61.5%,5,38.5%,599,90.8%,61,9.2%,15,100.0%
South Yorkshire,5,100.0%,0,0.0%,217,76.4%,67,23.6%,13,92.9%,1,7.1%,32,84.2%,6,15.8%,11,100.0%,0,0.0%,272,92.5%,22,7.5%,19,100.0%,0,0.0%,68,87.2%,10,12.8%,94,93.1%,7,6.9%,63,81.8%,14,18.2%,42,84.0%,8,16.0%,146,93.6%,10,6.4%,7,100.0%
Staffordshire,0,-,0,-,158,71.8%,62,28.2%,18,75.0%,6,25.0%,27,93.1%,2,6.9%,12,85.7%,2,14.3%,155,88.6%,20,11.4%,9,100.0%,0,0.0%,35,85.4%,6,14.6%,85,95.5%,4,4.5%,47,87.0%,7,13.0%,29,93.5%,2,6.5%,138,75.0%,46,25.0%,3,100.0%
Suffolk,2,100.0%,0,0.0%,150,82.9%,31,17.1%,6,85.7%,1,14.3%,5,83.3%,1,16.7%,0,0,0,0,78,97.5%,2,2.5%,2,100.0%,0,0.0%,26,86.7%,4,13.3%,32,97.0%,1,3.0%,52,96.3%,2,3.7%,12,85.7%,2,14.3%,88,81.5%,20,18.5%,5,100.0%
Surrey,0,-,0,-,136,82.4%,29,17.6%,13,81.3%,3,18.8%,26,92.9%,2,7.1%,4,100.0%,0,0.0%,95,90.5%,10,9.5%,21,91.3%,2,8.7%,20,83.3%,4,16.7%,55,94.8%,3,5.2%,36,85.7%,6,14.3%,24,68.6%,11,31.4%,133,86.9%,20,13.1%,8,100.0%
Sussex,0,-,0,-,244,75.3%,80,24.7%,30,61.2%,19,38.8%,26,83.9%,5,16.1%,21,91.3%,2,8.7%,256,93.8%,17,6.2%,14,87.5%,2,12.5%,49,86.0%,8,14.0%,84,96.6%,3,3.4%,73,84.9%,13,15.1%,39,81.3%,9,18.8%,195,89.4%,23,10.6%,27,100.0%
Thames Valley,3,100.0%,0,0.0%,265,74.2%,92,25.8%,32,54.2%,27,45.8%,26,78.8%,7,21.2%,10,76.9%,3,23.1%,279,95.2%,14,4.8%,29,96.7%,1,3.3%,61,89.7%,7,10.3%,98,89.9%,11,10.1%,104,83.9%,20,16.1%,33,70.2%,14,29.8%,242,90.0%,27,10.0%,19,100.0%
Warwickshire,1,100.0%,0,0.0%,42,75.0%,14,25.0%,7,70.0%,3,30.0%,12,85.7%,2,14.3%,2,100.0%,0,0.0%,69,90.8%,7,9.2%,2,66.7%,1,33.3%,9,81.8%,2,18.2%,19,95.0%,1,5.0%,19,82.6%,4,17.4%,19,95.0%,1,5.0%,70,71.4%,28,28.6%,6,100.0%
West Mercia,2,100.0%,0,0.0%,197,86.8%,30,13.2%,18,69.2%,8,30.8%,19,82.6%,4,17.4%,3,100.0%,0,0.0%,133,91.1%,13,8.9%,10,90.9%,1,9.1%,49,90.7%,5,9.3%,51,98.1%,1,1.9%,45,88.2%,6,11.8%,21,87.5%,3,12.5%,154,88.0%,21,12.0%,4,100.0%
West Midlands,3,75.0%,1,25.0%,474,75.2%,156,24.8%,29,74.4%,10,25.6%,62,77.5%,18,22.5%,46,86.8%,7,13.2%,539,91.0%,53,9.0%,18,72.0%,7,28.0%,100,92.6%,8,7.4%,173,95.1%,9,4.9%,114,87.0%,17,13.0%,130,92.9%,10,7.1%,298,84.7%,54,15.3%,45,100.0%
West Yorkshire,4,100.0%,0,0.0%,424,77.7%,122,22.3%,46,76.7%,14,23.3%,67,87.0%,10,13.0%,24,96.0%,1,4.0%,396,93.2%,29,6.8%,23,79.3%,6,20.7%,99,86.8%,15,13.2%,150,96.2%,6,3.8%,128,83.7%,25,16.3%,49,79.0%,13,21.0%,304,87.4%,44,12.6%,36,100.0%
Wiltshire,0,-,0,-,91,83.5%,18,16.5%,6,66.7%,3,33.3%,8,80.0%,2,20.0%,2,66.7%,1,33.3%,71,92.2%,6,7.8%,6,100.0%,0,0.0%,24,85.7%,4,14.3%,24,92.3%,2,7.7%,29,76.3%,9,23.7%,4,80.0%,1,20.0%,75,89.3%,9,10.7%,3,100.0%
