,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,113,85.6%,19,14.4%,2,50.0%,2,50.0%,18,90.0%,2,10.0%,4,100.0%,0,0.0%,105,95.5%,5,4.5%,7,77.8%,2,22.2%,32,86.5%,5,13.5%,9,90.0%,1,10.0%,27,93.1%,2,6.9%,2,66.7%,1,33.3%,89,98.9%,1,1.1%,9,100.0%
Dyfed Powys,0,-,0,-,68,87.2%,10,12.8%,6,75.0%,2,25.0%,4,100.0%,0,0.0%,0,0,0,0,24,92.3%,2,7.7%,5,100.0%,0,0.0%,18,90.0%,2,10.0%,25,86.2%,4,13.8%,22,95.7%,1,4.3%,0,0.0%,1,100.0%,69,86.3%,11,13.8%,3,100.0%
Essex,4,100.0%,0,0.0%,227,78.3%,63,21.7%,35,83.3%,7,16.7%,30,88.2%,4,11.8%,14,100.0%,0,0.0%,136,93.8%,9,6.2%,20,90.9%,2,9.1%,24,77.4%,7,22.6%,73,91.3%,7,8.8%,36,73.5%,13,26.5%,8,88.9%,1,11.1%,213,73.4%,77,26.6%,16,100.0%
Gloucestershire,2,100.0%,0,0.0%,74,77.9%,21,22.1%,2,66.7%,1,33.3%,4,80.0%,1,20.0%,0,0,0,0,43,84.3%,8,15.7%,7,100.0%,0,0.0%,11,91.7%,1,8.3%,24,85.7%,4,14.3%,6,75.0%,2,25.0%,3,100.0%,0,0.0%,70,87.5%,10,12.5%,5,100.0%
GreaterManchester,3,75.0%,1,25.0%,452,84.3%,84,15.7%,92,76.7%,28,23.3%,44,95.7%,2,4.3%,29,90.6%,3,9.4%,140,94.0%,9,6.0%,26,86.7%,4,13.3%,69,94.5%,4,5.5%,96,93.2%,7,6.8%,114,91.9%,10,8.1%,36,94.7%,2,5.3%,331,86.2%,53,13.8%,22,100.0%
Gwent,0,-,0,-,71,79.8%,18,20.2%,8,72.7%,3,27.3%,7,100.0%,0,0.0%,1,50.0%,1,50.0%,54,93.1%,4,6.9%,11,91.7%,1,8.3%,18,75.0%,6,25.0%,29,87.9%,4,12.1%,27,81.8%,6,18.2%,7,87.5%,1,12.5%,74,90.2%,8,9.8%,2,100.0%
Hampshire,2,100.0%,0,0.0%,274,82.0%,60,18.0%,26,86.7%,4,13.3%,19,95.0%,1,5.0%,1,100.0%,0,0.0%,192,95.0%,10,5.0%,17,89.5%,2,10.5%,34,82.9%,7,17.1%,63,98.4%,1,1.6%,76,88.4%,10,11.6%,15,93.8%,1,6.3%,186,88.6%,24,11.4%,21,100.0%
Hertfordshire,0,-,0,-,151,83.4%,30,16.6%,3,75.0%,1,25.0%,25,86.2%,4,13.8%,4,100.0%,0,0.0%,129,92.8%,10,7.2%,31,88.6%,4,11.4%,23,79.3%,6,20.7%,59,98.3%,1,1.7%,34,77.3%,10,22.7%,11,100.0%,0,0.0%,130,77.8%,37,22.2%,17,100.0%
Humberside,2,100.0%,0,0.0%,167,88.8%,21,11.2%,7,70.0%,3,30.0%,30,85.7%,5,14.3%,4,66.7%,2,33.3%,130,94.2%,8,5.8%,13,92.9%,1,7.1%,36,92.3%,3,7.7%,47,94.0%,3,6.0%,33,89.2%,4,10.8%,11,91.7%,1,8.3%,97,87.4%,14,12.6%,14,100.0%
Kent,7,63.6%,4,36.4%,272,78.2%,76,21.8%,22,66.7%,11,33.3%,31,77.5%,9,22.5%,10,90.9%,1,9.1%,130,89.7%,15,10.3%,25,89.3%,3,10.7%,33,82.5%,7,17.5%,97,90.7%,10,9.3%,51,87.9%,7,12.1%,39,81.3%,9,18.8%,206,88.8%,26,11.2%,21,100.0%
Lancashire,4,80.0%,1,20.0%,255,80.4%,62,19.6%,9,100.0%,0,0.0%,50,94.3%,3,5.7%,27,84.4%,5,15.6%,203,88.6%,26,11.4%,19,95.0%,1,5.0%,47,85.5%,8,14.5%,64,92.8%,5,7.2%,116,93.5%,8,6.5%,15,100.0%,0,0.0%,233,89.3%,28,10.7%,17,100.0%
Leicestershire,3,75.0%,1,25.0%,178,80.2%,44,19.8%,17,70.8%,7,29.2%,26,89.7%,3,10.3%,4,57.1%,3,42.9%,124,93.9%,8,6.1%,19,90.5%,2,9.5%,22,78.6%,6,21.4%,38,84.4%,7,15.6%,26,81.3%,6,18.8%,10,83.3%,2,16.7%,132,79.0%,35,21.0%,24,100.0%
Lincolnshire,0,-,0,-,129,90.2%,14,9.8%,5,83.3%,1,16.7%,15,100.0%,0,0.0%,1,100.0%,0,0.0%,77,91.7%,7,8.3%,12,75.0%,4,25.0%,25,75.8%,8,24.2%,34,100.0%,0,0.0%,33,89.2%,4,10.8%,5,100.0%,0,0.0%,139,80.8%,33,19.2%,38,100.0%
Merseyside,1,50.0%,1,50.0%,269,81.8%,60,18.2%,26,86.7%,4,13.3%,19,90.5%,2,9.5%,8,100.0%,0,0.0%,153,98.1%,3,1.9%,17,63.0%,10,37.0%,58,95.1%,3,4.9%,177,94.7%,10,5.3%,55,76.4%,17,23.6%,10,90.9%,1,9.1%,244,84.4%,45,15.6%,25,100.0%
Metropolitan and City,18,81.8%,4,18.2%,"1,279",71.5%,511,28.5%,108,66.3%,55,33.7%,140,78.2%,39,21.8%,84,71.8%,33,28.2%,640,86.8%,97,13.2%,173,86.5%,27,13.5%,176,77.9%,50,22.1%,826,90.8%,84,9.2%,390,78.8%,105,21.2%,202,91.0%,20,9.0%,979,77.1%,291,22.9%,236,100.0%
Norfolk,2,100.0%,0,0.0%,154,81.9%,34,18.1%,10,90.9%,1,9.1%,7,87.5%,1,12.5%,7,100.0%,0,0.0%,91,90.1%,10,9.9%,12,92.3%,1,7.7%,42,87.5%,6,12.5%,43,100.0%,0,0.0%,66,86.8%,10,13.2%,4,66.7%,2,33.3%,146,90.7%,15,9.3%,7,100.0%
Northamptonshire,2,100.0%,0,0.0%,108,73.0%,40,27.0%,4,100.0%,0,0.0%,9,56.3%,7,43.8%,3,75.0%,1,25.0%,53,85.5%,9,14.5%,9,75.0%,3,25.0%,21,84.0%,4,16.0%,24,77.4%,7,22.6%,25,75.8%,8,24.2%,10,100.0%,0,0.0%,74,88.1%,10,11.9%,43,100.0%
Northumbria,0,-,0,-,236,71.1%,96,28.9%,32,78.0%,9,22.0%,33,73.3%,12,26.7%,4,100.0%,0,0.0%,293,92.1%,25,7.9%,24,82.8%,5,17.2%,60,80.0%,15,20.0%,61,87.1%,9,12.9%,121,84.0%,23,16.0%,10,83.3%,2,16.7%,187,86.2%,30,13.8%,6,100.0%
North Wales,1,50.0%,1,50.0%,167,83.9%,32,16.1%,15,75.0%,5,25.0%,14,82.4%,3,17.6%,4,66.7%,2,33.3%,75,97.4%,2,2.6%,6,75.0%,2,25.0%,27,81.8%,6,18.2%,35,97.2%,1,2.8%,43,95.6%,2,4.4%,8,80.0%,2,20.0%,113,89.0%,14,11.0%,1,100.0%
North Yorkshire,1,100.0%,0,0.0%,112,83.0%,23,17.0%,4,100.0%,0,0.0%,11,84.6%,2,15.4%,1,100.0%,0,0.0%,91,90.1%,10,9.9%,12,100.0%,0,0.0%,23,88.5%,3,11.5%,37,97.4%,1,2.6%,55,93.2%,4,6.8%,8,80.0%,2,20.0%,98,91.6%,9,8.4%,5,100.0%
Nottinghamshire,0,0.0%,1,100.0%,232,83.2%,47,16.8%,30,63.8%,17,36.2%,26,89.7%,3,10.3%,11,100.0%,0,0.0%,195,91.1%,19,8.9%,20,83.3%,4,16.7%,41,91.1%,4,8.9%,115,88.5%,15,11.5%,74,82.2%,16,17.8%,16,100.0%,0,0.0%,124,88.6%,16,11.4%,44,100.0%
South Wales,4,100.0%,0,0.0%,277,77.6%,80,22.4%,16,59.3%,11,40.7%,32,88.9%,4,11.1%,4,80.0%,1,20.0%,184,93.9%,12,6.1%,30,81.1%,7,18.9%,63,90.0%,7,10.0%,117,94.4%,7,5.6%,111,91.0%,11,9.0%,22,81.5%,5,18.5%,205,81.0%,48,19.0%,10,100.0%
South Yorkshire,2,66.7%,1,33.3%,183,75.9%,58,24.1%,14,87.5%,2,12.5%,33,82.5%,7,17.5%,9,60.0%,6,40.0%,114,95.8%,5,4.2%,13,100.0%,0,0.0%,34,79.1%,9,20.9%,56,98.2%,1,1.8%,63,88.7%,8,11.3%,11,84.6%,2,15.4%,100,86.2%,16,13.8%,21,100.0%
Staffordshire,2,100.0%,0,0.0%,146,76.4%,45,23.6%,13,59.1%,9,40.9%,11,78.6%,3,21.4%,5,83.3%,1,16.7%,129,97.7%,3,2.3%,13,86.7%,2,13.3%,35,87.5%,5,12.5%,53,94.6%,3,5.4%,53,91.4%,5,8.6%,26,96.3%,1,3.7%,140,92.1%,12,7.9%,18,100.0%
Suffolk,1,100.0%,0,0.0%,97,77.6%,28,22.4%,6,100.0%,0,0.0%,6,75.0%,2,25.0%,2,100.0%,0,0.0%,44,97.8%,1,2.2%,5,83.3%,1,16.7%,10,90.9%,1,9.1%,42,97.7%,1,2.3%,31,93.9%,2,6.1%,3,60.0%,2,40.0%,83,84.7%,15,15.3%,10,100.0%
Surrey,0,-,0,-,117,76.0%,37,24.0%,17,89.5%,2,10.5%,10,100.0%,0,0.0%,0,0,0,0,51,82.3%,11,17.7%,10,83.3%,2,16.7%,14,93.3%,1,6.7%,33,91.7%,3,8.3%,25,83.3%,5,16.7%,10,76.9%,3,23.1%,124,87.9%,17,12.1%,12,100.0%
Sussex,0,-,0,-,212,83.1%,43,16.9%,29,72.5%,11,27.5%,16,94.1%,1,5.9%,1,100.0%,0,0.0%,104,92.0%,9,8.0%,18,100.0%,0,0.0%,20,83.3%,4,16.7%,69,95.8%,3,4.2%,34,82.9%,7,17.1%,11,78.6%,3,21.4%,181,87.0%,27,13.0%,13,100.0%
Thames Valley,6,100.0%,0,0.0%,284,79.8%,72,20.2%,35,79.5%,9,20.5%,29,78.4%,8,21.6%,7,70.0%,3,30.0%,175,92.1%,15,7.9%,22,78.6%,6,21.4%,55,91.7%,5,8.3%,116,95.1%,6,4.9%,70,89.7%,8,10.3%,13,100.0%,0,0.0%,302,91.8%,27,8.2%,30,100.0%
Warwickshire,2,100.0%,0,0.0%,68,80.0%,17,20.0%,9,60.0%,6,40.0%,7,100.0%,0,0.0%,8,88.9%,1,11.1%,29,80.6%,7,19.4%,3,75.0%,1,25.0%,5,71.4%,2,28.6%,20,87.0%,3,13.0%,9,75.0%,3,25.0%,4,80.0%,1,20.0%,61,84.7%,11,15.3%,11,100.0%
West Mercia,1,25.0%,3,75.0%,179,82.5%,38,17.5%,21,72.4%,8,27.6%,15,100.0%,0,0.0%,9,90.0%,1,10.0%,117,96.7%,4,3.3%,11,78.6%,3,21.4%,31,79.5%,8,20.5%,43,86.0%,7,14.0%,45,88.2%,6,11.8%,8,72.7%,3,27.3%,184,89.8%,21,10.2%,16,100.0%
West Midlands,6,85.7%,1,14.3%,574,80.2%,142,19.8%,40,58.8%,28,41.2%,56,88.9%,7,11.1%,29,76.3%,9,23.7%,455,93.6%,31,6.4%,50,84.7%,9,15.3%,99,86.1%,16,13.9%,223,94.9%,12,5.1%,272,87.7%,38,12.3%,54,91.5%,5,8.5%,319,88.9%,40,11.1%,83,100.0%
West Yorkshire,3,100.0%,0,0.0%,439,74.9%,147,25.1%,74,84.1%,14,15.9%,59,81.9%,13,18.1%,27,93.1%,2,6.9%,233,94.0%,15,6.0%,18,78.3%,5,21.7%,96,90.6%,10,9.4%,88,93.6%,6,6.4%,109,92.4%,9,7.6%,28,90.3%,3,9.7%,288,84.0%,55,16.0%,29,100.0%
Wiltshire,0,-,0,-,83,90.2%,9,9.8%,8,100.0%,0,0.0%,11,100.0%,0,0.0%,1,100.0%,0,0.0%,82,95.3%,4,4.7%,14,100.0%,0,0.0%,17,100.0%,0,0.0%,26,100.0%,0,0.0%,14,70.0%,6,30.0%,2,100.0%,0,0.0%,69,95.8%,3,4.2%,4,100.0%
