,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,112,78.9%,30,21.1%,7,100.0%,0,0.0%,20,83.3%,4,16.7%,4,100.0%,0,0.0%,134,91.8%,12,8.2%,11,100.0%,0,0.0%,32,97.0%,1,3.0%,15,100.0%,0,0.0%,30,65.2%,16,34.8%,4,80.0%,1,20.0%,95,90.5%,10,9.5%,2,100.0%
Dyfed Powys,0,0.0%,1,100.0%,75,81.5%,17,18.5%,9,75.0%,3,25.0%,8,72.7%,3,27.3%,2,100.0%,0,0.0%,30,93.8%,2,6.3%,12,85.7%,2,14.3%,18,94.7%,1,5.3%,62,95.4%,3,4.6%,27,93.1%,2,6.9%,6,100.0%,0,0.0%,93,80.2%,23,19.8%,2,100.0%
Essex,2,100.0%,0,0.0%,334,76.8%,101,23.2%,37,71.2%,15,28.8%,31,81.6%,7,18.4%,6,60.0%,4,40.0%,187,88.2%,25,11.8%,18,94.7%,1,5.3%,70,89.7%,8,10.3%,73,92.4%,6,7.6%,53,84.1%,10,15.9%,17,81.0%,4,19.0%,226,88.3%,30,11.7%,21,100.0%
Gloucestershire,2,100.0%,0,0.0%,86,82.7%,18,17.3%,9,90.0%,1,10.0%,21,95.5%,1,4.5%,1,50.0%,1,50.0%,50,92.6%,4,7.4%,5,83.3%,1,16.7%,11,68.8%,5,31.3%,25,100.0%,0,0.0%,21,100.0%,0,0.0%,6,100.0%,0,0.0%,63,94.0%,4,6.0%,7,100.0%
GreaterManchester,4,80.0%,1,20.0%,574,77.4%,168,22.6%,87,77.7%,25,22.3%,88,87.1%,13,12.9%,22,84.6%,4,15.4%,271,95.8%,12,4.2%,23,82.1%,5,17.9%,88,85.4%,15,14.6%,102,92.7%,8,7.3%,153,86.0%,25,14.0%,37,92.5%,3,7.5%,345,83.3%,69,16.7%,32,100.0%
Gwent,0,-,0,-,101,80.8%,24,19.2%,11,73.3%,4,26.7%,11,64.7%,6,35.3%,1,50.0%,1,50.0%,77,92.8%,6,7.2%,15,100.0%,0,0.0%,30,85.7%,5,14.3%,47,94.0%,3,6.0%,30,83.3%,6,16.7%,5,100.0%,0,0.0%,92,81.4%,21,18.6%,8,100.0%
Hampshire,2,100.0%,0,0.0%,288,84.5%,53,15.5%,38,88.4%,5,11.6%,29,93.5%,2,6.5%,7,87.5%,1,12.5%,165,92.2%,14,7.8%,33,89.2%,4,10.8%,42,91.3%,4,8.7%,86,94.5%,5,5.5%,68,91.9%,6,8.1%,18,90.0%,2,10.0%,244,89.1%,30,10.9%,14,100.0%
Hertfordshire,2,100.0%,0,0.0%,171,79.2%,45,20.8%,7,87.5%,1,12.5%,16,88.9%,2,11.1%,5,71.4%,2,28.6%,159,91.4%,15,8.6%,40,93.0%,3,7.0%,29,78.4%,8,21.6%,84,91.3%,8,8.7%,45,88.2%,6,11.8%,9,81.8%,2,18.2%,123,83.1%,25,16.9%,15,100.0%
Humberside,1,100.0%,0,0.0%,175,85.8%,29,14.2%,30,71.4%,12,28.6%,22,81.5%,5,18.5%,8,88.9%,1,11.1%,151,96.8%,5,3.2%,7,63.6%,4,36.4%,55,93.2%,4,6.8%,57,96.6%,2,3.4%,66,90.4%,7,9.6%,13,86.7%,2,13.3%,119,87.5%,17,12.5%,12,100.0%
Kent,3,75.0%,1,25.0%,250,79.6%,64,20.4%,25,69.4%,11,30.6%,31,88.6%,4,11.4%,6,100.0%,0,0.0%,157,91.3%,15,8.7%,42,91.3%,4,8.7%,44,81.5%,10,18.5%,105,92.9%,8,7.1%,47,78.3%,13,21.7%,15,78.9%,4,21.1%,212,91.0%,21,9.0%,29,100.0%
Lancashire,2,66.7%,1,33.3%,311,79.1%,82,20.9%,26,100.0%,0,0.0%,39,78.0%,11,22.0%,13,86.7%,2,13.3%,233,93.6%,16,6.4%,17,81.0%,4,19.0%,53,89.8%,6,10.2%,107,95.5%,5,4.5%,130,88.4%,17,11.6%,25,80.6%,6,19.4%,240,84.5%,44,15.5%,4,100.0%
Leicestershire,1,100.0%,0,0.0%,136,84.5%,25,15.5%,21,70.0%,9,30.0%,8,80.0%,2,20.0%,2,100.0%,0,0.0%,88,96.7%,3,3.3%,15,100.0%,0,0.0%,27,87.1%,4,12.9%,27,100.0%,0,0.0%,39,90.7%,4,9.3%,8,80.0%,2,20.0%,118,87.4%,17,12.6%,10,100.0%
Lincolnshire,1,100.0%,0,0.0%,112,75.2%,37,24.8%,9,100.0%,0,0.0%,17,77.3%,5,22.7%,6,85.7%,1,14.3%,112,94.1%,7,5.9%,7,100.0%,0,0.0%,43,95.6%,2,4.4%,38,95.0%,2,5.0%,56,86.2%,9,13.8%,18,69.2%,8,30.8%,155,83.8%,30,16.2%,6,100.0%
Merseyside,3,100.0%,0,0.0%,345,82.1%,75,17.9%,38,67.9%,18,32.1%,34,91.9%,3,8.1%,8,88.9%,1,11.1%,182,94.8%,10,5.2%,23,92.0%,2,8.0%,67,91.8%,6,8.2%,205,92.3%,17,7.7%,99,92.5%,8,7.5%,26,89.7%,3,10.3%,194,88.2%,26,11.8%,20,100.0%
Metropolitan and City,26,76.5%,8,23.5%,"1,827",70.2%,775,29.8%,169,66.8%,84,33.2%,205,82.0%,45,18.0%,84,80.0%,21,20.0%,"1,087",85.2%,189,14.8%,263,84.3%,49,15.7%,265,79.8%,67,20.2%,"1,156",91.6%,106,8.4%,494,71.8%,194,28.2%,135,81.3%,31,18.7%,"1,010",76.6%,308,23.4%,221,100.0%
Norfolk,0,0.0%,1,100.0%,186,83.0%,38,17.0%,11,100.0%,0,0.0%,17,85.0%,3,15.0%,0,0.0%,1,100.0%,136,93.8%,9,6.2%,8,100.0%,0,0.0%,44,88.0%,6,12.0%,38,95.0%,2,5.0%,70,89.7%,8,10.3%,11,100.0%,0,0.0%,120,96.0%,5,4.0%,13,100.0%
Northamptonshire,3,100.0%,0,0.0%,115,75.7%,37,24.3%,4,100.0%,0,0.0%,7,77.8%,2,22.2%,1,50.0%,1,50.0%,89,91.8%,8,8.2%,6,85.7%,1,14.3%,24,96.0%,1,4.0%,35,97.2%,1,2.8%,30,78.9%,8,21.1%,11,91.7%,1,8.3%,128,87.7%,18,12.3%,17,100.0%
Northumbria,1,50.0%,1,50.0%,337,71.5%,134,28.5%,55,74.3%,19,25.7%,49,80.3%,12,19.7%,9,64.3%,5,35.7%,355,88.3%,47,11.7%,23,88.5%,3,11.5%,81,74.3%,28,25.7%,89,91.8%,8,8.2%,192,81.0%,45,19.0%,22,81.5%,5,18.5%,254,83.6%,50,16.4%,6,100.0%
North Wales,0,-,0,-,150,82.0%,33,18.0%,22,91.7%,2,8.3%,26,100.0%,0,0.0%,2,100.0%,0,0.0%,110,92.4%,9,7.6%,7,100.0%,0,0.0%,29,85.3%,5,14.7%,47,94.0%,3,6.0%,94,92.2%,8,7.8%,10,90.9%,1,9.1%,134,87.0%,20,13.0%,2,100.0%
North Yorkshire,0,-,0,-,118,82.5%,25,17.5%,5,83.3%,1,16.7%,15,93.8%,1,6.3%,1,100.0%,0,0.0%,135,95.1%,7,4.9%,8,88.9%,1,11.1%,31,100.0%,0,0.0%,39,90.7%,4,9.3%,40,90.9%,4,9.1%,9,81.8%,2,18.2%,134,95.0%,7,5.0%,6,100.0%
Nottinghamshire,1,100.0%,0,0.0%,280,80.2%,69,19.8%,33,73.3%,12,26.7%,19,67.9%,9,32.1%,17,85.0%,3,15.0%,266,90.8%,27,9.2%,15,78.9%,4,21.1%,51,78.5%,14,21.5%,109,94.8%,6,5.2%,87,84.5%,16,15.5%,18,90.0%,2,10.0%,165,83.3%,33,16.7%,20,100.0%
South Wales,3,100.0%,0,0.0%,356,74.2%,124,25.8%,26,72.2%,10,27.8%,25,80.6%,6,19.4%,11,100.0%,0,0.0%,223,94.1%,14,5.9%,30,88.2%,4,11.8%,66,88.0%,9,12.0%,112,95.7%,5,4.3%,126,90.6%,13,9.4%,21,91.3%,2,8.7%,216,74.2%,75,25.8%,12,100.0%
South Yorkshire,3,100.0%,0,0.0%,222,80.4%,54,19.6%,10,83.3%,2,16.7%,20,83.3%,4,16.7%,1,50.0%,1,50.0%,250,92.9%,19,7.1%,13,100.0%,0,0.0%,60,90.9%,6,9.1%,98,94.2%,6,5.8%,102,91.9%,9,8.1%,26,96.3%,1,3.7%,175,87.5%,25,12.5%,10,100.0%
Staffordshire,3,100.0%,0,0.0%,227,77.7%,65,22.3%,28,87.5%,4,12.5%,14,77.8%,4,22.2%,5,83.3%,1,16.7%,147,92.5%,12,7.5%,11,91.7%,1,8.3%,54,84.4%,10,15.6%,88,97.8%,2,2.2%,74,91.4%,7,8.6%,23,88.5%,3,11.5%,172,79.6%,44,20.4%,8,100.0%
Suffolk,0,-,0,-,128,88.9%,16,11.1%,2,66.7%,1,33.3%,14,93.3%,1,6.7%,2,100.0%,0,0.0%,54,94.7%,3,5.3%,8,100.0%,0,0.0%,27,90.0%,3,10.0%,34,100.0%,0,0.0%,33,91.7%,3,8.3%,7,87.5%,1,12.5%,108,96.4%,4,3.6%,6,100.0%
Surrey,0,-,0,-,159,78.7%,43,21.3%,5,35.7%,9,64.3%,17,81.0%,4,19.0%,2,100.0%,0,0.0%,47,92.2%,4,7.8%,8,88.9%,1,11.1%,17,77.3%,5,22.7%,32,94.1%,2,5.9%,29,96.7%,1,3.3%,11,78.6%,3,21.4%,102,86.4%,16,13.6%,15,100.0%
Sussex,0,-,0,-,230,83.3%,46,16.7%,33,66.0%,17,34.0%,26,74.3%,9,25.7%,8,72.7%,3,27.3%,147,93.0%,11,7.0%,12,100.0%,0,0.0%,41,82.0%,9,18.0%,58,92.1%,5,7.9%,71,89.9%,8,10.1%,26,100.0%,0,0.0%,192,94.1%,12,5.9%,13,100.0%
Thames Valley,5,83.3%,1,16.7%,369,77.4%,108,22.6%,40,65.6%,21,34.4%,14,60.9%,9,39.1%,14,93.3%,1,6.7%,227,90.1%,25,9.9%,30,83.3%,6,16.7%,53,79.1%,14,20.9%,105,98.1%,2,1.9%,92,78.6%,25,21.4%,24,92.3%,2,7.7%,254,88.8%,32,11.2%,20,100.0%
Warwickshire,4,100.0%,0,0.0%,83,81.4%,19,18.6%,9,90.0%,1,10.0%,10,90.9%,1,9.1%,1,50.0%,1,50.0%,78,97.5%,2,2.5%,4,80.0%,1,20.0%,11,84.6%,2,15.4%,16,100.0%,0,0.0%,23,88.5%,3,11.5%,2,100.0%,0,0.0%,106,74.6%,36,25.4%,6,100.0%
West Mercia,2,100.0%,0,0.0%,220,87.6%,31,12.4%,22,78.6%,6,21.4%,19,86.4%,3,13.6%,8,100.0%,0,0.0%,148,94.3%,9,5.7%,21,100.0%,0,0.0%,30,85.7%,5,14.3%,59,90.8%,6,9.2%,57,89.1%,7,10.9%,16,100.0%,0,0.0%,221,87.4%,32,12.6%,6,100.0%
West Midlands,10,66.7%,5,33.3%,773,79.4%,201,20.6%,62,65.3%,33,34.7%,61,81.3%,14,18.7%,37,82.2%,8,17.8%,683,94.2%,42,5.8%,72,85.7%,12,14.3%,112,89.6%,13,10.4%,294,95.5%,14,4.5%,317,83.6%,62,16.4%,71,80.7%,17,19.3%,401,84.1%,76,15.9%,57,100.0%
West Yorkshire,2,100.0%,0,0.0%,452,79.9%,114,20.1%,47,73.4%,17,26.6%,61,91.0%,6,9.0%,20,95.2%,1,4.8%,296,94.6%,17,5.4%,28,84.8%,5,15.2%,112,91.8%,10,8.2%,175,94.6%,10,5.4%,168,86.2%,27,13.8%,43,97.7%,1,2.3%,243,85.6%,41,14.4%,28,100.0%
Wiltshire,2,100.0%,0,0.0%,116,85.3%,20,14.7%,10,71.4%,4,28.6%,8,100.0%,0,0.0%,4,100.0%,0,0.0%,92,92.9%,7,7.1%,8,88.9%,1,11.1%,21,80.8%,5,19.2%,29,96.7%,1,3.3%,36,97.3%,1,2.7%,10,66.7%,5,33.3%,77,88.5%,10,11.5%,4,100.0%
