,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Humberside,1,100.0%,0,0.0%,160,83.8%,31,16.2%,28,70.0%,12,30.0%,32,78.0%,9,22.0%,6,66.7%,3,33.3%,140,97.9%,3,2.1%,7,100.0%,0,0.0%,48,87.3%,7,12.7%,51,96.2%,2,3.8%,63,92.6%,5,7.4%,9,90.0%,1,10.0%,115,92.0%,10,8.0%,9,100.0%
Kent,8,100.0%,0,0.0%,266,79.9%,67,20.1%,20,69.0%,9,31.0%,32,88.9%,4,11.1%,8,100.0%,0,0.0%,172,92.5%,14,7.5%,39,86.7%,6,13.3%,40,83.3%,8,16.7%,90,91.8%,8,8.2%,45,86.5%,7,13.5%,28,70.0%,12,30.0%,165,87.8%,23,12.2%,23,100.0%
Lancashire,2,100.0%,0,0.0%,230,72.6%,87,27.4%,18,94.7%,1,5.3%,40,87.0%,6,13.0%,12,80.0%,3,20.0%,186,93.0%,14,7.0%,30,90.9%,3,9.1%,53,85.5%,9,14.5%,76,90.5%,8,9.5%,99,89.2%,12,10.8%,18,72.0%,7,28.0%,201,81.0%,47,19.0%,6,100.0%
Leicestershire,1,100.0%,0,0.0%,135,79.9%,34,20.1%,26,76.5%,8,23.5%,19,100.0%,0,0.0%,2,100.0%,0,0.0%,104,95.4%,5,4.6%,11,84.6%,2,15.4%,31,86.1%,5,13.9%,36,97.3%,1,2.7%,55,90.2%,6,9.8%,8,72.7%,3,27.3%,119,89.5%,14,10.5%,7,100.0%
Lincolnshire,0,-,0,-,136,76.8%,41,23.2%,4,100.0%,0,0.0%,12,100.0%,0,0.0%,2,33.3%,4,66.7%,97,90.7%,10,9.3%,9,81.8%,2,18.2%,31,86.1%,5,13.9%,37,97.4%,1,2.6%,52,78.8%,14,21.2%,18,66.7%,9,33.3%,134,78.8%,36,21.2%,12,100.0%
Merseyside,1,100.0%,0,0.0%,325,86.0%,53,14.0%,30,78.9%,8,21.1%,22,88.0%,3,12.0%,10,90.9%,1,9.1%,200,97.6%,5,2.4%,25,73.5%,9,26.5%,41,85.4%,7,14.6%,164,94.8%,9,5.2%,96,88.9%,12,11.1%,18,90.0%,2,10.0%,212,90.2%,23,9.8%,15,100.0%
Metropolitan and City,21,70.0%,9,30.0%,"1,804",67.7%,862,32.3%,143,65.6%,75,34.4%,195,80.6%,47,19.4%,92,73.6%,33,26.4%,"1,022",84.0%,194,16.0%,283,84.0%,54,16.0%,240,73.8%,85,26.2%,"1,075",91.3%,102,8.7%,518,75.8%,165,24.2%,106,78.5%,29,21.5%,919,75.3%,301,24.7%,222,100.0%
Norfolk,0,-,0,-,154,81.9%,34,18.1%,13,86.7%,2,13.3%,20,87.0%,3,13.0%,6,100.0%,0,0.0%,116,94.3%,7,5.7%,9,81.8%,2,18.2%,40,87.0%,6,13.0%,44,100.0%,0,0.0%,69,92.0%,6,8.0%,16,88.9%,2,11.1%,98,96.1%,4,3.9%,12,100.0%
Northamptonshire,0,-,0,-,122,77.2%,36,22.8%,7,100.0%,0,0.0%,6,100.0%,0,0.0%,1,100.0%,0,0.0%,90,91.8%,8,8.2%,4,100.0%,0,0.0%,20,95.2%,1,4.8%,33,100.0%,0,0.0%,24,85.7%,4,14.3%,11,44.0%,14,56.0%,111,89.5%,13,10.5%,21,100.0%
Northumbria,6,85.7%,1,14.3%,295,77.6%,85,22.4%,41,74.5%,14,25.5%,52,83.9%,10,16.1%,2,33.3%,4,66.7%,304,92.7%,24,7.3%,24,82.8%,5,17.2%,77,80.2%,19,19.8%,98,97.0%,3,3.0%,158,83.6%,31,16.4%,20,83.3%,4,16.7%,198,84.3%,37,15.7%,13,100.0%
North Wales,1,100.0%,0,0.0%,144,78.3%,40,21.7%,24,77.4%,7,22.6%,19,90.5%,2,9.5%,0,0,0,0,112,94.1%,7,5.9%,12,80.0%,3,20.0%,29,87.9%,4,12.1%,42,95.5%,2,4.5%,45,78.9%,12,21.1%,9,100.0%,0,0.0%,121,86.4%,19,13.6%,6,100.0%
North Yorkshire,2,100.0%,0,0.0%,101,75.9%,32,24.1%,10,100.0%,0,0.0%,18,90.0%,2,10.0%,2,100.0%,0,0.0%,114,91.9%,10,8.1%,4,50.0%,4,50.0%,28,87.5%,4,12.5%,63,92.6%,5,7.4%,62,91.2%,6,8.8%,12,100.0%,0,0.0%,98,86.7%,15,13.3%,10,100.0%
Nottinghamshire,5,83.3%,1,16.7%,225,78.1%,63,21.9%,37,84.1%,7,15.9%,23,67.6%,11,32.4%,16,84.2%,3,15.8%,189,90.4%,20,9.6%,22,78.6%,6,21.4%,46,85.2%,8,14.8%,132,93.6%,9,6.4%,55,74.3%,19,25.7%,15,78.9%,4,21.1%,175,87.1%,26,12.9%,26,100.0%
South Wales,3,100.0%,0,0.0%,332,72.8%,124,27.2%,28,75.7%,9,24.3%,36,83.7%,7,16.3%,9,90.0%,1,10.0%,252,92.6%,20,7.4%,19,82.6%,4,17.4%,59,80.8%,14,19.2%,201,95.3%,10,4.7%,129,85.4%,22,14.6%,19,95.0%,1,5.0%,268,77.5%,78,22.5%,11,100.0%
South Yorkshire,4,57.1%,3,42.9%,213,73.7%,76,26.3%,13,100.0%,0,0.0%,25,86.2%,4,13.8%,13,92.9%,1,7.1%,226,95.0%,12,5.0%,23,88.5%,3,11.5%,60,88.2%,8,11.8%,127,99.2%,1,0.8%,87,95.6%,4,4.4%,18,94.7%,1,5.3%,174,85.7%,29,14.3%,20,100.0%
Staffordshire,1,20.0%,4,80.0%,215,72.1%,83,27.9%,23,74.2%,8,25.8%,30,100.0%,0,0.0%,5,100.0%,0,0.0%,147,98.0%,3,2.0%,6,85.7%,1,14.3%,48,87.3%,7,12.7%,65,94.2%,4,5.8%,94,81.7%,21,18.3%,13,92.9%,1,7.1%,162,80.6%,39,19.4%,15,100.0%
Suffolk,1,100.0%,0,0.0%,114,85.7%,19,14.3%,7,63.6%,4,36.4%,3,75.0%,1,25.0%,2,100.0%,0,0.0%,67,91.8%,6,8.2%,9,81.8%,2,18.2%,25,92.6%,2,7.4%,39,97.5%,1,2.5%,38,82.6%,8,17.4%,6,85.7%,1,14.3%,94,97.9%,2,2.1%,15,100.0%
Surrey,1,100.0%,0,0.0%,115,74.7%,39,25.3%,27,84.4%,5,15.6%,9,100.0%,0,0.0%,6,85.7%,1,14.3%,50,98.0%,1,2.0%,5,83.3%,1,16.7%,17,89.5%,2,10.5%,37,94.9%,2,5.1%,23,79.3%,6,20.7%,1,100.0%,0,0.0%,123,91.8%,11,8.2%,5,100.0%
Sussex,1,33.3%,2,66.7%,224,78.3%,62,21.7%,21,56.8%,16,43.2%,18,85.7%,3,14.3%,3,27.3%,8,72.7%,146,91.8%,13,8.2%,16,76.2%,5,23.8%,38,82.6%,8,17.4%,90,94.7%,5,5.3%,56,86.2%,9,13.8%,12,80.0%,3,20.0%,184,91.5%,17,8.5%,12,100.0%
Thames Valley,2,100.0%,0,0.0%,351,74.2%,122,25.8%,40,64.5%,22,35.5%,23,79.3%,6,20.7%,7,87.5%,1,12.5%,210,90.5%,22,9.5%,24,80.0%,6,20.0%,40,87.0%,6,13.0%,124,96.1%,5,3.9%,90,80.4%,22,19.6%,22,88.0%,3,12.0%,228,89.1%,28,10.9%,15,100.0%
Warwickshire,1,100.0%,0,0.0%,60,82.2%,13,17.8%,8,88.9%,1,11.1%,9,90.0%,1,10.0%,2,100.0%,0,0.0%,47,88.7%,6,11.3%,11,73.3%,4,26.7%,8,66.7%,4,33.3%,19,90.5%,2,9.5%,23,92.0%,2,8.0%,5,83.3%,1,16.7%,94,87.0%,14,13.0%,2,100.0%
West Mercia,0,-,0,-,199,82.9%,41,17.1%,19,63.3%,11,36.7%,18,75.0%,6,25.0%,1,50.0%,1,50.0%,167,91.3%,16,8.7%,11,91.7%,1,8.3%,35,81.4%,8,18.6%,82,95.3%,4,4.7%,68,84.0%,13,16.0%,13,92.9%,1,7.1%,182,80.2%,45,19.8%,3,100.0%
West Midlands,5,71.4%,2,28.6%,655,75.8%,209,24.2%,83,76.9%,25,23.1%,67,82.7%,14,17.3%,39,83.0%,8,17.0%,548,92.6%,44,7.4%,67,81.7%,15,18.3%,96,88.9%,12,11.1%,243,94.2%,15,5.8%,249,81.4%,57,18.6%,75,96.2%,3,3.8%,349,81.9%,77,18.1%,75,100.0%
West Yorkshire,7,87.5%,1,12.5%,475,79.8%,120,20.2%,65,76.5%,20,23.5%,56,87.5%,8,12.5%,19,79.2%,5,20.8%,345,94.5%,20,5.5%,27,84.4%,5,15.6%,89,87.3%,13,12.7%,131,94.9%,7,5.1%,135,83.9%,26,16.1%,46,97.9%,1,2.1%,298,87.4%,43,12.6%,32,100.0%
Wiltshire,0,-,0,-,114,94.2%,7,5.8%,16,88.9%,2,11.1%,11,100.0%,0,0.0%,1,100.0%,0,0.0%,91,93.8%,6,6.2%,10,83.3%,2,16.7%,21,91.3%,2,8.7%,36,92.3%,3,7.7%,45,90.0%,5,10.0%,3,100.0%,0,0.0%,61,93.8%,4,6.2%,3,100.0%
