,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,144,87.3%,21,12.7%,4,100.0%,0,0.0%,23,82.1%,5,17.9%,2,66.7%,1,33.3%,117,92.9%,9,7.1%,6,66.7%,3,33.3%,30,88.2%,4,11.8%,29,100.0%,0,0.0%,34,85.0%,6,15.0%,12,92.3%,1,7.7%,101,96.2%,4,3.8%,5,100.0%
Dyfed Powys,2,100.0%,0,0.0%,67,80.7%,16,19.3%,7,53.8%,6,46.2%,5,83.3%,1,16.7%,2,100.0%,0,0.0%,42,95.5%,2,4.5%,3,100.0%,0,0.0%,12,92.3%,1,7.7%,48,96.0%,2,4.0%,33,94.3%,2,5.7%,4,57.1%,3,42.9%,80,77.7%,23,22.3%,6,100.0%
Essex,6,75.0%,2,25.0%,346,77.4%,101,22.6%,48,76.2%,15,23.8%,25,86.2%,4,13.8%,9,90.0%,1,10.0%,188,91.3%,18,8.7%,27,75.0%,9,25.0%,62,89.9%,7,10.1%,91,92.9%,7,7.1%,70,77.8%,20,22.2%,20,80.0%,5,20.0%,204,84.0%,39,16.0%,14,100.0%
Gloucestershire,3,100.0%,0,0.0%,79,78.2%,22,21.8%,4,100.0%,0,0.0%,13,86.7%,2,13.3%,1,100.0%,0,0.0%,70,93.3%,5,6.7%,6,85.7%,1,14.3%,13,76.5%,4,23.5%,26,100.0%,0,0.0%,12,80.0%,3,20.0%,2,100.0%,0,0.0%,65,91.5%,6,8.5%,8,100.0%
GreaterManchester,5,83.3%,1,16.7%,604,79.5%,156,20.5%,112,72.7%,42,27.3%,61,85.9%,10,14.1%,16,88.9%,2,11.1%,318,96.4%,12,3.6%,34,97.1%,1,2.9%,91,85.0%,16,15.0%,152,96.2%,6,3.8%,160,89.9%,18,10.1%,48,76.2%,15,23.8%,387,87.8%,54,12.2%,30,100.0%
Gwent,0,-,0,-,122,87.1%,18,12.9%,11,78.6%,3,21.4%,13,100.0%,0,0.0%,3,75.0%,1,25.0%,97,94.2%,6,5.8%,5,71.4%,2,28.6%,21,80.8%,5,19.2%,58,98.3%,1,1.7%,25,86.2%,4,13.8%,5,100.0%,0,0.0%,84,85.7%,14,14.3%,5,100.0%
Hampshire,4,100.0%,0,0.0%,269,87.6%,38,12.4%,41,85.4%,7,14.6%,34,94.4%,2,5.6%,6,100.0%,0,0.0%,176,92.1%,15,7.9%,17,73.9%,6,26.1%,39,84.8%,7,15.2%,85,96.6%,3,3.4%,61,84.7%,11,15.3%,16,80.0%,4,20.0%,213,90.6%,22,9.4%,14,100.0%
Hertfordshire,1,50.0%,1,50.0%,221,77.3%,65,22.7%,17,89.5%,2,10.5%,21,75.0%,7,25.0%,5,100.0%,0,0.0%,220,94.4%,13,5.6%,39,92.9%,3,7.1%,36,75.0%,12,25.0%,71,94.7%,4,5.3%,53,79.1%,14,20.9%,11,78.6%,3,21.4%,157,82.6%,33,17.4%,11,100.0%
Humberside,3,100.0%,0,0.0%,152,84.4%,28,15.6%,28,71.8%,11,28.2%,29,80.6%,7,19.4%,10,100.0%,0,0.0%,184,95.3%,9,4.7%,11,84.6%,2,15.4%,47,87.0%,7,13.0%,61,93.8%,4,6.2%,74,93.7%,5,6.3%,16,61.5%,10,38.5%,121,93.1%,9,6.9%,6,100.0%
Kent,11,100.0%,0,0.0%,244,80.0%,61,20.0%,22,61.1%,14,38.9%,44,93.6%,3,6.4%,10,66.7%,5,33.3%,157,89.2%,19,10.8%,39,76.5%,12,23.5%,31,86.1%,5,13.9%,63,94.0%,4,6.0%,53,93.0%,4,7.0%,10,76.9%,3,23.1%,170,84.6%,31,15.4%,23,100.0%
Lancashire,3,60.0%,2,40.0%,330,79.1%,87,20.9%,24,92.3%,2,7.7%,42,84.0%,8,16.0%,11,73.3%,4,26.7%,271,93.8%,18,6.2%,34,94.4%,2,5.6%,63,78.8%,17,21.3%,100,95.2%,5,4.8%,135,89.4%,16,10.6%,27,96.4%,1,3.6%,283,85.5%,48,14.5%,13,100.0%
Leicestershire,6,75.0%,2,25.0%,173,77.9%,49,22.1%,25,75.8%,8,24.2%,22,75.9%,7,24.1%,5,71.4%,2,28.6%,90,90.9%,9,9.1%,15,93.8%,1,6.3%,33,94.3%,2,5.7%,37,86.0%,6,14.0%,52,83.9%,10,16.1%,12,100.0%,0,0.0%,147,88.0%,20,12.0%,5,100.0%
Lincolnshire,0,-,0,-,166,83.4%,33,16.6%,5,100.0%,0,0.0%,22,95.7%,1,4.3%,3,100.0%,0,0.0%,102,91.9%,9,8.1%,9,81.8%,2,18.2%,24,88.9%,3,11.1%,37,94.9%,2,5.1%,46,88.5%,6,11.5%,6,66.7%,3,33.3%,124,74.7%,42,25.3%,6,100.0%
Merseyside,2,100.0%,0,0.0%,356,83.2%,72,16.8%,46,75.4%,15,24.6%,24,82.8%,5,17.2%,10,100.0%,0,0.0%,236,94.8%,13,5.2%,25,92.6%,2,7.4%,49,83.1%,10,16.9%,189,97.9%,4,2.1%,120,86.3%,19,13.7%,13,86.7%,2,13.3%,219,86.9%,33,13.1%,17,100.0%
Metropolitan and City,20,80.0%,5,20.0%,"1,814",71.1%,739,28.9%,161,69.1%,72,30.9%,240,79.7%,61,20.3%,83,78.3%,23,21.7%,"1,119",86.6%,173,13.4%,260,83.9%,50,16.1%,267,80.9%,63,19.1%,"1,166",92.3%,97,7.7%,530,77.7%,152,22.3%,152,81.3%,35,18.7%,"1,009",74.3%,349,25.7%,211,100.0%
Norfolk,0,0.0%,1,100.0%,193,81.4%,44,18.6%,13,86.7%,2,13.3%,14,82.4%,3,17.6%,6,75.0%,2,25.0%,121,91.7%,11,8.3%,12,100.0%,0,0.0%,48,96.0%,2,4.0%,52,92.9%,4,7.1%,69,78.4%,19,21.6%,11,100.0%,0,0.0%,111,87.4%,16,12.6%,13,100.0%
Northamptonshire,1,100.0%,0,0.0%,125,75.3%,41,24.7%,6,85.7%,1,14.3%,17,81.0%,4,19.0%,6,100.0%,0,0.0%,75,92.6%,6,7.4%,12,85.7%,2,14.3%,26,81.3%,6,18.8%,35,97.2%,1,2.8%,33,89.2%,4,10.8%,5,100.0%,0,0.0%,95,79.2%,25,20.8%,11,100.0%
Northumbria,4,100.0%,0,0.0%,339,72.6%,128,27.4%,57,69.5%,25,30.5%,54,87.1%,8,12.9%,12,100.0%,0,0.0%,331,92.2%,28,7.8%,31,91.2%,3,8.8%,62,74.7%,21,25.3%,96,93.2%,7,6.8%,146,73.7%,52,26.3%,15,71.4%,6,28.6%,243,85.9%,40,14.1%,7,100.0%
North Wales,1,100.0%,0,0.0%,173,82.8%,36,17.2%,14,77.8%,4,22.2%,10,66.7%,5,33.3%,2,100.0%,0,0.0%,128,99.2%,1,0.8%,10,83.3%,2,16.7%,35,83.3%,7,16.7%,48,96.0%,2,4.0%,47,77.0%,14,23.0%,7,100.0%,0,0.0%,81,84.4%,15,15.6%,3,100.0%
North Yorkshire,1,100.0%,0,0.0%,116,79.5%,30,20.5%,7,87.5%,1,12.5%,10,55.6%,8,44.4%,8,100.0%,0,0.0%,108,93.1%,8,6.9%,7,77.8%,2,22.2%,23,88.5%,3,11.5%,51,92.7%,4,7.3%,44,89.8%,5,10.2%,9,100.0%,0,0.0%,107,93.9%,7,6.1%,6,100.0%
Nottinghamshire,2,100.0%,0,0.0%,258,72.7%,97,27.3%,36,70.6%,15,29.4%,30,85.7%,5,14.3%,7,50.0%,7,50.0%,262,94.6%,15,5.4%,25,86.2%,4,13.8%,46,75.4%,15,24.6%,98,97.0%,3,3.0%,90,84.9%,16,15.1%,25,92.6%,2,7.4%,139,83.2%,28,16.8%,11,100.0%
South Wales,5,62.5%,3,37.5%,397,75.8%,127,24.2%,27,65.9%,14,34.1%,51,79.7%,13,20.3%,5,83.3%,1,16.7%,294,95.5%,14,4.5%,17,94.4%,1,5.6%,50,87.7%,7,12.3%,204,98.6%,3,1.4%,137,87.3%,20,12.7%,19,90.5%,2,9.5%,299,79.1%,79,20.9%,5,100.0%
South Yorkshire,1,100.0%,0,0.0%,197,74.3%,68,25.7%,3,100.0%,0,0.0%,25,71.4%,10,28.6%,8,66.7%,4,33.3%,289,96.0%,12,4.0%,11,73.3%,4,26.7%,55,78.6%,15,21.4%,88,94.6%,5,5.4%,87,86.1%,14,13.9%,26,100.0%,0,0.0%,171,91.0%,17,9.0%,14,100.0%
Staffordshire,4,80.0%,1,20.0%,221,82.2%,48,17.8%,24,80.0%,6,20.0%,16,84.2%,3,15.8%,5,83.3%,1,16.7%,157,94.0%,10,6.0%,14,100.0%,0,0.0%,50,78.1%,14,21.9%,61,93.8%,4,6.2%,67,94.4%,4,5.6%,15,93.8%,1,6.3%,164,77.0%,49,23.0%,9,100.0%
Suffolk,0,-,0,-,119,85.6%,20,14.4%,7,87.5%,1,12.5%,9,100.0%,0,0.0%,1,100.0%,0,0.0%,81,94.2%,5,5.8%,8,80.0%,2,20.0%,19,79.2%,5,20.8%,41,100.0%,0,0.0%,39,86.7%,6,13.3%,4,100.0%,0,0.0%,77,93.9%,5,6.1%,11,100.0%
Surrey,0,-,0,-,149,81.0%,35,19.0%,9,40.9%,13,59.1%,7,87.5%,1,12.5%,6,85.7%,1,14.3%,59,86.8%,9,13.2%,8,88.9%,1,11.1%,19,79.2%,5,20.8%,42,97.7%,1,2.3%,24,75.0%,8,25.0%,6,100.0%,0,0.0%,122,95.3%,6,4.7%,13,100.0%
Sussex,1,100.0%,0,0.0%,278,81.5%,63,18.5%,25,54.3%,21,45.7%,27,90.0%,3,10.0%,3,50.0%,3,50.0%,205,93.2%,15,6.8%,20,87.0%,3,13.0%,30,78.9%,8,21.1%,83,97.6%,2,2.4%,53,74.6%,18,25.4%,16,84.2%,3,15.8%,180,89.6%,21,10.4%,16,100.0%
Thames Valley,2,66.7%,1,33.3%,421,75.0%,140,25.0%,54,65.1%,29,34.9%,44,91.7%,4,8.3%,5,83.3%,1,16.7%,292,90.7%,30,9.3%,45,84.9%,8,15.1%,52,82.5%,11,17.5%,141,98.6%,2,1.4%,114,80.3%,28,19.7%,25,83.3%,5,16.7%,276,89.9%,31,10.1%,17,100.0%
Warwickshire,1,50.0%,1,50.0%,81,85.3%,14,14.7%,8,80.0%,2,20.0%,8,88.9%,1,11.1%,3,100.0%,0,0.0%,53,91.4%,5,8.6%,7,77.8%,2,22.2%,9,81.8%,2,18.2%,21,84.0%,4,16.0%,19,95.0%,1,5.0%,5,71.4%,2,28.6%,95,82.6%,20,17.4%,4,100.0%
West Mercia,0,-,0,-,173,77.6%,50,22.4%,35,72.9%,13,27.1%,16,84.2%,3,15.8%,1,16.7%,5,83.3%,180,94.7%,10,5.3%,23,85.2%,4,14.8%,35,92.1%,3,7.9%,64,92.8%,5,7.2%,68,94.4%,4,5.6%,22,91.7%,2,8.3%,200,86.2%,32,13.8%,8,100.0%
West Midlands,14,93.3%,1,6.7%,810,82.3%,174,17.7%,76,58.0%,55,42.0%,93,76.2%,29,23.8%,40,81.6%,9,18.4%,659,91.9%,58,8.1%,109,86.5%,17,13.5%,109,87.2%,16,12.8%,259,94.2%,16,5.8%,316,87.1%,47,12.9%,82,84.5%,15,15.5%,395,85.7%,66,14.3%,88,100.0%
West Yorkshire,11,91.7%,1,8.3%,509,81.4%,116,18.6%,43,78.2%,12,21.8%,48,78.7%,13,21.3%,19,90.5%,2,9.5%,338,94.4%,20,5.6%,33,84.6%,6,15.4%,95,87.2%,14,12.8%,199,86.9%,30,13.1%,127,86.4%,20,13.6%,25,69.4%,11,30.6%,282,85.2%,49,14.8%,33,100.0%
Wiltshire,0,-,0,-,126,92.6%,10,7.4%,13,76.5%,4,23.5%,12,100.0%,0,0.0%,2,100.0%,0,0.0%,76,91.6%,7,8.4%,11,84.6%,2,15.4%,25,92.6%,2,7.4%,39,90.7%,4,9.3%,30,96.8%,1,3.2%,10,100.0%,0,0.0%,71,93.4%,5,6.6%,5,100.0%
