,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Norfolk,0,-,0,-,201,81.7%,45,18.3%,23,95.8%,1,4.2%,14,100.0%,0,0.0%,1,100.0%,0,0.0%,135,93.8%,9,6.3%,8,100.0%,0,0.0%,38,86.4%,6,13.6%,68,100.0%,0,0.0%,91,90.1%,10,9.9%,18,85.7%,3,14.3%,120,90.9%,12,9.1%,12,100.0%
Northamptonshire,3,100.0%,0,0.0%,109,80.1%,27,19.9%,7,87.5%,1,12.5%,16,100.0%,0,0.0%,1,100.0%,0,0.0%,64,94.1%,4,5.9%,6,85.7%,1,14.3%,18,90.0%,2,10.0%,25,100.0%,0,0.0%,29,87.9%,4,12.1%,5,83.3%,1,16.7%,88,87.1%,13,12.9%,11,100.0%
Northumbria,1,50.0%,1,50.0%,287,74.9%,96,25.1%,50,78.1%,14,21.9%,49,77.8%,14,22.2%,6,75.0%,2,25.0%,236,86.1%,38,13.9%,31,88.6%,4,11.4%,66,79.5%,17,20.5%,52,83.9%,10,16.1%,139,79.4%,36,20.6%,19,86.4%,3,13.6%,217,83.5%,43,16.5%,9,100.0%
North Wales,0,-,0,-,153,80.5%,37,19.5%,20,90.9%,2,9.1%,17,85.0%,3,15.0%,3,75.0%,1,25.0%,109,93.2%,8,6.8%,14,77.8%,4,22.2%,54,90.0%,6,10.0%,35,92.1%,3,7.9%,63,91.3%,6,8.7%,6,85.7%,1,14.3%,107,89.2%,13,10.8%,8,100.0%
North Yorkshire,0,-,0,-,139,81.8%,31,18.2%,8,88.9%,1,11.1%,16,64.0%,9,36.0%,3,100.0%,0,0.0%,108,94.7%,6,5.3%,7,63.6%,4,36.4%,33,84.6%,6,15.4%,37,100.0%,0,0.0%,58,87.9%,8,12.1%,11,100.0%,0,0.0%,122,96.1%,5,3.9%,8,100.0%
Nottinghamshire,0,-,0,-,229,75.6%,74,24.4%,54,84.4%,10,15.6%,16,80.0%,4,20.0%,14,82.4%,3,17.6%,136,90.7%,14,9.3%,11,78.6%,3,21.4%,52,80.0%,13,20.0%,115,89.8%,13,10.2%,82,86.3%,13,13.7%,12,85.7%,2,14.3%,167,88.8%,21,11.2%,40,100.0%
South Wales,3,60.0%,2,40.0%,389,72.3%,149,27.7%,33,80.5%,8,19.5%,40,78.4%,11,21.6%,15,83.3%,3,16.7%,222,94.1%,14,5.9%,18,94.7%,1,5.3%,84,88.4%,11,11.6%,150,97.4%,4,2.6%,121,89.6%,14,10.4%,18,78.3%,5,21.7%,245,82.8%,51,17.2%,11,100.0%
South Yorkshire,0,-,0,-,211,77.0%,63,23.0%,8,88.9%,1,11.1%,26,89.7%,3,10.3%,8,88.9%,1,11.1%,257,95.5%,12,4.5%,9,90.0%,1,10.0%,65,86.7%,10,13.3%,78,94.0%,5,6.0%,97,91.5%,9,8.5%,15,93.8%,1,6.3%,186,88.6%,24,11.4%,25,100.0%
Staffordshire,3,100.0%,0,0.0%,246,77.8%,70,22.2%,20,74.1%,7,25.9%,31,88.6%,4,11.4%,16,94.1%,1,5.9%,153,92.2%,13,7.8%,9,100.0%,0,0.0%,46,75.4%,15,24.6%,69,100.0%,0,0.0%,61,87.1%,9,12.9%,21,87.5%,3,12.5%,167,81.9%,37,18.1%,8,100.0%
Suffolk,0,-,0,-,124,86.7%,19,13.3%,4,66.7%,2,33.3%,13,92.9%,1,7.1%,2,100.0%,0,0.0%,58,89.2%,7,10.8%,4,80.0%,1,20.0%,28,96.6%,1,3.4%,28,96.6%,1,3.4%,38,82.6%,8,17.4%,5,100.0%,0,0.0%,77,93.9%,5,6.1%,7,100.0%
Surrey,0,-,0,-,118,78.7%,32,21.3%,22,95.7%,1,4.3%,10,90.9%,1,9.1%,2,100.0%,0,0.0%,35,94.6%,2,5.4%,5,100.0%,0,0.0%,12,85.7%,2,14.3%,34,97.1%,1,2.9%,29,82.9%,6,17.1%,2,100.0%,0,0.0%,104,93.7%,7,6.3%,9,100.0%
Sussex,0,-,0,-,241,79.3%,63,20.7%,25,59.5%,17,40.5%,12,85.7%,2,14.3%,3,50.0%,3,50.0%,128,97.0%,4,3.0%,17,81.0%,4,19.0%,31,77.5%,9,22.5%,111,96.5%,4,3.5%,60,81.1%,14,18.9%,16,76.2%,5,23.8%,190,92.2%,16,7.8%,13,100.0%
Thames Valley,2,66.7%,1,33.3%,353,72.0%,137,28.0%,54,65.9%,28,34.1%,38,76.0%,12,24.0%,10,66.7%,5,33.3%,197,92.1%,17,7.9%,37,86.0%,6,14.0%,48,68.6%,22,31.4%,115,95.8%,5,4.2%,118,83.1%,24,16.9%,30,96.8%,1,3.2%,274,84.8%,49,15.2%,19,100.0%
Warwickshire,0,-,0,-,87,81.3%,20,18.7%,5,62.5%,3,37.5%,5,100.0%,0,0.0%,2,100.0%,0,0.0%,66,94.3%,4,5.7%,4,80.0%,1,20.0%,18,78.3%,5,21.7%,25,100.0%,0,0.0%,23,85.2%,4,14.8%,4,100.0%,0,0.0%,88,79.3%,23,20.7%,6,100.0%
West Mercia,4,66.7%,2,33.3%,213,81.9%,47,18.1%,33,84.6%,6,15.4%,24,92.3%,2,7.7%,7,77.8%,2,22.2%,176,92.6%,14,7.4%,5,83.3%,1,16.7%,37,78.7%,10,21.3%,74,93.7%,5,6.3%,68,89.5%,8,10.5%,11,91.7%,1,8.3%,209,87.8%,29,12.2%,13,100.0%
West Midlands,1,50.0%,1,50.0%,655,80.0%,164,20.0%,61,65.6%,32,34.4%,59,84.3%,11,15.7%,39,81.3%,9,18.8%,587,94.1%,37,5.9%,61,80.3%,15,19.7%,109,89.3%,13,10.7%,245,94.2%,15,5.8%,255,86.1%,41,13.9%,66,82.5%,14,17.5%,337,84.5%,62,15.5%,76,100.0%
West Yorkshire,0,-,0,-,452,78.1%,127,21.9%,61,80.3%,15,19.7%,54,90.0%,6,10.0%,11,68.8%,5,31.3%,282,94.6%,16,5.4%,34,87.2%,5,12.8%,81,74.3%,28,25.7%,156,93.4%,11,6.6%,133,88.7%,17,11.3%,34,100.0%,0,0.0%,262,85.9%,43,14.1%,27,100.0%
Wiltshire,0,-,0,-,100,89.3%,12,10.7%,11,78.6%,3,21.4%,5,55.6%,4,44.4%,1,100.0%,0,0.0%,69,95.8%,3,4.2%,9,90.0%,1,10.0%,20,95.2%,1,4.8%,39,90.7%,4,9.3%,46,88.5%,6,11.5%,6,100.0%,0,0.0%,67,89.3%,8,10.7%,4,100.0%
