,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Kent,7,77.8%,2,22.2%,243,76.9%,73,23.1%,21,75.0%,7,25.0%,23,95.8%,1,4.2%,4,100.0%,0,0.0%,134,84.8%,24,15.2%,23,88.5%,3,11.5%,32,91.4%,3,8.6%,85,95.5%,4,4.5%,59,86.8%,9,13.2%,25,80.6%,6,19.4%,125,88.0%,17,12.0%,18,100.0%
Lancashire,2,100.0%,0,0.0%,215,77.3%,63,22.7%,15,100.0%,0,0.0%,44,95.7%,2,4.3%,6,100.0%,0,0.0%,204,95.3%,10,4.7%,14,93.3%,1,6.7%,49,80.3%,12,19.7%,64,94.1%,4,5.9%,98,93.3%,7,6.7%,15,78.9%,4,21.1%,201,86.3%,32,13.7%,16,100.0%
Leicestershire,3,100.0%,0,0.0%,135,81.8%,30,18.2%,23,79.3%,6,20.7%,13,76.5%,4,23.5%,2,50.0%,2,50.0%,82,94.3%,5,5.7%,9,90.0%,1,10.0%,29,87.9%,4,12.1%,21,100.0%,0,0.0%,36,94.7%,2,5.3%,4,100.0%,0,0.0%,107,81.7%,24,18.3%,11,100.0%
Lincolnshire,2,100.0%,0,0.0%,132,81.0%,31,19.0%,9,100.0%,0,0.0%,24,92.3%,2,7.7%,5,83.3%,1,16.7%,97,90.7%,10,9.3%,12,75.0%,4,25.0%,19,90.5%,2,9.5%,21,95.5%,1,4.5%,36,90.0%,4,10.0%,11,73.3%,4,26.7%,106,78.5%,29,21.5%,17,100.0%
Merseyside,2,100.0%,0,0.0%,310,84.0%,59,16.0%,20,71.4%,8,28.6%,16,100.0%,0,0.0%,6,100.0%,0,0.0%,163,92.1%,14,7.9%,10,100.0%,0,0.0%,40,80.0%,10,20.0%,167,96.0%,7,4.0%,58,95.1%,3,4.9%,15,78.9%,4,21.1%,210,88.6%,27,11.4%,19,100.0%
Metropolitan and City,20,74.1%,7,25.9%,"1,461",69.6%,637,30.4%,152,68.8%,69,31.2%,166,80.2%,41,19.8%,62,66.7%,31,33.3%,880,87.2%,129,12.8%,247,85.5%,42,14.5%,216,75.3%,71,24.7%,973,90.4%,103,9.6%,442,77.3%,130,22.7%,96,82.8%,20,17.2%,950,81.8%,211,18.2%,267,100.0%
Norfolk,0,-,0,-,146,82.5%,31,17.5%,9,81.8%,2,18.2%,17,100.0%,0,0.0%,2,100.0%,0,0.0%,125,94.7%,7,5.3%,5,100.0%,0,0.0%,16,80.0%,4,20.0%,54,98.2%,1,1.8%,75,93.8%,5,6.3%,12,100.0%,0,0.0%,141,96.6%,5,3.4%,14,100.0%
Northamptonshire,1,50.0%,1,50.0%,77,73.3%,28,26.7%,4,100.0%,0,0.0%,7,100.0%,0,0.0%,5,83.3%,1,16.7%,69,93.2%,5,6.8%,3,75.0%,1,25.0%,22,81.5%,5,18.5%,25,92.6%,2,7.4%,24,88.9%,3,11.1%,4,100.0%,0,0.0%,65,85.5%,11,14.5%,19,100.0%
Northumbria,6,75.0%,2,25.0%,240,74.1%,84,25.9%,34,60.7%,22,39.3%,42,75.0%,14,25.0%,2,25.0%,6,75.0%,278,88.0%,38,12.0%,22,75.9%,7,24.1%,57,78.1%,16,21.9%,62,84.9%,11,15.1%,131,81.4%,30,18.6%,20,90.9%,2,9.1%,183,64.0%,103,36.0%,27,100.0%
North Wales,0,-,0,-,125,81.7%,28,18.3%,23,76.7%,7,23.3%,9,90.0%,1,10.0%,2,100.0%,0,0.0%,108,99.1%,1,0.9%,11,100.0%,0,0.0%,32,88.9%,4,11.1%,27,96.4%,1,3.6%,45,88.2%,6,11.8%,11,100.0%,0,0.0%,97,89.8%,11,10.2%,8,100.0%
North Yorkshire,1,100.0%,0,0.0%,107,78.7%,29,21.3%,4,66.7%,2,33.3%,5,71.4%,2,28.6%,1,100.0%,0,0.0%,120,94.5%,7,5.5%,5,55.6%,4,44.4%,40,90.9%,4,9.1%,29,96.7%,1,3.3%,35,85.4%,6,14.6%,14,87.5%,2,12.5%,119,90.8%,12,9.2%,4,100.0%
Nottinghamshire,5,83.3%,1,16.7%,212,74.6%,72,25.4%,46,79.3%,12,20.7%,24,85.7%,4,14.3%,4,80.0%,1,20.0%,147,87.5%,21,12.5%,12,100.0%,0,0.0%,43,78.2%,12,21.8%,111,94.1%,7,5.9%,80,86.0%,13,14.0%,24,96.0%,1,4.0%,139,86.9%,21,13.1%,44,100.0%
South Wales,6,100.0%,0,0.0%,317,80.7%,76,19.3%,26,83.9%,5,16.1%,27,93.1%,2,6.9%,4,66.7%,2,33.3%,214,95.5%,10,4.5%,19,90.5%,2,9.5%,53,85.5%,9,14.5%,138,95.8%,6,4.2%,117,87.3%,17,12.7%,9,75.0%,3,25.0%,206,92.0%,18,8.0%,17,100.0%
South Yorkshire,3,75.0%,1,25.0%,212,74.6%,72,25.4%,12,92.3%,1,7.7%,20,80.0%,5,20.0%,7,77.8%,2,22.2%,196,96.1%,8,3.9%,13,100.0%,0,0.0%,50,79.4%,13,20.6%,69,90.8%,7,9.2%,78,89.7%,9,10.3%,9,100.0%,0,0.0%,158,85.4%,27,14.6%,20,100.0%
Staffordshire,0,-,0,-,175,80.6%,42,19.4%,23,82.1%,5,17.9%,28,87.5%,4,12.5%,3,100.0%,0,0.0%,160,93.6%,11,6.4%,7,87.5%,1,12.5%,32,78.0%,9,22.0%,52,86.7%,8,13.3%,64,84.2%,12,15.8%,12,92.3%,1,7.7%,146,88.0%,20,12.0%,8,100.0%
Suffolk,1,50.0%,1,50.0%,106,87.6%,15,12.4%,7,100.0%,0,0.0%,6,85.7%,1,14.3%,2,100.0%,0,0.0%,52,100.0%,0,0.0%,2,100.0%,0,0.0%,22,91.7%,2,8.3%,35,89.7%,4,10.3%,33,86.8%,5,13.2%,7,100.0%,0,0.0%,96,95.0%,5,5.0%,11,100.0%
Surrey,0,-,0,-,95,74.2%,33,25.8%,16,76.2%,5,23.8%,4,80.0%,1,20.0%,3,100.0%,0,0.0%,56,98.2%,1,1.8%,7,77.8%,2,22.2%,15,83.3%,3,16.7%,28,87.5%,4,12.5%,20,87.0%,3,13.0%,6,85.7%,1,14.3%,93,95.9%,4,4.1%,11,100.0%
Sussex,0,-,0,-,196,85.2%,34,14.8%,21,77.8%,6,22.2%,21,100.0%,0,0.0%,8,80.0%,2,20.0%,94,96.9%,3,3.1%,9,81.8%,2,18.2%,28,90.3%,3,9.7%,67,95.7%,3,4.3%,51,92.7%,4,7.3%,18,94.7%,1,5.3%,182,91.9%,16,8.1%,16,100.0%
Thames Valley,3,100.0%,0,0.0%,295,74.9%,99,25.1%,44,75.9%,14,24.1%,31,81.6%,7,18.4%,12,63.2%,7,36.8%,216,95.6%,10,4.4%,31,96.9%,1,3.1%,47,92.2%,4,7.8%,114,91.9%,10,8.1%,74,70.5%,31,29.5%,22,88.0%,3,12.0%,233,85.3%,40,14.7%,40,100.0%
Warwickshire,1,100.0%,0,0.0%,60,78.9%,16,21.1%,13,100.0%,0,0.0%,6,75.0%,2,25.0%,0,0,0,0,81,96.4%,3,3.6%,8,80.0%,2,20.0%,12,92.3%,1,7.7%,16,100.0%,0,0.0%,30,93.8%,2,6.3%,1,50.0%,1,50.0%,59,81.9%,13,18.1%,3,100.0%
West Mercia,1,100.0%,0,0.0%,204,84.3%,38,15.7%,24,68.6%,11,31.4%,6,54.5%,5,45.5%,2,66.7%,1,33.3%,149,95.5%,7,4.5%,11,84.6%,2,15.4%,29,82.9%,6,17.1%,57,96.6%,2,3.4%,53,86.9%,8,13.1%,11,84.6%,2,15.4%,199,85.4%,34,14.6%,12,100.0%
West Midlands,6,66.7%,3,33.3%,587,77.2%,173,22.8%,64,68.8%,29,31.2%,62,89.9%,7,10.1%,39,79.6%,10,20.4%,504,91.1%,49,8.9%,50,87.7%,7,12.3%,101,91.0%,10,9.0%,206,94.1%,13,5.9%,203,87.9%,28,12.1%,54,88.5%,7,11.5%,309,85.6%,52,14.4%,80,100.0%
West Yorkshire,6,75.0%,2,25.0%,413,79.3%,108,20.7%,59,71.1%,24,28.9%,57,74.0%,20,26.0%,16,61.5%,10,38.5%,232,93.2%,17,6.8%,25,75.8%,8,24.2%,77,86.5%,12,13.5%,129,95.6%,6,4.4%,108,90.0%,12,10.0%,34,87.2%,5,12.8%,270,85.4%,46,14.6%,37,100.0%
Wiltshire,0,-,0,-,84,88.4%,11,11.6%,8,61.5%,5,38.5%,4,80.0%,1,20.0%,3,100.0%,0,0.0%,61,96.8%,2,3.2%,10,100.0%,0,0.0%,17,85.0%,3,15.0%,28,93.3%,2,6.7%,17,85.0%,3,15.0%,4,100.0%,0,0.0%,68,94.4%,4,5.6%,5,100.0%
