,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,102,87.9%,14,12.1%,5,100.0%,0,0.0%,23,92.0%,2,8.0%,1,100.0%,0,0.0%,104,94.5%,6,5.5%,8,88.9%,1,11.1%,35,85.4%,6,14.6%,19,95.0%,1,5.0%,44,88.0%,6,12.0%,7,53.8%,6,46.2%,113,98.3%,2,1.7%,3,100.0%
Dyfed Powys,1,100.0%,0,0.0%,62,83.8%,12,16.2%,5,41.7%,7,58.3%,4,100.0%,0,0.0%,0,0,0,0,34,94.4%,2,5.6%,10,90.9%,1,9.1%,7,53.8%,6,46.2%,63,90.0%,7,10.0%,20,90.9%,2,9.1%,6,100.0%,0,0.0%,93,80.2%,23,19.8%,1,100.0%
Essex,5,55.6%,4,44.4%,246,74.5%,84,25.5%,40,71.4%,16,28.6%,33,75.0%,11,25.0%,6,85.7%,1,14.3%,172,86.0%,28,14.0%,20,87.0%,3,13.0%,55,82.1%,12,17.9%,75,96.2%,3,3.8%,73,90.1%,8,9.9%,12,100.0%,0,0.0%,184,87.2%,27,12.8%,15,100.0%
Gloucestershire,1,100.0%,0,0.0%,88,86.3%,14,13.7%,4,80.0%,1,20.0%,10,100.0%,0,0.0%,0,0,0,0,57,100.0%,0,0.0%,6,100.0%,0,0.0%,17,94.4%,1,5.6%,19,100.0%,0,0.0%,15,78.9%,4,21.1%,1,100.0%,0,0.0%,57,89.1%,7,10.9%,9,100.0%
GreaterManchester,4,57.1%,3,42.9%,590,81.3%,136,18.7%,97,67.4%,47,32.6%,61,93.8%,4,6.2%,19,82.6%,4,17.4%,321,93.6%,22,6.4%,38,80.9%,9,19.1%,95,85.6%,16,14.4%,140,94.0%,9,6.0%,182,90.1%,20,9.9%,34,82.9%,7,17.1%,314,83.3%,63,16.7%,22,100.0%
Gwent,0,-,0,-,75,77.3%,22,22.7%,9,100.0%,0,0.0%,8,100.0%,0,0.0%,1,100.0%,0,0.0%,73,93.6%,5,6.4%,2,100.0%,0,0.0%,23,76.7%,7,23.3%,45,97.8%,1,2.2%,21,80.8%,5,19.2%,6,66.7%,3,33.3%,89,95.7%,4,4.3%,6,100.0%
Hampshire,3,75.0%,1,25.0%,250,84.7%,45,15.3%,36,78.3%,10,21.7%,30,90.9%,3,9.1%,6,75.0%,2,25.0%,203,96.2%,8,3.8%,23,85.2%,4,14.8%,35,83.3%,7,16.7%,65,92.9%,5,7.1%,59,90.8%,6,9.2%,21,87.5%,3,12.5%,223,89.6%,26,10.4%,9,100.0%
Hertfordshire,1,100.0%,0,0.0%,172,80.4%,42,19.6%,9,75.0%,3,25.0%,21,100.0%,0,0.0%,3,50.0%,3,50.0%,155,88.6%,20,11.4%,34,100.0%,0,0.0%,21,80.8%,5,19.2%,72,98.6%,1,1.4%,31,83.8%,6,16.2%,18,100.0%,0,0.0%,131,81.9%,29,18.1%,3,100.0%
Humberside,0,-,0,-,150,82.9%,31,17.1%,28,63.6%,16,36.4%,37,88.1%,5,11.9%,5,71.4%,2,28.6%,179,93.7%,12,6.3%,9,90.0%,1,10.0%,38,84.4%,7,15.6%,48,92.3%,4,7.7%,89,89.9%,10,10.1%,9,81.8%,2,18.2%,99,81.1%,23,18.9%,6,100.0%
Kent,7,87.5%,1,12.5%,247,79.2%,65,20.8%,23,63.9%,13,36.1%,38,92.7%,3,7.3%,13,86.7%,2,13.3%,154,92.8%,12,7.2%,25,83.3%,5,16.7%,29,80.6%,7,19.4%,93,94.9%,5,5.1%,62,92.5%,5,7.5%,25,83.3%,5,16.7%,195,88.2%,26,11.8%,14,100.0%
Lancashire,6,75.0%,2,25.0%,255,79.2%,67,20.8%,28,80.0%,7,20.0%,33,89.2%,4,10.8%,6,66.7%,3,33.3%,257,95.9%,11,4.1%,20,90.9%,2,9.1%,62,82.7%,13,17.3%,86,93.5%,6,6.5%,149,91.4%,14,8.6%,29,82.9%,6,17.1%,249,84.7%,45,15.3%,5,100.0%
Leicestershire,6,85.7%,1,14.3%,148,85.1%,26,14.9%,32,68.1%,15,31.9%,18,85.7%,3,14.3%,1,50.0%,1,50.0%,113,92.6%,9,7.4%,8,80.0%,2,20.0%,33,86.8%,5,13.2%,39,95.1%,2,4.9%,34,81.0%,8,19.0%,7,63.6%,4,36.4%,123,84.8%,22,15.2%,13,100.0%
Lincolnshire,1,100.0%,0,0.0%,160,83.3%,32,16.7%,4,100.0%,0,0.0%,20,100.0%,0,0.0%,0,0.0%,1,100.0%,136,92.5%,11,7.5%,5,62.5%,3,37.5%,26,83.9%,5,16.1%,28,87.5%,4,12.5%,48,82.8%,10,17.2%,14,63.6%,8,36.4%,131,84.5%,24,15.5%,9,100.0%
Merseyside,3,100.0%,0,0.0%,301,83.1%,61,16.9%,26,72.2%,10,27.8%,18,90.0%,2,10.0%,14,93.3%,1,6.7%,192,95.0%,10,5.0%,14,87.5%,2,12.5%,42,76.4%,13,23.6%,186,92.5%,15,7.5%,87,89.7%,10,10.3%,18,100.0%,0,0.0%,203,90.2%,22,9.8%,18,100.0%
Metropolitan and City,27,79.4%,7,20.6%,"1,704",70.5%,714,29.5%,129,62.0%,79,38.0%,188,79.0%,50,21.0%,96,81.4%,22,18.6%,"1,027",85.2%,179,14.8%,242,85.5%,41,14.5%,248,80.5%,60,19.5%,"1,082",91.5%,101,8.5%,502,75.5%,163,24.5%,150,84.7%,27,15.3%,"1,081",75.5%,350,24.5%,223,100.0%
Norfolk,5,100.0%,0,0.0%,192,81.4%,44,18.6%,9,90.0%,1,10.0%,14,100.0%,0,0.0%,0,0.0%,2,100.0%,110,90.2%,12,9.8%,4,44.4%,5,55.6%,36,85.7%,6,14.3%,41,100.0%,0,0.0%,63,81.8%,14,18.2%,9,100.0%,0,0.0%,87,95.6%,4,4.4%,9,100.0%
Northamptonshire,0,-,0,-,134,76.6%,41,23.4%,3,100.0%,0,0.0%,6,75.0%,2,25.0%,7,77.8%,2,22.2%,92,91.1%,9,8.9%,11,84.6%,2,15.4%,17,60.7%,11,39.3%,37,97.4%,1,2.6%,26,68.4%,12,31.6%,6,100.0%,0,0.0%,108,87.1%,16,12.9%,13,100.0%
Northumbria,1,100.0%,0,0.0%,296,76.9%,89,23.1%,48,65.8%,25,34.2%,34,70.8%,14,29.2%,5,50.0%,5,50.0%,384,89.7%,44,10.3%,31,93.9%,2,6.1%,85,81.7%,19,18.3%,93,95.9%,4,4.1%,190,90.5%,20,9.5%,31,88.6%,4,11.4%,235,81.9%,52,18.1%,11,100.0%
North Wales,0,-,0,-,158,81.4%,36,18.6%,20,69.0%,9,31.0%,14,100.0%,0,0.0%,1,100.0%,0,0.0%,116,97.5%,3,2.5%,9,81.8%,2,18.2%,39,95.1%,2,4.9%,34,100.0%,0,0.0%,47,87.0%,7,13.0%,6,85.7%,1,14.3%,110,85.9%,18,14.1%,3,100.0%
North Yorkshire,2,50.0%,2,50.0%,124,81.0%,29,19.0%,8,88.9%,1,11.1%,16,84.2%,3,15.8%,5,100.0%,0,0.0%,126,90.6%,13,9.4%,13,76.5%,4,23.5%,26,86.7%,4,13.3%,36,97.3%,1,2.7%,64,95.5%,3,4.5%,10,90.9%,1,9.1%,110,92.4%,9,7.6%,8,100.0%
Nottinghamshire,6,85.7%,1,14.3%,281,77.0%,84,23.0%,28,75.7%,9,24.3%,34,89.5%,4,10.5%,6,85.7%,1,14.3%,234,90.3%,25,9.7%,14,82.4%,3,17.6%,44,81.5%,10,18.5%,107,95.5%,5,4.5%,85,81.0%,20,19.0%,13,81.3%,3,18.8%,161,86.6%,25,13.4%,12,100.0%
South Wales,2,66.7%,1,33.3%,334,73.9%,118,26.1%,16,53.3%,14,46.7%,30,73.2%,11,26.8%,5,62.5%,3,37.5%,241,94.5%,14,5.5%,30,93.8%,2,6.3%,75,92.6%,6,7.4%,134,97.1%,4,2.9%,120,89.6%,14,10.4%,15,93.8%,1,6.3%,260,82.0%,57,18.0%,9,100.0%
South Yorkshire,4,100.0%,0,0.0%,202,80.5%,49,19.5%,8,80.0%,2,20.0%,34,91.9%,3,8.1%,10,100.0%,0,0.0%,255,94.8%,14,5.2%,16,84.2%,3,15.8%,64,84.2%,12,15.8%,97,95.1%,5,4.9%,95,89.6%,11,10.4%,15,100.0%,0,0.0%,163,89.6%,19,10.4%,21,100.0%
Staffordshire,1,100.0%,0,0.0%,216,77.7%,62,22.3%,18,85.7%,3,14.3%,14,93.3%,1,6.7%,3,60.0%,2,40.0%,146,93.0%,11,7.0%,11,91.7%,1,8.3%,58,89.2%,7,10.8%,72,97.3%,2,2.7%,72,90.0%,8,10.0%,20,95.2%,1,4.8%,172,82.3%,37,17.7%,17,100.0%
Suffolk,0,-,0,-,117,88.0%,16,12.0%,5,62.5%,3,37.5%,12,92.3%,1,7.7%,7,77.8%,2,22.2%,62,89.9%,7,10.1%,1,50.0%,1,50.0%,30,100.0%,0,0.0%,36,100.0%,0,0.0%,32,94.1%,2,5.9%,4,100.0%,0,0.0%,98,96.1%,4,3.9%,9,100.0%
Surrey,0,-,0,-,127,80.9%,30,19.1%,7,63.6%,4,36.4%,16,94.1%,1,5.9%,3,75.0%,1,25.0%,72,97.3%,2,2.7%,10,100.0%,0,0.0%,24,88.9%,3,11.1%,38,95.0%,2,5.0%,40,76.9%,12,23.1%,12,92.3%,1,7.7%,108,93.1%,8,6.9%,7,100.0%
Sussex,0,-,0,-,239,83.6%,47,16.4%,24,61.5%,15,38.5%,41,93.2%,3,6.8%,8,88.9%,1,11.1%,165,93.8%,11,6.3%,21,91.3%,2,8.7%,37,94.9%,2,5.1%,67,94.4%,4,5.6%,63,87.5%,9,12.5%,10,90.9%,1,9.1%,177,93.7%,12,6.3%,14,100.0%
Thames Valley,8,88.9%,1,11.1%,396,73.6%,142,26.4%,45,68.2%,21,31.8%,50,83.3%,10,16.7%,17,89.5%,2,10.5%,303,91.5%,28,8.5%,32,88.9%,4,11.1%,54,87.1%,8,12.9%,149,94.3%,9,5.7%,115,79.3%,30,20.7%,37,94.9%,2,5.1%,242,83.2%,49,16.8%,30,100.0%
Warwickshire,6,100.0%,0,0.0%,91,85.0%,16,15.0%,10,83.3%,2,16.7%,13,92.9%,1,7.1%,1,50.0%,1,50.0%,59,92.2%,5,7.8%,7,70.0%,3,30.0%,12,80.0%,3,20.0%,12,100.0%,0,0.0%,14,77.8%,4,22.2%,1,100.0%,0,0.0%,81,80.2%,20,19.8%,7,100.0%
West Mercia,2,100.0%,0,0.0%,200,78.4%,55,21.6%,31,86.1%,5,13.9%,21,75.0%,7,25.0%,3,75.0%,1,25.0%,164,94.8%,9,5.2%,15,83.3%,3,16.7%,38,86.4%,6,13.6%,71,92.2%,6,7.8%,66,90.4%,7,9.6%,12,85.7%,2,14.3%,191,87.2%,28,12.8%,8,100.0%
West Midlands,10,83.3%,2,16.7%,627,78.3%,174,21.7%,74,76.3%,23,23.7%,56,80.0%,14,20.0%,44,73.3%,16,26.7%,607,94.8%,33,5.2%,85,89.5%,10,10.5%,90,84.9%,16,15.1%,246,95.7%,11,4.3%,263,79.7%,67,20.3%,61,87.1%,9,12.9%,358,85.6%,60,14.4%,54,100.0%
West Yorkshire,6,100.0%,0,0.0%,446,76.4%,138,23.6%,83,81.4%,19,18.6%,78,86.7%,12,13.3%,30,93.8%,2,6.3%,329,95.1%,17,4.9%,38,88.4%,5,11.6%,113,89.0%,14,11.0%,167,90.3%,18,9.7%,163,89.1%,20,10.9%,44,97.8%,1,2.2%,333,87.4%,48,12.6%,18,100.0%
Wiltshire,0,-,0,-,99,82.5%,21,17.5%,10,90.9%,1,9.1%,9,90.0%,1,10.0%,6,100.0%,0,0.0%,73,92.4%,6,7.6%,6,100.0%,0,0.0%,23,100.0%,0,0.0%,22,100.0%,0,0.0%,20,74.1%,7,25.9%,10,100.0%,0,0.0%,66,91.7%,6,8.3%,2,100.0%
