,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Lincolnshire,0,-,0,-,116,81.7%,26,18.3%,9,81.8%,2,18.2%,15,88.2%,2,11.8%,2,100.0%,0,0.0%,102,85.7%,17,14.3%,8,80.0%,2,20.0%,27,96.4%,1,3.6%,29,96.7%,1,3.3%,41,77.4%,12,22.6%,15,83.3%,3,16.7%,104,86.7%,16,13.3%,12,100.0%
Merseyside,1,100.0%,0,0.0%,423,86.2%,68,13.8%,39,81.3%,9,18.8%,27,93.1%,2,6.9%,8,80.0%,2,20.0%,254,96.9%,8,3.1%,34,89.5%,4,10.5%,48,90.6%,5,9.4%,199,95.2%,10,4.8%,100,81.3%,23,18.7%,19,82.6%,4,17.4%,191,86.0%,31,14.0%,15,100.0%
Metropolitan and City,15,78.9%,4,21.1%,"1,802",70.4%,759,29.6%,127,69.4%,56,30.6%,208,75.9%,66,24.1%,110,71.4%,44,28.6%,"1,043",84.2%,196,15.8%,259,82.7%,54,17.3%,289,83.0%,59,17.0%,"1,101",92.0%,96,8.0%,541,74.1%,189,25.9%,158,82.3%,34,17.7%,"1,118",73.2%,409,26.8%,199,100.0%
Norfolk,0,-,0,-,175,78.1%,49,21.9%,15,100.0%,0,0.0%,10,100.0%,0,0.0%,3,100.0%,0,0.0%,99,90.0%,11,10.0%,15,83.3%,3,16.7%,34,91.9%,3,8.1%,66,95.7%,3,4.3%,78,89.7%,9,10.3%,10,83.3%,2,16.7%,99,87.6%,14,12.4%,12,100.0%
Northamptonshire,1,50.0%,1,50.0%,130,78.8%,35,21.2%,2,50.0%,2,50.0%,13,86.7%,2,13.3%,1,33.3%,2,66.7%,100,91.7%,9,8.3%,6,85.7%,1,14.3%,22,62.9%,13,37.1%,35,92.1%,3,7.9%,23,71.9%,9,28.1%,9,100.0%,0,0.0%,98,84.5%,18,15.5%,10,100.0%
Northumbria,1,50.0%,1,50.0%,362,74.8%,122,25.2%,25,75.8%,8,24.2%,44,78.6%,12,21.4%,10,76.9%,3,23.1%,412,92.0%,36,8.0%,27,77.1%,8,22.9%,101,78.9%,27,21.1%,140,94.6%,8,5.4%,196,82.7%,41,17.3%,27,96.4%,1,3.6%,211,88.7%,27,11.3%,18,100.0%
North Wales,0,-,0,-,173,85.6%,29,14.4%,13,65.0%,7,35.0%,11,78.6%,3,21.4%,3,100.0%,0,0.0%,122,93.8%,8,6.2%,9,100.0%,0,0.0%,55,84.6%,10,15.4%,42,89.4%,5,10.6%,68,88.3%,9,11.7%,12,92.3%,1,7.7%,114,83.2%,23,16.8%,4,100.0%
North Yorkshire,1,100.0%,0,0.0%,116,81.7%,26,18.3%,5,83.3%,1,16.7%,18,100.0%,0,0.0%,7,100.0%,0,0.0%,97,95.1%,5,4.9%,13,100.0%,0,0.0%,36,92.3%,3,7.7%,32,97.0%,1,3.0%,56,91.8%,5,8.2%,12,85.7%,2,14.3%,120,93.0%,9,7.0%,5,100.0%
Nottinghamshire,1,100.0%,0,0.0%,255,75.2%,84,24.8%,41,83.7%,8,16.3%,30,90.9%,3,9.1%,3,50.0%,3,50.0%,197,90.8%,20,9.2%,9,52.9%,8,47.1%,55,82.1%,12,17.9%,122,93.8%,8,6.2%,81,78.6%,22,21.4%,14,87.5%,2,12.5%,167,89.3%,20,10.7%,26,100.0%
South Wales,1,100.0%,0,0.0%,393,78.9%,105,21.1%,15,55.6%,12,44.4%,54,88.5%,7,11.5%,6,85.7%,1,14.3%,270,96.8%,9,3.2%,36,90.0%,4,10.0%,64,88.9%,8,11.1%,152,96.8%,5,3.2%,129,87.8%,18,12.2%,6,75.0%,2,25.0%,213,82.2%,46,17.8%,15,100.0%
South Yorkshire,1,100.0%,0,0.0%,219,81.1%,51,18.9%,1,50.0%,1,50.0%,39,92.9%,3,7.1%,11,84.6%,2,15.4%,263,94.9%,14,5.1%,13,92.9%,1,7.1%,45,81.8%,10,18.2%,89,97.8%,2,2.2%,94,93.1%,7,6.9%,17,85.0%,3,15.0%,180,85.3%,31,14.7%,10,100.0%
Staffordshire,1,100.0%,0,0.0%,238,81.8%,53,18.2%,23,69.7%,10,30.3%,24,77.4%,7,22.6%,4,100.0%,0,0.0%,143,89.4%,17,10.6%,9,81.8%,2,18.2%,64,83.1%,13,16.9%,83,96.5%,3,3.5%,83,91.2%,8,8.8%,10,83.3%,2,16.7%,213,82.6%,45,17.4%,16,100.0%
Suffolk,1,100.0%,0,0.0%,117,86.7%,18,13.3%,6,66.7%,3,33.3%,8,72.7%,3,27.3%,0,0.0%,1,100.0%,75,97.4%,2,2.6%,8,80.0%,2,20.0%,23,85.2%,4,14.8%,37,94.9%,2,5.1%,41,93.2%,3,6.8%,7,100.0%,0,0.0%,100,95.2%,5,4.8%,7,100.0%
Surrey,0,-,0,-,160,84.2%,30,15.8%,17,70.8%,7,29.2%,12,100.0%,0,0.0%,3,42.9%,4,57.1%,62,86.1%,10,13.9%,10,76.9%,3,23.1%,18,90.0%,2,10.0%,36,94.7%,2,5.3%,18,85.7%,3,14.3%,2,100.0%,0,0.0%,105,91.3%,10,8.7%,8,100.0%
Sussex,1,100.0%,0,0.0%,265,82.8%,55,17.2%,39,68.4%,18,31.6%,23,69.7%,10,30.3%,9,69.2%,4,30.8%,169,95.5%,8,4.5%,19,100.0%,0,0.0%,44,81.5%,10,18.5%,86,90.5%,9,9.5%,72,85.7%,12,14.3%,10,71.4%,4,28.6%,200,91.7%,18,8.3%,20,100.0%
Thames Valley,3,75.0%,1,25.0%,482,71.4%,193,28.6%,44,71.0%,18,29.0%,56,76.7%,17,23.3%,14,70.0%,6,30.0%,358,90.9%,36,9.1%,28,80.0%,7,20.0%,72,82.8%,15,17.2%,197,90.0%,22,10.0%,114,78.6%,31,21.4%,28,87.5%,4,12.5%,310,84.9%,55,15.1%,23,100.0%
Warwickshire,1,50.0%,1,50.0%,65,82.3%,14,17.7%,6,66.7%,3,33.3%,10,90.9%,1,9.1%,0,0,0,0,50,90.9%,5,9.1%,5,100.0%,0,0.0%,7,70.0%,3,30.0%,20,100.0%,0,0.0%,32,88.9%,4,11.1%,7,87.5%,1,12.5%,98,79.7%,25,20.3%,5,100.0%
West Mercia,1,100.0%,0,0.0%,231,79.7%,59,20.3%,18,66.7%,9,33.3%,28,82.4%,6,17.6%,3,100.0%,0,0.0%,126,98.4%,2,1.6%,13,76.5%,4,23.5%,38,90.5%,4,9.5%,65,95.6%,3,4.4%,74,87.1%,11,12.9%,12,92.3%,1,7.7%,248,82.1%,54,17.9%,12,100.0%
West Midlands,7,63.6%,4,36.4%,727,80.6%,175,19.4%,66,75.0%,22,25.0%,68,88.3%,9,11.7%,44,81.5%,10,18.5%,632,91.9%,56,8.1%,102,87.2%,15,12.8%,132,89.2%,16,10.8%,283,92.5%,23,7.5%,278,83.0%,57,17.0%,80,86.0%,13,14.0%,349,84.1%,66,15.9%,83,100.0%
West Yorkshire,5,62.5%,3,37.5%,472,78.8%,127,21.2%,48,72.7%,18,27.3%,72,92.3%,6,7.7%,18,85.7%,3,14.3%,313,89.7%,36,10.3%,40,93.0%,3,7.0%,98,83.8%,19,16.2%,135,91.2%,13,8.8%,121,86.4%,19,13.6%,19,90.5%,2,9.5%,287,85.4%,49,14.6%,33,100.0%
Wiltshire,1,100.0%,0,0.0%,113,83.7%,22,16.3%,10,76.9%,3,23.1%,7,100.0%,0,0.0%,3,100.0%,0,0.0%,81,90.0%,9,10.0%,13,92.9%,1,7.1%,19,90.5%,2,9.5%,27,100.0%,0,0.0%,30,90.9%,3,9.1%,4,66.7%,2,33.3%,92,97.9%,2,2.1%,4,100.0%
