,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,110,82.1%,24,17.9%,4,100.0%,0,0.0%,14,82.4%,3,17.6%,1,100.0%,0,0.0%,107,92.2%,9,7.8%,11,78.6%,3,21.4%,21,84.0%,4,16.0%,19,100.0%,0,0.0%,17,65.4%,9,34.6%,6,85.7%,1,14.3%,72,91.1%,7,8.9%,3,100.0%
Dyfed Powys,0,-,0,-,73,90.1%,8,9.9%,5,83.3%,1,16.7%,12,100.0%,0,0.0%,0,0,0,0,31,96.9%,1,3.1%,2,100.0%,0,0.0%,21,95.5%,1,4.5%,42,95.5%,2,4.5%,18,85.7%,3,14.3%,5,100.0%,0,0.0%,62,89.9%,7,10.1%,1,100.0%
Essex,1,100.0%,0,0.0%,248,75.8%,79,24.2%,40,75.5%,13,24.5%,23,82.1%,5,17.9%,8,57.1%,6,42.9%,167,92.8%,13,7.2%,29,74.4%,10,25.6%,44,93.6%,3,6.4%,93,92.1%,8,7.9%,45,88.2%,6,11.8%,8,88.9%,1,11.1%,207,88.8%,26,11.2%,14,100.0%
Gloucestershire,1,100.0%,0,0.0%,83,86.5%,13,13.5%,5,100.0%,0,0.0%,14,87.5%,2,12.5%,7,100.0%,0,0.0%,78,96.3%,3,3.7%,9,100.0%,0,0.0%,14,77.8%,4,22.2%,32,91.4%,3,8.6%,16,80.0%,4,20.0%,5,100.0%,0,0.0%,73,93.6%,5,6.4%,6,100.0%
GreaterManchester,4,100.0%,0,0.0%,534,82.2%,116,17.8%,86,78.2%,24,21.8%,49,100.0%,0,0.0%,20,83.3%,4,16.7%,216,96.4%,8,3.6%,29,96.7%,1,3.3%,68,91.9%,6,8.1%,98,93.3%,7,6.7%,120,88.9%,15,11.1%,47,95.9%,2,4.1%,319,83.1%,65,16.9%,26,100.0%
Gwent,0,0.0%,1,100.0%,86,74.8%,29,25.2%,6,75.0%,2,25.0%,9,60.0%,6,40.0%,1,50.0%,1,50.0%,77,90.6%,8,9.4%,2,100.0%,0,0.0%,31,91.2%,3,8.8%,34,85.0%,6,15.0%,23,85.2%,4,14.8%,6,75.0%,2,25.0%,90,88.2%,12,11.8%,4,100.0%
Hampshire,2,66.7%,1,33.3%,259,87.5%,37,12.5%,22,88.0%,3,12.0%,29,93.5%,2,6.5%,4,100.0%,0,0.0%,193,96.0%,8,4.0%,22,95.7%,1,4.3%,47,88.7%,6,11.3%,73,94.8%,4,5.2%,70,93.3%,5,6.7%,14,100.0%,0,0.0%,167,91.3%,16,8.7%,9,100.0%
Hertfordshire,3,75.0%,1,25.0%,203,80.2%,50,19.8%,17,94.4%,1,5.6%,12,100.0%,0,0.0%,3,75.0%,1,25.0%,209,96.8%,7,3.2%,28,77.8%,8,22.2%,23,76.7%,7,23.3%,79,96.3%,3,3.7%,49,72.1%,19,27.9%,9,81.8%,2,18.2%,149,84.2%,28,15.8%,18,100.0%
Humberside,2,100.0%,0,0.0%,187,82.4%,40,17.6%,19,63.3%,11,36.7%,21,77.8%,6,22.2%,8,100.0%,0,0.0%,142,94.0%,9,6.0%,8,72.7%,3,27.3%,41,95.3%,2,4.7%,59,98.3%,1,1.7%,68,93.2%,5,6.8%,11,91.7%,1,8.3%,115,94.3%,7,5.7%,5,100.0%
Kent,5,83.3%,1,16.7%,272,74.1%,95,25.9%,24,72.7%,9,27.3%,39,97.5%,1,2.5%,9,81.8%,2,18.2%,155,91.2%,15,8.8%,36,87.8%,5,12.2%,67,97.1%,2,2.9%,93,93.0%,7,7.0%,71,92.2%,6,7.8%,19,86.4%,3,13.6%,169,93.9%,11,6.1%,24,100.0%
Lancashire,0,0.0%,2,100.0%,213,79.2%,56,20.8%,20,90.9%,2,9.1%,46,92.0%,4,8.0%,15,100.0%,0,0.0%,255,94.4%,15,5.6%,20,87.0%,3,13.0%,66,91.7%,6,8.3%,72,94.7%,4,5.3%,101,87.1%,15,12.9%,12,92.3%,1,7.7%,211,87.2%,31,12.8%,14,100.0%
Leicestershire,3,100.0%,0,0.0%,153,78.1%,43,21.9%,27,81.8%,6,18.2%,18,85.7%,3,14.3%,9,75.0%,3,25.0%,92,95.8%,4,4.2%,11,84.6%,2,15.4%,26,78.8%,7,21.2%,21,91.3%,2,8.7%,29,82.9%,6,17.1%,12,85.7%,2,14.3%,70,81.4%,16,18.6%,15,100.0%
Lincolnshire,0,-,0,-,115,85.8%,19,14.2%,2,66.7%,1,33.3%,12,70.6%,5,29.4%,4,100.0%,0,0.0%,103,90.4%,11,9.6%,10,90.9%,1,9.1%,24,96.0%,1,4.0%,37,100.0%,0,0.0%,48,90.6%,5,9.4%,8,80.0%,2,20.0%,132,82.0%,29,18.0%,12,100.0%
Merseyside,1,50.0%,1,50.0%,312,81.5%,71,18.5%,30,65.2%,16,34.8%,30,88.2%,4,11.8%,7,100.0%,0,0.0%,195,87.8%,27,12.2%,20,95.2%,1,4.8%,64,87.7%,9,12.3%,187,93.0%,14,7.0%,95,84.8%,17,15.2%,16,76.2%,5,23.8%,257,81.6%,58,18.4%,12,100.0%
Metropolitan and City,15,55.6%,12,44.4%,"1,619",70.8%,668,29.2%,160,70.2%,68,29.8%,156,81.3%,36,18.8%,94,76.4%,29,23.6%,899,87.5%,129,12.5%,231,84.0%,44,16.0%,219,76.3%,68,23.7%,991,91.8%,89,8.2%,441,74.4%,152,25.6%,87,86.1%,14,13.9%,"1,019",87.2%,150,12.8%,184,100.0%
Norfolk,0,-,0,-,188,85.1%,33,14.9%,14,82.4%,3,17.6%,16,84.2%,3,15.8%,4,100.0%,0,0.0%,141,94.0%,9,6.0%,11,100.0%,0,0.0%,52,89.7%,6,10.3%,51,100.0%,0,0.0%,85,95.5%,4,4.5%,11,100.0%,0,0.0%,119,97.5%,3,2.5%,6,100.0%
Northamptonshire,1,100.0%,0,0.0%,111,78.7%,30,21.3%,4,100.0%,0,0.0%,3,60.0%,2,40.0%,5,83.3%,1,16.7%,77,93.9%,5,6.1%,15,93.8%,1,6.3%,23,92.0%,2,8.0%,21,91.3%,2,8.7%,25,92.6%,2,7.4%,8,100.0%,0,0.0%,89,88.1%,12,11.9%,13,100.0%
Northumbria,0,-,0,-,265,71.0%,108,29.0%,50,70.4%,21,29.6%,47,87.0%,7,13.0%,7,63.6%,4,36.4%,312,91.8%,28,8.2%,21,80.8%,5,19.2%,53,77.9%,15,22.1%,60,96.8%,2,3.2%,136,84.5%,25,15.5%,22,91.7%,2,8.3%,218,81.3%,50,18.7%,16,100.0%
North Wales,1,100.0%,0,0.0%,134,81.2%,31,18.8%,13,76.5%,4,23.5%,19,100.0%,0,0.0%,1,100.0%,0,0.0%,109,96.5%,4,3.5%,8,100.0%,0,0.0%,30,90.9%,3,9.1%,45,97.8%,1,2.2%,51,87.9%,7,12.1%,9,100.0%,0,0.0%,101,90.2%,11,9.8%,6,100.0%
North Yorkshire,0,-,0,-,128,82.6%,27,17.4%,13,86.7%,2,13.3%,11,68.8%,5,31.3%,6,66.7%,3,33.3%,95,92.2%,8,7.8%,10,100.0%,0,0.0%,34,94.4%,2,5.6%,44,95.7%,2,4.3%,53,81.5%,12,18.5%,20,100.0%,0,0.0%,101,90.2%,11,9.8%,8,100.0%
Nottinghamshire,2,100.0%,0,0.0%,256,78.8%,69,21.2%,41,74.5%,14,25.5%,31,93.9%,2,6.1%,8,88.9%,1,11.1%,169,91.4%,16,8.6%,36,97.3%,1,2.7%,38,82.6%,8,17.4%,111,99.1%,1,0.9%,74,88.1%,10,11.9%,17,89.5%,2,10.5%,119,88.8%,15,11.2%,22,100.0%
South Wales,3,75.0%,1,25.0%,342,75.7%,110,24.3%,27,65.9%,14,34.1%,38,82.6%,8,17.4%,6,100.0%,0,0.0%,264,95.0%,14,5.0%,19,76.0%,6,24.0%,62,82.7%,13,17.3%,166,97.6%,4,2.4%,107,87.0%,16,13.0%,13,86.7%,2,13.3%,216,85.0%,38,15.0%,15,100.0%
South Yorkshire,3,50.0%,3,50.0%,200,76.6%,61,23.4%,14,87.5%,2,12.5%,38,90.5%,4,9.5%,7,63.6%,4,36.4%,214,96.0%,9,4.0%,11,100.0%,0,0.0%,53,84.1%,10,15.9%,69,95.8%,3,4.2%,76,90.5%,8,9.5%,26,96.3%,1,3.7%,142,87.7%,20,12.3%,20,100.0%
Staffordshire,0,-,0,-,208,77.3%,61,22.7%,23,85.2%,4,14.8%,31,88.6%,4,11.4%,4,100.0%,0,0.0%,180,91.8%,16,8.2%,8,88.9%,1,11.1%,50,89.3%,6,10.7%,89,96.7%,3,3.3%,45,83.3%,9,16.7%,19,100.0%,0,0.0%,164,88.2%,22,11.8%,13,100.0%
Suffolk,0,-,0,-,118,81.9%,26,18.1%,4,80.0%,1,20.0%,15,88.2%,2,11.8%,8,100.0%,0,0.0%,65,100.0%,0,0.0%,7,77.8%,2,22.2%,23,95.8%,1,4.2%,41,91.1%,4,8.9%,28,93.3%,2,6.7%,10,100.0%,0,0.0%,75,97.4%,2,2.6%,2,100.0%
Surrey,0,-,0,-,115,81.0%,27,19.0%,16,66.7%,8,33.3%,11,91.7%,1,8.3%,1,100.0%,0,0.0%,44,93.6%,3,6.4%,10,47.6%,11,52.4%,8,72.7%,3,27.3%,25,100.0%,0,0.0%,25,80.6%,6,19.4%,5,71.4%,2,28.6%,98,93.3%,7,6.7%,9,100.0%
Sussex,0,-,0,-,199,85.8%,33,14.2%,31,64.6%,17,35.4%,22,91.7%,2,8.3%,8,80.0%,2,20.0%,126,96.9%,4,3.1%,33,94.3%,2,5.7%,31,93.9%,2,6.1%,75,98.7%,1,1.3%,57,87.7%,8,12.3%,11,68.8%,5,31.3%,178,90.8%,18,9.2%,15,100.0%
Thames Valley,2,66.7%,1,33.3%,290,73.4%,105,26.6%,51,77.3%,15,22.7%,32,72.7%,12,27.3%,12,80.0%,3,20.0%,273,93.8%,18,6.2%,43,87.8%,6,12.2%,65,89.0%,8,11.0%,138,95.2%,7,4.8%,102,95.3%,5,4.7%,37,88.1%,5,11.9%,334,87.0%,50,13.0%,36,100.0%
Warwickshire,0,-,0,-,62,73.8%,22,26.2%,6,46.2%,7,53.8%,7,87.5%,1,12.5%,0,0,0,0,72,90.0%,8,10.0%,6,75.0%,2,25.0%,11,78.6%,3,21.4%,24,96.0%,1,4.0%,21,75.0%,7,25.0%,8,88.9%,1,11.1%,84,80.8%,20,19.2%,9,100.0%
West Mercia,2,66.7%,1,33.3%,234,83.3%,47,16.7%,31,68.9%,14,31.1%,21,84.0%,4,16.0%,8,88.9%,1,11.1%,136,88.3%,18,11.7%,11,100.0%,0,0.0%,31,93.9%,2,6.1%,49,98.0%,1,2.0%,74,96.1%,3,3.9%,20,100.0%,0,0.0%,230,91.6%,21,8.4%,10,100.0%
West Midlands,3,75.0%,1,25.0%,701,81.0%,164,19.0%,67,72.0%,26,28.0%,72,85.7%,12,14.3%,38,71.7%,15,28.3%,491,92.6%,39,7.4%,56,84.8%,10,15.2%,113,83.7%,22,16.3%,230,93.9%,15,6.1%,249,88.0%,34,12.0%,42,76.4%,13,23.6%,300,84.3%,56,15.7%,79,100.0%
West Yorkshire,9,100.0%,0,0.0%,456,79.0%,121,21.0%,54,65.1%,29,34.9%,61,96.8%,2,3.2%,12,80.0%,3,20.0%,340,91.9%,30,8.1%,13,72.2%,5,27.8%,101,87.1%,15,12.9%,155,92.3%,13,7.7%,104,82.5%,22,17.5%,54,93.1%,4,6.9%,302,88.0%,41,12.0%,36,100.0%
Wiltshire,0,0.0%,1,100.0%,97,82.2%,21,17.8%,8,100.0%,0,0.0%,12,92.3%,1,7.7%,2,100.0%,0,0.0%,66,95.7%,3,4.3%,4,100.0%,0,0.0%,8,100.0%,0,0.0%,21,87.5%,3,12.5%,23,82.1%,5,17.9%,8,72.7%,3,27.3%,75,94.9%,4,5.1%,7,100.0%
