,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Essex,6,85.7%,1,14.3%,255,80.7%,61,19.3%,48,65.8%,25,34.2%,24,75.0%,8,25.0%,3,33.3%,6,66.7%,154,95.1%,8,4.9%,24,85.7%,4,14.3%,57,90.5%,6,9.5%,114,95.0%,6,5.0%,45,90.0%,5,10.0%,11,78.6%,3,21.4%,235,90.0%,26,10.0%,12,100.0%
Gloucestershire,0,-,0,-,75,83.3%,15,16.7%,2,100.0%,0,0.0%,9,100.0%,0,0.0%,2,100.0%,0,0.0%,78,97.5%,2,2.5%,10,90.9%,1,9.1%,16,100.0%,0,0.0%,38,100.0%,0,0.0%,16,88.9%,2,11.1%,2,100.0%,0,0.0%,83,95.4%,4,4.6%,7,100.0%
GreaterManchester,3,60.0%,2,40.0%,605,83.7%,118,16.3%,82,70.1%,35,29.9%,49,89.1%,6,10.9%,27,77.1%,8,22.9%,250,95.1%,13,4.9%,28,93.3%,2,6.7%,83,89.2%,10,10.8%,107,97.3%,3,2.7%,192,93.7%,13,6.3%,58,95.1%,3,4.9%,360,86.1%,58,13.9%,12,100.0%
Gwent,0,-,0,-,106,77.4%,31,22.6%,10,83.3%,2,16.7%,15,93.8%,1,6.3%,8,100.0%,0,0.0%,102,94.4%,6,5.6%,6,75.0%,2,25.0%,20,90.9%,2,9.1%,34,85.0%,6,15.0%,32,91.4%,3,8.6%,5,100.0%,0,0.0%,84,91.3%,8,8.7%,8,100.0%
Hampshire,3,100.0%,0,0.0%,293,85.4%,50,14.6%,38,82.6%,8,17.4%,34,91.9%,3,8.1%,4,100.0%,0,0.0%,226,94.6%,13,5.4%,13,81.3%,3,18.8%,68,95.8%,3,4.2%,68,89.5%,8,10.5%,64,91.4%,6,8.6%,15,75.0%,5,25.0%,245,90.4%,26,9.6%,20,100.0%
Hertfordshire,0,-,0,-,201,80.1%,50,19.9%,16,88.9%,2,11.1%,20,90.9%,2,9.1%,3,100.0%,0,0.0%,164,88.6%,21,11.4%,16,88.9%,2,11.1%,24,80.0%,6,20.0%,72,97.3%,2,2.7%,50,83.3%,10,16.7%,11,84.6%,2,15.4%,160,75.1%,53,24.9%,14,100.0%
Humberside,0,-,0,-,224,86.5%,35,13.5%,22,66.7%,11,33.3%,30,93.8%,2,6.3%,6,54.5%,5,45.5%,176,96.7%,6,3.3%,9,90.0%,1,10.0%,54,94.7%,3,5.3%,54,96.4%,2,3.6%,85,94.4%,5,5.6%,8,80.0%,2,20.0%,121,86.4%,19,13.6%,4,100.0%
Kent,5,100.0%,0,0.0%,319,76.9%,96,23.1%,18,78.3%,5,21.7%,36,87.8%,5,12.2%,4,50.0%,4,50.0%,168,89.4%,20,10.6%,28,96.6%,1,3.4%,64,88.9%,8,11.1%,87,94.6%,5,5.4%,78,83.0%,16,17.0%,25,92.6%,2,7.4%,194,90.7%,20,9.3%,21,100.0%
Lancashire,4,100.0%,0,0.0%,274,82.0%,60,18.0%,22,91.7%,2,8.3%,43,91.5%,4,8.5%,12,92.3%,1,7.7%,256,94.5%,15,5.5%,13,86.7%,2,13.3%,53,88.3%,7,11.7%,49,94.2%,3,5.8%,99,90.8%,10,9.2%,33,84.6%,6,15.4%,249,86.8%,38,13.2%,11,100.0%
Leicestershire,0,-,0,-,178,84.0%,34,16.0%,25,67.6%,12,32.4%,24,92.3%,2,7.7%,1,100.0%,0,0.0%,95,95.0%,5,5.0%,9,75.0%,3,25.0%,33,78.6%,9,21.4%,39,88.6%,5,11.4%,44,83.0%,9,17.0%,12,100.0%,0,0.0%,121,84.0%,23,16.0%,15,100.0%
Lincolnshire,2,100.0%,0,0.0%,126,80.8%,30,19.2%,3,100.0%,0,0.0%,14,100.0%,0,0.0%,1,100.0%,0,0.0%,95,95.0%,5,5.0%,11,91.7%,1,8.3%,39,97.5%,1,2.5%,39,88.6%,5,11.4%,58,89.2%,7,10.8%,11,84.6%,2,15.4%,146,79.8%,37,20.2%,34,100.0%
Merseyside,2,50.0%,2,50.0%,342,86.1%,55,13.9%,25,71.4%,10,28.6%,28,87.5%,4,12.5%,10,100.0%,0,0.0%,245,97.2%,7,2.8%,21,72.4%,8,27.6%,67,91.8%,6,8.2%,206,98.6%,3,1.4%,85,88.5%,11,11.5%,18,94.7%,1,5.3%,245,88.4%,32,11.6%,15,100.0%
Metropolitan and City,20,69.0%,9,31.0%,"1,713",69.5%,750,30.5%,162,71.1%,66,28.9%,214,82.0%,47,18.0%,93,71.0%,38,29.0%,997,84.9%,178,15.1%,266,85.3%,46,14.7%,253,76.2%,79,23.8%,"1,075",91.7%,97,8.3%,473,71.9%,185,28.1%,112,76.7%,34,23.3%,997,83.9%,192,16.1%,216,100.0%
Norfolk,0,-,0,-,182,89.2%,22,10.8%,12,92.3%,1,7.7%,14,100.0%,0,0.0%,5,83.3%,1,16.7%,165,94.8%,9,5.2%,22,95.7%,1,4.3%,30,81.1%,7,18.9%,50,98.0%,1,2.0%,81,93.1%,6,6.9%,10,90.9%,1,9.1%,104,94.5%,6,5.5%,10,100.0%
Northamptonshire,0,-,0,-,120,80.0%,30,20.0%,8,88.9%,1,11.1%,15,93.8%,1,6.3%,3,30.0%,7,70.0%,65,94.2%,4,5.8%,7,87.5%,1,12.5%,20,76.9%,6,23.1%,35,97.2%,1,2.8%,34,87.2%,5,12.8%,4,100.0%,0,0.0%,109,87.9%,15,12.1%,16,100.0%
Northumbria,1,100.0%,0,0.0%,241,71.5%,96,28.5%,28,71.8%,11,28.2%,40,87.0%,6,13.0%,7,77.8%,2,22.2%,303,94.4%,18,5.6%,14,93.3%,1,6.7%,62,82.7%,13,17.3%,65,94.2%,4,5.8%,153,87.9%,21,12.1%,9,90.0%,1,10.0%,234,86.7%,36,13.3%,12,100.0%
North Wales,0,-,0,-,168,80.0%,42,20.0%,23,79.3%,6,20.7%,24,85.7%,4,14.3%,1,100.0%,0,0.0%,115,95.8%,5,4.2%,11,84.6%,2,15.4%,33,84.6%,6,15.4%,29,100.0%,0,0.0%,63,94.0%,4,6.0%,11,84.6%,2,15.4%,124,93.9%,8,6.1%,5,100.0%
North Yorkshire,2,100.0%,0,0.0%,147,80.3%,36,19.7%,9,90.0%,1,10.0%,17,73.9%,6,26.1%,1,100.0%,0,0.0%,116,87.2%,17,12.8%,16,88.9%,2,11.1%,28,90.3%,3,9.7%,43,93.5%,3,6.5%,58,89.2%,7,10.8%,15,93.8%,1,6.3%,109,90.1%,12,9.9%,4,100.0%
Nottinghamshire,1,33.3%,2,66.7%,259,80.7%,62,19.3%,41,74.5%,14,25.5%,23,82.1%,5,17.9%,4,66.7%,2,33.3%,218,89.3%,26,10.7%,9,100.0%,0,0.0%,51,81.0%,12,19.0%,108,90.8%,11,9.2%,87,86.1%,14,13.9%,23,92.0%,2,8.0%,180,92.3%,15,7.7%,38,100.0%
South Wales,1,100.0%,0,0.0%,367,76.9%,110,23.1%,37,82.2%,8,17.8%,37,92.5%,3,7.5%,9,64.3%,5,35.7%,278,95.2%,14,4.8%,24,82.8%,5,17.2%,71,87.7%,10,12.3%,159,96.4%,6,3.6%,128,88.9%,16,11.1%,19,86.4%,3,13.6%,229,79.0%,61,21.0%,14,100.0%
South Yorkshire,1,100.0%,0,0.0%,230,78.8%,62,21.2%,11,91.7%,1,8.3%,33,84.6%,6,15.4%,5,50.0%,5,50.0%,255,94.1%,16,5.9%,6,85.7%,1,14.3%,61,85.9%,10,14.1%,60,98.4%,1,1.6%,100,93.5%,7,6.5%,15,100.0%,0,0.0%,208,90.8%,21,9.2%,17,100.0%
Staffordshire,1,100.0%,0,0.0%,201,77.0%,60,23.0%,37,84.1%,7,15.9%,24,82.8%,5,17.2%,1,100.0%,0,0.0%,160,92.5%,13,7.5%,13,61.9%,8,38.1%,40,88.9%,5,11.1%,77,92.8%,6,7.2%,69,85.2%,12,14.8%,18,100.0%,0,0.0%,166,83.0%,34,17.0%,13,100.0%
Suffolk,1,100.0%,0,0.0%,106,85.5%,18,14.5%,6,100.0%,0,0.0%,7,100.0%,0,0.0%,2,66.7%,1,33.3%,64,98.5%,1,1.5%,14,87.5%,2,12.5%,27,96.4%,1,3.6%,34,97.1%,1,2.9%,35,83.3%,7,16.7%,7,87.5%,1,12.5%,73,91.3%,7,8.8%,8,100.0%
Surrey,1,100.0%,0,0.0%,124,79.0%,33,21.0%,20,87.0%,3,13.0%,10,90.9%,1,9.1%,0,0,0,0,50,89.3%,6,10.7%,26,92.9%,2,7.1%,12,85.7%,2,14.3%,36,100.0%,0,0.0%,25,92.6%,2,7.4%,10,83.3%,2,16.7%,96,90.6%,10,9.4%,5,100.0%
Sussex,0,-,0,-,206,81.7%,46,18.3%,32,71.1%,13,28.9%,29,93.5%,2,6.5%,4,100.0%,0,0.0%,151,96.8%,5,3.2%,18,94.7%,1,5.3%,32,86.5%,5,13.5%,82,94.3%,5,5.7%,53,82.8%,11,17.2%,10,76.9%,3,23.1%,216,93.1%,16,6.9%,17,100.0%
Thames Valley,2,100.0%,0,0.0%,315,70.3%,133,29.7%,44,57.1%,33,42.9%,26,78.8%,7,21.2%,9,69.2%,4,30.8%,211,91.7%,19,8.3%,29,93.5%,2,6.5%,58,86.6%,9,13.4%,106,95.5%,5,4.5%,108,77.7%,31,22.3%,25,75.8%,8,24.2%,297,85.8%,49,14.2%,31,100.0%
Warwickshire,2,100.0%,0,0.0%,86,84.3%,16,15.7%,4,66.7%,2,33.3%,9,100.0%,0,0.0%,1,100.0%,0,0.0%,78,94.0%,5,6.0%,1,100.0%,0,0.0%,21,80.8%,5,19.2%,30,93.8%,2,6.3%,26,81.3%,6,18.8%,8,88.9%,1,11.1%,115,90.6%,12,9.4%,4,100.0%
West Mercia,1,100.0%,0,0.0%,214,82.9%,44,17.1%,23,65.7%,12,34.3%,15,83.3%,3,16.7%,3,100.0%,0,0.0%,170,96.6%,6,3.4%,14,82.4%,3,17.6%,26,72.2%,10,27.8%,72,91.1%,7,8.9%,77,76.2%,24,23.8%,14,82.4%,3,17.6%,229,89.5%,27,10.5%,6,100.0%
West Midlands,4,100.0%,0,0.0%,686,80.3%,168,19.7%,62,70.5%,26,29.5%,57,89.1%,7,10.9%,41,68.3%,19,31.7%,589,92.2%,50,7.8%,74,85.1%,13,14.9%,102,92.7%,8,7.3%,218,94.8%,12,5.2%,200,77.8%,57,22.2%,64,88.9%,8,11.1%,385,88.3%,51,11.7%,81,100.0%
West Yorkshire,1,100.0%,0,0.0%,484,80.4%,118,19.6%,63,70.8%,26,29.2%,66,83.5%,13,16.5%,18,72.0%,7,28.0%,370,93.4%,26,6.6%,33,91.7%,3,8.3%,109,89.3%,13,10.7%,166,95.4%,8,4.6%,113,84.3%,21,15.7%,41,89.1%,5,10.9%,330,82.3%,71,17.7%,38,100.0%
Wiltshire,1,100.0%,0,0.0%,101,86.3%,16,13.7%,9,100.0%,0,0.0%,13,86.7%,2,13.3%,4,100.0%,0,0.0%,64,97.0%,2,3.0%,13,92.9%,1,7.1%,20,95.2%,1,4.8%,42,100.0%,0,0.0%,36,94.7%,2,5.3%,6,100.0%,0,0.0%,79,87.8%,11,12.2%,3,100.0%
