,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Lincolnshire,0,-,0,-,140,88.6%,18,11.4%,6,100.0%,0,0.0%,16,88.9%,2,11.1%,2,66.7%,1,33.3%,121,90.3%,13,9.7%,11,91.7%,1,8.3%,23,82.1%,5,17.9%,45,100.0%,0,0.0%,29,80.6%,7,19.4%,9,90.0%,1,10.0%,135,83.9%,26,16.1%,11,100.0%
Merseyside,2,100.0%,0,0.0%,240,80.0%,60,20.0%,20,80.0%,5,20.0%,17,89.5%,2,10.5%,2,50.0%,2,50.0%,158,97.5%,4,2.5%,16,94.1%,1,5.9%,43,87.8%,6,12.2%,173,94.0%,11,6.0%,85,89.5%,10,10.5%,33,94.3%,2,5.7%,240,80.8%,57,19.2%,17,100.0%
Metropolitan and City,13,61.9%,8,38.1%,"1,373",70.4%,578,29.6%,136,59.9%,91,40.1%,160,79.2%,42,20.8%,59,64.1%,33,35.9%,741,84.3%,138,15.7%,226,85.9%,37,14.1%,196,83.1%,40,16.9%,960,92.4%,79,7.6%,460,79.0%,122,21.0%,199,83.6%,39,16.4%,"1,075",75.5%,349,24.5%,229,100.0%
Norfolk,0,-,0,-,161,87.5%,23,12.5%,14,93.3%,1,6.7%,12,100.0%,0,0.0%,0,0.0%,1,100.0%,104,96.3%,4,3.7%,11,100.0%,0,0.0%,40,95.2%,2,4.8%,69,98.6%,1,1.4%,66,90.4%,7,9.6%,12,92.3%,1,7.7%,118,92.9%,9,7.1%,9,100.0%
Northamptonshire,0,0.0%,1,100.0%,126,87.5%,18,12.5%,11,100.0%,0,0.0%,17,94.4%,1,5.6%,2,66.7%,1,33.3%,57,91.9%,5,8.1%,15,100.0%,0,0.0%,20,95.2%,1,4.8%,38,92.7%,3,7.3%,17,89.5%,2,10.5%,11,100.0%,0,0.0%,97,89.8%,11,10.2%,15,100.0%
Northumbria,2,100.0%,0,0.0%,297,72.3%,114,27.7%,51,76.1%,16,23.9%,39,86.7%,6,13.3%,4,100.0%,0,0.0%,209,92.9%,16,7.1%,41,78.8%,11,21.2%,67,84.8%,12,15.2%,69,92.0%,6,8.0%,164,82.4%,35,17.6%,17,77.3%,5,22.7%,186,83.4%,37,16.6%,18,100.0%
North Wales,1,100.0%,0,0.0%,165,84.2%,31,15.8%,17,85.0%,3,15.0%,12,70.6%,5,29.4%,1,50.0%,1,50.0%,77,97.5%,2,2.5%,5,100.0%,0,0.0%,24,88.9%,3,11.1%,50,100.0%,0,0.0%,57,91.9%,5,8.1%,6,100.0%,0,0.0%,119,93.7%,8,6.3%,11,100.0%
North Yorkshire,1,33.3%,2,66.7%,131,85.6%,22,14.4%,12,92.3%,1,7.7%,19,100.0%,0,0.0%,3,100.0%,0,0.0%,101,95.3%,5,4.7%,3,75.0%,1,25.0%,25,96.2%,1,3.8%,32,94.1%,2,5.9%,47,90.4%,5,9.6%,7,58.3%,5,41.7%,94,87.9%,13,12.1%,6,100.0%
Nottinghamshire,3,75.0%,1,25.0%,221,80.4%,54,19.6%,47,78.3%,13,21.7%,20,87.0%,3,13.0%,13,76.5%,4,23.5%,172,91.0%,17,9.0%,13,92.9%,1,7.1%,39,86.7%,6,13.3%,116,92.8%,9,7.2%,83,85.6%,14,14.4%,28,84.8%,5,15.2%,169,93.9%,11,6.1%,22,100.0%
South Wales,2,100.0%,0,0.0%,317,72.4%,121,27.6%,35,77.8%,10,22.2%,36,85.7%,6,14.3%,7,63.6%,4,36.4%,252,96.2%,10,3.8%,11,91.7%,1,8.3%,52,88.1%,7,11.9%,133,96.4%,5,3.6%,122,84.7%,22,15.3%,14,93.3%,1,6.7%,193,89.8%,22,10.2%,14,100.0%
South Yorkshire,4,80.0%,1,20.0%,268,77.5%,78,22.5%,11,73.3%,4,26.7%,42,93.3%,3,6.7%,8,88.9%,1,11.1%,189,94.0%,12,6.0%,8,100.0%,0,0.0%,55,82.1%,12,17.9%,77,95.1%,4,4.9%,95,89.6%,11,10.4%,20,90.9%,2,9.1%,168,88.0%,23,12.0%,23,100.0%
Staffordshire,3,100.0%,0,0.0%,177,82.7%,37,17.3%,22,78.6%,6,21.4%,20,100.0%,0,0.0%,3,50.0%,3,50.0%,136,95.1%,7,4.9%,7,87.5%,1,12.5%,38,79.2%,10,20.8%,62,96.9%,2,3.1%,71,89.9%,8,10.1%,18,85.7%,3,14.3%,120,83.3%,24,16.7%,19,100.0%
Suffolk,0,-,0,-,96,80.0%,24,20.0%,11,91.7%,1,8.3%,6,100.0%,0,0.0%,1,100.0%,0,0.0%,47,94.0%,3,6.0%,7,77.8%,2,22.2%,22,95.7%,1,4.3%,47,95.9%,2,4.1%,34,97.1%,1,2.9%,5,100.0%,0,0.0%,95,90.5%,10,9.5%,4,100.0%
Surrey,0,-,0,-,131,73.2%,48,26.8%,12,70.6%,5,29.4%,13,92.9%,1,7.1%,1,100.0%,0,0.0%,68,94.4%,4,5.6%,12,85.7%,2,14.3%,19,86.4%,3,13.6%,37,97.4%,1,2.6%,23,88.5%,3,11.5%,9,81.8%,2,18.2%,118,92.9%,9,7.1%,26,100.0%
Sussex,1,100.0%,0,0.0%,210,76.9%,63,23.1%,27,62.8%,16,37.2%,25,86.2%,4,13.8%,4,80.0%,1,20.0%,122,91.0%,12,9.0%,21,87.5%,3,12.5%,35,89.7%,4,10.3%,72,96.0%,3,4.0%,45,97.8%,1,2.2%,3,100.0%,0,0.0%,204,88.3%,27,11.7%,19,100.0%
Thames Valley,4,66.7%,2,33.3%,320,83.6%,63,16.4%,46,80.7%,11,19.3%,47,87.0%,7,13.0%,11,61.1%,7,38.9%,232,93.2%,17,6.8%,27,90.0%,3,10.0%,49,81.7%,11,18.3%,114,95.8%,5,4.2%,103,89.6%,12,10.4%,25,89.3%,3,10.7%,287,85.9%,47,14.1%,20,100.0%
Warwickshire,1,100.0%,0,0.0%,64,84.2%,12,15.8%,2,50.0%,2,50.0%,7,87.5%,1,12.5%,5,100.0%,0,0.0%,56,91.8%,5,8.2%,10,100.0%,0,0.0%,11,91.7%,1,8.3%,13,86.7%,2,13.3%,17,89.5%,2,10.5%,3,60.0%,2,40.0%,54,81.8%,12,18.2%,16,100.0%
West Mercia,0,-,0,-,217,78.6%,59,21.4%,17,63.0%,10,37.0%,11,91.7%,1,8.3%,3,75.0%,1,25.0%,132,94.3%,8,5.7%,14,82.4%,3,17.6%,25,92.6%,2,7.4%,45,97.8%,1,2.2%,68,90.7%,7,9.3%,13,100.0%,0,0.0%,193,91.5%,18,8.5%,15,100.0%
West Midlands,6,85.7%,1,14.3%,593,80.5%,144,19.5%,56,68.3%,26,31.7%,73,94.8%,4,5.2%,31,77.5%,9,22.5%,501,93.8%,33,6.2%,60,84.5%,11,15.5%,85,81.0%,20,19.0%,238,93.3%,17,6.7%,213,84.9%,38,15.1%,51,91.1%,5,8.9%,298,89.2%,36,10.8%,66,100.0%
West Yorkshire,5,100.0%,0,0.0%,402,85.0%,71,15.0%,76,78.4%,21,21.6%,51,86.4%,8,13.6%,21,75.0%,7,25.0%,255,96.2%,10,3.8%,40,85.1%,7,14.9%,80,90.9%,8,9.1%,115,97.5%,3,2.5%,122,91.7%,11,8.3%,19,95.0%,1,5.0%,204,95.3%,10,4.7%,27,100.0%
Wiltshire,2,100.0%,0,0.0%,109,90.8%,11,9.2%,7,77.8%,2,22.2%,14,100.0%,0,0.0%,1,100.0%,0,0.0%,69,88.5%,9,11.5%,9,81.8%,2,18.2%,14,87.5%,2,12.5%,27,100.0%,0,0.0%,24,92.3%,2,7.7%,3,75.0%,1,25.0%,80,93.0%,6,7.0%,6,100.0%
