,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,115,82.1%,25,17.9%,5,100.0%,0,0.0%,16,80.0%,4,20.0%,1,100.0%,0,0.0%,100,91.7%,9,8.3%,10,100.0%,0,0.0%,25,80.6%,6,19.4%,16,88.9%,2,11.1%,43,89.6%,5,10.4%,1,50.0%,1,50.0%,89,90.8%,9,9.2%,11,100.0%
Dyfed Powys,1,50.0%,1,50.0%,70,85.4%,12,14.6%,3,37.5%,5,62.5%,6,85.7%,1,14.3%,0,0,0,0,40,97.6%,1,2.4%,2,66.7%,1,33.3%,13,81.3%,3,18.8%,23,88.5%,3,11.5%,14,66.7%,7,33.3%,5,83.3%,1,16.7%,61,88.4%,8,11.6%,15,100.0%
Essex,1,33.3%,2,66.7%,223,78.5%,61,21.5%,38,69.1%,17,30.9%,31,79.5%,8,20.5%,10,90.9%,1,9.1%,125,94.0%,8,6.0%,18,90.0%,2,10.0%,43,82.7%,9,17.3%,58,93.5%,4,6.5%,46,80.7%,11,19.3%,14,87.5%,2,12.5%,190,86.4%,30,13.6%,19,100.0%
Gloucestershire,4,80.0%,1,20.0%,89,84.0%,17,16.0%,2,100.0%,0,0.0%,22,81.5%,5,18.5%,2,100.0%,0,0.0%,58,95.1%,3,4.9%,7,100.0%,0,0.0%,9,90.0%,1,10.0%,25,100.0%,0,0.0%,10,76.9%,3,23.1%,3,100.0%,0,0.0%,60,92.3%,5,7.7%,4,100.0%
GreaterManchester,5,83.3%,1,16.7%,505,80.9%,119,19.1%,80,70.8%,33,29.2%,54,79.4%,14,20.6%,27,77.1%,8,22.9%,172,93.0%,13,7.0%,22,84.6%,4,15.4%,86,89.6%,10,10.4%,96,88.1%,13,11.9%,164,90.6%,17,9.4%,35,87.5%,5,12.5%,278,83.7%,54,16.3%,30,100.0%
Gwent,3,100.0%,0,0.0%,94,81.0%,22,19.0%,8,80.0%,2,20.0%,15,100.0%,0,0.0%,3,100.0%,0,0.0%,84,96.6%,3,3.4%,3,75.0%,1,25.0%,21,87.5%,3,12.5%,45,93.8%,3,6.3%,38,97.4%,1,2.6%,9,100.0%,0,0.0%,60,87.0%,9,13.0%,8,100.0%
Hampshire,1,50.0%,1,50.0%,310,83.1%,63,16.9%,23,79.3%,6,20.7%,27,90.0%,3,10.0%,10,90.9%,1,9.1%,210,95.5%,10,4.5%,21,91.3%,2,8.7%,51,89.5%,6,10.5%,70,94.6%,4,5.4%,67,90.5%,7,9.5%,8,53.3%,7,46.7%,174,86.1%,28,13.9%,22,100.0%
Hertfordshire,2,66.7%,1,33.3%,186,78.2%,52,21.8%,11,91.7%,1,8.3%,22,84.6%,4,15.4%,4,57.1%,3,42.9%,166,93.8%,11,6.2%,32,86.5%,5,13.5%,28,82.4%,6,17.6%,64,90.1%,7,9.9%,55,82.1%,12,17.9%,15,100.0%,0,0.0%,130,80.7%,31,19.3%,16,100.0%
Humberside,0,-,0,-,148,80.4%,36,19.6%,15,75.0%,5,25.0%,24,77.4%,7,22.6%,9,75.0%,3,25.0%,119,95.2%,6,4.8%,10,83.3%,2,16.7%,40,88.9%,5,11.1%,61,95.3%,3,4.7%,49,80.3%,12,19.7%,8,80.0%,2,20.0%,90,86.5%,14,13.5%,11,100.0%
Kent,4,100.0%,0,0.0%,328,81.8%,73,18.2%,29,74.4%,10,25.6%,35,87.5%,5,12.5%,4,80.0%,1,20.0%,127,88.2%,17,11.8%,30,78.9%,8,21.1%,56,82.4%,12,17.6%,72,93.5%,5,6.5%,56,88.9%,7,11.1%,26,83.9%,5,16.1%,149,92.5%,12,7.5%,23,100.0%
Lancashire,3,100.0%,0,0.0%,269,81.5%,61,18.5%,26,83.9%,5,16.1%,50,90.9%,5,9.1%,13,100.0%,0,0.0%,216,93.9%,14,6.1%,23,92.0%,2,8.0%,67,85.9%,11,14.1%,96,95.0%,5,5.0%,128,92.1%,11,7.9%,17,81.0%,4,19.0%,276,83.1%,56,16.9%,11,100.0%
Leicestershire,0,-,0,-,180,90.5%,19,9.5%,28,73.7%,10,26.3%,27,100.0%,0,0.0%,6,100.0%,0,0.0%,64,87.7%,9,12.3%,14,77.8%,4,22.2%,41,100.0%,0,0.0%,31,93.9%,2,6.1%,44,91.7%,4,8.3%,9,81.8%,2,18.2%,96,80.0%,24,20.0%,5,100.0%
Lincolnshire,2,100.0%,0,0.0%,131,81.9%,29,18.1%,6,100.0%,0,0.0%,14,100.0%,0,0.0%,3,75.0%,1,25.0%,109,91.6%,10,8.4%,8,88.9%,1,11.1%,32,88.9%,4,11.1%,32,94.1%,2,5.9%,45,90.0%,5,10.0%,16,100.0%,0,0.0%,104,75.4%,34,24.6%,10,100.0%
Merseyside,2,100.0%,0,0.0%,306,81.6%,69,18.4%,39,78.0%,11,22.0%,20,90.9%,2,9.1%,6,100.0%,0,0.0%,155,92.8%,12,7.2%,14,82.4%,3,17.6%,58,92.1%,5,7.9%,147,96.1%,6,3.9%,61,85.9%,10,14.1%,15,93.8%,1,6.3%,236,83.1%,48,16.9%,15,100.0%
Metropolitan and City,15,65.2%,8,34.8%,"1,612",74.0%,567,26.0%,139,72.0%,54,28.0%,180,85.3%,31,14.7%,82,84.5%,15,15.5%,711,86.6%,110,13.4%,203,83.9%,39,16.1%,241,81.7%,54,18.3%,922,91.9%,81,8.1%,447,79.4%,116,20.6%,178,85.6%,30,14.4%,925,76.1%,291,23.9%,193,100.0%
Norfolk,1,100.0%,0,0.0%,163,81.5%,37,18.5%,14,100.0%,0,0.0%,10,90.9%,1,9.1%,7,100.0%,0,0.0%,99,91.7%,9,8.3%,9,100.0%,0,0.0%,32,97.0%,1,3.0%,60,96.8%,2,3.2%,92,94.8%,5,5.2%,11,91.7%,1,8.3%,113,91.9%,10,8.1%,6,100.0%
Northamptonshire,4,100.0%,0,0.0%,86,68.8%,39,31.2%,3,75.0%,1,25.0%,9,100.0%,0,0.0%,7,77.8%,2,22.2%,54,93.1%,4,6.9%,15,83.3%,3,16.7%,8,88.9%,1,11.1%,22,100.0%,0,0.0%,26,92.9%,2,7.1%,11,91.7%,1,8.3%,78,88.6%,10,11.4%,8,100.0%
Northumbria,2,100.0%,0,0.0%,246,74.8%,83,25.2%,50,80.6%,12,19.4%,55,77.5%,16,22.5%,12,75.0%,4,25.0%,267,91.1%,26,8.9%,23,82.1%,5,17.9%,61,88.4%,8,11.6%,69,93.2%,5,6.8%,107,77.5%,31,22.5%,20,95.2%,1,4.8%,216,83.7%,42,16.3%,36,100.0%
North Wales,6,85.7%,1,14.3%,151,87.8%,21,12.2%,9,81.8%,2,18.2%,17,94.4%,1,5.6%,4,100.0%,0,0.0%,93,93.9%,6,6.1%,10,83.3%,2,16.7%,29,87.9%,4,12.1%,59,96.7%,2,3.3%,71,94.7%,4,5.3%,6,75.0%,2,25.0%,116,91.3%,11,8.7%,4,100.0%
North Yorkshire,3,75.0%,1,25.0%,113,83.1%,23,16.9%,8,100.0%,0,0.0%,19,95.0%,1,5.0%,1,33.3%,2,66.7%,99,94.3%,6,5.7%,6,75.0%,2,25.0%,27,93.1%,2,6.9%,26,96.3%,1,3.7%,55,93.2%,4,6.8%,7,77.8%,2,22.2%,85,86.7%,13,13.3%,8,100.0%
Nottinghamshire,1,100.0%,0,0.0%,237,77.2%,70,22.8%,33,66.0%,17,34.0%,17,89.5%,2,10.5%,15,83.3%,3,16.7%,196,93.3%,14,6.7%,21,84.0%,4,16.0%,50,87.7%,7,12.3%,100,90.9%,10,9.1%,87,82.9%,18,17.1%,20,95.2%,1,4.8%,149,89.2%,18,10.8%,9,100.0%
South Wales,4,80.0%,1,20.0%,325,75.8%,104,24.2%,36,78.3%,10,21.7%,42,80.8%,10,19.2%,10,62.5%,6,37.5%,255,93.4%,18,6.6%,12,80.0%,3,20.0%,65,92.9%,5,7.1%,174,95.1%,9,4.9%,128,90.8%,13,9.2%,29,87.9%,4,12.1%,203,83.9%,39,16.1%,15,100.0%
South Yorkshire,3,75.0%,1,25.0%,226,77.7%,65,22.3%,7,77.8%,2,22.2%,42,97.7%,1,2.3%,13,68.4%,6,31.6%,200,97.1%,6,2.9%,22,100.0%,0,0.0%,63,88.7%,8,11.3%,61,96.8%,2,3.2%,83,87.4%,12,12.6%,8,100.0%,0,0.0%,152,92.1%,13,7.9%,19,100.0%
Staffordshire,3,100.0%,0,0.0%,185,81.1%,43,18.9%,16,66.7%,8,33.3%,25,89.3%,3,10.7%,7,77.8%,2,22.2%,122,93.1%,9,6.9%,15,88.2%,2,11.8%,31,88.6%,4,11.4%,72,96.0%,3,4.0%,51,86.4%,8,13.6%,13,100.0%,0,0.0%,119,85.0%,21,15.0%,15,100.0%
Suffolk,1,100.0%,0,0.0%,99,81.1%,23,18.9%,8,100.0%,0,0.0%,12,100.0%,0,0.0%,0,0,0,0,40,90.9%,4,9.1%,11,91.7%,1,8.3%,23,95.8%,1,4.2%,47,90.4%,5,9.6%,28,82.4%,6,17.6%,2,66.7%,1,33.3%,75,90.4%,8,9.6%,1,100.0%
Surrey,0,-,0,-,118,77.6%,34,22.4%,20,80.0%,5,20.0%,19,100.0%,0,0.0%,2,100.0%,0,0.0%,51,94.4%,3,5.6%,17,100.0%,0,0.0%,18,94.7%,1,5.3%,43,95.6%,2,4.4%,28,96.6%,1,3.4%,10,100.0%,0,0.0%,109,90.1%,12,9.9%,11,100.0%
Sussex,0,-,0,-,239,81.0%,56,19.0%,26,74.3%,9,25.7%,13,72.2%,5,27.8%,7,100.0%,0,0.0%,73,94.8%,4,5.2%,13,100.0%,0,0.0%,33,94.3%,2,5.7%,67,98.5%,1,1.5%,46,80.7%,11,19.3%,11,78.6%,3,21.4%,181,87.9%,25,12.1%,7,100.0%
Thames Valley,2,100.0%,0,0.0%,353,75.3%,116,24.7%,31,79.5%,8,20.5%,42,82.4%,9,17.6%,10,45.5%,12,54.5%,246,91.8%,22,8.2%,45,93.8%,3,6.3%,57,90.5%,6,9.5%,121,91.7%,11,8.3%,77,75.5%,25,24.5%,25,75.8%,8,24.2%,306,89.0%,38,11.0%,33,100.0%
Warwickshire,0,-,0,-,90,86.5%,14,13.5%,10,66.7%,5,33.3%,18,100.0%,0,0.0%,3,100.0%,0,0.0%,51,89.5%,6,10.5%,13,100.0%,0,0.0%,10,90.9%,1,9.1%,18,94.7%,1,5.3%,26,76.5%,8,23.5%,5,100.0%,0,0.0%,58,67.4%,28,32.6%,9,100.0%
West Mercia,3,100.0%,0,0.0%,207,80.5%,50,19.5%,25,64.1%,14,35.9%,12,100.0%,0,0.0%,3,75.0%,1,25.0%,126,90.6%,13,9.4%,16,100.0%,0,0.0%,33,91.7%,3,8.3%,65,97.0%,2,3.0%,66,86.8%,10,13.2%,10,100.0%,0,0.0%,195,83.7%,38,16.3%,8,100.0%
West Midlands,17,85.0%,3,15.0%,688,82.6%,145,17.4%,69,71.9%,27,28.1%,63,84.0%,12,16.0%,39,78.0%,11,22.0%,459,91.6%,42,8.4%,59,86.8%,9,13.2%,95,88.0%,13,12.0%,213,92.2%,18,7.8%,219,84.2%,41,15.8%,71,85.5%,12,14.5%,298,85.6%,50,14.4%,74,100.0%
West Yorkshire,16,94.1%,1,5.9%,490,79.4%,127,20.6%,56,67.5%,27,32.5%,49,83.1%,10,16.9%,12,85.7%,2,14.3%,227,93.0%,17,7.0%,26,86.7%,4,13.3%,94,86.2%,15,13.8%,139,92.1%,12,7.9%,97,82.2%,21,17.8%,42,91.3%,4,8.7%,284,84.3%,53,15.7%,33,100.0%
Wiltshire,0,-,0,-,93,87.7%,13,12.3%,8,72.7%,3,27.3%,8,88.9%,1,11.1%,6,85.7%,1,14.3%,62,92.5%,5,7.5%,6,100.0%,0,0.0%,17,100.0%,0,0.0%,29,100.0%,0,0.0%,24,92.3%,2,7.7%,12,100.0%,0,0.0%,60,92.3%,5,7.7%,2,100.0%
