,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,3,100.0%,0,0.0%,81,79.4%,21,20.6%,2,100.0%,0,0.0%,18,85.7%,3,14.3%,1,100.0%,0,0.0%,80,88.9%,10,11.1%,4,100.0%,0,0.0%,19,86.4%,3,13.6%,8,100.0%,0,0.0%,26,96.3%,1,3.7%,3,100.0%,0,0.0%,58,95.1%,3,4.9%,4,100.0%
Dyfed Powys,0,-,0,-,42,80.8%,10,19.2%,9,90.0%,1,10.0%,4,80.0%,1,20.0%,0,0,0,0,24,82.8%,5,17.2%,1,100.0%,0,0.0%,14,100.0%,0,0.0%,31,100.0%,0,0.0%,16,84.2%,3,15.8%,3,75.0%,1,25.0%,46,92.0%,4,8.0%,5,100.0%
Essex,1,100.0%,0,0.0%,189,79.1%,50,20.9%,29,74.4%,10,25.6%,30,96.8%,1,3.2%,5,100.0%,0,0.0%,109,96.5%,4,3.5%,24,82.8%,5,17.2%,26,78.8%,7,21.2%,91,93.8%,6,6.2%,50,87.7%,7,12.3%,9,81.8%,2,18.2%,203,82.5%,43,17.5%,23,100.0%
Gloucestershire,1,100.0%,0,0.0%,57,90.5%,6,9.5%,3,100.0%,0,0.0%,10,100.0%,0,0.0%,1,100.0%,0,0.0%,37,97.4%,1,2.6%,3,60.0%,2,40.0%,11,100.0%,0,0.0%,17,100.0%,0,0.0%,13,100.0%,0,0.0%,4,80.0%,1,20.0%,38,88.4%,5,11.6%,5,100.0%
GreaterManchester,9,90.0%,1,10.0%,378,84.0%,72,16.0%,51,75.0%,17,25.0%,45,100.0%,0,0.0%,18,81.8%,4,18.2%,119,94.4%,7,5.6%,9,69.2%,4,30.8%,66,95.7%,3,4.3%,88,95.7%,4,4.3%,120,88.9%,15,11.1%,26,89.7%,3,10.3%,202,91.8%,18,8.2%,26,100.0%
Gwent,2,100.0%,0,0.0%,60,80.0%,15,20.0%,6,75.0%,2,25.0%,3,75.0%,1,25.0%,3,60.0%,2,40.0%,42,97.7%,1,2.3%,4,80.0%,1,20.0%,13,68.4%,6,31.6%,23,92.0%,2,8.0%,12,100.0%,0,0.0%,4,66.7%,2,33.3%,55,88.7%,7,11.3%,5,100.0%
Hampshire,2,100.0%,0,0.0%,225,83.0%,46,17.0%,20,74.1%,7,25.9%,27,87.1%,4,12.9%,7,87.5%,1,12.5%,171,93.4%,12,6.6%,35,97.2%,1,2.8%,42,84.0%,8,16.0%,71,91.0%,7,9.0%,71,94.7%,4,5.3%,16,100.0%,0,0.0%,178,88.6%,23,11.4%,20,100.0%
Hertfordshire,6,85.7%,1,14.3%,130,81.8%,29,18.2%,6,85.7%,1,14.3%,8,100.0%,0,0.0%,5,100.0%,0,0.0%,99,88.4%,13,11.6%,17,94.4%,1,5.6%,22,73.3%,8,26.7%,49,89.1%,6,10.9%,32,86.5%,5,13.5%,8,80.0%,2,20.0%,96,78.7%,26,21.3%,16,100.0%
Humberside,1,50.0%,1,50.0%,165,83.3%,33,16.7%,9,75.0%,3,25.0%,23,88.5%,3,11.5%,4,50.0%,4,50.0%,123,95.3%,6,4.7%,25,92.6%,2,7.4%,26,72.2%,10,27.8%,32,97.0%,1,3.0%,41,95.3%,2,4.7%,10,76.9%,3,23.1%,80,88.9%,10,11.1%,17,100.0%
Kent,0,-,0,-,230,75.4%,75,24.6%,16,76.2%,5,23.8%,14,73.7%,5,26.3%,2,66.7%,1,33.3%,149,91.4%,14,8.6%,29,87.9%,4,12.1%,39,88.6%,5,11.4%,72,87.8%,10,12.2%,50,83.3%,10,16.7%,21,95.5%,1,4.5%,157,90.8%,16,9.2%,42,100.0%
Lancashire,0,0.0%,1,100.0%,245,78.8%,66,21.2%,11,91.7%,1,8.3%,26,92.9%,2,7.1%,5,83.3%,1,16.7%,183,94.3%,11,5.7%,23,82.1%,5,17.9%,52,88.1%,7,11.9%,42,95.5%,2,4.5%,119,88.1%,16,11.9%,18,100.0%,0,0.0%,202,82.8%,42,17.2%,25,100.0%
Leicestershire,2,50.0%,2,50.0%,178,80.9%,42,19.1%,19,67.9%,9,32.1%,19,90.5%,2,9.5%,3,100.0%,0,0.0%,88,94.6%,5,5.4%,13,81.3%,3,18.8%,22,84.6%,4,15.4%,27,93.1%,2,6.9%,37,88.1%,5,11.9%,9,81.8%,2,18.2%,84,83.2%,17,16.8%,17,100.0%
Lincolnshire,3,100.0%,0,0.0%,89,82.4%,19,17.6%,3,100.0%,0,0.0%,4,100.0%,0,0.0%,1,100.0%,0,0.0%,91,92.9%,7,7.1%,10,100.0%,0,0.0%,12,80.0%,3,20.0%,33,100.0%,0,0.0%,34,85.0%,6,15.0%,13,100.0%,0,0.0%,107,82.3%,23,17.7%,11,100.0%
Merseyside,2,100.0%,0,0.0%,260,76.9%,78,23.1%,23,76.7%,7,23.3%,11,100.0%,0,0.0%,9,100.0%,0,0.0%,138,93.9%,9,6.1%,24,96.0%,1,4.0%,40,71.4%,16,28.6%,161,95.3%,8,4.7%,57,79.2%,15,20.8%,12,85.7%,2,14.3%,182,84.7%,33,15.3%,15,100.0%
Metropolitan and City,12,60.0%,8,40.0%,"1,092",71.6%,433,28.4%,145,70.7%,60,29.3%,149,87.6%,21,12.4%,65,74.7%,22,25.3%,637,89.3%,76,10.7%,174,84.9%,31,15.1%,145,76.7%,44,23.3%,758,91.8%,68,8.2%,350,80.1%,87,19.9%,188,88.7%,24,11.3%,952,79.8%,241,20.2%,213,100.0%
Norfolk,1,100.0%,0,0.0%,131,85.6%,22,14.4%,14,93.3%,1,6.7%,6,66.7%,3,33.3%,1,50.0%,1,50.0%,100,94.3%,6,5.7%,5,83.3%,1,16.7%,30,88.2%,4,11.8%,61,95.3%,3,4.7%,69,93.2%,5,6.8%,9,100.0%,0,0.0%,141,95.9%,6,4.1%,13,100.0%
Northamptonshire,2,66.7%,1,33.3%,105,84.7%,19,15.3%,2,100.0%,0,0.0%,6,75.0%,2,25.0%,4,80.0%,1,20.0%,40,87.0%,6,13.0%,6,75.0%,2,25.0%,21,87.5%,3,12.5%,19,90.5%,2,9.5%,25,96.2%,1,3.8%,14,82.4%,3,17.6%,75,84.3%,14,15.7%,11,100.0%
Northumbria,2,100.0%,0,0.0%,206,72.8%,77,27.2%,35,67.3%,17,32.7%,44,93.6%,3,6.4%,8,66.7%,4,33.3%,187,90.3%,20,9.7%,17,81.0%,4,19.0%,47,82.5%,10,17.5%,40,90.9%,4,9.1%,109,87.2%,16,12.8%,15,83.3%,3,16.7%,148,86.0%,24,14.0%,16,100.0%
North Wales,3,100.0%,0,0.0%,134,83.8%,26,16.3%,9,64.3%,5,35.7%,12,100.0%,0,0.0%,1,50.0%,1,50.0%,82,96.5%,3,3.5%,7,100.0%,0,0.0%,30,93.8%,2,6.3%,16,94.1%,1,5.9%,36,92.3%,3,7.7%,4,66.7%,2,33.3%,97,88.2%,13,11.8%,8,100.0%
North Yorkshire,0,-,0,-,98,79.0%,26,21.0%,2,100.0%,0,0.0%,14,87.5%,2,12.5%,2,66.7%,1,33.3%,71,89.9%,8,10.1%,10,100.0%,0,0.0%,21,87.5%,3,12.5%,24,100.0%,0,0.0%,28,82.4%,6,17.6%,14,73.7%,5,26.3%,83,93.3%,6,6.7%,14,100.0%
Nottinghamshire,4,100.0%,0,0.0%,172,75.8%,55,24.2%,34,69.4%,15,30.6%,23,88.5%,3,11.5%,13,86.7%,2,13.3%,152,96.8%,5,3.2%,17,77.3%,5,22.7%,34,89.5%,4,10.5%,94,87.0%,14,13.0%,56,91.8%,5,8.2%,18,81.8%,4,18.2%,107,92.2%,9,7.8%,27,100.0%
South Wales,5,100.0%,0,0.0%,251,76.1%,79,23.9%,30,83.3%,6,16.7%,32,94.1%,2,5.9%,8,72.7%,3,27.3%,188,92.2%,16,7.8%,22,84.6%,4,15.4%,48,87.3%,7,12.7%,115,93.5%,8,6.5%,101,93.5%,7,6.5%,23,100.0%,0,0.0%,183,87.1%,27,12.9%,11,100.0%
South Yorkshire,0,-,0,-,204,79.7%,52,20.3%,8,80.0%,2,20.0%,32,78.0%,9,22.0%,12,66.7%,6,33.3%,138,94.5%,8,5.5%,15,93.8%,1,6.3%,44,89.8%,5,10.2%,65,92.9%,5,7.1%,45,81.8%,10,18.2%,14,100.0%,0,0.0%,82,75.9%,26,24.1%,16,100.0%
Staffordshire,2,100.0%,0,0.0%,160,78.4%,44,21.6%,28,82.4%,6,17.6%,15,88.2%,2,11.8%,4,66.7%,2,33.3%,98,90.7%,10,9.3%,11,78.6%,3,21.4%,31,79.5%,8,20.5%,55,90.2%,6,9.8%,50,94.3%,3,5.7%,14,93.3%,1,6.7%,129,90.2%,14,9.8%,18,100.0%
Suffolk,0,-,0,-,88,88.9%,11,11.1%,5,83.3%,1,16.7%,2,100.0%,0,0.0%,1,100.0%,0,0.0%,54,91.5%,5,8.5%,1,50.0%,1,50.0%,12,100.0%,0,0.0%,37,97.4%,1,2.6%,29,90.6%,3,9.4%,8,100.0%,0,0.0%,111,94.9%,6,5.1%,7,100.0%
Surrey,0,-,0,-,124,84.9%,22,15.1%,15,83.3%,3,16.7%,4,66.7%,2,33.3%,1,100.0%,0,0.0%,38,88.4%,5,11.6%,6,85.7%,1,14.3%,14,87.5%,2,12.5%,36,97.3%,1,2.7%,27,90.0%,3,10.0%,2,66.7%,1,33.3%,94,92.2%,8,7.8%,16,100.0%
Sussex,0,-,0,-,250,85.6%,42,14.4%,19,65.5%,10,34.5%,11,91.7%,1,8.3%,10,90.9%,1,9.1%,107,96.4%,4,3.6%,13,81.3%,3,18.8%,30,85.7%,5,14.3%,51,96.2%,2,3.8%,38,86.4%,6,13.6%,12,92.3%,1,7.7%,147,89.6%,17,10.4%,11,100.0%
Thames Valley,1,50.0%,1,50.0%,257,78.6%,70,21.4%,55,73.3%,20,26.7%,29,87.9%,4,12.1%,6,85.7%,1,14.3%,144,91.1%,14,8.9%,22,84.6%,4,15.4%,37,78.7%,10,21.3%,92,93.9%,6,6.1%,68,85.0%,12,15.0%,16,94.1%,1,5.9%,229,90.5%,24,9.5%,21,100.0%
Warwickshire,1,50.0%,1,50.0%,57,80.3%,14,19.7%,6,54.5%,5,45.5%,5,100.0%,0,0.0%,0,0.0%,1,100.0%,39,90.7%,4,9.3%,2,100.0%,0,0.0%,8,100.0%,0,0.0%,4,100.0%,0,0.0%,17,81.0%,4,19.0%,0,0.0%,2,100.0%,67,87.0%,10,13.0%,7,100.0%
West Mercia,0,0.0%,1,100.0%,162,81.8%,36,18.2%,19,82.6%,4,17.4%,12,75.0%,4,25.0%,4,57.1%,3,42.9%,104,95.4%,5,4.6%,15,100.0%,0,0.0%,22,88.0%,3,12.0%,39,100.0%,0,0.0%,53,94.6%,3,5.4%,7,87.5%,1,12.5%,137,89.0%,17,11.0%,10,100.0%
West Midlands,8,100.0%,0,0.0%,519,79.8%,131,20.2%,47,66.2%,24,33.8%,36,83.7%,7,16.3%,39,83.0%,8,17.0%,340,90.7%,35,9.3%,45,91.8%,4,8.2%,63,78.8%,17,21.3%,203,95.3%,10,4.7%,189,89.2%,23,10.8%,57,82.6%,12,17.4%,227,88.0%,31,12.0%,69,100.0%
West Yorkshire,2,100.0%,0,0.0%,417,83.7%,81,16.3%,53,73.6%,19,26.4%,52,96.3%,2,3.7%,16,84.2%,3,15.8%,234,90.0%,26,10.0%,21,80.8%,5,19.2%,71,83.5%,14,16.5%,96,92.3%,8,7.7%,113,86.3%,18,13.7%,44,93.6%,3,6.4%,261,86.1%,42,13.9%,39,100.0%
Wiltshire,1,50.0%,1,50.0%,88,87.1%,13,12.9%,3,60.0%,2,40.0%,8,100.0%,0,0.0%,0,0,0,0,65,98.5%,1,1.5%,9,100.0%,0,0.0%,16,84.2%,3,15.8%,27,96.4%,1,3.6%,21,91.3%,2,8.7%,2,100.0%,0,0.0%,60,93.8%,4,6.3%,5,100.0%
