,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,1,100.0%,0,0.0%,147,83.5%,29,16.5%,4,80.0%,1,20.0%,22,95.7%,1,4.3%,0,0.0%,2,100.0%,135,95.7%,6,4.3%,10,100.0%,0,0.0%,18,81.8%,4,18.2%,20,100.0%,0,0.0%,32,74.4%,11,25.6%,5,83.3%,1,16.7%,85,89.5%,10,10.5%,7,100.0%
Dyfed Powys,0,-,0,-,81,84.4%,15,15.6%,8,80.0%,2,20.0%,10,76.9%,3,23.1%,1,100.0%,0,0.0%,31,96.9%,1,3.1%,4,80.0%,1,20.0%,21,95.5%,1,4.5%,37,97.4%,1,2.6%,20,80.0%,5,20.0%,6,100.0%,0,0.0%,63,91.3%,6,8.7%,1,100.0%
Essex,5,100.0%,0,0.0%,271,78.6%,74,21.4%,52,75.4%,17,24.6%,39,79.6%,10,20.4%,6,100.0%,0,0.0%,170,91.9%,15,8.1%,13,81.3%,3,18.8%,44,81.5%,10,18.5%,116,93.5%,8,6.5%,68,90.7%,7,9.3%,8,66.7%,4,33.3%,203,91.0%,20,9.0%,14,100.0%
Gloucestershire,2,100.0%,0,0.0%,60,77.9%,17,22.1%,6,100.0%,0,0.0%,18,75.0%,6,25.0%,2,66.7%,1,33.3%,81,100.0%,0,0.0%,9,100.0%,0,0.0%,16,76.2%,5,23.8%,22,100.0%,0,0.0%,14,82.4%,3,17.6%,2,66.7%,1,33.3%,66,95.7%,3,4.3%,5,100.0%
GreaterManchester,6,100.0%,0,0.0%,631,82.2%,137,17.8%,95,70.4%,40,29.6%,83,91.2%,8,8.8%,28,87.5%,4,12.5%,241,94.1%,15,5.9%,82,85.4%,14,14.6%,85,92.4%,7,7.6%,135,93.8%,9,6.3%,165,88.7%,21,11.3%,41,93.2%,3,6.8%,392,84.7%,71,15.3%,27,100.0%
Gwent,1,100.0%,0,0.0%,105,80.8%,25,19.2%,16,84.2%,3,15.8%,7,87.5%,1,12.5%,3,30.0%,7,70.0%,107,93.0%,8,7.0%,8,100.0%,0,0.0%,26,83.9%,5,16.1%,68,95.8%,3,4.2%,24,92.3%,2,7.7%,6,85.7%,1,14.3%,85,81.0%,20,19.0%,4,100.0%
Hampshire,1,50.0%,1,50.0%,278,83.2%,56,16.8%,33,82.5%,7,17.5%,28,96.6%,1,3.4%,2,66.7%,1,33.3%,219,95.6%,10,4.4%,16,84.2%,3,15.8%,56,94.9%,3,5.1%,84,96.6%,3,3.4%,62,87.3%,9,12.7%,10,90.9%,1,9.1%,216,92.7%,17,7.3%,13,100.0%
Hertfordshire,1,100.0%,0,0.0%,206,75.5%,67,24.5%,8,72.7%,3,27.3%,19,79.2%,5,20.8%,12,80.0%,3,20.0%,220,92.8%,17,7.2%,30,88.2%,4,11.8%,24,77.4%,7,22.6%,101,97.1%,3,2.9%,45,83.3%,9,16.7%,12,92.3%,1,7.7%,135,80.8%,32,19.2%,13,100.0%
Humberside,0,-,0,-,244,85.6%,41,14.4%,24,58.5%,17,41.5%,25,83.3%,5,16.7%,5,83.3%,1,16.7%,180,97.8%,4,2.2%,11,91.7%,1,8.3%,50,94.3%,3,5.7%,69,95.8%,3,4.2%,65,89.0%,8,11.0%,15,100.0%,0,0.0%,116,89.2%,14,10.8%,7,100.0%
Kent,7,87.5%,1,12.5%,317,74.8%,107,25.2%,29,82.9%,6,17.1%,27,93.1%,2,6.9%,5,83.3%,1,16.7%,196,93.8%,13,6.2%,29,93.5%,2,6.5%,62,91.2%,6,8.8%,92,94.8%,5,5.2%,69,86.3%,11,13.8%,33,94.3%,2,5.7%,189,93.6%,13,6.4%,22,100.0%
Lancashire,1,100.0%,0,0.0%,274,79.2%,72,20.8%,28,90.3%,3,9.7%,45,91.8%,4,8.2%,15,93.8%,1,6.3%,249,90.5%,26,9.5%,22,95.7%,1,4.3%,54,83.1%,11,16.9%,73,97.3%,2,2.7%,81,91.0%,8,9.0%,29,87.9%,4,12.1%,289,85.5%,49,14.5%,14,100.0%
Leicestershire,6,85.7%,1,14.3%,170,80.6%,41,19.4%,28,75.7%,9,24.3%,28,87.5%,4,12.5%,5,41.7%,7,58.3%,105,96.3%,4,3.7%,27,96.4%,1,3.6%,20,87.0%,3,13.0%,46,92.0%,4,8.0%,44,83.0%,9,17.0%,17,94.4%,1,5.6%,129,84.3%,24,15.7%,16,100.0%
Lincolnshire,4,100.0%,0,0.0%,152,84.9%,27,15.1%,5,100.0%,0,0.0%,19,95.0%,1,5.0%,0,0,0,0,107,92.2%,9,7.8%,10,100.0%,0,0.0%,34,89.5%,4,10.5%,34,91.9%,3,8.1%,49,84.5%,9,15.5%,5,100.0%,0,0.0%,120,77.9%,34,22.1%,3,100.0%
Merseyside,3,60.0%,2,40.0%,314,78.9%,84,21.1%,33,76.7%,10,23.3%,30,88.2%,4,11.8%,10,76.9%,3,23.1%,241,99.2%,2,0.8%,35,89.7%,4,10.3%,57,87.7%,8,12.3%,209,95.0%,11,5.0%,99,89.2%,12,10.8%,20,95.2%,1,4.8%,307,84.3%,57,15.7%,13,100.0%
Metropolitan and City,20,71.4%,8,28.6%,"1,904",71.7%,751,28.3%,144,72.4%,55,27.6%,213,80.4%,52,19.6%,106,80.3%,26,19.7%,"1,099",84.6%,200,15.4%,299,86.2%,48,13.8%,278,82.5%,59,17.5%,"1,107",91.6%,101,8.4%,518,74.1%,181,25.9%,151,80.7%,36,19.3%,"1,046",87.8%,146,12.2%,419,100.0%
Norfolk,0,0.0%,1,100.0%,198,88.0%,27,12.0%,14,87.5%,2,12.5%,17,100.0%,0,0.0%,4,100.0%,0,0.0%,168,94.4%,10,5.6%,5,100.0%,0,0.0%,44,88.0%,6,12.0%,87,96.7%,3,3.3%,96,91.4%,9,8.6%,21,100.0%,0,0.0%,122,93.8%,8,6.2%,8,100.0%
Northamptonshire,2,66.7%,1,33.3%,135,87.1%,20,12.9%,8,72.7%,3,27.3%,15,93.8%,1,6.3%,8,88.9%,1,11.1%,80,96.4%,3,3.6%,13,92.9%,1,7.1%,22,84.6%,4,15.4%,33,89.2%,4,10.8%,32,88.9%,4,11.1%,11,100.0%,0,0.0%,107,84.9%,19,15.1%,12,100.0%
Northumbria,6,66.7%,3,33.3%,312,72.6%,118,27.4%,49,67.1%,24,32.9%,48,85.7%,8,14.3%,6,100.0%,0,0.0%,397,91.9%,35,8.1%,32,88.9%,4,11.1%,58,81.7%,13,18.3%,75,89.3%,9,10.7%,168,86.6%,26,13.4%,18,81.8%,4,18.2%,229,83.6%,45,16.4%,16,100.0%
North Wales,0,-,0,-,142,82.6%,30,17.4%,20,90.9%,2,9.1%,11,84.6%,2,15.4%,2,50.0%,2,50.0%,102,97.1%,3,2.9%,4,80.0%,1,20.0%,30,76.9%,9,23.1%,28,96.6%,1,3.4%,66,93.0%,5,7.0%,8,80.0%,2,20.0%,117,88.0%,16,12.0%,6,100.0%
North Yorkshire,1,100.0%,0,0.0%,132,82.5%,28,17.5%,5,71.4%,2,28.6%,14,70.0%,6,30.0%,3,100.0%,0,0.0%,104,92.0%,9,8.0%,18,81.8%,4,18.2%,31,86.1%,5,13.9%,43,97.7%,1,2.3%,43,89.6%,5,10.4%,15,83.3%,3,16.7%,123,89.8%,14,10.2%,6,100.0%
Nottinghamshire,1,100.0%,0,0.0%,263,79.0%,70,21.0%,43,75.4%,14,24.6%,38,90.5%,4,9.5%,11,73.3%,4,26.7%,175,95.6%,8,4.4%,16,76.2%,5,23.8%,51,72.9%,19,27.1%,119,88.8%,15,11.2%,79,89.8%,9,10.2%,22,81.5%,5,18.5%,158,86.3%,25,13.7%,24,100.0%
South Wales,2,50.0%,2,50.0%,338,72.1%,131,27.9%,32,69.6%,14,30.4%,32,84.2%,6,15.8%,12,85.7%,2,14.3%,262,93.6%,18,6.4%,21,84.0%,4,16.0%,57,83.8%,11,16.2%,157,97.5%,4,2.5%,97,89.0%,12,11.0%,20,90.9%,2,9.1%,264,84.6%,48,15.4%,18,100.0%
South Yorkshire,2,100.0%,0,0.0%,235,77.3%,69,22.7%,14,82.4%,3,17.6%,30,81.1%,7,18.9%,10,83.3%,2,16.7%,289,97.0%,9,3.0%,16,88.9%,2,11.1%,56,84.8%,10,15.2%,86,93.5%,6,6.5%,98,91.6%,9,8.4%,9,42.9%,12,57.1%,169,93.9%,11,6.1%,15,100.0%
Staffordshire,0,-,0,-,239,82.4%,51,17.6%,19,65.5%,10,34.5%,37,90.2%,4,9.8%,7,100.0%,0,0.0%,157,88.7%,20,11.3%,8,61.5%,5,38.5%,41,80.4%,10,19.6%,85,97.7%,2,2.3%,68,88.3%,9,11.7%,23,100.0%,0,0.0%,150,92.0%,13,8.0%,11,100.0%
Suffolk,0,-,0,-,122,84.7%,22,15.3%,10,90.9%,1,9.1%,6,100.0%,0,0.0%,1,100.0%,0,0.0%,64,94.1%,4,5.9%,13,92.9%,1,7.1%,22,81.5%,5,18.5%,50,96.2%,2,3.8%,27,96.4%,1,3.6%,5,100.0%,0,0.0%,87,94.6%,5,5.4%,3,100.0%
Surrey,0,-,0,-,123,82.6%,26,17.4%,18,81.8%,4,18.2%,7,100.0%,0,0.0%,2,100.0%,0,0.0%,66,91.7%,6,8.3%,19,76.0%,6,24.0%,18,90.0%,2,10.0%,36,97.3%,1,2.7%,36,87.8%,5,12.2%,12,92.3%,1,7.7%,106,86.9%,16,13.1%,8,100.0%
Sussex,1,100.0%,0,0.0%,238,85.0%,42,15.0%,30,65.2%,16,34.8%,19,76.0%,6,24.0%,3,75.0%,1,25.0%,109,91.6%,10,8.4%,13,86.7%,2,13.3%,34,94.4%,2,5.6%,88,93.6%,6,6.4%,39,88.6%,5,11.4%,11,91.7%,1,8.3%,216,93.9%,14,6.1%,21,100.0%
Thames Valley,4,100.0%,0,0.0%,384,71.2%,155,28.8%,47,78.3%,13,21.7%,33,76.7%,10,23.3%,7,100.0%,0,0.0%,333,91.7%,30,8.3%,34,97.1%,1,2.9%,78,81.3%,18,18.8%,157,96.9%,5,3.1%,128,83.7%,25,16.3%,38,95.0%,2,5.0%,367,81.9%,81,18.1%,29,100.0%
Warwickshire,0,-,0,-,97,80.8%,23,19.2%,8,53.3%,7,46.7%,9,90.0%,1,10.0%,3,100.0%,0,0.0%,66,93.0%,5,7.0%,5,71.4%,2,28.6%,15,78.9%,4,21.1%,30,96.8%,1,3.2%,17,77.3%,5,22.7%,5,100.0%,0,0.0%,91,86.7%,14,13.3%,9,100.0%
West Mercia,0,-,0,-,231,81.1%,54,18.9%,24,80.0%,6,20.0%,31,86.1%,5,13.9%,4,80.0%,1,20.0%,178,93.7%,12,6.3%,17,85.0%,3,15.0%,35,87.5%,5,12.5%,79,96.3%,3,3.7%,82,89.1%,10,10.9%,16,94.1%,1,5.9%,268,89.0%,33,11.0%,8,100.0%
West Midlands,9,90.0%,1,10.0%,746,80.9%,176,19.1%,71,68.9%,32,31.1%,75,80.6%,18,19.4%,50,83.3%,10,16.7%,566,95.4%,27,4.6%,62,87.3%,9,12.7%,95,90.5%,10,9.5%,274,92.6%,22,7.4%,243,89.0%,30,11.0%,63,92.6%,5,7.4%,349,84.9%,62,15.1%,52,100.0%
West Yorkshire,9,90.0%,1,10.0%,511,80.5%,124,19.5%,58,72.5%,22,27.5%,69,90.8%,7,9.2%,19,90.5%,2,9.5%,325,95.6%,15,4.4%,35,97.2%,1,2.8%,75,84.3%,14,15.7%,143,96.6%,5,3.4%,123,90.4%,13,9.6%,28,93.3%,2,6.7%,329,89.9%,37,10.1%,37,100.0%
Wiltshire,1,100.0%,0,0.0%,99,83.9%,19,16.1%,8,80.0%,2,20.0%,8,88.9%,1,11.1%,2,66.7%,1,33.3%,67,94.4%,4,5.6%,10,100.0%,0,0.0%,20,95.2%,1,4.8%,39,100.0%,0,0.0%,27,87.1%,4,12.9%,7,100.0%,0,0.0%,98,95.1%,5,4.9%,1,100.0%
