,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Gloucestershire,1,100.0%,0,0.0%,73,84.9%,13,15.1%,1,33.3%,2,66.7%,13,92.9%,1,7.1%,2,100.0%,0,0.0%,46,93.9%,3,6.1%,3,75.0%,1,25.0%,18,94.7%,1,5.3%,31,100.0%,0,0.0%,18,81.8%,4,18.2%,2,50.0%,2,50.0%,58,95.1%,3,4.9%,11,100.0%
GreaterManchester,12,92.3%,1,7.7%,490,81.8%,109,18.2%,64,65.3%,34,34.7%,55,100.0%,0,0.0%,37,97.4%,1,2.6%,151,95.0%,8,5.0%,20,80.0%,5,20.0%,82,87.2%,12,12.8%,81,88.0%,11,12.0%,141,83.4%,28,16.6%,32,91.4%,3,8.6%,286,88.8%,36,11.2%,42,100.0%
Gwent,0,-,0,-,78,79.6%,20,20.4%,8,72.7%,3,27.3%,8,66.7%,4,33.3%,0,0.0%,6,100.0%,83,92.2%,7,7.8%,10,100.0%,0,0.0%,18,78.3%,5,21.7%,47,100.0%,0,0.0%,30,83.3%,6,16.7%,4,80.0%,1,20.0%,65,80.2%,16,19.8%,10,100.0%
Hampshire,1,100.0%,0,0.0%,296,80.2%,73,19.8%,35,81.4%,8,18.6%,34,89.5%,4,10.5%,7,87.5%,1,12.5%,159,95.8%,7,4.2%,17,100.0%,0,0.0%,40,88.9%,5,11.1%,56,100.0%,0,0.0%,68,89.5%,8,10.5%,19,100.0%,0,0.0%,184,89.3%,22,10.7%,24,100.0%
Hertfordshire,1,100.0%,0,0.0%,163,78.4%,45,21.6%,8,100.0%,0,0.0%,25,96.2%,1,3.8%,3,100.0%,0,0.0%,138,95.8%,6,4.2%,20,80.0%,5,20.0%,26,89.7%,3,10.3%,55,98.2%,1,1.8%,39,86.7%,6,13.3%,8,72.7%,3,27.3%,128,83.1%,26,16.9%,10,100.0%
Humberside,0,-,0,-,175,86.6%,27,13.4%,11,84.6%,2,15.4%,14,87.5%,2,12.5%,7,77.8%,2,22.2%,129,91.5%,12,8.5%,13,86.7%,2,13.3%,36,87.8%,5,12.2%,40,85.1%,7,14.9%,63,94.0%,4,6.0%,13,92.9%,1,7.1%,67,82.7%,14,17.3%,20,100.0%
Kent,4,100.0%,0,0.0%,310,80.1%,77,19.9%,24,85.7%,4,14.3%,23,85.2%,4,14.8%,12,70.6%,5,29.4%,139,91.4%,13,8.6%,38,88.4%,5,11.6%,63,87.5%,9,12.5%,80,96.4%,3,3.6%,56,84.8%,10,15.2%,28,90.3%,3,9.7%,162,89.0%,20,11.0%,40,100.0%
Lancashire,0,-,0,-,254,76.0%,80,24.0%,22,95.7%,1,4.3%,36,94.7%,2,5.3%,8,88.9%,1,11.1%,244,93.1%,18,6.9%,19,73.1%,7,26.9%,55,91.7%,5,8.3%,60,96.8%,2,3.2%,106,90.6%,11,9.4%,17,94.4%,1,5.6%,231,84.6%,42,15.4%,12,100.0%
Leicestershire,1,100.0%,0,0.0%,178,86.8%,27,13.2%,28,70.0%,12,30.0%,26,83.9%,5,16.1%,5,83.3%,1,16.7%,72,92.3%,6,7.7%,11,91.7%,1,8.3%,21,84.0%,4,16.0%,43,91.5%,4,8.5%,49,89.1%,6,10.9%,11,91.7%,1,8.3%,124,78.0%,35,22.0%,15,100.0%
Lincolnshire,1,100.0%,0,0.0%,125,81.7%,28,18.3%,3,100.0%,0,0.0%,17,77.3%,5,22.7%,0,0.0%,2,100.0%,87,88.8%,11,11.2%,8,72.7%,3,27.3%,24,100.0%,0,0.0%,33,94.3%,2,5.7%,37,78.7%,10,21.3%,11,64.7%,6,35.3%,124,77.5%,36,22.5%,8,100.0%
Merseyside,0,-,0,-,305,81.8%,68,18.2%,32,76.2%,10,23.8%,14,100.0%,0,0.0%,4,100.0%,0,0.0%,179,94.7%,10,5.3%,16,76.2%,5,23.8%,33,84.6%,6,15.4%,176,95.1%,9,4.9%,107,94.7%,6,5.3%,14,66.7%,7,33.3%,225,87.5%,32,12.5%,19,100.0%
Metropolitan and City,12,92.3%,1,7.7%,"1,363",68.1%,638,31.9%,142,70.3%,60,29.7%,158,74.2%,55,25.8%,87,79.8%,22,20.2%,687,82.8%,143,17.2%,175,85.0%,31,15.0%,210,81.7%,47,18.3%,917,91.4%,86,8.6%,426,76.1%,134,23.9%,175,83.3%,35,16.7%,964,74.9%,323,25.1%,214,100.0%
Norfolk,0,-,0,-,158,81.9%,35,18.1%,5,71.4%,2,28.6%,14,93.3%,1,6.7%,4,100.0%,0,0.0%,103,93.6%,7,6.4%,14,93.3%,1,6.7%,45,91.8%,4,8.2%,54,98.2%,1,1.8%,89,93.7%,6,6.3%,6,85.7%,1,14.3%,134,92.4%,11,7.6%,10,100.0%
Northamptonshire,0,-,0,-,126,84.6%,23,15.4%,8,88.9%,1,11.1%,9,75.0%,3,25.0%,0,0,0,0,54,91.5%,5,8.5%,5,100.0%,0,0.0%,15,100.0%,0,0.0%,22,91.7%,2,8.3%,21,84.0%,4,16.0%,4,100.0%,0,0.0%,95,89.6%,11,10.4%,16,100.0%
Northumbria,2,100.0%,0,0.0%,242,75.2%,80,24.8%,52,69.3%,23,30.7%,49,87.5%,7,12.5%,9,90.0%,1,10.0%,231,92.8%,18,7.2%,23,82.1%,5,17.9%,66,88.0%,9,12.0%,58,82.9%,12,17.1%,157,86.7%,24,13.3%,12,92.3%,1,7.7%,185,84.9%,33,15.1%,11,100.0%
North Wales,0,0.0%,1,100.0%,187,83.1%,38,16.9%,14,82.4%,3,17.6%,22,95.7%,1,4.3%,2,100.0%,0,0.0%,108,93.1%,8,6.9%,5,100.0%,0,0.0%,24,92.3%,2,7.7%,32,94.1%,2,5.9%,67,93.1%,5,6.9%,7,100.0%,0,0.0%,138,91.4%,13,8.6%,5,100.0%
North Yorkshire,1,100.0%,0,0.0%,112,89.6%,13,10.4%,10,76.9%,3,23.1%,22,95.7%,1,4.3%,0,0,0,0,88,94.6%,5,5.4%,10,76.9%,3,23.1%,22,88.0%,3,12.0%,30,90.9%,3,9.1%,50,87.7%,7,12.3%,15,78.9%,4,21.1%,124,91.9%,11,8.1%,14,100.0%
Nottinghamshire,4,100.0%,0,0.0%,247,78.9%,66,21.1%,28,77.8%,8,22.2%,23,85.2%,4,14.8%,9,81.8%,2,18.2%,150,92.0%,13,8.0%,16,94.1%,1,5.9%,44,88.0%,6,12.0%,87,89.7%,10,10.3%,69,88.5%,9,11.5%,12,85.7%,2,14.3%,139,88.5%,18,11.5%,25,100.0%
South Wales,2,100.0%,0,0.0%,382,74.5%,131,25.5%,27,69.2%,12,30.8%,27,77.1%,8,22.9%,6,100.0%,0,0.0%,252,92.3%,21,7.7%,24,85.7%,4,14.3%,61,89.7%,7,10.3%,114,95.8%,5,4.2%,146,78.9%,39,21.1%,14,87.5%,2,12.5%,225,74.5%,77,25.5%,11,100.0%
South Yorkshire,3,75.0%,1,25.0%,209,74.9%,70,25.1%,14,87.5%,2,12.5%,40,87.0%,6,13.0%,25,100.0%,0,0.0%,157,85.3%,27,14.7%,24,85.7%,4,14.3%,48,85.7%,8,14.3%,74,93.7%,5,6.3%,88,90.7%,9,9.3%,13,86.7%,2,13.3%,167,89.8%,19,10.2%,57,100.0%
Staffordshire,0,-,0,-,194,76.7%,59,23.3%,24,72.7%,9,27.3%,18,81.8%,4,18.2%,5,100.0%,0,0.0%,123,91.1%,12,8.9%,19,86.4%,3,13.6%,34,85.0%,6,15.0%,61,96.8%,2,3.2%,56,82.4%,12,17.6%,18,85.7%,3,14.3%,129,82.7%,27,17.3%,24,100.0%
Suffolk,2,100.0%,0,0.0%,94,86.2%,15,13.8%,8,80.0%,2,20.0%,5,100.0%,0,0.0%,8,88.9%,1,11.1%,62,96.9%,2,3.1%,7,87.5%,1,12.5%,19,86.4%,3,13.6%,43,95.6%,2,4.4%,41,95.3%,2,4.7%,6,100.0%,0,0.0%,84,95.5%,4,4.5%,8,100.0%
Surrey,3,100.0%,0,0.0%,129,79.1%,34,20.9%,21,75.0%,7,25.0%,13,92.9%,1,7.1%,1,100.0%,0,0.0%,57,90.5%,6,9.5%,13,86.7%,2,13.3%,21,87.5%,3,12.5%,18,100.0%,0,0.0%,20,90.9%,2,9.1%,10,100.0%,0,0.0%,95,89.6%,11,10.4%,7,100.0%
Sussex,0,-,0,-,257,79.3%,67,20.7%,28,71.8%,11,28.2%,18,100.0%,0,0.0%,5,55.6%,4,44.4%,90,94.7%,5,5.3%,18,85.7%,3,14.3%,25,86.2%,4,13.8%,71,94.7%,4,5.3%,55,82.1%,12,17.9%,10,100.0%,0,0.0%,180,86.5%,28,13.5%,11,100.0%
Thames Valley,4,80.0%,1,20.0%,333,76.4%,103,23.6%,46,75.4%,15,24.6%,58,96.7%,2,3.3%,7,70.0%,3,30.0%,233,91.4%,22,8.6%,36,87.8%,5,12.2%,73,89.0%,9,11.0%,98,93.3%,7,6.7%,81,89.0%,10,11.0%,32,97.0%,1,3.0%,318,88.8%,40,11.2%,30,100.0%
Warwickshire,0,-,0,-,65,80.2%,16,19.8%,9,69.2%,4,30.8%,13,92.9%,1,7.1%,3,100.0%,0,0.0%,42,82.4%,9,17.6%,10,90.9%,1,9.1%,9,69.2%,4,30.8%,21,91.3%,2,8.7%,19,82.6%,4,17.4%,4,100.0%,0,0.0%,78,78.8%,21,21.2%,11,100.0%
West Mercia,6,100.0%,0,0.0%,220,78.6%,60,21.4%,20,69.0%,9,31.0%,25,83.3%,5,16.7%,4,66.7%,2,33.3%,112,93.3%,8,6.7%,16,80.0%,4,20.0%,41,89.1%,5,10.9%,56,96.6%,2,3.4%,75,92.6%,6,7.4%,11,84.6%,2,15.4%,190,87.6%,27,12.4%,12,100.0%
West Midlands,11,91.7%,1,8.3%,609,78.0%,172,22.0%,66,74.2%,23,25.8%,63,82.9%,13,17.1%,30,76.9%,9,23.1%,446,94.5%,26,5.5%,59,84.3%,11,15.7%,89,84.8%,16,15.2%,211,94.2%,13,5.8%,253,86.9%,38,13.1%,69,82.1%,15,17.9%,280,80.5%,68,19.5%,92,100.0%
West Yorkshire,5,71.4%,2,28.6%,446,85.9%,73,14.1%,71,68.3%,33,31.7%,84,94.4%,5,5.6%,15,93.8%,1,6.3%,243,94.2%,15,5.8%,34,85.0%,6,15.0%,70,84.3%,13,15.7%,137,96.5%,5,3.5%,154,91.1%,15,8.9%,24,75.0%,8,25.0%,236,91.8%,21,8.2%,51,100.0%
Wiltshire,0,-,0,-,85,86.7%,13,13.3%,12,100.0%,0,0.0%,7,87.5%,1,12.5%,0,0,0,0,58,98.3%,1,1.7%,8,100.0%,0,0.0%,13,92.9%,1,7.1%,25,100.0%,0,0.0%,21,87.5%,3,12.5%,7,87.5%,1,12.5%,64,97.0%,2,3.0%,4,100.0%
