,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,120,81.6%,27,18.4%,10,76.9%,3,23.1%,28,84.8%,5,15.2%,0,0,0,0,116,87.2%,17,12.8%,5,100.0%,0,0.0%,35,83.3%,7,16.7%,22,88.0%,3,12.0%,42,76.4%,13,23.6%,13,76.5%,4,23.5%,64,95.5%,3,4.5%,0,-
Dyfed Powys,0,-,0,-,54,62.1%,33,37.9%,3,60.0%,2,40.0%,6,66.7%,3,33.3%,0,0,0,0,50,90.9%,5,9.1%,3,100.0%,0,0.0%,15,93.8%,1,6.3%,60,96.8%,2,3.2%,29,78.4%,8,21.6%,1,100.0%,0,0.0%,90,88.2%,12,11.8%,1,100.0%
Essex,1,50.0%,1,50.0%,314,79.3%,82,20.7%,37,77.1%,11,22.9%,39,86.7%,6,13.3%,11,91.7%,1,8.3%,236,93.7%,16,6.3%,21,80.8%,5,19.2%,52,78.8%,14,21.2%,89,89.0%,11,11.0%,66,81.5%,15,18.5%,33,84.6%,6,15.4%,209,88.2%,28,11.8%,14,100.0%
Gloucestershire,0,-,0,-,68,77.3%,20,22.7%,3,60.0%,2,40.0%,21,87.5%,3,12.5%,1,100.0%,0,0.0%,92,92.0%,8,8.0%,3,100.0%,0,0.0%,13,92.9%,1,7.1%,26,96.3%,1,3.7%,22,84.6%,4,15.4%,11,73.3%,4,26.7%,57,96.6%,2,3.4%,2,100.0%
GreaterManchester,2,66.7%,1,33.3%,574,81.1%,134,18.9%,43,62.3%,26,37.7%,82,89.1%,10,10.9%,26,89.7%,3,10.3%,389,94.6%,22,5.4%,33,86.8%,5,13.2%,139,93.3%,10,6.7%,153,95.0%,8,5.0%,252,92.0%,22,8.0%,90,88.2%,12,11.8%,335,85.2%,58,14.8%,38,100.0%
Gwent,0,-,0,-,89,83.2%,18,16.8%,3,75.0%,1,25.0%,17,89.5%,2,10.5%,3,100.0%,0,0.0%,90,96.8%,3,3.2%,3,100.0%,0,0.0%,26,89.7%,3,10.3%,40,100.0%,0,0.0%,41,87.2%,6,12.8%,6,75.0%,2,25.0%,138,90.2%,15,9.8%,4,100.0%
Hampshire,3,100.0%,0,0.0%,295,73.8%,105,26.3%,28,70.0%,12,30.0%,28,84.8%,5,15.2%,15,75.0%,5,25.0%,256,94.1%,16,5.9%,20,90.9%,2,9.1%,72,87.8%,10,12.2%,93,94.9%,5,5.1%,95,88.8%,12,11.2%,52,89.7%,6,10.3%,236,89.7%,27,10.3%,23,100.0%
Hertfordshire,1,100.0%,0,0.0%,185,74.9%,62,25.1%,6,100.0%,0,0.0%,30,88.2%,4,11.8%,2,40.0%,3,60.0%,174,93.0%,13,7.0%,17,94.4%,1,5.6%,47,92.2%,4,7.8%,94,93.1%,7,6.9%,76,85.4%,13,14.6%,20,80.0%,5,20.0%,158,85.4%,27,14.6%,12,100.0%
Humberside,2,100.0%,0,0.0%,169,82.8%,35,17.2%,30,65.2%,16,34.8%,40,88.9%,5,11.1%,8,80.0%,2,20.0%,242,90.0%,27,10.0%,13,92.9%,1,7.1%,23,74.2%,8,25.8%,70,93.3%,5,6.7%,85,84.2%,16,15.8%,30,93.8%,2,6.3%,120,83.9%,23,16.1%,7,100.0%
Kent,10,100.0%,0,0.0%,227,78.0%,64,22.0%,26,70.3%,11,29.7%,34,85.0%,6,15.0%,10,58.8%,7,41.2%,292,87.4%,42,12.6%,30,96.8%,1,3.2%,51,82.3%,11,17.7%,99,98.0%,2,2.0%,54,76.1%,17,23.9%,107,82.3%,23,17.7%,209,88.2%,28,11.8%,38,100.0%
Lancashire,3,100.0%,0,0.0%,269,76.9%,81,23.1%,35,72.9%,13,27.1%,64,95.5%,3,4.5%,8,72.7%,3,27.3%,327,96.2%,13,3.8%,19,86.4%,3,13.6%,80,76.2%,25,23.8%,122,96.1%,5,3.9%,163,92.6%,13,7.4%,101,87.1%,15,12.9%,262,87.9%,36,12.1%,22,100.0%
Leicestershire,3,100.0%,0,0.0%,133,79.6%,34,20.4%,17,94.4%,1,5.6%,10,90.9%,1,9.1%,15,93.8%,1,6.3%,126,91.3%,12,8.7%,15,93.8%,1,6.3%,34,85.0%,6,15.0%,35,87.5%,5,12.5%,65,95.6%,3,4.4%,11,84.6%,2,15.4%,91,88.3%,12,11.7%,9,100.0%
Lincolnshire,0,-,0,-,85,83.3%,17,16.7%,6,100.0%,0,0.0%,14,77.8%,4,22.2%,2,66.7%,1,33.3%,121,89.6%,14,10.4%,6,100.0%,0,0.0%,17,89.5%,2,10.5%,21,100.0%,0,0.0%,48,90.6%,5,9.4%,21,75.0%,7,25.0%,76,82.6%,16,17.4%,10,100.0%
Merseyside,0,-,0,-,278,77.0%,83,23.0%,25,80.6%,6,19.4%,26,81.3%,6,18.8%,9,90.0%,1,10.0%,266,90.5%,28,9.5%,14,93.3%,1,6.7%,61,83.6%,12,16.4%,218,94.8%,12,5.2%,113,86.9%,17,13.1%,114,87.7%,16,12.3%,172,91.0%,17,9.0%,19,100.0%
Metropolitan and City,23,71.9%,9,28.1%,"1,325",69.5%,582,30.5%,105,61.8%,65,38.2%,201,79.8%,51,20.2%,128,74.4%,44,25.6%,"1,192",89.5%,140,10.5%,171,82.6%,36,17.4%,325,84.2%,61,15.8%,978,93.1%,73,6.9%,541,80.9%,128,19.1%,477,82.5%,101,17.5%,"1,245",80.1%,309,19.9%,221,100.0%
Norfolk,0,-,0,-,149,81.9%,33,18.1%,8,88.9%,1,11.1%,22,88.0%,3,12.0%,4,80.0%,1,20.0%,134,88.7%,17,11.3%,6,85.7%,1,14.3%,44,83.0%,9,17.0%,52,94.5%,3,5.5%,108,89.3%,13,10.7%,15,88.2%,2,11.8%,99,82.5%,21,17.5%,7,100.0%
Northamptonshire,2,100.0%,0,0.0%,84,66.7%,42,33.3%,6,66.7%,3,33.3%,8,100.0%,0,0.0%,8,100.0%,0,0.0%,116,86.6%,18,13.4%,5,71.4%,2,28.6%,21,77.8%,6,22.2%,30,88.2%,4,11.8%,44,78.6%,12,21.4%,17,89.5%,2,10.5%,102,89.5%,12,10.5%,17,100.0%
Northumbria,3,100.0%,0,0.0%,260,71.8%,102,28.2%,18,56.3%,14,43.8%,56,86.2%,9,13.8%,8,80.0%,2,20.0%,371,87.1%,55,12.9%,13,86.7%,2,13.3%,77,76.2%,24,23.8%,85,85.0%,15,15.0%,138,78.9%,37,21.1%,64,80.0%,16,20.0%,132,76.3%,41,23.7%,14,100.0%
North Wales,0,-,0,-,132,81.5%,30,18.5%,12,57.1%,9,42.9%,7,100.0%,0,0.0%,1,100.0%,0,0.0%,151,96.8%,5,3.2%,3,100.0%,0,0.0%,46,90.2%,5,9.8%,27,96.4%,1,3.6%,67,89.3%,8,10.7%,8,88.9%,1,11.1%,95,88.8%,12,11.2%,3,100.0%
North Yorkshire,0,-,0,-,97,72.4%,37,27.6%,8,100.0%,0,0.0%,26,81.3%,6,18.8%,4,80.0%,1,20.0%,126,83.4%,25,16.6%,14,82.4%,3,17.6%,25,86.2%,4,13.8%,35,94.6%,2,5.4%,71,81.6%,16,18.4%,22,84.6%,4,15.4%,118,88.1%,16,11.9%,9,100.0%
Nottinghamshire,1,33.3%,2,66.7%,164,72.9%,61,27.1%,10,66.7%,5,33.3%,54,88.5%,7,11.5%,17,94.4%,1,5.6%,232,95.5%,11,4.5%,7,87.5%,1,12.5%,45,86.5%,7,13.5%,97,93.3%,7,6.7%,61,87.1%,9,12.9%,49,83.1%,10,16.9%,129,92.8%,10,7.2%,23,100.0%
South Wales,0,-,0,-,287,73.0%,106,27.0%,22,62.9%,13,37.1%,53,94.6%,3,5.4%,15,83.3%,3,16.7%,292,94.8%,16,5.2%,15,78.9%,4,21.1%,84,90.3%,9,9.7%,137,97.2%,4,2.8%,161,87.5%,23,12.5%,28,96.6%,1,3.4%,573,87.3%,83,12.7%,17,100.0%
South Yorkshire,2,100.0%,0,0.0%,258,80.1%,64,19.9%,8,80.0%,2,20.0%,56,93.3%,4,6.7%,16,84.2%,3,15.8%,277,92.6%,22,7.4%,16,100.0%,0,0.0%,66,91.7%,6,8.3%,96,92.3%,8,7.7%,87,88.8%,11,11.2%,37,88.1%,5,11.9%,144,93.5%,10,6.5%,14,100.0%
Staffordshire,2,100.0%,0,0.0%,142,69.6%,62,30.4%,9,60.0%,6,40.0%,33,80.5%,8,19.5%,14,87.5%,2,12.5%,177,91.2%,17,8.8%,7,100.0%,0,0.0%,27,79.4%,7,20.6%,57,90.5%,6,9.5%,62,86.1%,10,13.9%,32,88.9%,4,11.1%,117,83.0%,24,17.0%,3,100.0%
Suffolk,1,100.0%,0,0.0%,142,86.6%,22,13.4%,9,81.8%,2,18.2%,17,100.0%,0,0.0%,1,100.0%,0,0.0%,111,92.5%,9,7.5%,7,87.5%,1,12.5%,34,94.4%,2,5.6%,53,91.4%,5,8.6%,66,93.0%,5,7.0%,12,75.0%,4,25.0%,94,93.1%,7,6.9%,8,100.0%
Surrey,0,-,0,-,98,78.4%,27,21.6%,6,66.7%,3,33.3%,13,92.9%,1,7.1%,5,100.0%,0,0.0%,98,89.1%,12,10.9%,4,80.0%,1,20.0%,19,95.0%,1,5.0%,59,90.8%,6,9.2%,28,80.0%,7,20.0%,38,82.6%,8,17.4%,130,88.4%,17,11.6%,14,100.0%
Sussex,0,-,0,-,201,73.4%,73,26.6%,22,78.6%,6,21.4%,42,85.7%,7,14.3%,15,83.3%,3,16.7%,216,90.4%,23,9.6%,15,88.2%,2,11.8%,47,83.9%,9,16.1%,122,96.8%,4,3.2%,85,78.0%,24,22.0%,50,75.8%,16,24.2%,208,90.0%,23,10.0%,23,100.0%
Thames Valley,1,100.0%,0,0.0%,297,70.7%,123,29.3%,45,69.2%,20,30.8%,46,86.8%,7,13.2%,17,94.4%,1,5.6%,304,89.4%,36,10.6%,24,77.4%,7,22.6%,62,83.8%,12,16.2%,179,92.3%,15,7.7%,98,84.5%,18,15.5%,23,67.6%,11,32.4%,220,86.6%,34,13.4%,39,100.0%
Warwickshire,0,-,0,-,44,86.3%,7,13.7%,3,75.0%,1,25.0%,29,96.7%,1,3.3%,0,0,0,0,67,94.4%,4,5.6%,5,100.0%,0,0.0%,11,84.6%,2,15.4%,13,92.9%,1,7.1%,14,93.3%,1,6.7%,14,70.0%,6,30.0%,87,73.7%,31,26.3%,1,100.0%
West Mercia,2,100.0%,0,0.0%,158,80.6%,38,19.4%,21,77.8%,6,22.2%,26,96.3%,1,3.7%,7,87.5%,1,12.5%,169,93.4%,12,6.6%,3,60.0%,2,40.0%,38,82.6%,8,17.4%,46,100.0%,0,0.0%,78,98.7%,1,1.3%,25,86.2%,4,13.8%,151,87.3%,22,12.7%,1,100.0%
West Midlands,3,100.0%,0,0.0%,462,74.3%,160,25.7%,38,73.1%,14,26.9%,86,86.0%,14,14.0%,62,83.8%,12,16.2%,515,92.3%,43,7.7%,17,85.0%,3,15.0%,109,88.6%,14,11.4%,187,93.5%,13,6.5%,114,76.5%,35,23.5%,119,72.1%,46,27.9%,311,87.4%,45,12.6%,19,100.0%
West Yorkshire,4,100.0%,0,0.0%,420,71.9%,164,28.1%,61,81.3%,14,18.7%,122,91.7%,11,8.3%,30,69.8%,13,30.2%,376,89.5%,44,10.5%,17,68.0%,8,32.0%,96,81.4%,22,18.6%,130,93.5%,9,6.5%,127,83.6%,25,16.4%,43,72.9%,16,27.1%,244,81.9%,54,18.1%,14,100.0%
Wiltshire,0,-,0,-,73,80.2%,18,19.8%,9,100.0%,0,0.0%,6,75.0%,2,25.0%,0,0.0%,4,100.0%,113,93.4%,8,6.6%,7,100.0%,0,0.0%,29,90.6%,3,9.4%,21,95.5%,1,4.5%,44,93.6%,3,6.4%,10,71.4%,4,28.6%,80,89.9%,9,10.1%,2,100.0%
