,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,101,78.3%,28,21.7%,8,80.0%,2,20.0%,14,87.5%,2,12.5%,1,100.0%,0,0.0%,118,91.5%,11,8.5%,9,100.0%,0,0.0%,26,83.9%,5,16.1%,21,100.0%,0,0.0%,25,64.1%,14,35.9%,18,62.1%,11,37.9%,57,95.0%,3,5.0%,3,100.0%
Dyfed Powys,1,100.0%,0,0.0%,62,66.7%,31,33.3%,7,87.5%,1,12.5%,12,75.0%,4,25.0%,4,100.0%,0,0.0%,55,83.3%,11,16.7%,6,85.7%,1,14.3%,21,87.5%,3,12.5%,63,96.9%,2,3.1%,28,90.3%,3,9.7%,15,88.2%,2,11.8%,153,89.0%,19,11.0%,4,100.0%
Essex,0,0.0%,1,100.0%,267,78.3%,74,21.7%,37,68.5%,17,31.5%,32,88.9%,4,11.1%,3,50.0%,3,50.0%,250,91.2%,24,8.8%,12,70.6%,5,29.4%,58,81.7%,13,18.3%,102,94.4%,6,5.6%,72,85.7%,12,14.3%,46,86.8%,7,13.2%,206,86.9%,31,13.1%,17,100.0%
Gloucestershire,0,-,0,-,62,84.9%,11,15.1%,3,60.0%,2,40.0%,9,100.0%,0,0.0%,11,78.6%,3,21.4%,72,97.3%,2,2.7%,6,100.0%,0,0.0%,21,77.8%,6,22.2%,42,95.5%,2,4.5%,10,76.9%,3,23.1%,15,88.2%,2,11.8%,50,92.6%,4,7.4%,7,100.0%
GreaterManchester,1,33.3%,2,66.7%,622,82.1%,136,17.9%,41,60.3%,27,39.7%,70,89.7%,8,10.3%,50,89.3%,6,10.7%,415,93.5%,29,6.5%,31,96.9%,1,3.1%,153,90.0%,17,10.0%,159,91.4%,15,8.6%,286,92.9%,22,7.1%,102,82.3%,22,17.7%,350,86.8%,53,13.2%,49,100.0%
Gwent,0,-,0,-,64,74.4%,22,25.6%,7,87.5%,1,12.5%,16,84.2%,3,15.8%,0,0,0,0,102,96.2%,4,3.8%,7,87.5%,1,12.5%,35,97.2%,1,2.8%,48,94.1%,3,5.9%,73,97.3%,2,2.7%,25,86.2%,4,13.8%,103,93.6%,7,6.4%,7,100.0%
Hampshire,1,100.0%,0,0.0%,277,76.3%,86,23.7%,24,63.2%,14,36.8%,31,75.6%,10,24.4%,9,75.0%,3,25.0%,259,93.5%,18,6.5%,19,86.4%,3,13.6%,65,91.5%,6,8.5%,104,90.4%,11,9.6%,92,80.7%,22,19.3%,100,93.5%,7,6.5%,222,85.4%,38,14.6%,16,100.0%
Hertfordshire,0,-,0,-,185,73.4%,67,26.6%,8,100.0%,0,0.0%,26,81.3%,6,18.8%,5,71.4%,2,28.6%,166,86.0%,27,14.0%,10,100.0%,0,0.0%,39,83.0%,8,17.0%,66,91.7%,6,8.3%,74,90.2%,8,9.8%,6,66.7%,3,33.3%,157,79.3%,41,20.7%,16,100.0%
Humberside,0,-,0,-,184,86.8%,28,13.2%,24,72.7%,9,27.3%,26,86.7%,4,13.3%,3,42.9%,4,57.1%,223,94.5%,13,5.5%,7,77.8%,2,22.2%,60,95.2%,3,4.8%,83,92.2%,7,7.8%,116,94.3%,7,5.7%,12,92.3%,1,7.7%,88,81.5%,20,18.5%,12,100.0%
Kent,1,100.0%,0,0.0%,227,68.6%,104,31.4%,37,77.1%,11,22.9%,52,80.0%,13,20.0%,13,92.9%,1,7.1%,301,84.6%,55,15.4%,30,78.9%,8,21.1%,86,76.8%,26,23.2%,134,93.1%,10,6.9%,65,81.3%,15,18.8%,108,76.6%,33,23.4%,175,82.5%,37,17.5%,43,100.0%
Lancashire,1,100.0%,0,0.0%,309,73.7%,110,26.3%,33,66.0%,17,34.0%,80,94.1%,5,5.9%,22,91.7%,2,8.3%,276,95.8%,12,4.2%,18,90.0%,2,10.0%,94,83.9%,18,16.1%,103,96.3%,4,3.7%,171,89.5%,20,10.5%,84,77.8%,24,22.2%,223,86.4%,35,13.6%,15,100.0%
Leicestershire,1,100.0%,0,0.0%,167,81.9%,37,18.1%,13,61.9%,8,38.1%,31,96.9%,1,3.1%,11,91.7%,1,8.3%,104,93.7%,7,6.3%,4,57.1%,3,42.9%,30,81.1%,7,18.9%,37,88.1%,5,11.9%,54,81.8%,12,18.2%,15,93.8%,1,6.3%,108,86.4%,17,13.6%,12,100.0%
Lincolnshire,0,-,0,-,101,77.7%,29,22.3%,11,84.6%,2,15.4%,13,92.9%,1,7.1%,2,100.0%,0,0.0%,123,94.6%,7,5.4%,7,87.5%,1,12.5%,23,92.0%,2,8.0%,22,88.0%,3,12.0%,46,90.2%,5,9.8%,19,76.0%,6,24.0%,120,78.4%,33,21.6%,9,100.0%
Merseyside,0,-,0,-,277,78.2%,77,21.8%,29,85.3%,5,14.7%,29,87.9%,4,12.1%,18,78.3%,5,21.7%,270,93.8%,18,6.3%,20,90.9%,2,9.1%,55,88.7%,7,11.3%,215,94.7%,12,5.3%,111,78.2%,31,21.8%,123,89.8%,14,10.2%,213,88.8%,27,11.3%,28,100.0%
Metropolitan and City,13,81.3%,3,18.8%,"1,281",68.9%,577,31.1%,94,55.3%,76,44.7%,246,75.7%,79,24.3%,153,77.3%,45,22.7%,"1,250",89.7%,144,10.3%,166,83.0%,34,17.0%,319,86.4%,50,13.6%,"1,019",94.9%,55,5.1%,696,82.2%,151,17.8%,478,82.7%,100,17.3%,"1,246",79.3%,325,20.7%,258,100.0%
Norfolk,0,-,0,-,157,77.0%,47,23.0%,18,94.7%,1,5.3%,15,100.0%,0,0.0%,6,100.0%,0,0.0%,164,90.1%,18,9.9%,6,100.0%,0,0.0%,44,88.0%,6,12.0%,48,96.0%,2,4.0%,107,90.7%,11,9.3%,18,81.8%,4,18.2%,118,90.8%,12,9.2%,4,100.0%
Northamptonshire,0,-,0,-,95,77.9%,27,22.1%,9,69.2%,4,30.8%,15,75.0%,5,25.0%,5,62.5%,3,37.5%,94,86.2%,15,13.8%,7,58.3%,5,41.7%,21,80.8%,5,19.2%,44,88.0%,6,12.0%,35,89.7%,4,10.3%,8,72.7%,3,27.3%,99,90.0%,11,10.0%,10,100.0%
Northumbria,1,100.0%,0,0.0%,280,72.9%,104,27.1%,18,60.0%,12,40.0%,52,89.7%,6,10.3%,11,100.0%,0,0.0%,365,84.3%,68,15.7%,30,69.8%,13,30.2%,76,67.9%,36,32.1%,87,87.0%,13,13.0%,168,75.0%,56,25.0%,68,77.3%,20,22.7%,198,78.3%,55,21.7%,10,100.0%
North Wales,0,-,0,-,117,74.1%,41,25.9%,12,66.7%,6,33.3%,23,76.7%,7,23.3%,6,66.7%,3,33.3%,146,96.7%,5,3.3%,13,100.0%,0,0.0%,37,82.2%,8,17.8%,26,100.0%,0,0.0%,57,91.9%,5,8.1%,20,80.0%,5,20.0%,106,81.5%,24,18.5%,6,100.0%
North Yorkshire,2,100.0%,0,0.0%,105,78.4%,29,21.6%,3,50.0%,3,50.0%,17,100.0%,0,0.0%,3,100.0%,0,0.0%,128,90.1%,14,9.9%,10,100.0%,0,0.0%,26,81.3%,6,18.8%,31,88.6%,4,11.4%,72,80.9%,17,19.1%,12,80.0%,3,20.0%,140,90.3%,15,9.7%,9,100.0%
Nottinghamshire,0,0.0%,1,100.0%,233,74.0%,82,26.0%,13,76.5%,4,23.5%,40,95.2%,2,4.8%,6,75.0%,2,25.0%,188,93.1%,14,6.9%,5,55.6%,4,44.4%,53,93.0%,4,7.0%,118,98.3%,2,1.7%,66,86.8%,10,13.2%,40,88.9%,5,11.1%,150,92.6%,12,7.4%,14,100.0%
South Wales,0,-,0,-,263,70.1%,112,29.9%,30,76.9%,9,23.1%,47,87.0%,7,13.0%,8,88.9%,1,11.1%,246,92.5%,20,7.5%,13,100.0%,0,0.0%,72,85.7%,12,14.3%,139,95.2%,7,4.8%,167,81.1%,39,18.9%,37,82.2%,8,17.8%,745,93.2%,54,6.8%,16,100.0%
South Yorkshire,0,-,0,-,240,73.8%,85,26.2%,14,93.3%,1,6.7%,36,76.6%,11,23.4%,19,86.4%,3,13.6%,345,93.2%,25,6.8%,12,85.7%,2,14.3%,75,79.8%,19,20.2%,113,96.6%,4,3.4%,106,85.5%,18,14.5%,20,71.4%,8,28.6%,141,93.4%,10,6.6%,13,100.0%
Staffordshire,1,100.0%,0,0.0%,169,74.4%,58,25.6%,12,66.7%,6,33.3%,25,83.3%,5,16.7%,3,60.0%,2,40.0%,113,92.6%,9,7.4%,10,90.9%,1,9.1%,43,86.0%,7,14.0%,69,90.8%,7,9.2%,64,80.0%,16,20.0%,36,81.8%,8,18.2%,126,79.7%,32,20.3%,3,100.0%
Suffolk,0,-,0,-,134,77.5%,39,22.5%,11,78.6%,3,21.4%,12,100.0%,0,0.0%,2,100.0%,0,0.0%,100,94.3%,6,5.7%,6,100.0%,0,0.0%,34,91.9%,3,8.1%,39,90.7%,4,9.3%,66,88.0%,9,12.0%,9,81.8%,2,18.2%,106,92.2%,9,7.8%,8,100.0%
Surrey,0,-,0,-,78,59.1%,54,40.9%,14,70.0%,6,30.0%,8,50.0%,8,50.0%,1,100.0%,0,0.0%,92,80.0%,23,20.0%,16,100.0%,0,0.0%,16,76.2%,5,23.8%,82,95.3%,4,4.7%,24,82.8%,5,17.2%,36,76.6%,11,23.4%,107,83.6%,21,16.4%,9,100.0%
Sussex,1,100.0%,0,0.0%,222,72.1%,86,27.9%,14,56.0%,11,44.0%,33,75.0%,11,25.0%,8,88.9%,1,11.1%,192,91.4%,18,8.6%,21,95.5%,1,4.5%,49,84.5%,9,15.5%,94,88.7%,12,11.3%,61,84.7%,11,15.3%,70,83.3%,14,16.7%,201,92.2%,17,7.8%,12,100.0%
Thames Valley,5,83.3%,1,16.7%,300,67.4%,145,32.6%,49,71.0%,20,29.0%,49,83.1%,10,16.9%,17,89.5%,2,10.5%,288,88.3%,38,11.7%,25,89.3%,3,10.7%,67,80.7%,16,19.3%,137,85.6%,23,14.4%,155,81.2%,36,18.8%,30,75.0%,10,25.0%,272,83.2%,55,16.8%,18,100.0%
Warwickshire,0,-,0,-,49,73.1%,18,26.9%,5,71.4%,2,28.6%,16,80.0%,4,20.0%,3,100.0%,0,0.0%,75,88.2%,10,11.8%,3,60.0%,2,40.0%,14,82.4%,3,17.6%,14,100.0%,0,0.0%,15,78.9%,4,21.1%,35,92.1%,3,7.9%,92,87.6%,13,12.4%,2,100.0%
West Mercia,0,0.0%,3,100.0%,131,80.4%,32,19.6%,27,87.1%,4,12.9%,20,95.2%,1,4.8%,5,83.3%,1,16.7%,150,90.4%,16,9.6%,7,77.8%,2,22.2%,33,84.6%,6,15.4%,55,98.2%,1,1.8%,51,96.2%,2,3.8%,24,92.3%,2,7.7%,157,87.7%,22,12.3%,0,-
West Midlands,1,100.0%,0,0.0%,443,73.8%,157,26.2%,36,69.2%,16,30.8%,49,73.1%,18,26.9%,37,66.1%,19,33.9%,578,90.0%,64,10.0%,23,71.9%,9,28.1%,115,89.1%,14,10.9%,196,94.2%,12,5.8%,131,71.2%,53,28.8%,152,80.0%,38,20.0%,317,85.7%,53,14.3%,17,100.0%
West Yorkshire,2,50.0%,2,50.0%,381,78.2%,106,21.8%,42,77.8%,12,22.2%,67,84.8%,12,15.2%,18,78.3%,5,21.7%,398,95.0%,21,5.0%,16,84.2%,3,15.8%,85,81.7%,19,18.3%,93,93.0%,7,7.0%,118,90.1%,13,9.9%,28,71.8%,11,28.2%,209,84.6%,38,15.4%,25,100.0%
Wiltshire,0,-,0,-,70,83.3%,14,16.7%,6,66.7%,3,33.3%,11,78.6%,3,21.4%,4,80.0%,1,20.0%,64,91.4%,6,8.6%,4,100.0%,0,0.0%,24,85.7%,4,14.3%,24,100.0%,0,0.0%,28,73.7%,10,26.3%,14,93.3%,1,6.7%,65,91.5%,6,8.5%,1,100.0%
