,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Hampshire,0,0.0%,1,100.0%,234,72.7%,88,27.3%,22,62.9%,13,37.1%,39,84.8%,7,15.2%,8,57.1%,6,42.9%,286,90.8%,29,9.2%,16,88.9%,2,11.1%,60,75.9%,19,24.1%,132,91.0%,13,9.0%,99,85.3%,17,14.7%,201,89.7%,23,10.3%,187,87.8%,26,12.2%,23,100.0%
Hertfordshire,2,100.0%,0,0.0%,99,77.3%,29,22.7%,2,50.0%,2,50.0%,15,83.3%,3,16.7%,0,0,0,0,106,90.6%,11,9.4%,14,77.8%,4,22.2%,25,75.8%,8,24.2%,76,93.8%,5,6.2%,32,78.0%,9,22.0%,8,66.7%,4,33.3%,68,84.0%,13,16.0%,12,100.0%
Humberside,1,100.0%,0,0.0%,188,83.2%,38,16.8%,23,71.9%,9,28.1%,37,92.5%,3,7.5%,7,63.6%,4,36.4%,260,94.9%,14,5.1%,3,100.0%,0,0.0%,49,92.5%,4,7.5%,75,96.2%,3,3.8%,87,86.1%,14,13.9%,39,86.7%,6,13.3%,265,94.3%,16,5.7%,16,100.0%
Kent,2,66.7%,1,33.3%,200,68.0%,94,32.0%,14,73.7%,5,26.3%,43,89.6%,5,10.4%,7,87.5%,1,12.5%,359,86.1%,58,13.9%,13,72.2%,5,27.8%,67,76.1%,21,23.9%,113,93.4%,8,6.6%,55,77.5%,16,22.5%,203,83.9%,39,16.1%,137,76.1%,43,23.9%,35,100.0%
Lancashire,2,100.0%,0,0.0%,340,77.1%,101,22.9%,24,70.6%,10,29.4%,60,88.2%,8,11.8%,24,100.0%,0,0.0%,396,92.5%,32,7.5%,15,88.2%,2,11.8%,97,82.9%,20,17.1%,118,92.2%,10,7.8%,174,93.5%,12,6.5%,103,84.4%,19,15.6%,254,87.9%,35,12.1%,29,100.0%
Leicestershire,2,100.0%,0,0.0%,152,79.2%,40,20.8%,17,85.0%,3,15.0%,10,71.4%,4,28.6%,6,85.7%,1,14.3%,183,89.7%,21,10.3%,6,100.0%,0,0.0%,33,78.6%,9,21.4%,32,86.5%,5,13.5%,38,82.6%,8,17.4%,16,88.9%,2,11.1%,354,95.4%,17,4.6%,35,100.0%
Lincolnshire,0,-,0,-,89,78.1%,25,21.9%,11,84.6%,2,15.4%,24,77.4%,7,22.6%,2,100.0%,0,0.0%,103,94.5%,6,5.5%,9,90.0%,1,10.0%,21,91.3%,2,8.7%,26,92.9%,2,7.1%,57,85.1%,10,14.9%,18,81.8%,4,18.2%,107,81.7%,24,18.3%,14,100.0%
Merseyside,4,80.0%,1,20.0%,242,78.6%,66,21.4%,25,89.3%,3,10.7%,48,90.6%,5,9.4%,22,81.5%,5,18.5%,329,95.9%,14,4.1%,53,98.1%,1,1.9%,55,88.7%,7,11.3%,333,96.0%,14,4.0%,112,84.2%,21,15.8%,120,83.9%,23,16.1%,474,93.7%,32,6.3%,25,100.0%
Metropolitan and City,20,76.9%,6,23.1%,"1,331",69.3%,589,30.7%,114,59.7%,77,40.3%,246,78.6%,67,21.4%,173,75.9%,55,24.1%,"1,426",89.7%,164,10.3%,232,90.3%,25,9.7%,346,81.0%,81,19.0%,"1,054",93.0%,79,7.0%,630,80.8%,150,19.2%,452,78.6%,123,21.4%,"1,642",79.5%,423,20.5%,194,100.0%
Norfolk,0,-,0,-,143,77.7%,41,22.3%,10,83.3%,2,16.7%,22,88.0%,3,12.0%,7,100.0%,0,0.0%,132,93.0%,10,7.0%,13,92.9%,1,7.1%,42,93.3%,3,6.7%,63,96.9%,2,3.1%,70,89.7%,8,10.3%,57,93.4%,4,6.6%,86,87.8%,12,12.2%,8,100.0%
Northamptonshire,1,100.0%,0,0.0%,83,72.8%,31,27.2%,6,66.7%,3,33.3%,21,91.3%,2,8.7%,4,66.7%,2,33.3%,102,88.7%,13,11.3%,3,60.0%,2,40.0%,24,75.0%,8,25.0%,46,92.0%,4,8.0%,38,84.4%,7,15.6%,26,81.3%,6,18.8%,100,92.6%,8,7.4%,27,100.0%
Northumbria,0,-,0,-,267,74.6%,91,25.4%,15,78.9%,4,21.1%,56,81.2%,13,18.8%,17,81.0%,4,19.0%,462,89.0%,57,11.0%,16,66.7%,8,33.3%,84,84.8%,15,15.2%,109,88.6%,14,11.4%,160,85.1%,28,14.9%,229,80.6%,55,19.4%,382,90.1%,42,9.9%,9,100.0%
North Wales,2,66.7%,1,33.3%,106,75.2%,35,24.8%,9,64.3%,5,35.7%,29,90.6%,3,9.4%,4,80.0%,1,20.0%,145,92.9%,11,7.1%,8,100.0%,0,0.0%,42,95.5%,2,4.5%,32,91.4%,3,8.6%,37,86.0%,6,14.0%,79,86.8%,12,13.2%,168,89.8%,19,10.2%,4,100.0%
North Yorkshire,1,100.0%,0,0.0%,101,75.4%,33,24.6%,3,100.0%,0,0.0%,20,71.4%,8,28.6%,0,0,0,0,115,92.7%,9,7.3%,9,81.8%,2,18.2%,28,93.3%,2,6.7%,41,93.2%,3,6.8%,68,85.0%,12,15.0%,28,93.3%,2,6.7%,129,93.5%,9,6.5%,7,100.0%
Nottinghamshire,1,100.0%,0,0.0%,193,78.5%,53,21.5%,12,75.0%,4,25.0%,29,87.9%,4,12.1%,17,94.4%,1,5.6%,216,90.4%,23,9.6%,22,95.7%,1,4.3%,44,80.0%,11,20.0%,89,93.7%,6,6.3%,73,76.8%,22,23.2%,97,89.0%,12,11.0%,157,91.8%,14,8.2%,12,100.0%
South Wales,1,100.0%,0,0.0%,291,78.2%,81,21.8%,17,73.9%,6,26.1%,46,93.9%,3,6.1%,15,71.4%,6,28.6%,312,96.9%,10,3.1%,11,91.7%,1,8.3%,78,96.3%,3,3.7%,161,98.8%,2,1.2%,170,89.0%,21,11.0%,85,90.4%,9,9.6%,1198,94.0%,77,6.0%,9,100.0%
South Yorkshire,3,100.0%,0,0.0%,232,76.6%,71,23.4%,7,70.0%,3,30.0%,40,85.1%,7,14.9%,6,75.0%,2,25.0%,329,92.4%,27,7.6%,17,81.0%,4,19.0%,83,91.2%,8,8.8%,109,93.2%,8,6.8%,89,91.8%,8,8.2%,44,83.0%,9,17.0%,281,91.2%,27,8.8%,12,100.0%
Staffordshire,0,-,0,-,132,65.3%,70,34.7%,17,81.0%,4,19.0%,19,79.2%,5,20.8%,19,86.4%,3,13.6%,203,90.2%,22,9.8%,5,71.4%,2,28.6%,68,86.1%,11,13.9%,78,90.7%,8,9.3%,95,79.8%,24,20.2%,43,87.8%,6,12.2%,521,93.2%,38,6.8%,8,100.0%
Suffolk,0,0.0%,1,100.0%,133,83.1%,27,16.9%,7,77.8%,2,22.2%,17,89.5%,2,10.5%,0,0,0,0,108,95.6%,5,4.4%,13,92.9%,1,7.1%,43,91.5%,4,8.5%,45,100.0%,0,0.0%,53,82.8%,11,17.2%,38,100.0%,0,0.0%,64,86.5%,10,13.5%,11,100.0%
Surrey,0,-,0,-,108,73.5%,39,26.5%,17,81.0%,4,19.0%,21,95.5%,1,4.5%,1,100.0%,0,0.0%,140,92.7%,11,7.3%,10,83.3%,2,16.7%,27,90.0%,3,10.0%,78,97.5%,2,2.5%,16,69.6%,7,30.4%,68,78.2%,19,21.8%,116,89.9%,13,10.1%,21,100.0%
Sussex,0,-,0,-,191,71.8%,75,28.2%,24,80.0%,6,20.0%,23,82.1%,5,17.9%,4,66.7%,2,33.3%,210,92.5%,17,7.5%,16,80.0%,4,20.0%,48,82.8%,10,17.2%,104,97.2%,3,2.8%,67,81.7%,15,18.3%,76,69.7%,33,30.3%,288,92.9%,22,7.1%,13,100.0%
Thames Valley,3,100.0%,0,0.0%,231,66.6%,116,33.4%,29,80.6%,7,19.4%,43,91.5%,4,8.5%,16,84.2%,3,15.8%,274,87.8%,38,12.2%,18,60.0%,12,40.0%,61,85.9%,10,14.1%,114,92.7%,9,7.3%,82,76.6%,25,23.4%,44,75.9%,14,24.1%,699,94.2%,43,5.8%,29,100.0%
Warwickshire,0,-,0,-,43,76.8%,13,23.2%,3,100.0%,0,0.0%,6,54.5%,5,45.5%,2,50.0%,2,50.0%,75,96.2%,3,3.8%,8,88.9%,1,11.1%,17,100.0%,0,0.0%,11,91.7%,1,8.3%,20,95.2%,1,4.8%,24,96.0%,1,4.0%,225,91.5%,21,8.5%,3,100.0%
West Mercia,4,80.0%,1,20.0%,130,77.8%,37,22.2%,19,73.1%,7,26.9%,26,92.9%,2,7.1%,11,68.8%,5,31.3%,158,95.2%,8,4.8%,7,87.5%,1,12.5%,45,90.0%,5,10.0%,48,98.0%,1,2.0%,80,84.2%,15,15.8%,28,84.8%,5,15.2%,268,89.0%,33,11.0%,7,100.0%
West Midlands,6,100.0%,0,0.0%,419,68.7%,191,31.3%,26,70.3%,11,29.7%,72,76.6%,22,23.4%,50,75.8%,16,24.2%,563,92.3%,47,7.7%,22,84.6%,4,15.4%,116,80.6%,28,19.4%,236,93.3%,17,6.7%,106,79.7%,27,20.3%,243,87.1%,36,12.9%,357,88.1%,48,11.9%,40,100.0%
West Yorkshire,2,50.0%,2,50.0%,379,76.3%,118,23.7%,23,67.6%,11,32.4%,103,88.0%,14,12.0%,21,87.5%,3,12.5%,458,91.4%,43,8.6%,31,86.1%,5,13.9%,112,83.6%,22,16.4%,143,92.9%,11,7.1%,152,80.9%,36,19.1%,71,82.6%,15,17.4%,291,84.6%,53,15.4%,32,100.0%
Wiltshire,0,-,0,-,81,82.7%,17,17.3%,5,83.3%,1,16.7%,11,100.0%,0,0.0%,0,0.0%,3,100.0%,63,92.6%,5,7.4%,4,66.7%,2,33.3%,24,96.0%,1,4.0%,32,94.1%,2,5.9%,21,95.5%,1,4.5%,41,80.4%,10,19.6%,76,86.4%,12,13.6%,5,100.0%
