,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,1,100.0%,0,0.0%,121,84.0%,23,16.0%,9,56.3%,7,43.8%,25,83.3%,5,16.7%,4,100.0%,0,0.0%,153,86.9%,23,13.1%,6,85.7%,1,14.3%,50,87.7%,7,12.3%,45,93.8%,3,6.3%,59,86.8%,9,13.2%,18,81.8%,4,18.2%,93,90.3%,10,9.7%,2,100.0%
Dyfed Powys,0,-,0,-,74,70.5%,31,29.5%,2,66.7%,1,33.3%,6,60.0%,4,40.0%,1,100.0%,0,0.0%,58,92.1%,5,7.9%,8,88.9%,1,11.1%,28,87.5%,4,12.5%,56,93.3%,4,6.7%,55,87.3%,8,12.7%,31,93.9%,2,6.1%,234,91.8%,21,8.2%,10,100.0%
Essex,0,-,0,-,275,80.9%,65,19.1%,34,69.4%,15,30.6%,36,81.8%,8,18.2%,9,60.0%,6,40.0%,236,92.9%,18,7.1%,29,93.5%,2,6.5%,50,79.4%,13,20.6%,87,90.6%,9,9.4%,89,86.4%,14,13.6%,48,78.7%,13,21.3%,217,87.5%,31,12.5%,17,100.0%
Gloucestershire,2,100.0%,0,0.0%,69,80.2%,17,19.8%,2,100.0%,0,0.0%,15,93.8%,1,6.3%,0,0,0,0,86,86.9%,13,13.1%,1,100.0%,0,0.0%,31,96.9%,1,3.1%,22,95.7%,1,4.3%,12,80.0%,3,20.0%,20,95.2%,1,4.8%,49,83.1%,10,16.9%,6,100.0%
GreaterManchester,0,0.0%,1,100.0%,649,77.7%,186,22.3%,50,61.0%,32,39.0%,100,90.9%,10,9.1%,30,88.2%,4,11.8%,483,93.1%,36,6.9%,36,90.0%,4,10.0%,181,91.0%,18,9.0%,264,94.0%,17,6.0%,254,89.1%,31,10.9%,132,81.0%,31,19.0%,318,87.6%,45,12.4%,66,100.0%
Gwent,2,100.0%,0,0.0%,124,79.5%,32,20.5%,9,56.3%,7,43.8%,19,95.0%,1,5.0%,0,0.0%,1,100.0%,177,94.7%,10,5.3%,3,75.0%,1,25.0%,48,92.3%,4,7.7%,76,98.7%,1,1.3%,95,92.2%,8,7.8%,35,85.4%,6,14.6%,192,87.7%,27,12.3%,4,100.0%
Hampshire,2,100.0%,0,0.0%,286,73.0%,106,27.0%,27,65.9%,14,34.1%,44,81.5%,10,18.5%,5,100.0%,0,0.0%,332,92.0%,29,8.0%,30,76.9%,9,23.1%,105,82.0%,23,18.0%,145,93.5%,10,6.5%,121,88.3%,16,11.7%,108,86.4%,17,13.6%,271,86.0%,44,14.0%,15,100.0%
Hertfordshire,0,-,0,-,207,72.6%,78,27.4%,14,87.5%,2,12.5%,27,84.4%,5,15.6%,7,77.8%,2,22.2%,205,86.5%,32,13.5%,13,81.3%,3,18.8%,41,87.2%,6,12.8%,71,92.2%,6,7.8%,63,82.9%,13,17.1%,17,68.0%,8,32.0%,183,87.1%,27,12.9%,23,100.0%
Humberside,0,-,0,-,158,85.9%,26,14.1%,27,58.7%,19,41.3%,29,82.9%,6,17.1%,11,100.0%,0,0.0%,204,95.3%,10,4.7%,13,100.0%,0,0.0%,47,94.0%,3,6.0%,70,98.6%,1,1.4%,121,92.4%,10,7.6%,12,85.7%,2,14.3%,96,92.3%,8,7.7%,9,100.0%
Kent,2,66.7%,1,33.3%,217,70.0%,93,30.0%,30,88.2%,4,11.8%,56,77.8%,16,22.2%,17,94.4%,1,5.6%,340,85.6%,57,14.4%,22,81.5%,5,18.5%,80,84.2%,15,15.8%,89,89.0%,11,11.0%,85,85.0%,15,15.0%,108,78.3%,30,21.7%,231,88.8%,29,11.2%,29,100.0%
Lancashire,2,66.7%,1,33.3%,343,76.4%,106,23.6%,24,64.9%,13,35.1%,64,92.8%,5,7.2%,11,84.6%,2,15.4%,306,93.3%,22,6.7%,10,76.9%,3,23.1%,108,92.3%,9,7.7%,128,96.2%,5,3.8%,187,90.8%,19,9.2%,132,87.4%,19,12.6%,260,85.2%,45,14.8%,28,100.0%
Leicestershire,2,100.0%,0,0.0%,144,83.2%,29,16.8%,12,75.0%,4,25.0%,14,70.0%,6,30.0%,8,100.0%,0,0.0%,148,90.2%,16,9.8%,18,90.0%,2,10.0%,37,82.2%,8,17.8%,30,85.7%,5,14.3%,56,78.9%,15,21.1%,11,64.7%,6,35.3%,151,95.0%,8,5.0%,10,100.0%
Lincolnshire,1,100.0%,0,0.0%,92,82.1%,20,17.9%,11,84.6%,2,15.4%,19,86.4%,3,13.6%,2,100.0%,0,0.0%,109,85.8%,18,14.2%,6,85.7%,1,14.3%,25,86.2%,4,13.8%,38,92.7%,3,7.3%,59,83.1%,12,16.9%,26,76.5%,8,23.5%,140,85.9%,23,14.1%,2,100.0%
Merseyside,1,100.0%,0,0.0%,271,84.2%,51,15.8%,35,81.4%,8,18.6%,34,91.9%,3,8.1%,8,72.7%,3,27.3%,303,92.9%,23,7.1%,33,97.1%,1,2.9%,58,89.2%,7,10.8%,256,94.5%,15,5.5%,167,83.1%,34,16.9%,90,83.3%,18,16.7%,226,89.0%,28,11.0%,21,100.0%
Metropolitan and City,12,92.3%,1,7.7%,"1,256",66.2%,642,33.8%,131,61.8%,81,38.2%,243,79.4%,63,20.6%,136,73.1%,50,26.9%,"1,307",87.8%,182,12.2%,214,87.3%,31,12.7%,322,86.6%,50,13.4%,"1,077",92.3%,90,7.7%,671,82.7%,140,17.3%,527,80.3%,129,19.7%,"1,353",79.1%,357,20.9%,210,100.0%
Norfolk,2,100.0%,0,0.0%,193,86.5%,30,13.5%,12,92.3%,1,7.7%,18,81.8%,4,18.2%,2,33.3%,4,66.7%,146,92.4%,12,7.6%,5,83.3%,1,16.7%,48,94.1%,3,5.9%,86,91.5%,8,8.5%,116,93.5%,8,6.5%,7,63.6%,4,36.4%,105,91.3%,10,8.7%,9,100.0%
Northamptonshire,0,-,0,-,110,80.9%,26,19.1%,6,85.7%,1,14.3%,11,78.6%,3,21.4%,1,33.3%,2,66.7%,119,88.8%,15,11.2%,8,72.7%,3,27.3%,23,76.7%,7,23.3%,34,94.4%,2,5.6%,43,82.7%,9,17.3%,10,83.3%,2,16.7%,114,87.7%,16,12.3%,16,100.0%
Northumbria,1,100.0%,0,0.0%,296,64.8%,161,35.2%,22,62.9%,13,37.1%,53,85.5%,9,14.5%,15,93.8%,1,6.3%,517,90.2%,56,9.8%,25,80.6%,6,19.4%,88,68.2%,41,31.8%,125,91.9%,11,8.1%,175,72.0%,68,28.0%,76,79.2%,20,20.8%,253,81.4%,58,18.6%,10,100.0%
North Wales,0,-,0,-,111,79.9%,28,20.1%,10,55.6%,8,44.4%,25,92.6%,2,7.4%,3,75.0%,1,25.0%,208,95.0%,11,5.0%,8,100.0%,0,0.0%,42,82.4%,9,17.6%,56,96.6%,2,3.4%,47,92.2%,4,7.8%,149,93.7%,10,6.3%,78,88.6%,10,11.4%,4,100.0%
North Yorkshire,0,-,0,-,116,85.3%,20,14.7%,4,100.0%,0,0.0%,15,78.9%,4,21.1%,1,33.3%,2,66.7%,164,89.6%,19,10.4%,11,91.7%,1,8.3%,33,76.7%,10,23.3%,47,92.2%,4,7.8%,90,83.3%,18,16.7%,15,83.3%,3,16.7%,92,92.0%,8,8.0%,4,100.0%
Nottinghamshire,2,66.7%,1,33.3%,231,75.2%,76,24.8%,16,80.0%,4,20.0%,49,86.0%,8,14.0%,17,81.0%,4,19.0%,221,92.1%,19,7.9%,10,100.0%,0,0.0%,70,86.4%,11,13.6%,109,88.6%,14,11.4%,87,86.1%,14,13.9%,72,78.3%,20,21.7%,170,94.4%,10,5.6%,29,100.0%
South Wales,2,100.0%,0,0.0%,389,72.0%,151,28.0%,12,60.0%,8,40.0%,53,77.9%,15,22.1%,7,77.8%,2,22.2%,386,92.3%,32,7.7%,11,78.6%,3,21.4%,118,86.1%,19,13.9%,188,94.0%,12,6.0%,214,85.3%,37,14.7%,92,84.4%,17,15.6%,739,86.9%,111,13.1%,22,100.0%
South Yorkshire,1,50.0%,1,50.0%,241,81.7%,54,18.3%,10,71.4%,4,28.6%,41,85.4%,7,14.6%,16,94.1%,1,5.9%,342,95.0%,18,5.0%,25,96.2%,1,3.8%,74,84.1%,14,15.9%,126,97.7%,3,2.3%,122,87.8%,17,12.2%,33,84.6%,6,15.4%,154,95.1%,8,4.9%,13,100.0%
Staffordshire,1,100.0%,0,0.0%,192,71.9%,75,28.1%,23,82.1%,5,17.9%,33,89.2%,4,10.8%,6,54.5%,5,45.5%,175,89.7%,20,10.3%,4,100.0%,0,0.0%,50,87.7%,7,12.3%,86,91.5%,8,8.5%,67,90.5%,7,9.5%,39,81.3%,9,18.8%,162,82.7%,34,17.3%,2,100.0%
Suffolk,0,-,0,-,128,80.5%,31,19.5%,5,100.0%,0,0.0%,17,94.4%,1,5.6%,1,100.0%,0,0.0%,113,90.4%,12,9.6%,4,80.0%,1,20.0%,33,89.2%,4,10.8%,53,94.6%,3,5.4%,72,91.1%,7,8.9%,15,93.8%,1,6.3%,65,89.0%,8,11.0%,13,100.0%
Surrey,0,-,0,-,108,55.1%,88,44.9%,14,66.7%,7,33.3%,23,82.1%,5,17.9%,7,70.0%,3,30.0%,113,77.4%,33,22.6%,21,70.0%,9,30.0%,29,63.0%,17,37.0%,83,91.2%,8,8.8%,58,75.3%,19,24.7%,75,72.1%,29,27.9%,145,83.8%,28,16.2%,14,100.0%
Sussex,1,100.0%,0,0.0%,244,77.0%,73,23.0%,25,69.4%,11,30.6%,42,87.5%,6,12.5%,5,71.4%,2,28.6%,266,93.7%,18,6.3%,26,81.3%,6,18.8%,47,78.3%,13,21.7%,112,96.6%,4,3.4%,116,86.6%,18,13.4%,70,76.9%,21,23.1%,187,83.5%,37,16.5%,25,100.0%
Thames Valley,4,100.0%,0,0.0%,355,71.1%,144,28.9%,40,74.1%,14,25.9%,44,78.6%,12,21.4%,12,70.6%,5,29.4%,301,88.3%,40,11.7%,24,77.4%,7,22.6%,68,82.9%,14,17.1%,141,92.2%,12,7.8%,132,83.5%,26,16.5%,22,71.0%,9,29.0%,245,79.5%,63,20.5%,43,100.0%
Warwickshire,1,100.0%,0,0.0%,76,76.8%,23,23.2%,6,75.0%,2,25.0%,19,73.1%,7,26.9%,3,100.0%,0,0.0%,94,96.9%,3,3.1%,7,87.5%,1,12.5%,15,100.0%,0,0.0%,17,100.0%,0,0.0%,26,83.9%,5,16.1%,20,83.3%,4,16.7%,70,72.2%,27,27.8%,0,-
West Mercia,1,100.0%,0,0.0%,171,76.0%,54,24.0%,20,76.9%,6,23.1%,22,95.7%,1,4.3%,6,85.7%,1,14.3%,197,92.1%,17,7.9%,10,100.0%,0,0.0%,37,84.1%,7,15.9%,44,97.8%,1,2.2%,84,84.0%,16,16.0%,46,83.6%,9,16.4%,177,86.8%,27,13.2%,4,100.0%
West Midlands,1,100.0%,0,0.0%,477,70.1%,203,29.9%,35,70.0%,15,30.0%,77,75.5%,25,24.5%,55,74.3%,19,25.7%,603,90.4%,64,9.6%,28,93.3%,2,6.7%,125,85.6%,21,14.4%,206,92.4%,17,7.6%,127,84.1%,24,15.9%,185,82.6%,39,17.4%,343,82.1%,75,17.9%,9,100.0%
West Yorkshire,9,81.8%,2,18.2%,380,75.8%,121,24.2%,44,69.8%,19,30.2%,78,83.9%,15,16.1%,30,90.9%,3,9.1%,387,93.5%,27,6.5%,28,75.7%,9,24.3%,97,83.6%,19,16.4%,173,90.1%,19,9.9%,125,82.8%,26,17.2%,64,84.2%,12,15.8%,270,86.3%,43,13.7%,26,100.0%
Wiltshire,0,-,0,-,85,72.0%,33,28.0%,14,66.7%,7,33.3%,6,66.7%,3,33.3%,5,83.3%,1,16.7%,81,94.2%,5,5.8%,11,84.6%,2,15.4%,26,86.7%,4,13.3%,36,97.3%,1,2.7%,52,88.1%,7,11.9%,26,81.3%,6,18.8%,76,87.4%,11,12.6%,2,100.0%
