,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,2,100.0%,0,0.0%,75,74.3%,26,25.7%,11,73.3%,4,26.7%,30,100.0%,0,0.0%,0,0.0%,1,100.0%,144,88.3%,19,11.7%,4,44.4%,5,55.6%,43,86.0%,7,14.0%,19,90.5%,2,9.5%,58,81.7%,13,18.3%,12,80.0%,3,20.0%,66,95.7%,3,4.3%,0,-
Dyfed Powys,0,-,0,-,63,70.8%,26,29.2%,0,0.0%,1,100.0%,17,85.0%,3,15.0%,2,100.0%,0,0.0%,56,91.8%,5,8.2%,2,66.7%,1,33.3%,27,87.1%,4,12.9%,76,93.8%,5,6.2%,28,71.8%,11,28.2%,20,100.0%,0,0.0%,178,92.2%,15,7.8%,5,100.0%
Essex,1,100.0%,0,0.0%,261,79.3%,68,20.7%,20,74.1%,7,25.9%,39,76.5%,12,23.5%,6,75.0%,2,25.0%,280,96.6%,10,3.4%,16,80.0%,4,20.0%,63,80.8%,15,19.2%,97,99.0%,1,1.0%,79,96.3%,3,3.7%,52,82.5%,11,17.5%,175,89.3%,21,10.7%,20,100.0%
Gloucestershire,0,-,0,-,41,75.9%,13,24.1%,4,80.0%,1,20.0%,13,100.0%,0,0.0%,0,0.0%,1,100.0%,68,89.5%,8,10.5%,9,81.8%,2,18.2%,14,93.3%,1,6.7%,22,88.0%,3,12.0%,14,87.5%,2,12.5%,19,76.0%,6,24.0%,80,94.1%,5,5.9%,11,100.0%
GreaterManchester,1,100.0%,0,0.0%,471,82.1%,103,17.9%,44,73.3%,16,26.7%,87,85.3%,15,14.7%,29,78.4%,8,21.6%,532,96.0%,22,4.0%,51,87.9%,7,12.1%,172,90.1%,19,9.9%,239,94.1%,15,5.9%,249,92.6%,20,7.4%,132,91.0%,13,9.0%,455,87.0%,68,13.0%,47,100.0%
Gwent,0,-,0,-,77,74.8%,26,25.2%,6,50.0%,6,50.0%,20,80.0%,5,20.0%,2,100.0%,0,0.0%,124,94.7%,7,5.3%,8,100.0%,0,0.0%,20,71.4%,8,28.6%,55,94.8%,3,5.2%,58,81.7%,13,18.3%,16,80.0%,4,20.0%,66,76.7%,20,23.3%,4,100.0%
Hampshire,2,100.0%,0,0.0%,253,74.2%,88,25.8%,18,64.3%,10,35.7%,38,82.6%,8,17.4%,8,61.5%,5,38.5%,317,92.4%,26,7.6%,19,76.0%,6,24.0%,79,86.8%,12,13.2%,134,91.2%,13,8.8%,95,84.1%,18,15.9%,104,83.2%,21,16.8%,227,90.4%,24,9.6%,22,100.0%
Hertfordshire,1,100.0%,0,0.0%,132,77.2%,39,22.8%,15,83.3%,3,16.7%,29,87.9%,4,12.1%,12,100.0%,0,0.0%,210,89.4%,25,10.6%,23,82.1%,5,17.9%,47,94.0%,3,6.0%,114,93.4%,8,6.6%,83,91.2%,8,8.8%,12,85.7%,2,14.3%,158,86.8%,24,13.2%,22,100.0%
Humberside,0,-,0,-,181,88.3%,24,11.7%,12,60.0%,8,40.0%,41,85.4%,7,14.6%,5,100.0%,0,0.0%,229,94.2%,14,5.8%,14,93.3%,1,6.7%,44,93.6%,3,6.4%,55,94.8%,3,5.2%,96,88.9%,12,11.1%,22,81.5%,5,18.5%,119,83.2%,24,16.8%,13,100.0%
Kent,9,64.3%,5,35.7%,235,76.1%,74,23.9%,17,60.7%,11,39.3%,44,97.8%,1,2.2%,9,75.0%,3,25.0%,305,90.2%,33,9.8%,11,78.6%,3,21.4%,65,74.7%,22,25.3%,109,96.5%,4,3.5%,36,72.0%,14,28.0%,125,81.7%,28,18.3%,164,91.1%,16,8.9%,17,100.0%
Lancashire,1,100.0%,0,0.0%,265,70.3%,112,29.7%,30,69.8%,13,30.2%,63,85.1%,11,14.9%,9,81.8%,2,18.2%,272,94.8%,15,5.2%,19,82.6%,4,17.4%,93,83.8%,18,16.2%,114,92.7%,9,7.3%,147,90.7%,15,9.3%,113,89.7%,13,10.3%,256,84.5%,47,15.5%,17,100.0%
Leicestershire,4,80.0%,1,20.0%,140,78.7%,38,21.3%,6,54.5%,5,45.5%,26,81.3%,6,18.8%,4,50.0%,4,50.0%,166,94.3%,10,5.7%,10,90.9%,1,9.1%,38,84.4%,7,15.6%,36,97.3%,1,2.7%,53,85.5%,9,14.5%,17,77.3%,5,22.7%,193,92.8%,15,7.2%,4,100.0%
Lincolnshire,0,-,0,-,89,83.2%,18,16.8%,10,90.9%,1,9.1%,20,90.9%,2,9.1%,2,100.0%,0,0.0%,138,92.6%,11,7.4%,5,83.3%,1,16.7%,17,100.0%,0,0.0%,26,92.9%,2,7.1%,44,84.6%,8,15.4%,23,82.1%,5,17.9%,125,89.9%,14,10.1%,11,100.0%
Merseyside,5,100.0%,0,0.0%,228,79.2%,60,20.8%,17,89.5%,2,10.5%,33,82.5%,7,17.5%,8,61.5%,5,38.5%,298,92.3%,25,7.7%,12,92.3%,1,7.7%,56,86.2%,9,13.8%,285,96.9%,9,3.1%,101,75.9%,32,24.1%,106,88.3%,14,11.7%,222,89.5%,26,10.5%,21,100.0%
Metropolitan and City,21,91.3%,2,8.7%,"1,129",67.4%,546,32.6%,117,65.7%,61,34.3%,224,84.2%,42,15.8%,179,85.6%,30,14.4%,"1,273",91.0%,126,9.0%,179,87.7%,25,12.3%,271,82.9%,56,17.1%,"1,098",93.9%,71,6.1%,639,81.5%,145,18.5%,482,86.4%,76,13.6%,"1,404",77.6%,406,22.4%,180,100.0%
Norfolk,1,100.0%,0,0.0%,165,79.3%,43,20.7%,8,80.0%,2,20.0%,12,85.7%,2,14.3%,3,100.0%,0,0.0%,146,91.3%,14,8.8%,11,91.7%,1,8.3%,52,91.2%,5,8.8%,76,96.2%,3,3.8%,58,86.6%,9,13.4%,49,90.7%,5,9.3%,107,87.7%,15,12.3%,9,100.0%
Northamptonshire,2,100.0%,0,0.0%,69,65.7%,36,34.3%,13,68.4%,6,31.6%,23,92.0%,2,8.0%,11,91.7%,1,8.3%,135,86.0%,22,14.0%,7,87.5%,1,12.5%,21,91.3%,2,8.7%,31,93.9%,2,6.1%,44,83.0%,9,17.0%,11,78.6%,3,21.4%,97,89.0%,12,11.0%,8,100.0%
Northumbria,3,100.0%,0,0.0%,225,68.4%,104,31.6%,10,47.6%,11,52.4%,54,87.1%,8,12.9%,15,88.2%,2,11.8%,415,84.9%,74,15.1%,15,88.2%,2,11.8%,99,81.1%,23,18.9%,98,83.8%,19,16.2%,109,76.2%,34,23.8%,188,77.0%,56,23.0%,249,86.8%,38,13.2%,11,100.0%
North Wales,1,100.0%,0,0.0%,100,76.3%,31,23.7%,7,53.8%,6,46.2%,21,95.5%,1,4.5%,3,100.0%,0,0.0%,137,93.2%,10,6.8%,9,90.0%,1,10.0%,45,86.5%,7,13.5%,40,95.2%,2,4.8%,43,95.6%,2,4.4%,68,87.2%,10,12.8%,150,88.8%,19,11.2%,2,100.0%
North Yorkshire,1,50.0%,1,50.0%,92,86.8%,14,13.2%,5,100.0%,0,0.0%,6,75.0%,2,25.0%,6,85.7%,1,14.3%,137,90.7%,14,9.3%,6,85.7%,1,14.3%,19,67.9%,9,32.1%,38,95.0%,2,5.0%,42,87.5%,6,12.5%,11,55.0%,9,45.0%,78,90.7%,8,9.3%,14,100.0%
Nottinghamshire,2,100.0%,0,0.0%,182,71.9%,71,28.1%,12,80.0%,3,20.0%,30,100.0%,0,0.0%,11,57.9%,8,42.1%,241,96.0%,10,4.0%,10,100.0%,0,0.0%,45,86.5%,7,13.5%,100,96.2%,4,3.8%,46,82.1%,10,17.9%,51,78.5%,14,21.5%,154,92.8%,12,7.2%,2,100.0%
South Wales,0,-,0,-,232,72.5%,88,27.5%,13,65.0%,7,35.0%,55,94.8%,3,5.2%,10,100.0%,0,0.0%,289,94.4%,17,5.6%,9,90.0%,1,10.0%,64,97.0%,2,3.0%,112,100.0%,0,0.0%,150,93.2%,11,6.8%,47,87.0%,7,13.0%,323,81.2%,75,18.8%,11,100.0%
South Yorkshire,2,100.0%,0,0.0%,218,80.4%,53,19.6%,18,90.0%,2,10.0%,44,95.7%,2,4.3%,9,64.3%,5,35.7%,350,95.9%,15,4.1%,9,81.8%,2,18.2%,75,91.5%,7,8.5%,114,95.0%,6,5.0%,78,84.8%,14,15.2%,41,85.4%,7,14.6%,162,89.5%,19,10.5%,13,100.0%
Staffordshire,0,-,0,-,150,69.4%,66,30.6%,15,88.2%,2,11.8%,20,95.2%,1,4.8%,8,80.0%,2,20.0%,161,85.6%,27,14.4%,11,91.7%,1,8.3%,55,74.3%,19,25.7%,80,93.0%,6,7.0%,85,81.7%,19,18.3%,63,90.0%,7,10.0%,147,83.1%,30,16.9%,8,100.0%
Suffolk,1,100.0%,0,0.0%,138,87.3%,20,12.7%,7,100.0%,0,0.0%,14,73.7%,5,26.3%,4,80.0%,1,20.0%,111,95.7%,5,4.3%,5,83.3%,1,16.7%,28,90.3%,3,9.7%,40,97.6%,1,2.4%,61,91.0%,6,9.0%,43,86.0%,7,14.0%,68,88.3%,9,11.7%,5,100.0%
Surrey,0,-,0,-,93,75.6%,30,24.4%,11,61.1%,7,38.9%,5,62.5%,3,37.5%,8,88.9%,1,11.1%,111,88.8%,14,11.2%,17,94.4%,1,5.6%,23,82.1%,5,17.9%,55,96.5%,2,3.5%,39,83.0%,8,17.0%,37,71.2%,15,28.8%,134,87.6%,19,12.4%,17,100.0%
Sussex,0,-,0,-,171,80.3%,42,19.7%,15,65.2%,8,34.8%,35,87.5%,5,12.5%,7,100.0%,0,0.0%,190,91.8%,17,8.2%,14,73.7%,5,26.3%,36,85.7%,6,14.3%,80,95.2%,4,4.8%,72,84.7%,13,15.3%,74,72.5%,28,27.5%,161,89.4%,19,10.6%,17,100.0%
Thames Valley,9,100.0%,0,0.0%,214,65.2%,114,34.8%,26,72.2%,10,27.8%,40,87.0%,6,13.0%,10,62.5%,6,37.5%,296,92.5%,24,7.5%,15,83.3%,3,16.7%,51,82.3%,11,17.7%,122,93.1%,9,6.9%,105,84.0%,20,16.0%,32,76.2%,10,23.8%,280,89.7%,32,10.3%,40,100.0%
Warwickshire,0,-,0,-,35,76.1%,11,23.9%,7,87.5%,1,12.5%,10,100.0%,0,0.0%,1,100.0%,0,0.0%,76,96.2%,3,3.8%,1,100.0%,0,0.0%,10,83.3%,2,16.7%,18,94.7%,1,5.3%,15,78.9%,4,21.1%,32,91.4%,3,8.6%,154,90.6%,16,9.4%,0,-
West Mercia,1,50.0%,1,50.0%,156,78.8%,42,21.2%,24,85.7%,4,14.3%,14,82.4%,3,17.6%,5,83.3%,1,16.7%,169,93.4%,12,6.6%,5,100.0%,0,0.0%,47,92.2%,4,7.8%,55,98.2%,1,1.8%,66,86.8%,10,13.2%,49,89.1%,6,10.9%,198,88.8%,25,11.2%,3,100.0%
West Midlands,6,66.7%,3,33.3%,413,64.9%,223,35.1%,28,75.7%,9,24.3%,90,82.6%,19,17.4%,55,77.5%,16,22.5%,558,92.2%,47,7.8%,35,97.2%,1,2.8%,109,83.2%,22,16.8%,226,92.6%,18,7.4%,116,77.9%,33,22.1%,164,79.6%,42,20.4%,304,86.1%,49,13.9%,16,100.0%
West Yorkshire,1,100.0%,0,0.0%,420,76.6%,128,23.4%,40,83.3%,8,16.7%,78,80.4%,19,19.6%,30,93.8%,2,6.3%,505,93.7%,34,6.3%,22,88.0%,3,12.0%,86,81.9%,19,18.1%,173,95.6%,8,4.4%,116,80.0%,29,20.0%,52,83.9%,10,16.1%,297,85.1%,52,14.9%,35,100.0%
Wiltshire,1,100.0%,0,0.0%,74,75.5%,24,24.5%,9,69.2%,4,30.8%,6,100.0%,0,0.0%,3,100.0%,0,0.0%,90,92.8%,7,7.2%,4,80.0%,1,20.0%,26,83.9%,5,16.1%,25,100.0%,0,0.0%,22,81.5%,5,18.5%,13,86.7%,2,13.3%,79,85.9%,13,14.1%,10,100.0%
