,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Gloucestershire,1,100.0%,0,0.0%,56,60.2%,37,39.8%,3,100.0%,0,0.0%,7,87.5%,1,12.5%,1,100.0%,0,0.0%,86,92.5%,7,7.5%,5,83.3%,1,16.7%,17,81.0%,4,19.0%,25,96.2%,1,3.8%,7,77.8%,2,22.2%,27,75.0%,9,25.0%,53,93.0%,4,7.0%,7,100.0%
GreaterManchester,1,100.0%,0,0.0%,645,75.8%,206,24.2%,51,64.6%,28,35.4%,77,84.6%,14,15.4%,43,76.8%,13,23.2%,459,91.4%,43,8.6%,37,92.5%,3,7.5%,169,87.6%,24,12.4%,228,94.6%,13,5.4%,310,90.9%,31,9.1%,125,76.7%,38,23.3%,367,87.2%,54,12.8%,47,100.0%
Gwent,0,-,0,-,71,80.7%,17,19.3%,1,100.0%,0,0.0%,10,66.7%,5,33.3%,4,100.0%,0,0.0%,81,96.4%,3,3.6%,3,100.0%,0,0.0%,20,76.9%,6,23.1%,35,87.5%,5,12.5%,60,87.0%,9,13.0%,17,73.9%,6,26.1%,36,80.0%,9,20.0%,9,100.0%
Hampshire,0,-,0,-,298,73.9%,105,26.1%,26,61.9%,16,38.1%,37,84.1%,7,15.9%,7,100.0%,0,0.0%,294,90.7%,30,9.3%,16,76.2%,5,23.8%,79,84.9%,14,15.1%,131,92.9%,10,7.1%,106,85.5%,18,14.5%,81,76.4%,25,23.6%,231,88.2%,31,11.8%,31,100.0%
Hertfordshire,0,-,0,-,185,83.7%,36,16.3%,14,87.5%,2,12.5%,15,75.0%,5,25.0%,7,46.7%,8,53.3%,192,92.8%,15,7.2%,20,83.3%,4,16.7%,26,83.9%,5,16.1%,63,90.0%,7,10.0%,71,76.3%,22,23.7%,14,82.4%,3,17.6%,157,89.2%,19,10.8%,23,100.0%
Humberside,1,100.0%,0,0.0%,214,83.3%,43,16.7%,21,70.0%,9,30.0%,40,75.5%,13,24.5%,5,50.0%,5,50.0%,216,87.8%,30,12.2%,25,83.3%,5,16.7%,44,74.6%,15,25.4%,80,97.6%,2,2.4%,100,87.0%,15,13.0%,34,85.0%,6,15.0%,139,88.5%,18,11.5%,12,100.0%
Kent,2,100.0%,0,0.0%,244,73.3%,89,26.7%,26,65.0%,14,35.0%,50,87.7%,7,12.3%,11,91.7%,1,8.3%,352,86.7%,54,13.3%,26,89.7%,3,10.3%,74,80.4%,18,19.6%,115,94.3%,7,5.7%,65,73.9%,23,26.1%,130,81.8%,29,18.2%,221,88.0%,30,12.0%,30,100.0%
Lancashire,1,100.0%,0,0.0%,307,71.1%,125,28.9%,28,70.0%,12,30.0%,74,86.0%,12,14.0%,23,95.8%,1,4.2%,307,93.9%,20,6.1%,20,90.9%,2,9.1%,98,83.8%,19,16.2%,138,96.5%,5,3.5%,189,90.0%,21,10.0%,128,90.1%,14,9.9%,253,83.8%,49,16.2%,24,100.0%
Leicestershire,1,100.0%,0,0.0%,121,75.2%,40,24.8%,10,83.3%,2,16.7%,26,74.3%,9,25.7%,15,78.9%,4,21.1%,127,93.4%,9,6.6%,7,87.5%,1,12.5%,27,84.4%,5,15.6%,29,87.9%,4,12.1%,61,88.4%,8,11.6%,20,90.9%,2,9.1%,134,88.2%,18,11.8%,7,100.0%
Lincolnshire,2,100.0%,0,0.0%,99,84.6%,18,15.4%,12,92.3%,1,7.7%,21,87.5%,3,12.5%,8,100.0%,0,0.0%,158,90.3%,17,9.7%,5,100.0%,0,0.0%,26,96.3%,1,3.7%,44,95.7%,2,4.3%,60,82.2%,13,17.8%,43,86.0%,7,14.0%,178,89.9%,20,10.1%,7,100.0%
Merseyside,0,-,0,-,370,76.8%,112,23.2%,32,72.7%,12,27.3%,47,87.0%,7,13.0%,16,76.2%,5,23.8%,424,93.2%,31,6.8%,26,96.3%,1,3.7%,70,82.4%,15,17.6%,313,95.7%,14,4.3%,170,83.3%,34,16.7%,138,86.8%,21,13.2%,260,90.9%,26,9.1%,30,100.0%
Metropolitan and City,12,75.0%,4,25.0%,"1,266",69.8%,548,30.2%,129,64.8%,70,35.2%,214,76.4%,66,23.6%,161,75.6%,52,24.4%,"1,206",88.9%,150,11.1%,190,89.2%,23,10.8%,311,84.3%,58,15.7%,"1,013",93.1%,75,6.9%,648,82.7%,136,17.3%,498,84.4%,92,15.6%,"1,360",75.9%,431,24.1%,211,100.0%
Norfolk,0,-,0,-,188,80.3%,46,19.7%,16,84.2%,3,15.8%,17,85.0%,3,15.0%,5,100.0%,0,0.0%,162,89.0%,20,11.0%,9,100.0%,0,0.0%,56,91.8%,5,8.2%,63,90.0%,7,10.0%,121,90.3%,13,9.7%,17,73.9%,6,26.1%,110,90.9%,11,9.1%,10,100.0%
Northamptonshire,1,100.0%,0,0.0%,105,77.8%,30,22.2%,15,75.0%,5,25.0%,22,81.5%,5,18.5%,10,100.0%,0,0.0%,98,84.5%,18,15.5%,13,72.2%,5,27.8%,31,83.8%,6,16.2%,37,92.5%,3,7.5%,46,88.5%,6,11.5%,8,50.0%,8,50.0%,121,91.7%,11,8.3%,7,100.0%
Northumbria,0,-,0,-,263,63.1%,154,36.9%,25,73.5%,9,26.5%,48,85.7%,8,14.3%,17,81.0%,4,19.0%,422,89.2%,51,10.8%,19,95.0%,1,5.0%,82,78.8%,22,21.2%,80,84.2%,15,15.8%,172,74.1%,60,25.9%,66,74.2%,23,25.8%,202,83.1%,41,16.9%,15,100.0%
North Wales,1,100.0%,0,0.0%,146,80.7%,35,19.3%,7,53.8%,6,46.2%,20,80.0%,5,20.0%,2,100.0%,0,0.0%,181,92.8%,14,7.2%,3,75.0%,1,25.0%,60,93.8%,4,6.3%,41,97.6%,1,2.4%,61,92.4%,5,7.6%,64,86.5%,10,13.5%,109,85.8%,18,14.2%,2,100.0%
North Yorkshire,1,100.0%,0,0.0%,126,71.6%,50,28.4%,7,87.5%,1,12.5%,18,69.2%,8,30.8%,1,50.0%,1,50.0%,178,90.8%,18,9.2%,15,83.3%,3,16.7%,47,94.0%,3,6.0%,48,94.1%,3,5.9%,94,86.2%,15,13.8%,27,77.1%,8,22.9%,144,90.0%,16,10.0%,12,100.0%
Nottinghamshire,1,50.0%,1,50.0%,215,69.4%,95,30.6%,8,66.7%,4,33.3%,28,90.3%,3,9.7%,16,76.2%,5,23.8%,248,90.8%,25,9.2%,7,87.5%,1,12.5%,69,79.3%,18,20.7%,122,95.3%,6,4.7%,87,84.5%,16,15.5%,79,83.2%,16,16.8%,174,87.0%,26,13.0%,21,100.0%
South Wales,0,-,0,-,229,69.4%,101,30.6%,17,68.0%,8,32.0%,46,86.8%,7,13.2%,10,83.3%,2,16.7%,227,93.4%,16,6.6%,10,100.0%,0,0.0%,70,88.6%,9,11.4%,136,97.1%,4,2.9%,124,87.3%,18,12.7%,29,82.9%,6,17.1%,958,96.6%,34,3.4%,20,100.0%
South Yorkshire,1,100.0%,0,0.0%,264,72.9%,98,27.1%,16,84.2%,3,15.8%,50,87.7%,7,12.3%,6,60.0%,4,40.0%,373,92.3%,31,7.7%,12,66.7%,6,33.3%,81,82.7%,17,17.3%,131,95.6%,6,4.4%,133,89.9%,15,10.1%,46,90.2%,5,9.8%,155,85.6%,26,14.4%,17,100.0%
Staffordshire,3,100.0%,0,0.0%,199,70.6%,83,29.4%,15,83.3%,3,16.7%,21,77.8%,6,22.2%,10,71.4%,4,28.6%,185,92.5%,15,7.5%,11,64.7%,6,35.3%,49,81.7%,11,18.3%,71,91.0%,7,9.0%,106,84.8%,19,15.2%,38,80.9%,9,19.1%,115,83.3%,23,16.7%,10,100.0%
Suffolk,0,-,0,-,145,85.8%,24,14.2%,9,100.0%,0,0.0%,9,69.2%,4,30.8%,6,60.0%,4,40.0%,106,97.2%,3,2.8%,14,82.4%,3,17.6%,37,90.2%,4,9.8%,43,97.7%,1,2.3%,91,91.0%,9,9.0%,5,50.0%,5,50.0%,94,89.5%,11,10.5%,4,100.0%
Surrey,0,-,0,-,106,66.3%,54,33.8%,9,69.2%,4,30.8%,17,65.4%,9,34.6%,3,42.9%,4,57.1%,139,89.1%,17,10.9%,15,78.9%,4,21.1%,26,74.3%,9,25.7%,54,85.7%,9,14.3%,53,76.8%,16,23.2%,55,65.5%,29,34.5%,152,85.4%,26,14.6%,10,100.0%
Sussex,0,-,0,-,214,73.3%,78,26.7%,25,69.4%,11,30.6%,25,78.1%,7,21.9%,15,83.3%,3,16.7%,242,90.0%,27,10.0%,19,90.5%,2,9.5%,53,77.9%,15,22.1%,106,93.0%,8,7.0%,84,80.0%,21,20.0%,107,82.9%,22,17.1%,197,87.9%,27,12.1%,11,100.0%
Thames Valley,1,25.0%,3,75.0%,301,71.7%,119,28.3%,30,73.2%,11,26.8%,36,83.7%,7,16.3%,9,60.0%,6,40.0%,296,90.8%,30,9.2%,24,85.7%,4,14.3%,51,86.4%,8,13.6%,150,94.3%,9,5.7%,91,81.3%,21,18.8%,18,90.0%,2,10.0%,231,84.0%,44,16.0%,40,100.0%
Warwickshire,0,-,0,-,56,77.8%,16,22.2%,6,85.7%,1,14.3%,12,92.3%,1,7.7%,1,100.0%,0,0.0%,64,95.5%,3,4.5%,6,100.0%,0,0.0%,11,100.0%,0,0.0%,23,95.8%,1,4.2%,25,75.8%,8,24.2%,20,87.0%,3,13.0%,86,86.0%,14,14.0%,2,100.0%
West Mercia,1,100.0%,0,0.0%,155,75.6%,50,24.4%,13,92.9%,1,7.1%,23,92.0%,2,8.0%,6,85.7%,1,14.3%,202,94.4%,12,5.6%,10,83.3%,2,16.7%,49,89.1%,6,10.9%,50,86.2%,8,13.8%,74,83.1%,15,16.9%,30,96.8%,1,3.2%,201,89.3%,24,10.7%,2,100.0%
West Midlands,4,100.0%,0,0.0%,502,75.1%,166,24.9%,41,80.4%,10,19.6%,85,81.7%,19,18.3%,71,65.7%,37,34.3%,532,89.1%,65,10.9%,44,83.0%,9,17.0%,100,88.5%,13,11.5%,174,96.1%,7,3.9%,151,82.5%,32,17.5%,150,81.5%,34,18.5%,292,86.1%,47,13.9%,17,100.0%
West Yorkshire,5,100.0%,0,0.0%,414,71.1%,168,28.9%,47,58.0%,34,42.0%,100,81.3%,23,18.7%,30,73.2%,11,26.8%,439,89.6%,51,10.4%,39,92.9%,3,7.1%,109,86.5%,17,13.5%,168,89.4%,20,10.6%,140,79.1%,37,20.9%,60,85.7%,10,14.3%,290,82.2%,63,17.8%,32,100.0%
Wiltshire,0,-,0,-,85,82.5%,18,17.5%,16,76.2%,5,23.8%,11,78.6%,3,21.4%,4,80.0%,1,20.0%,95,94.1%,6,5.9%,5,100.0%,0,0.0%,28,82.4%,6,17.6%,31,93.9%,2,6.1%,36,87.8%,5,12.2%,43,89.6%,5,10.4%,67,93.1%,5,6.9%,7,100.0%
