,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,1,100.0%,0,0.0%,105,78.4%,29,21.6%,9,75.0%,3,25.0%,28,87.5%,4,12.5%,0,0,0,0,171,89.5%,20,10.5%,20,90.9%,2,9.1%,42,80.8%,10,19.2%,38,97.4%,1,2.6%,82,90.1%,9,9.9%,12,70.6%,5,29.4%,130,93.5%,9,6.5%,2,100.0%
Dyfed Powys,0,-,0,-,69,82.1%,15,17.9%,4,57.1%,3,42.9%,8,88.9%,1,11.1%,3,50.0%,3,50.0%,79,90.8%,8,9.2%,4,100.0%,0,0.0%,30,93.8%,2,6.3%,82,94.3%,5,5.7%,81,92.0%,7,8.0%,19,95.0%,1,5.0%,274,94.2%,17,5.8%,2,100.0%
Essex,3,100.0%,0,0.0%,331,78.4%,91,21.6%,11,64.7%,6,35.3%,42,75.0%,14,25.0%,7,77.8%,2,22.2%,327,92.9%,25,7.1%,31,93.9%,2,6.1%,101,89.4%,12,10.6%,111,96.5%,4,3.5%,135,94.4%,8,5.6%,83,91.2%,8,8.8%,215,83.7%,42,16.3%,14,100.0%
Gloucestershire,0,-,0,-,71,82.6%,15,17.4%,4,80.0%,1,20.0%,20,95.2%,1,4.8%,3,75.0%,1,25.0%,89,100.0%,0,0.0%,9,90.0%,1,10.0%,14,77.8%,4,22.2%,31,93.9%,2,6.1%,25,96.2%,1,3.8%,5,83.3%,1,16.7%,97,93.3%,7,6.7%,7,100.0%
GreaterManchester,2,66.7%,1,33.3%,478,79.1%,126,20.9%,52,72.2%,20,27.8%,94,90.4%,10,9.6%,34,91.9%,3,8.1%,495,93.4%,35,6.6%,39,86.7%,6,13.3%,143,84.6%,26,15.4%,200,94.3%,12,5.7%,297,88.9%,37,11.1%,179,89.5%,21,10.5%,772,93.6%,53,6.4%,32,100.0%
Gwent,0,-,0,-,85,71.4%,34,28.6%,5,100.0%,0,0.0%,11,84.6%,2,15.4%,2,50.0%,2,50.0%,129,90.8%,13,9.2%,5,100.0%,0,0.0%,38,90.5%,4,9.5%,48,92.3%,4,7.7%,74,87.1%,11,12.9%,21,84.0%,4,16.0%,106,77.4%,31,22.6%,7,100.0%
Hampshire,0,-,0,-,303,78.5%,83,21.5%,19,52.8%,17,47.2%,34,69.4%,15,30.6%,4,57.1%,3,42.9%,317,88.5%,41,11.5%,25,71.4%,10,28.6%,78,76.5%,24,23.5%,187,95.9%,8,4.1%,115,82.1%,25,17.9%,162,84.8%,29,15.2%,245,87.2%,36,12.8%,19,100.0%
Hertfordshire,3,100.0%,0,0.0%,113,77.4%,33,22.6%,8,57.1%,6,42.9%,20,83.3%,4,16.7%,4,100.0%,0,0.0%,149,86.1%,24,13.9%,13,81.3%,3,18.8%,27,81.8%,6,18.2%,70,92.1%,6,7.9%,53,86.9%,8,13.1%,28,82.4%,6,17.6%,153,84.1%,29,15.9%,16,100.0%
Humberside,0,0.0%,1,100.0%,217,82.8%,45,17.2%,16,76.2%,5,23.8%,29,85.3%,5,14.7%,7,100.0%,0,0.0%,271,91.6%,25,8.4%,16,84.2%,3,15.8%,79,94.0%,5,6.0%,82,95.3%,4,4.7%,128,92.8%,10,7.2%,47,94.0%,3,6.0%,390,94.9%,21,5.1%,10,100.0%
Kent,0,-,0,-,230,72.1%,89,27.9%,19,82.6%,4,17.4%,59,95.2%,3,4.8%,10,90.9%,1,9.1%,356,91.3%,34,8.7%,21,80.8%,5,19.2%,87,79.1%,23,20.9%,85,95.5%,4,4.5%,38,82.6%,8,17.4%,200,88.1%,27,11.9%,142,86.6%,22,13.4%,30,100.0%
Lancashire,4,100.0%,0,0.0%,337,76.9%,101,23.1%,29,85.3%,5,14.7%,83,90.2%,9,9.8%,24,100.0%,0,0.0%,383,94.3%,23,5.7%,20,95.2%,1,4.8%,114,89.8%,13,10.2%,101,98.1%,2,1.9%,223,87.8%,31,12.2%,104,83.2%,21,16.8%,300,88.5%,39,11.5%,33,100.0%
Leicestershire,2,66.7%,1,33.3%,142,83.5%,28,16.5%,15,71.4%,6,28.6%,13,72.2%,5,27.8%,4,80.0%,1,20.0%,155,94.5%,9,5.5%,12,85.7%,2,14.3%,23,82.1%,5,17.9%,34,94.4%,2,5.6%,50,83.3%,10,16.7%,32,91.4%,3,8.6%,307,96.5%,11,3.5%,18,100.0%
Lincolnshire,1,100.0%,0,0.0%,117,84.8%,21,15.2%,5,71.4%,2,28.6%,14,93.3%,1,6.7%,2,100.0%,0,0.0%,128,90.1%,14,9.9%,3,100.0%,0,0.0%,26,89.7%,3,10.3%,28,96.6%,1,3.4%,71,93.4%,5,6.6%,8,44.4%,10,55.6%,155,85.2%,27,14.8%,10,100.0%
Merseyside,2,66.7%,1,33.3%,236,74.0%,83,26.0%,27,77.1%,8,22.9%,39,81.3%,9,18.8%,21,87.5%,3,12.5%,264,94.0%,17,6.0%,21,95.5%,1,4.5%,65,90.3%,7,9.7%,279,91.8%,25,8.2%,128,85.3%,22,14.7%,148,91.9%,13,8.1%,391,92.4%,32,7.6%,22,100.0%
Metropolitan and City,13,100.0%,0,0.0%,"1,306",70.4%,549,29.6%,108,63.2%,63,36.8%,266,81.1%,62,18.9%,147,71.4%,59,28.6%,"1,388",88.4%,182,11.6%,231,85.2%,40,14.8%,312,83.4%,62,16.6%,"1,228",95.0%,64,5.0%,779,82.1%,170,17.9%,527,83.3%,106,16.7%,"1,889",82.3%,405,17.7%,261,100.0%
Norfolk,0,-,0,-,193,82.1%,42,17.9%,15,100.0%,0,0.0%,16,100.0%,0,0.0%,3,100.0%,0,0.0%,190,93.1%,14,6.9%,15,83.3%,3,16.7%,41,89.1%,5,10.9%,60,95.2%,3,4.8%,83,89.2%,10,10.8%,65,89.0%,8,11.0%,135,92.5%,11,7.5%,15,100.0%
Northamptonshire,0,-,0,-,106,80.3%,26,19.7%,6,100.0%,0,0.0%,16,72.7%,6,27.3%,4,57.1%,3,42.9%,128,89.5%,15,10.5%,5,100.0%,0,0.0%,22,71.0%,9,29.0%,35,89.7%,4,10.3%,29,78.4%,8,21.6%,11,84.6%,2,15.4%,214,96.8%,7,3.2%,9,100.0%
Northumbria,3,100.0%,0,0.0%,240,75.0%,80,25.0%,30,75.0%,10,25.0%,74,87.1%,11,12.9%,13,86.7%,2,13.3%,526,92.6%,42,7.4%,31,93.9%,2,6.1%,105,82.0%,23,18.0%,115,85.8%,19,14.2%,148,84.6%,27,15.4%,280,82.4%,60,17.6%,503,90.5%,53,9.5%,17,100.0%
North Wales,1,100.0%,0,0.0%,118,77.6%,34,22.4%,10,71.4%,4,28.6%,26,92.9%,2,7.1%,2,100.0%,0,0.0%,165,94.8%,9,5.2%,7,87.5%,1,12.5%,45,90.0%,5,10.0%,57,100.0%,0,0.0%,75,87.2%,11,12.8%,118,94.4%,7,5.6%,268,95.0%,14,5.0%,7,100.0%
North Yorkshire,0,-,0,-,98,69.5%,43,30.5%,8,100.0%,0,0.0%,18,94.7%,1,5.3%,1,33.3%,2,66.7%,171,92.9%,13,7.1%,8,66.7%,4,33.3%,39,83.0%,8,17.0%,48,87.3%,7,12.7%,100,90.9%,10,9.1%,28,93.3%,2,6.7%,137,91.3%,13,8.7%,3,100.0%
Nottinghamshire,0,-,0,-,179,71.0%,73,29.0%,14,82.4%,3,17.6%,43,95.6%,2,4.4%,22,95.7%,1,4.3%,247,91.8%,22,8.2%,17,100.0%,0,0.0%,55,88.7%,7,11.3%,78,95.1%,4,4.9%,75,82.4%,16,17.6%,67,82.7%,14,17.3%,189,88.3%,25,11.7%,17,100.0%
South Wales,0,-,0,-,362,76.5%,111,23.5%,7,50.0%,7,50.0%,49,86.0%,8,14.0%,4,100.0%,0,0.0%,359,97.3%,10,2.7%,19,86.4%,3,13.6%,124,91.2%,12,8.8%,161,96.4%,6,3.6%,243,85.6%,41,14.4%,70,85.4%,12,14.6%,735,88.7%,94,11.3%,17,100.0%
South Yorkshire,2,66.7%,1,33.3%,229,79.8%,58,20.2%,18,90.0%,2,10.0%,51,86.4%,8,13.6%,10,90.9%,1,9.1%,409,93.2%,30,6.8%,13,92.9%,1,7.1%,80,87.0%,12,13.0%,140,93.3%,10,6.7%,164,90.6%,17,9.4%,44,81.5%,10,18.5%,362,95.5%,17,4.5%,11,100.0%
Staffordshire,2,100.0%,0,0.0%,165,76.4%,51,23.6%,10,66.7%,5,33.3%,28,84.8%,5,15.2%,18,78.3%,5,21.7%,201,88.2%,27,11.8%,12,85.7%,2,14.3%,53,86.9%,8,13.1%,84,91.3%,8,8.7%,97,82.2%,21,17.8%,23,88.5%,3,11.5%,646,95.4%,31,4.6%,11,100.0%
Suffolk,1,100.0%,0,0.0%,165,89.2%,20,10.8%,4,100.0%,0,0.0%,18,100.0%,0,0.0%,2,66.7%,1,33.3%,111,92.5%,9,7.5%,8,100.0%,0,0.0%,33,86.8%,5,13.2%,66,100.0%,0,0.0%,75,93.8%,5,6.3%,33,97.1%,1,2.9%,79,86.8%,12,13.2%,3,100.0%
Surrey,0,-,0,-,139,72.0%,54,28.0%,7,63.6%,4,36.4%,30,83.3%,6,16.7%,1,50.0%,1,50.0%,114,83.8%,22,16.2%,11,100.0%,0,0.0%,24,80.0%,6,20.0%,79,94.0%,5,6.0%,66,90.4%,7,9.6%,74,88.1%,10,11.9%,201,90.5%,21,9.5%,21,100.0%
Sussex,0,-,0,-,266,67.5%,128,32.5%,21,65.6%,11,34.4%,40,87.0%,6,13.0%,8,88.9%,1,11.1%,290,92.9%,22,7.1%,18,94.7%,1,5.3%,73,83.0%,15,17.0%,115,89.8%,13,10.2%,113,83.7%,22,16.3%,82,73.9%,29,26.1%,239,91.6%,22,8.4%,22,100.0%
Thames Valley,4,80.0%,1,20.0%,276,71.9%,108,28.1%,24,80.0%,6,20.0%,41,82.0%,9,18.0%,13,65.0%,7,35.0%,336,90.3%,36,9.7%,24,85.7%,4,14.3%,59,88.1%,8,11.9%,147,94.8%,8,5.2%,117,81.3%,27,18.8%,47,78.3%,13,21.7%,429,92.9%,33,7.1%,44,100.0%
Warwickshire,0,-,0,-,42,89.4%,5,10.6%,2,100.0%,0,0.0%,17,89.5%,2,10.5%,0,0,0,0,58,100.0%,0,0.0%,2,66.7%,1,33.3%,15,93.8%,1,6.3%,21,100.0%,0,0.0%,28,82.4%,6,17.6%,22,84.6%,4,15.4%,227,89.0%,28,11.0%,5,100.0%
West Mercia,0,-,0,-,162,82.2%,35,17.8%,10,62.5%,6,37.5%,35,89.7%,4,10.3%,4,50.0%,4,50.0%,172,98.3%,3,1.7%,10,90.9%,1,9.1%,40,85.1%,7,14.9%,68,100.0%,0,0.0%,99,85.3%,17,14.7%,25,80.6%,6,19.4%,256,87.1%,38,12.9%,6,100.0%
West Midlands,1,100.0%,0,0.0%,419,70.2%,178,29.8%,45,78.9%,12,21.1%,97,84.3%,18,15.7%,49,76.6%,15,23.4%,559,91.3%,53,8.7%,31,73.8%,11,26.2%,133,81.1%,31,18.9%,247,94.3%,15,5.7%,135,80.4%,33,19.6%,201,83.8%,39,16.3%,394,90.8%,40,9.2%,47,100.0%
West Yorkshire,3,100.0%,0,0.0%,480,75.1%,159,24.9%,44,71.0%,18,29.0%,96,79.3%,25,20.7%,31,91.2%,3,8.8%,531,90.6%,55,9.4%,27,65.9%,14,34.1%,111,77.6%,32,22.4%,198,90.0%,22,10.0%,147,78.2%,41,21.8%,68,78.2%,19,21.8%,363,86.2%,58,13.8%,44,100.0%
Wiltshire,1,100.0%,0,0.0%,67,74.4%,23,25.6%,9,90.0%,1,10.0%,15,93.8%,1,6.3%,0,0,0,0,85,92.4%,7,7.6%,5,100.0%,0,0.0%,37,92.5%,3,7.5%,29,87.9%,4,12.1%,27,81.8%,6,18.2%,54,91.5%,5,8.5%,95,95.0%,5,5.0%,4,100.0%
