,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Dyfed Powys,0,-,0,-,72,76.6%,22,23.4%,9,90.0%,1,10.0%,16,80.0%,4,20.0%,0,0,0,0,57,93.4%,4,6.6%,3,100.0%,0,0.0%,28,82.4%,6,17.6%,84,97.7%,2,2.3%,54,84.4%,10,15.6%,33,91.7%,3,8.3%,209,90.5%,22,9.5%,1,100.0%
Essex,0,-,0,-,293,82.5%,62,17.5%,24,63.2%,14,36.8%,46,86.8%,7,13.2%,9,69.2%,4,30.8%,259,95.2%,13,4.8%,26,92.9%,2,7.1%,78,85.7%,13,14.3%,86,95.6%,4,4.4%,84,88.4%,11,11.6%,61,83.6%,12,16.4%,201,91.4%,19,8.6%,13,100.0%
Gloucestershire,1,100.0%,0,0.0%,81,80.2%,20,19.8%,5,100.0%,0,0.0%,15,88.2%,2,11.8%,1,100.0%,0,0.0%,101,91.0%,10,9.0%,8,100.0%,0,0.0%,18,81.8%,4,18.2%,44,93.6%,3,6.4%,17,89.5%,2,10.5%,24,88.9%,3,11.1%,73,89.0%,9,11.0%,21,100.0%
GreaterManchester,3,100.0%,0,0.0%,668,78.8%,180,21.2%,64,74.4%,22,25.6%,96,84.2%,18,15.8%,26,86.7%,4,13.3%,513,93.6%,35,6.4%,34,100.0%,0,0.0%,211,91.3%,20,8.7%,218,94.0%,14,6.0%,307,89.8%,35,10.2%,125,84.5%,23,15.5%,386,89.6%,45,10.4%,52,100.0%
Gwent,1,100.0%,0,0.0%,97,82.9%,20,17.1%,10,71.4%,4,28.6%,26,89.7%,3,10.3%,5,71.4%,2,28.6%,117,94.4%,7,5.6%,6,85.7%,1,14.3%,56,86.2%,9,13.8%,51,92.7%,4,7.3%,69,82.1%,15,17.9%,19,86.4%,3,13.6%,81,82.7%,17,17.3%,3,100.0%
Hampshire,4,66.7%,2,33.3%,350,73.4%,127,26.6%,28,77.8%,8,22.2%,35,76.1%,11,23.9%,21,72.4%,8,27.6%,336,89.6%,39,10.4%,18,66.7%,9,33.3%,104,83.2%,21,16.8%,138,96.5%,5,3.5%,100,80.6%,24,19.4%,73,82.0%,16,18.0%,277,87.4%,40,12.6%,26,100.0%
Hertfordshire,1,50.0%,1,50.0%,147,80.8%,35,19.2%,8,57.1%,6,42.9%,33,78.6%,9,21.4%,5,71.4%,2,28.6%,152,89.9%,17,10.1%,32,66.7%,16,33.3%,32,78.0%,9,22.0%,75,94.9%,4,5.1%,58,80.6%,14,19.4%,19,82.6%,4,17.4%,140,84.8%,25,15.2%,11,100.0%
Humberside,1,100.0%,0,0.0%,236,87.7%,33,12.3%,29,74.4%,10,25.6%,35,94.6%,2,5.4%,10,90.9%,1,9.1%,290,90.6%,30,9.4%,22,84.6%,4,15.4%,54,87.1%,8,12.9%,80,95.2%,4,4.8%,138,95.2%,7,4.8%,25,89.3%,3,10.7%,119,86.9%,18,13.1%,12,100.0%
Kent,4,66.7%,2,33.3%,240,75.5%,78,24.5%,28,77.8%,8,22.2%,51,86.4%,8,13.6%,12,85.7%,2,14.3%,331,88.7%,42,11.3%,23,85.2%,4,14.8%,98,87.5%,14,12.5%,135,96.4%,5,3.6%,79,81.4%,18,18.6%,123,77.4%,36,22.6%,190,88.0%,26,12.0%,32,100.0%
Lancashire,3,100.0%,0,0.0%,341,74.8%,115,25.2%,33,62.3%,20,37.7%,50,78.1%,14,21.9%,24,100.0%,0,0.0%,414,96.5%,15,3.5%,16,94.1%,1,5.9%,114,80.9%,27,19.1%,130,95.6%,6,4.4%,224,92.2%,19,7.8%,138,87.9%,19,12.1%,249,81.9%,55,18.1%,16,100.0%
Leicestershire,0,-,0,-,163,83.2%,33,16.8%,11,91.7%,1,8.3%,24,75.0%,8,25.0%,6,100.0%,0,0.0%,160,91.4%,15,8.6%,17,81.0%,4,19.0%,36,90.0%,4,10.0%,39,100.0%,0,0.0%,60,85.7%,10,14.3%,13,81.3%,3,18.8%,122,87.1%,18,12.9%,8,100.0%
Lincolnshire,3,100.0%,0,0.0%,125,71.4%,50,28.6%,11,78.6%,3,21.4%,19,90.5%,2,9.5%,5,62.5%,3,37.5%,155,91.2%,15,8.8%,10,90.9%,1,9.1%,28,80.0%,7,20.0%,49,96.1%,2,3.9%,71,87.7%,10,12.3%,16,66.7%,8,33.3%,154,83.2%,31,16.8%,11,100.0%
Merseyside,9,100.0%,0,0.0%,223,76.1%,70,23.9%,27,87.1%,4,12.9%,33,84.6%,6,15.4%,17,85.0%,3,15.0%,328,93.7%,22,6.3%,15,88.2%,2,11.8%,59,79.7%,15,20.3%,314,94.6%,18,5.4%,123,84.8%,22,15.2%,162,91.0%,16,9.0%,215,86.0%,35,14.0%,19,100.0%
Metropolitan and City,10,52.6%,9,47.4%,"1,322",68.7%,601,31.3%,141,63.5%,81,36.5%,262,83.4%,52,16.6%,209,77.4%,61,22.6%,"1,411",90.1%,155,9.9%,206,82.4%,44,17.6%,312,86.4%,49,13.6%,"1,115",93.7%,75,6.3%,724,85.3%,125,14.7%,551,82.4%,118,17.6%,"1,464",78.4%,404,21.6%,174,100.0%
Norfolk,2,50.0%,2,50.0%,196,76.0%,62,24.0%,10,76.9%,3,23.1%,14,73.7%,5,26.3%,8,88.9%,1,11.1%,138,87.9%,19,12.1%,7,87.5%,1,12.5%,38,82.6%,8,17.4%,80,100.0%,0,0.0%,113,90.4%,12,9.6%,15,75.0%,5,25.0%,103,88.0%,14,12.0%,7,100.0%
Northamptonshire,0,-,0,-,117,69.2%,52,30.8%,8,72.7%,3,27.3%,15,65.2%,8,34.8%,8,80.0%,2,20.0%,106,84.8%,19,15.2%,9,64.3%,5,35.7%,20,66.7%,10,33.3%,37,92.5%,3,7.5%,39,79.6%,10,20.4%,15,88.2%,2,11.8%,131,92.9%,10,7.1%,7,100.0%
Northumbria,1,100.0%,0,0.0%,293,69.6%,128,30.4%,34,82.9%,7,17.1%,70,87.5%,10,12.5%,17,77.3%,5,22.7%,473,88.9%,59,11.1%,29,82.9%,6,17.1%,106,75.2%,35,24.8%,125,86.8%,19,13.2%,159,74.6%,54,25.4%,147,86.0%,24,14.0%,235,85.5%,40,14.5%,17,100.0%
North Wales,1,100.0%,0,0.0%,96,71.1%,39,28.9%,12,54.5%,10,45.5%,18,78.3%,5,21.7%,5,55.6%,4,44.4%,165,96.5%,6,3.5%,7,87.5%,1,12.5%,41,95.3%,2,4.7%,30,96.8%,1,3.2%,57,93.4%,4,6.6%,99,88.4%,13,11.6%,100,89.3%,12,10.7%,11,100.0%
North Yorkshire,2,100.0%,0,0.0%,125,82.8%,26,17.2%,7,100.0%,0,0.0%,23,95.8%,1,4.2%,3,60.0%,2,40.0%,142,86.6%,22,13.4%,8,100.0%,0,0.0%,29,82.9%,6,17.1%,48,90.6%,5,9.4%,106,91.4%,10,8.6%,34,89.5%,4,10.5%,108,87.1%,16,12.9%,7,100.0%
Nottinghamshire,7,87.5%,1,12.5%,253,73.1%,93,26.9%,23,71.9%,9,28.1%,35,83.3%,7,16.7%,26,86.7%,4,13.3%,256,89.8%,29,10.2%,11,84.6%,2,15.4%,48,71.6%,19,28.4%,140,90.9%,14,9.1%,91,87.5%,13,12.5%,45,78.9%,12,21.1%,161,88.5%,21,11.5%,31,100.0%
South Wales,1,100.0%,0,0.0%,310,71.1%,126,28.9%,16,53.3%,14,46.7%,46,93.9%,3,6.1%,7,46.7%,8,53.3%,334,95.2%,17,4.8%,8,88.9%,1,11.1%,95,86.4%,15,13.6%,177,96.2%,7,3.8%,218,90.8%,22,9.2%,56,81.2%,13,18.8%,1231,95.3%,61,4.7%,9,100.0%
South Yorkshire,4,100.0%,0,0.0%,266,74.3%,92,25.7%,14,82.4%,3,17.6%,49,75.4%,16,24.6%,18,78.3%,5,21.7%,432,92.5%,35,7.5%,21,95.5%,1,4.5%,63,82.9%,13,17.1%,170,97.7%,4,2.3%,80,84.2%,15,15.8%,47,88.7%,6,11.3%,164,93.7%,11,6.3%,16,100.0%
Staffordshire,1,100.0%,0,0.0%,188,70.7%,78,29.3%,12,80.0%,3,20.0%,29,82.9%,6,17.1%,4,50.0%,4,50.0%,185,91.6%,17,8.4%,9,90.0%,1,10.0%,35,71.4%,14,28.6%,66,95.7%,3,4.3%,103,85.1%,18,14.9%,40,83.3%,8,16.7%,118,78.7%,32,21.3%,7,100.0%
Suffolk,1,100.0%,0,0.0%,158,86.3%,25,13.7%,8,88.9%,1,11.1%,16,94.1%,1,5.9%,5,83.3%,1,16.7%,116,94.3%,7,5.7%,12,100.0%,0,0.0%,35,94.6%,2,5.4%,54,96.4%,2,3.6%,63,92.6%,5,7.4%,8,66.7%,4,33.3%,93,89.4%,11,10.6%,6,100.0%
Surrey,0,-,0,-,115,64.2%,64,35.8%,12,75.0%,4,25.0%,23,100.0%,0,0.0%,7,87.5%,1,12.5%,129,87.2%,19,12.8%,17,94.4%,1,5.6%,29,76.3%,9,23.7%,72,90.0%,8,10.0%,50,86.2%,8,13.8%,50,69.4%,22,30.6%,120,78.4%,33,21.6%,23,100.0%
Sussex,0,-,0,-,250,75.1%,83,24.9%,23,60.5%,15,39.5%,37,86.0%,6,14.0%,10,83.3%,2,16.7%,281,94.0%,18,6.0%,13,100.0%,0,0.0%,44,73.3%,16,26.7%,95,95.0%,5,5.0%,83,80.6%,20,19.4%,109,80.7%,26,19.3%,232,86.2%,37,13.8%,17,100.0%
Thames Valley,3,100.0%,0,0.0%,252,64.9%,136,35.1%,23,63.9%,13,36.1%,44,81.5%,10,18.5%,11,57.9%,8,42.1%,332,92.7%,26,7.3%,15,83.3%,3,16.7%,80,92.0%,7,8.0%,145,93.5%,10,6.5%,149,85.6%,25,14.4%,33,82.5%,7,17.5%,297,86.8%,45,13.2%,53,100.0%
Warwickshire,0,-,0,-,63,79.7%,16,20.3%,9,69.2%,4,30.8%,16,84.2%,3,15.8%,0,0,0,0,92,95.8%,4,4.2%,7,100.0%,0,0.0%,16,100.0%,0,0.0%,28,96.6%,1,3.4%,20,69.0%,9,31.0%,15,75.0%,5,25.0%,76,81.7%,17,18.3%,3,100.0%
West Mercia,0,-,0,-,158,76.0%,50,24.0%,27,84.4%,5,15.6%,30,85.7%,5,14.3%,16,80.0%,4,20.0%,185,92.0%,16,8.0%,9,90.0%,1,10.0%,52,92.9%,4,7.1%,60,92.3%,5,7.7%,86,86.9%,13,13.1%,33,97.1%,1,2.9%,189,85.9%,31,14.1%,3,100.0%
West Midlands,2,33.3%,4,66.7%,478,70.2%,203,29.8%,42,65.6%,22,34.4%,101,79.5%,26,20.5%,58,69.0%,26,31.0%,636,88.8%,80,11.2%,26,78.8%,7,21.2%,128,84.2%,24,15.8%,233,90.7%,24,9.3%,165,79.7%,42,20.3%,211,82.4%,45,17.6%,326,78.9%,87,21.1%,14,100.0%
West Yorkshire,6,60.0%,4,40.0%,394,76.4%,122,23.6%,45,66.2%,23,33.8%,84,92.3%,7,7.7%,20,95.2%,1,4.8%,460,90.0%,51,10.0%,27,75.0%,9,25.0%,111,85.4%,19,14.6%,182,91.0%,18,9.0%,195,89.9%,22,10.1%,57,79.2%,15,20.8%,287,85.7%,48,14.3%,32,100.0%
Wiltshire,0,-,0,-,93,76.9%,28,23.1%,7,77.8%,2,22.2%,7,100.0%,0,0.0%,10,90.9%,1,9.1%,78,88.6%,10,11.4%,4,100.0%,0,0.0%,37,86.0%,6,14.0%,51,96.2%,2,3.8%,26,86.7%,4,13.3%,30,81.1%,7,18.9%,91,89.2%,11,10.8%,7,100.0%
