,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,107,81.1%,25,18.9%,5,62.5%,3,37.5%,24,77.4%,7,22.6%,2,66.7%,1,33.3%,145,90.1%,16,9.9%,7,87.5%,1,12.5%,41,80.4%,10,19.6%,22,100.0%,0,0.0%,45,84.9%,8,15.1%,17,89.5%,2,10.5%,90,95.7%,4,4.3%,1,100.0%
Dyfed Powys,0,-,0,-,66,77.6%,19,22.4%,1,50.0%,1,50.0%,12,100.0%,0,0.0%,2,66.7%,1,33.3%,73,97.3%,2,2.7%,2,100.0%,0,0.0%,29,80.6%,7,19.4%,70,98.6%,1,1.4%,52,88.1%,7,11.9%,22,91.7%,2,8.3%,151,89.3%,18,10.7%,7,100.0%
Essex,1,100.0%,0,0.0%,239,81.3%,55,18.7%,28,73.7%,10,26.3%,40,97.6%,1,2.4%,11,100.0%,0,0.0%,195,93.3%,14,6.7%,29,85.3%,5,14.7%,65,83.3%,13,16.7%,80,94.1%,5,5.9%,60,92.3%,5,7.7%,46,85.2%,8,14.8%,186,91.2%,18,8.8%,14,100.0%
Gloucestershire,1,100.0%,0,0.0%,49,84.5%,9,15.5%,3,100.0%,0,0.0%,5,100.0%,0,0.0%,2,100.0%,0,0.0%,66,89.2%,8,10.8%,5,83.3%,1,16.7%,16,76.2%,5,23.8%,35,94.6%,2,5.4%,14,77.8%,4,22.2%,17,89.5%,2,10.5%,44,88.0%,6,12.0%,14,100.0%
GreaterManchester,7,100.0%,0,0.0%,609,79.9%,153,20.1%,26,52.0%,24,48.0%,110,98.2%,2,1.8%,33,86.8%,5,13.2%,516,93.1%,38,6.9%,32,86.5%,5,13.5%,173,86.9%,26,13.1%,178,93.2%,13,6.8%,271,90.6%,28,9.4%,111,84.1%,21,15.9%,341,82.6%,72,17.4%,51,100.0%
Gwent,2,100.0%,0,0.0%,95,84.1%,18,15.9%,8,72.7%,3,27.3%,22,100.0%,0,0.0%,4,100.0%,0,0.0%,114,94.2%,7,5.8%,3,100.0%,0,0.0%,41,97.6%,1,2.4%,30,100.0%,0,0.0%,64,91.4%,6,8.6%,20,83.3%,4,16.7%,82,85.4%,14,14.6%,1,100.0%
Hampshire,0,-,0,-,291,72.4%,111,27.6%,26,70.3%,11,29.7%,23,85.2%,4,14.8%,3,75.0%,1,25.0%,299,93.4%,21,6.6%,20,74.1%,7,25.9%,77,79.4%,20,20.6%,128,96.2%,5,3.8%,115,90.6%,12,9.4%,64,83.1%,13,16.9%,223,86.1%,36,13.9%,15,100.0%
Hertfordshire,0,-,0,-,179,82.1%,39,17.9%,11,78.6%,3,21.4%,39,90.7%,4,9.3%,1,50.0%,1,50.0%,144,87.8%,20,12.2%,18,75.0%,6,25.0%,39,81.3%,9,18.8%,72,94.7%,4,5.3%,70,80.5%,17,19.5%,26,83.9%,5,16.1%,143,88.8%,18,11.2%,13,100.0%
Humberside,3,100.0%,0,0.0%,178,78.1%,50,21.9%,18,58.1%,13,41.9%,38,90.5%,4,9.5%,8,80.0%,2,20.0%,203,89.0%,25,11.0%,12,92.3%,1,7.7%,42,77.8%,12,22.2%,71,93.4%,5,6.6%,126,89.4%,15,10.6%,32,84.2%,6,15.8%,118,88.1%,16,11.9%,17,100.0%
Kent,2,100.0%,0,0.0%,188,77.7%,54,22.3%,18,69.2%,8,30.8%,29,82.9%,6,17.1%,4,80.0%,1,20.0%,276,88.2%,37,11.8%,12,66.7%,6,33.3%,66,84.6%,12,15.4%,97,93.3%,7,6.7%,49,72.1%,19,27.9%,133,81.1%,31,18.9%,152,86.9%,23,13.1%,53,100.0%
Lancashire,0,-,0,-,281,71.3%,113,28.7%,27,67.5%,13,32.5%,65,87.8%,9,12.2%,21,87.5%,3,12.5%,280,90.9%,28,9.1%,9,81.8%,2,18.2%,89,80.9%,21,19.1%,109,95.6%,5,4.4%,121,87.1%,18,12.9%,179,94.7%,10,5.3%,237,84.9%,42,15.1%,3,100.0%
Leicestershire,0,-,0,-,123,77.4%,36,22.6%,14,77.8%,4,22.2%,21,100.0%,0,0.0%,10,90.9%,1,9.1%,135,90.6%,14,9.4%,9,90.0%,1,10.0%,34,94.4%,2,5.6%,33,89.2%,4,10.8%,51,85.0%,9,15.0%,24,96.0%,1,4.0%,125,89.3%,15,10.7%,9,100.0%
Lincolnshire,0,-,0,-,82,82.8%,17,17.2%,7,77.8%,2,22.2%,8,57.1%,6,42.9%,5,100.0%,0,0.0%,99,90.0%,11,10.0%,4,100.0%,0,0.0%,15,75.0%,5,25.0%,29,93.5%,2,6.5%,48,88.9%,6,11.1%,16,66.7%,8,33.3%,112,81.2%,26,18.8%,7,100.0%
Merseyside,1,100.0%,0,0.0%,202,74.5%,69,25.5%,27,87.1%,4,12.9%,35,92.1%,3,7.9%,16,80.0%,4,20.0%,213,89.9%,24,10.1%,11,84.6%,2,15.4%,57,79.2%,15,20.8%,180,94.7%,10,5.3%,111,89.5%,13,10.5%,108,93.1%,8,6.9%,153,84.5%,28,15.5%,32,100.0%
Metropolitan and City,8,61.5%,5,38.5%,"1,230",70.4%,516,29.6%,122,68.2%,57,31.8%,237,84.0%,45,16.0%,155,73.1%,57,26.9%,"1,227",87.5%,176,12.5%,208,87.8%,29,12.2%,319,88.1%,43,11.9%,"1,024",92.8%,79,7.2%,608,82.3%,131,17.7%,448,79.3%,117,20.7%,"1,207",78.1%,339,21.9%,184,100.0%
Norfolk,0,-,0,-,185,80.1%,46,19.9%,8,80.0%,2,20.0%,13,76.5%,4,23.5%,7,70.0%,3,30.0%,161,95.3%,8,4.7%,6,85.7%,1,14.3%,47,90.4%,5,9.6%,72,100.0%,0,0.0%,118,91.5%,11,8.5%,24,72.7%,9,27.3%,93,83.8%,18,16.2%,7,100.0%
Northamptonshire,3,100.0%,0,0.0%,84,70.6%,35,29.4%,14,100.0%,0,0.0%,21,72.4%,8,27.6%,4,57.1%,3,42.9%,110,90.2%,12,9.8%,7,58.3%,5,41.7%,24,66.7%,12,33.3%,36,92.3%,3,7.7%,52,86.7%,8,13.3%,13,76.5%,4,23.5%,118,91.5%,11,8.5%,10,100.0%
Northumbria,0,-,0,-,265,74.4%,91,25.6%,22,78.6%,6,21.4%,58,84.1%,11,15.9%,5,100.0%,0,0.0%,440,88.0%,60,12.0%,27,96.4%,1,3.6%,96,80.7%,23,19.3%,106,88.3%,14,11.7%,222,79.6%,57,20.4%,68,79.1%,18,20.9%,220,80.9%,52,19.1%,10,100.0%
North Wales,0,-,0,-,83,74.8%,28,25.2%,9,60.0%,6,40.0%,21,100.0%,0,0.0%,2,100.0%,0,0.0%,119,96.0%,5,4.0%,4,57.1%,3,42.9%,30,93.8%,2,6.3%,38,97.4%,1,2.6%,53,91.4%,5,8.6%,72,94.7%,4,5.3%,55,80.9%,13,19.1%,5,100.0%
North Yorkshire,0,0.0%,1,100.0%,103,76.9%,31,23.1%,4,66.7%,2,33.3%,29,93.5%,2,6.5%,7,87.5%,1,12.5%,148,88.1%,20,11.9%,8,72.7%,3,27.3%,30,81.1%,7,18.9%,58,89.2%,7,10.8%,81,92.0%,7,8.0%,16,69.6%,7,30.4%,99,92.5%,8,7.5%,10,100.0%
Nottinghamshire,2,100.0%,0,0.0%,188,74.9%,63,25.1%,9,81.8%,2,18.2%,47,90.4%,5,9.6%,16,84.2%,3,15.8%,225,91.1%,22,8.9%,9,81.8%,2,18.2%,43,84.3%,8,15.7%,98,95.1%,5,4.9%,75,85.2%,13,14.8%,39,90.7%,4,9.3%,151,92.1%,13,7.9%,16,100.0%
South Wales,0,-,0,-,285,72.2%,110,27.8%,20,66.7%,10,33.3%,36,80.0%,9,20.0%,5,38.5%,8,61.5%,277,93.9%,18,6.1%,20,95.2%,1,4.8%,75,85.2%,13,14.8%,153,92.2%,13,7.8%,149,85.6%,25,14.4%,64,92.8%,5,7.2%,363,86.6%,56,13.4%,18,100.0%
South Yorkshire,1,100.0%,0,0.0%,223,79.6%,57,20.4%,15,88.2%,2,11.8%,37,82.2%,8,17.8%,2,40.0%,3,60.0%,285,95.0%,15,5.0%,6,60.0%,4,40.0%,74,87.1%,11,12.9%,107,92.2%,9,7.8%,102,90.3%,11,9.7%,35,87.5%,5,12.5%,121,91.7%,11,8.3%,13,100.0%
Staffordshire,0,-,0,-,156,70.6%,65,29.4%,25,89.3%,3,10.7%,20,83.3%,4,16.7%,8,100.0%,0,0.0%,167,95.4%,8,4.6%,9,60.0%,6,40.0%,46,82.1%,10,17.9%,69,93.2%,5,6.8%,80,83.3%,16,16.7%,45,91.8%,4,8.2%,135,82.8%,28,17.2%,3,100.0%
Suffolk,0,-,0,-,149,83.7%,29,16.3%,5,83.3%,1,16.7%,19,82.6%,4,17.4%,4,57.1%,3,42.9%,109,95.6%,5,4.4%,9,100.0%,0,0.0%,36,97.3%,1,2.7%,46,90.2%,5,9.8%,88,96.7%,3,3.3%,10,83.3%,2,16.7%,79,91.9%,7,8.1%,8,100.0%
Surrey,0,0.0%,1,100.0%,98,64.5%,54,35.5%,11,55.0%,9,45.0%,17,85.0%,3,15.0%,0,0.0%,1,100.0%,126,88.7%,16,11.3%,11,73.3%,4,26.7%,42,87.5%,6,12.5%,76,90.5%,8,9.5%,30,60.0%,20,40.0%,55,72.4%,21,27.6%,120,85.1%,21,14.9%,15,100.0%
Sussex,1,100.0%,0,0.0%,214,77.5%,62,22.5%,14,56.0%,11,44.0%,27,81.8%,6,18.2%,8,72.7%,3,27.3%,139,88.5%,18,11.5%,20,95.2%,1,4.8%,36,80.0%,9,20.0%,84,90.3%,9,9.7%,89,78.8%,24,21.2%,70,76.9%,21,23.1%,154,88.5%,20,11.5%,11,100.0%
Thames Valley,1,100.0%,0,0.0%,305,67.6%,146,32.4%,30,76.9%,9,23.1%,75,85.2%,13,14.8%,25,86.2%,4,13.8%,297,87.4%,43,12.6%,20,80.0%,5,20.0%,42,82.4%,9,17.6%,145,94.8%,8,5.2%,143,90.5%,15,9.5%,37,88.1%,5,11.9%,285,83.1%,58,16.9%,30,100.0%
Warwickshire,0,-,0,-,54,81.8%,12,18.2%,9,81.8%,2,18.2%,5,83.3%,1,16.7%,1,100.0%,0,0.0%,62,91.2%,6,8.8%,3,100.0%,0,0.0%,7,77.8%,2,22.2%,19,90.5%,2,9.5%,15,83.3%,3,16.7%,11,73.3%,4,26.7%,81,85.3%,14,14.7%,1,100.0%
West Mercia,0,-,0,-,150,79.4%,39,20.6%,13,76.5%,4,23.5%,24,82.8%,5,17.2%,5,71.4%,2,28.6%,186,92.5%,15,7.5%,7,63.6%,4,36.4%,46,83.6%,9,16.4%,32,100.0%,0,0.0%,66,85.7%,11,14.3%,25,83.3%,5,16.7%,150,81.5%,34,18.5%,3,100.0%
West Midlands,1,50.0%,1,50.0%,426,67.5%,205,32.5%,31,62.0%,19,38.0%,80,84.2%,15,15.8%,36,67.9%,17,32.1%,492,89.9%,55,10.1%,29,72.5%,11,27.5%,93,81.6%,21,18.4%,173,90.6%,18,9.4%,132,85.2%,23,14.8%,149,85.6%,25,14.4%,270,83.6%,53,16.4%,14,100.0%
West Yorkshire,2,50.0%,2,50.0%,369,71.0%,151,29.0%,48,81.4%,11,18.6%,92,80.0%,23,20.0%,27,93.1%,2,6.9%,440,85.6%,74,14.4%,29,74.4%,10,25.6%,92,78.6%,25,21.4%,149,89.8%,17,10.2%,116,79.5%,30,20.5%,59,83.1%,12,16.9%,294,80.8%,70,19.2%,31,100.0%
Wiltshire,0,-,0,-,73,88.0%,10,12.0%,7,70.0%,3,30.0%,13,76.5%,4,23.5%,1,100.0%,0,0.0%,88,92.6%,7,7.4%,4,100.0%,0,0.0%,17,73.9%,6,26.1%,27,100.0%,0,0.0%,27,96.4%,1,3.6%,32,88.9%,4,11.1%,78,88.6%,10,11.4%,5,100.0%
