,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Hertfordshire,1,33.3%,2,66.7%,195,78.9%,52,21.1%,16,72.7%,6,27.3%,30,81.1%,7,18.9%,17,89.5%,2,10.5%,187,89.9%,21,10.1%,34,72.3%,13,27.7%,41,91.1%,4,8.9%,121,93.1%,9,6.9%,66,75.0%,22,25.0%,22,71.0%,9,29.0%,155,78.7%,42,21.3%,9,100.0%
Humberside,2,100.0%,0,0.0%,159,79.5%,41,20.5%,23,79.3%,6,20.7%,43,95.6%,2,4.4%,8,66.7%,4,33.3%,255,95.5%,12,4.5%,7,87.5%,1,12.5%,54,91.5%,5,8.5%,76,95.0%,4,5.0%,90,81.1%,21,18.9%,26,76.5%,8,23.5%,150,87.7%,21,12.3%,10,100.0%
Kent,2,100.0%,0,0.0%,216,71.8%,85,28.2%,13,86.7%,2,13.3%,27,81.8%,6,18.2%,18,94.7%,1,5.3%,301,89.1%,37,10.9%,23,92.0%,2,8.0%,69,85.2%,12,14.8%,94,93.1%,7,6.9%,48,87.3%,7,12.7%,130,81.3%,30,18.8%,169,90.4%,18,9.6%,30,100.0%
Lancashire,2,100.0%,0,0.0%,316,75.6%,102,24.4%,44,81.5%,10,18.5%,97,89.0%,12,11.0%,20,83.3%,4,16.7%,314,90.0%,35,10.0%,21,95.5%,1,4.5%,113,86.9%,17,13.1%,112,92.6%,9,7.4%,191,90.5%,20,9.5%,137,89.5%,16,10.5%,243,85.0%,43,15.0%,14,100.0%
Leicestershire,1,100.0%,0,0.0%,168,72.7%,63,27.3%,8,57.1%,6,42.9%,16,72.7%,6,27.3%,9,75.0%,3,25.0%,193,91.5%,18,8.5%,19,100.0%,0,0.0%,41,85.4%,7,14.6%,36,85.7%,6,14.3%,84,87.5%,12,12.5%,17,77.3%,5,22.7%,323,93.4%,23,6.6%,5,100.0%
Lincolnshire,0,0.0%,2,100.0%,80,80.0%,20,20.0%,5,83.3%,1,16.7%,15,100.0%,0,0.0%,4,100.0%,0,0.0%,105,90.5%,11,9.5%,3,75.0%,1,25.0%,17,94.4%,1,5.6%,41,95.3%,2,4.7%,56,87.5%,8,12.5%,12,75.0%,4,25.0%,127,88.8%,16,11.2%,9,100.0%
Merseyside,1,100.0%,0,0.0%,229,77.6%,66,22.4%,23,74.2%,8,25.8%,39,97.5%,1,2.5%,21,84.0%,4,16.0%,339,96.6%,12,3.4%,42,97.7%,1,2.3%,59,84.3%,11,15.7%,279,93.3%,20,6.7%,89,84.0%,17,16.0%,135,87.1%,20,12.9%,417,93.5%,29,6.5%,14,100.0%
Metropolitan and City,11,61.1%,7,38.9%,"1,224",66.8%,607,33.2%,108,61.7%,67,38.3%,221,81.5%,50,18.5%,162,75.0%,54,25.0%,"1,257",89.2%,152,10.8%,219,89.8%,25,10.2%,277,80.5%,67,19.5%,"1,084",94.9%,58,5.1%,631,83.5%,125,16.5%,496,84.4%,92,15.6%,"1,500",79.4%,388,20.6%,200,100.0%
Norfolk,0,-,0,-,151,78.2%,42,21.8%,6,60.0%,4,40.0%,19,86.4%,3,13.6%,8,88.9%,1,11.1%,163,90.6%,17,9.4%,9,75.0%,3,25.0%,42,89.4%,5,10.6%,63,94.0%,4,6.0%,69,83.1%,14,16.9%,63,79.7%,16,20.3%,107,84.3%,20,15.7%,12,100.0%
Northamptonshire,3,100.0%,0,0.0%,106,73.6%,38,26.4%,8,80.0%,2,20.0%,13,81.3%,3,18.8%,1,100.0%,0,0.0%,134,91.2%,13,8.8%,8,80.0%,2,20.0%,32,86.5%,5,13.5%,43,100.0%,0,0.0%,47,88.7%,6,11.3%,16,66.7%,8,33.3%,107,93.0%,8,7.0%,9,100.0%
Northumbria,1,100.0%,0,0.0%,246,71.3%,99,28.7%,20,62.5%,12,37.5%,63,88.7%,8,11.3%,9,100.0%,0,0.0%,501,89.3%,60,10.7%,18,78.3%,5,21.7%,112,81.8%,25,18.2%,100,90.9%,10,9.1%,134,73.6%,48,26.4%,240,79.7%,61,20.3%,274,84.8%,49,15.2%,15,100.0%
North Wales,0,-,0,-,94,73.4%,34,26.6%,7,70.0%,3,30.0%,10,76.9%,3,23.1%,7,87.5%,1,12.5%,155,95.7%,7,4.3%,4,66.7%,2,33.3%,41,93.2%,3,6.8%,33,91.7%,3,8.3%,44,83.0%,9,17.0%,74,96.1%,3,3.9%,154,92.8%,12,7.2%,4,100.0%
North Yorkshire,5,100.0%,0,0.0%,121,78.6%,33,21.4%,7,100.0%,0,0.0%,25,96.2%,1,3.8%,2,66.7%,1,33.3%,161,96.4%,6,3.6%,11,91.7%,1,8.3%,35,81.4%,8,18.6%,35,97.2%,1,2.8%,80,93.0%,6,7.0%,12,80.0%,3,20.0%,99,89.2%,12,10.8%,9,100.0%
Nottinghamshire,1,100.0%,0,0.0%,184,77.6%,53,22.4%,8,80.0%,2,20.0%,32,72.7%,12,27.3%,20,90.9%,2,9.1%,221,90.6%,23,9.4%,14,93.3%,1,6.7%,46,85.2%,8,14.8%,98,94.2%,6,5.8%,55,84.6%,10,15.4%,58,74.4%,20,25.6%,175,87.1%,26,12.9%,13,100.0%
South Wales,1,100.0%,0,0.0%,240,67.2%,117,32.8%,13,65.0%,7,35.0%,57,95.0%,3,5.0%,5,83.3%,1,16.7%,287,94.4%,17,5.6%,34,94.4%,2,5.6%,67,89.3%,8,10.7%,152,97.4%,4,2.6%,160,90.4%,17,9.6%,66,91.7%,6,8.3%,431,85.2%,75,14.8%,13,100.0%
South Yorkshire,0,-,0,-,207,78.7%,56,21.3%,17,85.0%,3,15.0%,31,93.9%,2,6.1%,15,83.3%,3,16.7%,357,95.2%,18,4.8%,12,92.3%,1,7.7%,71,84.5%,13,15.5%,130,97.0%,4,3.0%,122,92.4%,10,7.6%,39,88.6%,5,11.4%,208,88.5%,27,11.5%,12,100.0%
Staffordshire,0,0.0%,1,100.0%,192,73.3%,70,26.7%,15,88.2%,2,11.8%,26,89.7%,3,10.3%,6,100.0%,0,0.0%,213,89.5%,25,10.5%,8,100.0%,0,0.0%,48,82.8%,10,17.2%,82,94.3%,5,5.7%,111,82.8%,23,17.2%,46,90.2%,5,9.8%,264,90.4%,28,9.6%,0,-
Suffolk,0,-,0,-,136,77.7%,39,22.3%,1,25.0%,3,75.0%,15,88.2%,2,11.8%,0,0,0,0,104,100.0%,0,0.0%,11,91.7%,1,8.3%,35,87.5%,5,12.5%,58,98.3%,1,1.7%,45,95.7%,2,4.3%,36,87.8%,5,12.2%,87,89.7%,10,10.3%,4,100.0%
Surrey,0,-,0,-,126,63.0%,74,37.0%,12,66.7%,6,33.3%,19,73.1%,7,26.9%,4,100.0%,0,0.0%,182,83.9%,35,16.1%,20,87.0%,3,13.0%,48,81.4%,11,18.6%,98,95.1%,5,4.9%,91,73.4%,33,26.6%,72,72.7%,27,27.3%,155,90.1%,17,9.9%,18,100.0%
Sussex,0,0.0%,1,100.0%,206,68.0%,97,32.0%,25,78.1%,7,21.9%,34,100.0%,0,0.0%,4,50.0%,4,50.0%,237,90.1%,26,9.9%,13,86.7%,2,13.3%,43,86.0%,7,14.0%,114,93.4%,8,6.6%,57,79.2%,15,20.8%,76,84.4%,14,15.6%,236,94.0%,15,6.0%,14,100.0%
Thames Valley,3,33.3%,6,66.7%,270,65.4%,143,34.6%,32,78.0%,9,22.0%,42,85.7%,7,14.3%,5,83.3%,1,16.7%,350,91.6%,32,8.4%,26,81.3%,6,18.8%,58,90.6%,6,9.4%,146,93.6%,10,6.4%,122,73.9%,43,26.1%,34,72.3%,13,27.7%,824,94.1%,52,5.9%,27,100.0%
Warwickshire,0,-,0,-,64,86.5%,10,13.5%,3,42.9%,4,57.1%,9,81.8%,2,18.2%,2,100.0%,0,0.0%,81,91.0%,8,9.0%,8,100.0%,0,0.0%,13,86.7%,2,13.3%,12,100.0%,0,0.0%,33,97.1%,1,2.9%,24,82.8%,5,17.2%,101,88.6%,13,11.4%,1,100.0%
West Mercia,0,-,0,-,147,79.9%,37,20.1%,17,73.9%,6,26.1%,24,85.7%,4,14.3%,6,100.0%,0,0.0%,200,94.3%,12,5.7%,10,90.9%,1,9.1%,41,89.1%,5,10.9%,63,98.4%,1,1.6%,102,94.4%,6,5.6%,34,82.9%,7,17.1%,213,92.6%,17,7.4%,1,100.0%
West Midlands,2,100.0%,0,0.0%,446,67.9%,211,32.1%,39,75.0%,13,25.0%,85,82.5%,18,17.5%,44,65.7%,23,34.3%,674,92.2%,57,7.8%,42,93.3%,3,6.7%,146,85.9%,24,14.1%,171,92.4%,14,7.6%,102,84.3%,19,15.7%,218,88.6%,28,11.4%,356,89.0%,44,11.0%,10,100.0%
West Yorkshire,3,100.0%,0,0.0%,378,75.6%,122,24.4%,45,75.0%,15,25.0%,104,87.4%,15,12.6%,43,87.8%,6,12.2%,487,93.5%,34,6.5%,16,84.2%,3,15.8%,74,84.1%,14,15.9%,121,92.4%,10,7.6%,132,85.2%,23,14.8%,74,90.2%,8,9.8%,307,85.3%,53,14.7%,21,100.0%
Wiltshire,1,100.0%,0,0.0%,112,83.0%,23,17.0%,5,62.5%,3,37.5%,14,87.5%,2,12.5%,7,87.5%,1,12.5%,78,92.9%,6,7.1%,1,50.0%,1,50.0%,32,84.2%,6,15.8%,46,93.9%,3,6.1%,17,94.4%,1,5.6%,20,90.9%,2,9.1%,73,85.9%,12,14.1%,5,100.0%
