,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Merseyside,1,50.0%,1,50.0%,265,76.8%,80,23.2%,23,82.1%,5,17.9%,37,94.9%,2,5.1%,20,95.2%,1,4.8%,296,93.1%,22,6.9%,17,70.8%,7,29.2%,54,85.7%,9,14.3%,285,95.6%,13,4.4%,183,88.4%,24,11.6%,181,89.2%,22,10.8%,250,87.7%,35,12.3%,16,100.0%
Metropolitan and City,13,68.4%,6,31.6%,"1,252",67.8%,594,32.2%,125,68.3%,58,31.7%,226,77.4%,66,22.6%,174,75.7%,56,24.3%,"1,356",88.7%,172,11.3%,204,87.6%,29,12.4%,303,83.0%,62,17.0%,"1,102",94.2%,68,5.8%,697,83.9%,134,16.1%,496,81.6%,112,18.4%,"1,404",78.0%,395,22.0%,189,100.0%
Norfolk,0,-,0,-,210,82.0%,46,18.0%,15,75.0%,5,25.0%,19,86.4%,3,13.6%,3,100.0%,0,0.0%,164,91.6%,15,8.4%,9,75.0%,3,25.0%,65,90.3%,7,9.7%,71,93.4%,5,6.6%,112,91.8%,10,8.2%,17,70.8%,7,29.2%,101,91.8%,9,8.2%,13,100.0%
Northamptonshire,0,-,0,-,95,77.9%,27,22.1%,10,90.9%,1,9.1%,11,78.6%,3,21.4%,6,100.0%,0,0.0%,82,83.7%,16,16.3%,8,100.0%,0,0.0%,18,64.3%,10,35.7%,21,80.8%,5,19.2%,33,70.2%,14,29.8%,19,90.5%,2,9.5%,96,88.9%,12,11.1%,13,100.0%
Northumbria,1,100.0%,0,0.0%,257,68.7%,117,31.3%,22,75.9%,7,24.1%,59,86.8%,9,13.2%,6,46.2%,7,53.8%,446,85.9%,73,14.1%,20,74.1%,7,25.9%,91,84.3%,17,15.7%,122,90.4%,13,9.6%,103,66.0%,53,34.0%,202,83.1%,41,16.9%,233,84.1%,44,15.9%,6,100.0%
North Wales,0,-,0,-,131,80.4%,32,19.6%,6,42.9%,8,57.1%,17,73.9%,6,26.1%,2,66.7%,1,33.3%,191,96.5%,7,3.5%,6,85.7%,1,14.3%,64,94.1%,4,5.9%,44,97.8%,1,2.2%,63,82.9%,13,17.1%,119,90.2%,13,9.8%,273,92.2%,23,7.8%,5,100.0%
North Yorkshire,1,100.0%,0,0.0%,129,87.2%,19,12.8%,2,66.7%,1,33.3%,28,82.4%,6,17.6%,3,100.0%,0,0.0%,167,92.3%,14,7.7%,17,85.0%,3,15.0%,44,95.7%,2,4.3%,43,97.7%,1,2.3%,93,90.3%,10,9.7%,26,83.9%,5,16.1%,123,93.9%,8,6.1%,13,100.0%
Nottinghamshire,13,100.0%,0,0.0%,163,75.1%,54,24.9%,13,65.0%,7,35.0%,30,88.2%,4,11.8%,9,75.0%,3,25.0%,221,93.2%,16,6.8%,4,100.0%,0,0.0%,46,80.7%,11,19.3%,102,91.1%,10,8.9%,72,87.8%,10,12.2%,54,83.1%,11,16.9%,127,88.2%,17,11.8%,9,100.0%
South Wales,1,100.0%,0,0.0%,242,72.2%,93,27.8%,18,60.0%,12,40.0%,37,88.1%,5,11.9%,15,88.2%,2,11.8%,296,95.5%,14,4.5%,6,60.0%,4,40.0%,79,96.3%,3,3.7%,122,91.7%,11,8.3%,133,85.8%,22,14.2%,54,88.5%,7,11.5%,556,92.8%,43,7.2%,12,100.0%
South Yorkshire,0,0.0%,1,100.0%,195,70.4%,82,29.6%,11,68.8%,5,31.3%,53,89.8%,6,10.2%,6,100.0%,0,0.0%,332,94.6%,19,5.4%,16,84.2%,3,15.8%,55,83.3%,11,16.7%,94,97.9%,2,2.1%,96,84.2%,18,15.8%,52,85.2%,9,14.8%,145,81.0%,34,19.0%,10,100.0%
Staffordshire,0,-,0,-,156,71.9%,61,28.1%,10,62.5%,6,37.5%,29,70.7%,12,29.3%,5,100.0%,0,0.0%,167,86.5%,26,13.5%,10,71.4%,4,28.6%,51,73.9%,18,26.1%,69,93.2%,5,6.8%,76,74.5%,26,25.5%,35,85.4%,6,14.6%,116,87.9%,16,12.1%,8,100.0%
Suffolk,0,-,0,-,158,86.3%,25,13.7%,6,85.7%,1,14.3%,10,71.4%,4,28.6%,2,66.7%,1,33.3%,133,96.4%,5,3.6%,5,100.0%,0,0.0%,49,100.0%,0,0.0%,52,98.1%,1,1.9%,74,94.9%,4,5.1%,23,100.0%,0,0.0%,94,88.7%,12,11.3%,7,100.0%
Surrey,0,-,0,-,97,63.8%,55,36.2%,8,57.1%,6,42.9%,13,76.5%,4,23.5%,6,100.0%,0,0.0%,107,87.0%,16,13.0%,12,80.0%,3,20.0%,32,74.4%,11,25.6%,84,88.4%,11,11.6%,40,67.8%,19,32.2%,71,89.9%,8,10.1%,158,85.4%,27,14.6%,5,100.0%
Sussex,0,-,0,-,186,74.4%,64,25.6%,29,72.5%,11,27.5%,38,86.4%,6,13.6%,6,75.0%,2,25.0%,236,89.7%,27,10.3%,27,93.1%,2,6.9%,50,82.0%,11,18.0%,98,94.2%,6,5.8%,63,75.0%,21,25.0%,53,80.3%,13,19.7%,197,92.1%,17,7.9%,13,100.0%
Thames Valley,7,63.6%,4,36.4%,302,72.6%,114,27.4%,38,74.5%,13,25.5%,53,84.1%,10,15.9%,12,92.3%,1,7.7%,336,91.1%,33,8.9%,15,83.3%,3,16.7%,59,80.8%,14,19.2%,180,91.8%,16,8.2%,123,82.6%,26,17.4%,27,71.1%,11,28.9%,335,86.3%,53,13.7%,30,100.0%
Warwickshire,2,100.0%,0,0.0%,49,84.5%,9,15.5%,2,33.3%,4,66.7%,8,80.0%,2,20.0%,4,66.7%,2,33.3%,69,94.5%,4,5.5%,2,40.0%,3,60.0%,18,75.0%,6,25.0%,14,93.3%,1,6.7%,11,91.7%,1,8.3%,25,96.2%,1,3.8%,69,69.7%,30,30.3%,8,100.0%
West Mercia,1,100.0%,0,0.0%,143,77.7%,41,22.3%,15,88.2%,2,11.8%,29,93.5%,2,6.5%,8,100.0%,0,0.0%,140,90.3%,15,9.7%,16,94.1%,1,5.9%,39,92.9%,3,7.1%,56,98.2%,1,1.8%,64,91.4%,6,8.6%,38,88.4%,5,11.6%,180,90.9%,18,9.1%,6,100.0%
West Midlands,2,100.0%,0,0.0%,385,64.9%,208,35.1%,48,78.7%,13,21.3%,55,65.5%,29,34.5%,49,77.8%,14,22.2%,497,94.0%,32,6.0%,37,94.9%,2,5.1%,96,83.5%,19,16.5%,221,91.7%,20,8.3%,144,83.2%,29,16.8%,159,88.3%,21,11.7%,324,85.3%,56,14.7%,36,100.0%
West Yorkshire,3,100.0%,0,0.0%,356,76.1%,112,23.9%,46,86.8%,7,13.2%,85,90.4%,9,9.6%,19,67.9%,9,32.1%,402,92.0%,35,8.0%,19,86.4%,3,13.6%,86,85.1%,15,14.9%,126,92.6%,10,7.4%,112,85.5%,19,14.5%,49,77.8%,14,22.2%,268,87.3%,39,12.7%,27,100.0%
Wiltshire,0,-,0,-,62,69.7%,27,30.3%,5,83.3%,1,16.7%,3,75.0%,1,25.0%,3,60.0%,2,40.0%,73,90.1%,8,9.9%,2,100.0%,0,0.0%,27,84.4%,5,15.6%,34,97.1%,1,2.9%,13,72.2%,5,27.8%,25,78.1%,7,21.9%,70,79.5%,18,20.5%,7,100.0%
